head_id|form|lemma|verb|verb_compound|morph_case|sentence_id|sentence|timex_tag|ekilex_tag|ner_tag
2822908|käekotist|käekott|varastama||el|1772735|Kasutades kannatanu abitut seisundit , varastas kõrvaltoast käekotist 500||location|
4913417|Lissabonis|Lissabon|ootama||in|3061711|Kolmapäeval ootab hollandlasi Lissabonis poolfinaal ning siis tuleb vastaseks Portugal , vahendas Sportnet .||location|LOC
11195051|Gruusias|Gruusia|harjutama||in|6967672|Gruusias harjutasid nad öösiti kohalike abiga gruusia laulule omast harmooniat .||location|LOC
7782031|ninast|nina|pääsema|välja|el|4847099|Kui me aevastame kinnise suuga , ei pääse õhk ninast kiiresti välja ja paiskub kõikvõimalikesse pea sisekoobastesse ja käikudesse .|||
6552777|kodulinnastki|kodulinn|saama|välja|el|4070875|Jänkid on õigupoolest kogu maailma naljades kitsarinnalisuse võrdkuju - jänki on keegi , kes ei saa terve elu jooksul välja oma kodulinnastki , osariigist rääkimata .||location|
19182780|tuletõrjestaapi|tuletõrjestaap|külastama||adit|11985874|Kuberner Arnold Schwarzenegger külastas koos abikaasaga tuletõrjestaapi ja lendas kopteril leekide kohal .|||
18691035|autos|auto|lindistama||in|11677195|Et saavutada nt . liikluse keskel raadio kuulamise efekti laulus ” Slide Show ” , lindistas grupp loo tõepoolest liikuvas autos .|||
11809807|hinges|hing|laiutama||in|7358431|Täna tunneb Valeri Repson midagi sellist , mida ta juba ammu kogenud pole — tema hinges laiutab tiibu hoopis võimutunne .|||
2929294|Itaaliasse|Itaalia|saama||ill|1840038|Õnnetuseks sai kolmest Rodolfost parim nädal enne esietendust stipendiumi Itaaliasse .||location|LOC
6201955|hommikuvalguses|hommikuvalgus|juhatama||in|3850506|Alles hommikuvalguses , kui oli selge , et olukord on politsei kontrolli all ja uut rünnakut pole karta , juhatas beduiin nad Taba piiripunkti poole teele .|||
12465961|Kagu-Eestisse|Kagu-Eest|toimuma||ill|7775717|Sõit Kagu-Eestisse toimunud “ faktide otsimise eesmärgil , et tutvuda Petseri , Võru , Valga maarahva elutingimustega ” .|||LOC
8023852|Kesk-Aasiasse|Kesk-Aasia|looma||ill|4997248|"Lühemaajalisem programm näeb ette Talibani kukutamist Põhja-Alliansi poolt , mis looks Kesk-Aasiasse Venemaa huve teeniva puhvertsooni . """||location|LOC
8951646|lõpus|lõpp|helisema||in|5582930|""" Suvevaheaja lõpus helises Luunja juures mu telefon ."|||
26352572|esti|est|tahtma||adit|17157656|Kui Sa to~esti tahad sedapidi kysida ( ja mitte näiteks « Millised on erinevused punkt . net'i ja alternatiivide vahel ) , leiad ee .|||
24969201|Viirpuupõõsasse|viirpuupõõsas|maanduma||ill|16085475|Viirpuupõõsasse maandus ka säherdusi tegelasi , kelle jaoks maitsvad marjad olid otsekui hüüdja hääl kõrbes .|||
8973779|Viljandisse|Viljandi|looma||ill|5596815|""" Loon koos mõttekaaslastega praegu Viljandisse kultuuriruumi , mille kaudu hakkab üle Eesti le-vima vaba ja loova sootsiumi idee ."||location|LOC
5261858|riikidesse|riik|kavatsema||ill|3273169|Kui Ivanov pidas silmas välisbaase , siis peaks ta hästi teadma , et Balti riikidesse ei kavatse keegi uusi baase rajada .|||LOC
19102186|proovidesse|proov|lubama||ill|11937094|Kaie lubas mind oma proovidesse .|||
2277941|tualetti|tualett|jääma|kinni|adit|1431848|Gotlandi saarel jäin tualetti kinni .|||
6991679|Hamaris|Hamar|võistlema||in|4346320|Kiiruisutajad võistlesid reedest pühapäevani üle-eelmise talve olümpiahallis Hamaris üksikdistantside MMmedalite eest .|||LOC
18918190|Käsmus|Käsmu|põrkama|kokku|in|11820579|Õnnetus juhtus kell 4 . 40 , kui Käsmus põrkasid kokku sõiduautod Niva ja Toyota .||location|LOC
19872597|Elektrijaamades|elektrijaam|töötama|kokku|in|12412196|Narva Elektrijaamades töötab kokku 11 suurt ja 8 väikest energiaplokki koguvõimsusega 2900 megavatti .||location|
154775|laudakarbis|laudakarp|laiutama||in|91452|Praegu laiutab ta katuseta laudakarbis käsi : “ Ei tea , millal valmis saab .|||
15946811|põgenikelaagris|põgenikelaager|tervitama||in|9939350|“ Mis te siia tulite , niikuinii te meist tõtt kirjutada ei julge , ” on esimesed sõnad , millega 32-aastane Rimma Uvarova Sleptsovskaja põgenikelaagris kaht välisajakirjanikku tervitab .||location|
26081848|linnadesse|linn|tooma|tagasi|ill|16968132|Rääkimata infrastruktuuri taastamisest , kus sõdurid parandavad ajast-arust vee- ja kanalisatsioonivõrke , toovad linnadesse tagasi elektri ja julgestavad toiduainetega varustamist .|||
4811656|Vigvamisse|vigvam|ootama||ill|2999808|Valged mehed ootavad nende esindajaid oma Suurde Vigvamisse .||location|
9818498|Virginias|Virginia|kasvama|üles|in|6117356|Võimude süüdistuse kohaselt liitus Virginias üles kasvanud Abu Ali al-Qaidaga Saudi Araabias , kus ta õppis .||location|LOC
18054916|nimetusse|nimetus|viskama||adit|11265806|Vanim poeg Sulev viskas kivi kaugele-kaugele mingisse nimetusse järve .|||
9425350|Käsmust|Käsmu|jõudma|tagasi|el|5872355|"Lastekirjanik , legendaarse "" Kunks-moori ja kapten Trummi "" autor Aino Pervik on just jõudnud tagasi Käsmust , kus ta veetis nädala koos tütre ja oma kõige noorema lapselapsega ."||location|LOC
17439124|hoovi|hoov|viskama||adit|10888268|Kurjategijad võtsid kaitseliitlaselt ära käekella , vormi , mütsi ja saapad ning viskasid ta üle aia Riia maanteel ühe maja hoovi .|||
20215816|kraesse|krae|toimuma||ill|12633679|Raudteelaste kraesse toimunud õnnetusi Rentiku sõnul siiski veeretada ei saa .|||
5545910|hoonesse|hoone|kaduma||ill|3444597|Omaste jaoks kadusid paljud vangid sellesse hoonesse jäljetult .||location|
14317328|peaaegu-pimeduses|peaaegu-pimedus|kõndima||in|8906887|Me kõndisime soojas peaaegu-pimeduses jaama poole ja ma aimasin laiduväärsushäbi ja võidurõõmuga ette , kuhu see kõndimine viib .|||
25237805|kõvakettale|kõvaketas|ronima||all|16298165|enamus uued ussid levivad nii , et käid suvaliste lehekylgede peale ja see purakas automaatselt ronib sulle kõvakettale ..|||
11606237|laagris|laager|ehitama||in|7215660|Suvel aga ehitasid skaudid laagris metsavendade punkri , kuhu puges sisse ka skautide maleva auvanem  Tunne Kelam  .|||
4481543|näkku|nägu|vedama||adit|2794657|Aastad on Henno pruuniks parkunud näkku vagusid vedanud , metsa all toimetades meenutab ta Eno Raua lasteraamatu kangelast Sammalhabet - vaid linnupesa on veel pikast hallisegusest habemest puudu .|||
14763775|mängumaale|mängumaa|pöörduma|tagasi|all|9185640|Nii polegi ime , kui need vabastatud pettuvad ja pöörduvad tagasi vanale mängumaale .|||
7045917|esikümnesse|esikümme|juhtuma||ill|4380445|"Kõige paremini läks aga saatel "" Aeg luubis "" , mis ei juhtu esikümnesse just sageli , aga "" Tantsud tähtedega "" ajal mitte iialgi ."|||
2461092|EEKi|EEK|saama||adit|1546746|Nimelt saab 10. koht konstruktorite arvestuses umbes 150 miljoni EEKi eest FIA-lt tugirahasid järgmiseks hooajaks , viimaseks jääv tiim aga mitte sentigi .|||ORG
17956728|Tartust|Tartu|röövima||el|11208387|Sellepärast ei suudagi ma lõplikult hukka mõista neid sulisid , kes röövisid Tartust terve sularahaautomaadi .||location|LOC
18523463|võitluses|võitlus|võimutsema||in|11567470|Kahe mehe võitluses võimutses Noormets see-eest aga lauas , hankides 15 palli Metstaki viie vastu .||event|
12418343|Liidus|liit|jooma||in|7746276|Nõukogude Eestis elas üks nn raamaturahvas , kes seda maad külastanud türgi luuletaja Nazõm Hikmeti sõnul “ luges kõige rohkem luulet ja jõi kõige rohkem viina ” terves Nõukogude Liidus .|||LOC
5449085|Supermarketitesse|supermarket|kavatsema||ill|3385988|Supermarketitesse ta oma kaupa müüki panna ei kavatse , sest ökoloogilised tooted vajavad kohapeal lisaselgitust .||location|
3945603|Mekasse|meka|lubama||ill|2461176|Tervis lubaks muhameedlasi Mekasse küll , kuid rahakoti paksus jätab soovida .||location|LOC
24386725|liinilt|liin|kukkuma|alla|abl|15630506|Kella 13.41 ajal kukkus mees liinilt alla ja sai vigastada .|||
9070547|sadamasse|sadam|ruttama||ill|5655849|Benini kabinetiliikmed , politseinikud ja ÜRO esindajad ruttasid eile pealinna Cotonou sadamasse , kuhu saabus Nigeerias registreeritud laev Etireno .||location|
13329888|Lissabonist|Lissabon|väljuma||el|8316508|7. juunil väljus Lissabonist rong Euroopa riikide kirjanikega , mis sõidab läbi kogu maailmajao ja saabub 30. juunil Tallinna .||location|LOC
11832392|kaenlas|kaenal|lamama||in|7371870|Ja tema , Allika Manda , lamas öö otsa selle harimatu mühaka kaenlas .||location|
7428223|laborisse|labor|läkitama||ill|4622518|Ametnikud läkitavad laborisse regulaarselt nii tapalt tulnud kui ka välismaalt sisse veetud liha näidiseid ja valmistooteid .||location|
19313197|pimesooles|pimesool|pesitsema||in|12065147|Söödud ristikheina töötlevad jänese pimesooles pesitsevad mikroorganismid sedamoodi pudruks , et tema kehast väljuv aines on valgurikkam kui sinna sisse minev .|||
12702689|Amblas|Ambla|käima||in|7928698|"Kas Amblas käis see inimeste äravedamine niisamuti nagu linnas ? """||location|LOC
1462492|külla|küll|võtma|kaasa|adit|918146|Purjutama kukkunud naine oli külla kaasa võtnud oma tänavu 25. veebruaril aastal sündinud poja .|||
4556560|aktsiaportfellidesse|aktsiaportfell|investeerima||ill|2841109|Omanikfirmad on investeerinud vahendid peamiselt aktsiaportfellidesse .|||
14722956|Austrias|Austria|omama||in|9158397|Seni oli kodakondsuse andmine välismaalasele võimalik , kui taotleja omas vähemalt kümme aastat asukohta Austrias , kui tema suhtes ei eksisteerinud elamiskeeld , senine käitumisviis garanteeris , et ta suhtub Austriasse positiivselt ja ei kujuta ohtu avalikule korrale ja julgeolekule , tema ülalpidamine oli garanteeritud ning suhted välisriikidega polnud Austria huvidele kahjulikud .||location|LOC
13205537|klubis|klubi|pesitsema||in|8229861|Väga imelikuks teeb asja veel see , et vanuse piirang ei ole selles klubis mitte 18 a , vaid 21 a , kuna klubis pesitseb ka kasiino .|||
414065|ajalehtedes|ajaleht|jälgima||in|262363|“ .. ma ei ole Macaulit mõrvast saadik näinud ning ma pole seda ajalehtedes jälginud .|||
22782973|BodyPump'is|BodyPump|olema||in|14354452|BodyPump'is seevastu on olemas treener , kes õpetab , ning kaasakiskuv muusika .|||
417896|Inglismaale|Inglismaa|pagema||all|264653|Need pidid kogunema Inglismaale pagenud pankur Girardi kunagise villa varemeisse .||location|LOC
2089139|Liigasse|liiga|soovima||ill|1314699|""" Liigasse soovis pääseda üle kolmekümne meeskonna , ent ruumi jätkub kõigest kuueteistkümnele , "" tõdes NEBLi juhtkonda kuuluv Soonik ."|||
3912431|rööbastesse|rööbas|pöörama||ill|2439957|"Pärast seda pöörab elu taas normaalsetesse rööbastesse , "" lausus Adlas ."|||
3800818|kiirteelt|kiirtee|sõitma|välja|abl|2371820|Buss püüdis mööduda teisest sõidukist , kui juht kaotas bussi üle kontrolli ning sõitis kiirteelt välja Trishuli jõkke , umbes 100 kilomeetri kaugusel pealinnast Kathmandust .||location|
762549|hoonele|hoone|jooksma||all|485317|Iisraeli konsulaadi turvamehed avasid tule enesekaitseks pärast seda , kui sadakond kurdi hoonele tormi jooksis ja osalt ka majja pääses .||location|
20859289|Brestis|Brest|surema||in|13037029|Valgevene õiguskaitseorganite esindaja ütles , et Brestis 23. augustil surnud Vytautas Pociunase lahkamisel võetud bioloogiline materjal toimetati laboratoorseteks uuringuteks Minskisse .||location|LOC
10118025|vahegruppi|vahegrupp|võtma|kaasa|adit|6297905|Rootsi võtab vahegruppi kaasa neli punkti , sest alistas kolmapäeval C-grupi mängus Soome 5 : 1.||alive|
17387056|Shanksi|Shanks|panema||adit|10856697|Veerandajale panid punkti Shanksi kaks rumalat läbimurret , külalised pääsesid poolajaks ette 45 : 39.|||LOC
12144702|põõsastesse|põõsas|kaduma||ill|7561323|Seal metsas elas üks hea hull , kellele laagri kokatädid aegajalt süüa jätsid õue , mees jooksis täiesti alasti ringi ja kartis inimesi ja inimesed teda , sest kuigi ta oli hullumajas tunnistatud ohutuks , ei ole ju miski siinkandis stabiilne , ja ma nägingi seda hullu , ühel habrashetkel , enne kui ta pikkade hüpetega põõsastesse kadus .|||
14116895|katakombidesse|katakomb|eksima||ill|8795284|See on viiest õudusloost koosnev film , milles Ralph Richardson kehastab viiele katakombidesse eksinud turistile nende koledat tulevikku kuulutavat hauakambrivalvurit .||location|
22130002|suusaninale|suusanina|paigutama||all|13878205|Mõõtja paigutab mõõdulindi otsa suusaninale ja 15 cm kohal vajutab selle näpuga vastu suuska .|||
15858463|maavalitsuses|maavalitsus|vestlema||in|9884613|Võru maavalitsuses vestles ajakirjanikega abimaavanem Kalev Kikkas .|||ORG
7692834|Dublinis|Dublin|peetuma||in|4790375|""" President rõhutas möödunud teisipäeval Dublinis peetud kõnes , et Soome ei ole NATO liikmeks saamise teel ."||location|LOC
5088076|Oxfordis|Oxford|puhkema||in|3168568|Kui valitsuses küpses plaan nõuda välistudengitelt sisse kõik nende koolitamiseks tehtud kulud , puhkes Oxfordis paanika , sest kooli sissetulekutest moodustasid riigi dotatsioonid välistudengitele olulise osa .||location|LOC
20432247|mängus|mäng|varisema|kokku|in|12773211|20aastane ja 202 cm pikkune Eesti koondise kandidaat varises kokku möödunud laupäeval mängus Grayson College i vastu , kui McLennan juhtis 28 : 25.|||
282351|varjendis|varjend|kükitama||in|169531|Serbia sõdurid , kes kükitavad otse minu kontori kõrval asuvas varjendis , satuvad NATO lennukite löögi alla .||location|
10756001|kammersaalis|kammersaal|tervitama||in|6685732|Seejärel tervitas keeleteadlane Haldur Õim kammersaalis olijaid ja avaldas siirast rõõmu , et nii paljud Tõrva kandi inimesed on soovinud temaga silmast silma kohtuda .||location|
143498|kraavi|kraav|kihutama||adit|84317|Ta kihutas purjuspäi Virumaal oma Opeliga kraavi ; õnnelikult lõppenud õnnetuses keegi viga ei saanud .|||
22770782|Vimmerbysse|Vimmerby|võtma||ill|14343914|Kui Larsi eest väga hellalt hoolitsenud proua Stevens haigestus , solgutati poissi mitme asenduspere vahet , kuni Astridi vanemad võtsid lapselapse enda juurde Vimmerbysse .|||ORG
3507805|kiirpealetungile|kiirpealetung|jooksma||all|2194536|""" Meie uisapäisa visked läksid mööda , vastased peremehetsesid lauas ja jooksid viivitamatult kiirpealetungile , "" osutas võõrmängija kahetsemisväärsele korralagedusele ."|||
19148085|milles|mis|elama|kaasa|in|11964894|» Tippmargi 7.45 hüppas Drechsler 1986. aasta juunis NSV Liidu ja Saksa DV matšil , milles Eesti publik pigem sakslastele kaasa elas .|||
15758296|lasketiiru|lasketiir|jalutama||adit|9821117|Veebruaris jalutas Sillanpää Helsingi kesklinnas asuvasse lasketiiru Helsinki Shooting Club , üüris relva ja padrunid , ning märklaua asemel tulistas kõiki teisi lasketiirus olnuid .||location|
16503909|Pariisi|Pariis|laienema||adit|10283415|Eesti Instituut , mis tegeleb välismaal eesti kultuuri tutvustamise ja vahendamisega , laieneb sügisel maailma kultuurimetropoliks peetavasse Pariisi .||location|LOC
21086171|Jordaaniasse|Jordaania|suunduma|edasi|ill|13180013|Oma Lähis-Ida turneed alustas Havel Liibanonist , kust ta suundus laupäeval edasi Jordaaniasse .||location|LOC
16313478|Kingstonis|Kingston|jälgima||in|10167958|USA ärikonsultant George Fitch tuli mõttele koostada Jamaika bobisõidumeeskond pärast seda , kui jälgis Kingstonis iga-aastast pushanto-vankrite võidusõitu .||location|LOC
14953441|Annelinnast|annelinn|kolima||el|9308652|Tema sõnul oleksid nad ammugi Annelinnast kesklinna kolinud , kuid pole vaba korterit .|||LOC
29734700|kodaratesse|kodar|hakkama||ill|20715674|BB: pika habemega on jama .. hakkab jalgrattale kodaratesse|||
546648|Ameerikaski|Ameerika|tudeerima||in|353383|Ameerikaski tudeerinud Petteri Hasa on vajalik rütmigeneraator .||location|LOC
3558188|Afganistanis|Afganistan|ründama||in|2224666|Ründajad kasutavad tavaliselt taimereid ja kaugjuhtimist , kui ründavad USA baase Afganistanis , seepärast ei leia sõdurid tavaliselt rünnakute eest vastutavaid inimesi .||location|LOC
13434338|Riigikogus|riigikogu|hoidma|kinni|in|8383463|“ Isamaaliitlane Mõis ei suuda linnapeana täita parlamendiliikme kohuseid ja hoiab nii Riigikogus ainult kohta kinni , pealegi on selline kahel toolil istumine nõrkuse näitamine Savisaare ees , ” ütles anonüümsust palunud paremjõudude poliitik .||location|ORG
17293403|Sumbuurselt|Sumbuurse|kulgema||abl|10797726|Sumbuurselt ja heitlikult , just erutavale olukorrale iseloomulikult see mäng otsustavate hetkedeni kulgeski .|||
18061054|Rakveres|Rakvere|ründama||in|11269626|Kuigi vapper koer ründas Rakveres oma perenaise käeluu purustanud joomarit , kes oli magama läinud tema kuuti , suutis vigastatud mees veel teise ohvriks võetud naise korteriaknad puruks peksta .||location|
7368839|Horvaatiasse|Horvaatia|väljuma||ill|4584844|19. aprillil väljus kuus tundi hiljem firma esimene lend Horvaatiasse .||location|LOC
486932|avalikus|avalik|säilima||in|310303|Kus säilivad raamatud paremini , kas avalikus või eraraamatukogus ?|||
25490095|sadamas|sadam|märatsema||in|16530043|Tallinna sadamas märatsevad purjus soomlased tülitavad nii kaasmaalasi kui ka teisi reisijaid ning puhkavad peatäit välja Kauge tänava kartseris .||location|
10473598|uksest|uks|kihutama|välja|el|6511353|Siia-sinna pudeneb ehteid ja vahel kihutavad lapsed uksest välja lausa koolikoti või jopeta .|||
18340575|Egiptusesse|Egiptus|olema|vaja|ill|11447100|“ Kuulsin tuttava käest , et Egiptusesse on vaja töötajat ja läksin intervjuule , ” rääkis aasta ja kaks kuud Egiptuses Ernesto Preatonile kuuluvas kuurordis töötanud Angelika Annus .||location|LOC
10598693|majapidamisse|majapidamine|mahtuma|ära|adit|6586784|Irratsionaalsetele , vaidlustamiskindlatele väidetele rajatud usuline surve õppekavaarendusele selle mahu pideva suurendamise suunas tuleb nii väljast ehk lastevanematelt ning kogu ühiskonnalt kui ka seest , pedagoogidelt , kes ei raatsi ühtki vana asja minema visata , mis sest , et uued ja paremad majapidamisse ära ei mahu .|||
11619994|kohapealt|kohapea|paistma||abl|7224492|Või mis see muu ikka on , kui inimestel keldrid-majad-aiamaad-põllud vee all ja talv paistab söögi kohapealt tume mis tume .|||
18753071|sõjaväes|sõjavägi|seiklema||in|11717971|Koomikutepaar  Jerry Lewis  ja  Dean Martin  seiklevad seekord Ameerika sõjaväes .|||
11747902|majas|maja|askeldama||in|7318402|Selles majas askeldab peale Kristi Nagla ja Riina Siigi veel vallavalitsuse elamumajanduse spetsialist Lea Madissov .|||
7738974|Hankos|Hanko|peetuma||in|4819827|Hankos peetud rahvusvahelisel rannavõrkpalli turniiril võitsid Avo Keel/Kaido Kreen polfinaalis vennad Kaarel ja Kristjan Kaisi ning finaalis Läti esipaari 12 : 8 , 12 : 10.||location|LOC
18160264|Bangladeshis|Bangladesh|ründama||in|11331975|Bangladeshis ründasid sajad jalgpallifännid kahte elektrijaama , peksid selle töötajaid ja lõhkusid autosid pärast seda , kui kahe päeva jooksul juba teist korda vutimängude ülekannete ajal toimusid elektrikatkestused .||location|LOC
2811550|abstraktsusse|abstraktsus|liikuma||adit|1765713|""" Ja siis , kui kogu muu kunst liigub abstraktsusse , tuleb onu Ruudi välja "" Mona Lisa "" ja vene meistrite töödega , vapustav realism , "" räägib Hütt ."|||
1696545|vanglasse|vangla|saatma|edasi|ill|1067880|""" Paari nädala pärast saadame ta edasi mõnda teise vanglasse ."||location|
3171625|esitusest|esitus|kostma||el|1988555|Anneli Remme , muusikakriitik :  Kuna ERSOt juhib nüüd vene tippdirigent , siis kostis hümni esitusest slaavi patriootlikku hoogu , mida varem pole Eesti hümni esitusel tähele pannud .||event|
9240415|Kabulis|Kabul|õpetama||in|5760333|Rahvusvahelise abirahaga õpetavad Kabulis afgaanidele teatrit ja tantsu Corinne Itaaliast ja Francoise Prantsusmaalt .||location|LOC
17293566|Glasgow's|Glasgow|jooma||in|10797821|Võiduõlled ( masendusse langemiseks polnud ju põhjust meilgi ) jõime Glasgow's , Horse Shoe nimelises , võõrustajate väitel Vana Maailma suurimas pubis .||location|
11898577|kirjanduses|kirjandus|kohama||in|7411561|Hiljem olen erialases kirjanduses kohanud artikleid , tõsiseid biokeemilisi uurimusi , kus on täheldatud seost piimavalkude , karotiini ja ajurakkude töö vahel ning mu silme ette on kerkinud mitte just eriti isuäratav vaatepilt valgest vedelikust , kus ujuvad porganditükid ja herned ning mida katavad rohelised saared : tillivarred , sõstralehed , roheline sibul , porrulauk ja muu ollus , kuhu on nõrutatud üksjagu harrast usku ning naiivset , kuid ealeski – eladeski – mitte toksilist inimlootust .|||
28637888|Euroopasse|Euroopa|minema|ära|ill|18970764|Me räägime praegu palju Euroopasse minekust ja umbes sedamoodi : eest ära , Eesti läheb Euroopasse , eest ära lapsed , eest ära lastega pered , eest ära pensionärid ja vanurid !||location|LOC
933225|Armeenias|Armeenia|käima||in|588861|Käisin viimati Armeenias möödunud talvel ja mul õnnestus kohtuda presidendi , välisministri ja ühe üleeile tapetud asespiikeriga .||location|LOC
3119033|Arstikabinetis|arstikabinet|helisema||in|1956451|Arstikabinetis heliseb telefon .||location|
3521559|Reykjavikis|Reykjavik|varisema|kokku|in|2202492|Belgia minister varises Reykjavikis kokku|||LOC
17007770|Murmanskisse|Murmansk|lendama|edasi|ill|10611128|"Jeltsin lendas hommikul Murmanskisse ja sealt helikopteriga edasi Põhjamere laevastiku lipulaeva , raketiristleja "" Peeter Suure "" pardale , mis seisis Sevenomorski reidil ."||location|LOC
5512943|Bethlehemis|Bethlehem|seisma||in|3424683|Hoonest hooneni veeti serpentiine , kohati seisis mägistel ja niigi kitsastel tänavatel Bethlehemis ja Jeruusalemmas liiklus , sest araablased olid hoos linna kristlikuks kaunistamisega .|||LOC
19602769|garderoobikapis|garderoobikapp|peitma||in|12244737|« Päkapiku komme peidan garderoobikapis ühe kasti sees , » reedab Kaire Vilgats oma kodu parima peidupaiga .|||
15960789|Pärnusse|Pärnu|tootma||ill|9949669|Samast erakogust on pärit ka Pärnusse toodavad 25 Talviku litograafiat .||location|LOC
18801131|Dallases|Dallas|puhkema||in|11748640|Dallases puhkeb paanika ja linn hävib tules .||location|
12593130|tagahoovides|tagahoov|hargnema||in|7860358|Pole siis ime , et mitmed postsotsialistliku Venemaa põnevus- ja krimkasarjad hargnevad just Peterburi tagahoovides .||location|
11534119|metsaalale|metsaala|parkima||all|7170530|Vallale ei teinud muret ainult prügiautod , vaid ka inimesed , kes lihtsalt metsaalale oma masinad parkisid ja siis sealsamas piknikke ja laagreid pidasid .||location|
16550707|poes|pood|sõitma|ringi|in|10313838|Selle peale hakkas müüja poeg , kes mitu meetrit eemal jalgrattaga poes ringi sõitis , valju häälega kilkama : “ Rikas jõuluvana , rikas jõuluvana !|||
5930187|Washingtonist|Washington|lendama||el|3682593|Vaid 45. sünnipäeval lendasin õigel päeval lennukiga Washingtonist Tallinna poole .||location|PER
13153008|Corianderis|Corianderi|leiduma||in|8194751|Kolmapäeval ei leidunud Corianderis kedagi , kes oleks soostunud Vegas Clubi ülevõtmist kommenteerima : kinnitama või ümber lükkama .|||LOC
