sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,classification2,explanation2,is_time,is_alive,is_abstract,classification3
11302806,18113893,34,olema,,ill,eelarve,eelarvesse,"Tallinna rahandusküsimustega tegelev abilinnapea Ants Leemets kinnitas esmaspäeva õhtul oma kabinetis “ Postimehele ” selge sõnaga , et vähemalt selleks aastaks on Nomura laenu tagasimaksmiseks linnal raha juba olemas , s.o sisse planeeritud eelarvesse , mille volikogu nii või teisiti peagi vastu võtab .",,,,no,The word 'eelarvesse' refers to a budgetary concept and not a physical location.,no,"The phrase 'eelarvesse' refers to a budget or plan and does not indicate a specific location, so it is not an adverbial of place.",no,no,yes,yes
9623819,15445097,16,hakkama,,ill,sisu,sisusse,"See oli aeg , kus raamatuhuviline poest kõik ilmunud uudiskirjanduse koju tassis ja alles siis sisusse hakkas süvenema .",,,,no,"The word 'sisusse' refers to content or substance, not a specific location.",no,"The phrase 'sisusse' refers to content or substance, not a physical location, so it is not an adverbial of place.",no,no,yes,yes
14293818,22692055,3,laskma,,adit,Narusk,Naruski,Mae laskis Naruski üheksasekundilisse eduseisu ja alustas siis karmi tagaajamist .,,,LOC,no,"The word 'Naruski' refers to a person's name, not a location.",no,"The phrase 'Naruski' refers to a person's name, not a location, so it is not an adverbial of place.",no,yes,no,yes
16252383,25172405,39,minema,ära,el,koosseis,koosseisust,"Kolm näidet , mis ma oskan öelda nende kohta , kes on ise lahkunud ( peale selle on lahkujaid ka seoses struktuuri ümberkorraldamisega , ministeeriumist on ära viidud näiteks haldusbüroo ja tehtud muid niisuguseid asju , mistõttu ministeeriumi koosseisust ära läinud isikuid on rohkem ) : näiteks Tallinna linn on saanud Haridusministeeriumist personalijuhi , kes oli töötanud ministeeriumis 13 aastat ja tahtis vaheldust ; üks daam läheb meil järgmisel nädalal Islandile mehele ; üks daam on läinud arvutiõpetajaks Rocca al Mare kooli .",,,,no,"The phrase 'koosseisust' was classified as not a location because it refers to composition or structure, not a physical place.",no,"The phrase 'koosseisust' refers to a composition or structure rather than a location, so it is not an adverbial of place.",no,no,yes,yes
13184578,21093246,8,möllama,,in,Bosnia,Bosnias,Alles paar aastat tagasi möllas Euroopa lõunaosas Bosnias sõda ning vaenust laastatud riigis ennustati mitme talve eel tuhandete inimeste suremist nälja ja külma kätte .,,location,LOC,yes,,yes,,,,,yes
11102573,17784543,6,ravima,,in,seis,seisus,"Kaks kuud ravis perenaine armetus seisus koera , kaotamata siiski lootust .",,,,no,"The phrase 'seisus' was classified as not a location because it refers to a condition or state, not a physical place.",no,"The phrase 'seisus' refers to a state or condition, not a physical location, so it is not an adverbial of place.",no,no,no,no
6427967,10334047,1,kiirustama,,adit,õnnetuspaik,Õnnetuspaika,Õnnetuspaika kiirustanud Soome ja Eesti päästekopterid meest enne pimeduse saabumist ei leidnud .,,location,,yes,,yes,,,,,yes
13504646,21599376,8,valvama,,in,nägu,näos,": Laigulised mundrid seljas , valvas pilk näos .",,,,no,"The phrase 'näos' refers to a part of the body, which is not a geographical location, so it was classified as not location ('no').",yes,,,,,yes
13574774,21705880,5,lubama,,ill,Vilnius,Vilniusesse,"SK Polaris ei lubanud Vilniusesse Jaanus Liivakut , nii tugevdavad Kalevit Valmo Kriisa Nybitist ja esmakordselt Kristo Reinumäe Canon-Eesti noortemeeskonnast .",,location,LOC,yes,,yes,"The word 'Vilniusesse' specifies a destination, making it an adverbial of place.",,,,yes
3126437,5021032,3,põrkama,kokku,in,algus,alguses,Viimase ringi alguses põrkas Tobreluts raja lahknemiskohas sloveenlasega kokku .,,,,no,The word 'alguses' refers to a point in time (the beginning) and not a specific location.,no,"The word 'alguses' refers to the beginning of an event, specifying time, not place.",yes,no,no,no
6694675,10770662,20,tervitama,,in,Felix,Felixis,"Nagu vanasti , defitsiidi aegadel , kaunistati lette tühjuse varjamiseks selle tühisega , mis saada oli , nii tervitab Felixis ja Fabianis kohe uksest peale terve riiuliühik kunstipäraselt asetatud vestmikke .",,,PER,yes,,yes,,,,,yes
2891090,4635435,3,saama,,adit,Risbiter,Risbiteri,[ Saab Risbiteri mõõga kätte .,,,,no,"The phrase 'Risbiteri' was classified as not a location because it is the name of a sword, not a physical place.",no,"The word 'Risbiteri' specifies possession or association, not a location.",no,no,no,no
9787399,15703680,13,maanduma,,all,ema,emale,"Mõneski kultuuris tähendab öösel nähtud liblikas surma , või kui äsja sünnitanud emale maandub ööliblikas , siis sureb laps .",,,,no,"The phrase 'emale' was classified as not a location because it refers to a person (a mother), not a physical place.",no,"The word 'emale' refers to a person, not a location.",no,yes,no,yes
780916,1245424,11,ajama,,in,Tšetšeenia,Tšetšeenias,"Sõjaväevande ja ohvitseriau jalge alla tallanud Vene armee polkovnik ajas Tšetšeenias "" oma isiklikke asju "" , ärkas Venemaa armeejuhtkond eile .",,location,LOC,yes,,yes,,,,,yes
11673400,18685172,1,liikuma,,in,House,House'is,"House'is raha ei liigu , me teeme seda armastusest .",,,LOC,yes,,yes,,,,,yes
9344322,15008647,14,tervitama,,in,ekstaas,ekstaasis,"Tahtsin lihtsalt lõpetada ja mõned punktid saada , ” tunnistas sakslane , keda ekstaasis publik autasustamispoodiumil ovatsioonide ja raketipaukudega tervitas .",,,,no,"The phrase 'ekstaasis' was classified as not a location because it refers to an emotional state, not a physical place.",no,"The word 'ekstaasis' describes a state of emotion, not a place.",no,no,no,no
4692505,7540448,26,kavandama,,ill,siseasi,siseasjadesse,"USA riigipea George W. Bush aga kinnitas , et Makedoonia temaatika arutamine NATO tippkohtumisel ei tähenda veel seda , et allianss kavandaks sekkumist selle Balkani riigi siseasjadesse .",,,,no,"The phrase 'siseasjadesse' refers to internal matters or affairs rather than a physical location, so it was classified as not location ('no').",yes,,,,,yes
18375902,27858061,22,ütlema,,ill,eelnev,eelnevasse,Mind lihtsalt huvitas kuidas Sa vastaksid .. neile kahele küsimusele ja ka sellele kolmandale mille Teekäija esitas .. tõesti sekkumata üldse eelnevasse kus mida keegi ütles - tahtsin teada lihtsalt mida Sina arvad v ütled selle kohta !,,,,no,"The phrase 'eelnevasse' was classified as not a location because it refers to a prior context or situation, not a physical place.",no,"The word 'eelnevasse' refers to a previous subject or situation, not a location.",no,no,yes,yes
