sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_alive,is_time
13228328,21164291,13,lisanduma,,ad,kca,kcal,"Kui lubada endale ka 200grammine tops küpsise tiramisut , lisandub veel 536,2 kcal ja 26,4 g rasva .",,,,no,,no,no
8231589,13208224,9,arvestama,,ad,leidmine,leidmisel,EE teada arvestas erastamisagentuuri peadirektor  Väino Sarnet  nõustaja leidmisel esialgu pea 45 miljoni suuruse summaga .,,,,no,,no,no
7948195,12735232,13,lugema,,ad,puhkus,puhkusel,oh sa Mahtakene kas oli puhast särki sulle selga panna õde-perenaine on puhkusel luges enne sanitaaridele nende jao kätte kas surijaid on ka ette arvestatud muidu kui ööse kellegil õnnetus juhtub ja ommikul puhast särki küsib ütleb sanitaar ükspuhku ei ole ei ole vannipäev saad,,,,no,,no,yes
553550,874459,12,tundma,,el,eelisõigus,eelisõigusest,"Häbenesin seda kangesti , kuigi salamisi tundsin kergendust raamatu- ja vorstiostu eelisõigusest .",,,,no,,no,no
9442787,15162496,12,pälvima,,ad,viljelemine,viljelemisel,"Lavastaja Merle Karusoo pälvis preemia järjepideva loomingulise tegevuse eest dokumentaalse teatri viljelemisel , uurimisel ja arendamisel ja 1997. aasta lavastuste “ Kured läinud , kurjad ilmad ” ( Eesti Draamateater ) , “ Laste riskiretk ” ( VAT Teater ) ja “ Sügis 1944 ” ( Viljandi kultuurikolledzh ) eest .",,,,no,,no,no
1745125,2778238,1,pöörduma,,ad,peksmisõhtu,Peksmisõhtul,"Peksmisõhtul pöördus Ruuber kriminaalpolitseisse , eile käis ta kohtumeditsiinilises ekspertiisis .",,,,no,,no,yes
11394702,18259707,3,valmistama,,all,Bondarenko,Bondarenkole,"Lisarõõmu valmistas Bondarenkole tõsiasi , et punkt saadi tänavu esmakordselt looduslikul murul mängides .",,,PER,no,"The phrase 'Bondarenkole' refers to the recipient of the action (dative case) rather than indicating a place, so it is not an adverbial of place.",yes,no
127508,213568,11,lubama,,ad,Kalev,Kalevil,"See lõi teadagi lõunamaalaste mänguplaani põhjalikult sassi , mis lubas Kalevil otsustava vahe skoori sisse raiuda .",,alive,PER,no,,yes,no
1063467,1690574,4,mõistma,,all,Maarika,Maarikale,"Hea õpetaja tähendab Maarikale mõistvat inimest , sellist , nagu oli õpetaja Laur .",,,LOC,no,,yes,no
6659617,10715650,24,pöörduma,,ad,hääl,häälel,""" Mul on kavaleride jaoks Accessi andmebaas … "" * Kohvikusse siseneb ilmselgelt rase naine , istub raske ohkega lauda ja pöördub kaeblikul häälel ettekandja poole : "" Neiu , mul on arvatavasti 0,3e vaja … "" "" Kuidas-kuidas ? "" satub ettekandja ärevusse .",,,,no,,no,no
7597772,12192312,5,tüdinema,,el,päev,päevast,“ Ma olin tüdinenud päevast päeva osa võtmast igasugu juhatuste ja nõukogude koosolekutest Rootsis .,,,,no,,no,yes
14801153,23280006,21,toetama,,ad,rahapuudus,rahapuudusel,"Mullu maksti hulkuri eest 25 krooni , tänavu Pärnu kommunaalamet Terveksit , mis muu hulgas ka loomade magamapanemisega tegeleb , rahapuudusel enam ei toeta .",,state,,no,,no,no
2950005,4730673,6,hääletama,,el,uuskodanik,uuskodanikest,"Ometigi hääletab enamik Iisraeli vene-heebreakeelsetest uuskodanikest radikaalsete , ilmaliku orientatsiooniga parteide poolt - peapõhjuseks on nende nõukogude või postnõukogude kasvatus ja mentaliteet .",,,,no,,yes,no
2715728,4356407,13,tuginema,,ad,alandamine,alandamisel,"Üldine hinnalangus peaks Selverites Puusepa sõnul jääma kuue protsendi piiresse , hindade alandamisel tugines Tallinna Kaubamaja kontsern Eesti Konjunktuuriinstituudi koostatavale neljaliikmelise pere toidukorvile , mille kohaselt on seniste ja tulevaste hindade keskmine vahe 6,19 protsenti .",,,,no,,no,no
8974744,14429257,9,pooldama,,el,tudengikandidaat,tudengikandidaatidest,Pärast sisseastumiseksameid kuni aastaks armeeteenistusse minekut ei poolda tudengikandidaatidest peaaegu keegi .,,,,no,,yes,no
9453854,15180681,7,lugema,,el,juut,juutidest,"Juudi keelt lugesid oma emakeeleks 61% juutidest , ukraina keelt tunnistasid 40% ukrainlastest ja valgevene keelt 22,8% valgevenelastest .",,alive,,no,"The phrase 'juutidest' refers to a group of people ('of Jews') rather than a specific location, so it is not classified as adverbial of place.",yes,no
14442211,22870428,2,vastama,,all,andme,andmele,Igale andmele vastab 32-bitine sõna .,,,,no,,no,no
6398117,10284635,14,jääma,kõrvale,el,teadmine,teadmistest,Selle tagajärjel islam isoleeris end ja jäi sajanditeks kõrvale nii maailmas levivatest uutest teadmistest kui ka majanduslikust ning tehnoloogilisest arengust .,,state,,no,,no,no
6675804,10741057,5,külastama,,ad,rai,Rail,Teisipäeval külastasid Valgat projekti Rail Baltica Euroopa Komisjoni poolne koordinaator Pavel Telička ja Tšehhi investeerimisfirma OKD Doprava esindajad .,,alive,,no,,no,no
3815071,6145085,12,võtma,välja,ad,osaline,osalistel,"Euroopa Liidu tippkohtumine Amsterdamis võttis kolmapäeva hommikutundidel lõppedes võhma välja kõigil osalistel , Kok aga oli see mees , kes kõiki erimeelsusi ükshaaval 14 ja enama liidriga lahendada püüdis .",,,,no,,yes,no
141503,235978,3,helistama,,all,Meelis,Meelisele,"Mait helistas Meelisele ja tahtis kokku saada , aga Meelis oli siis Venemaal .",,,PER,no,,yes,no
7767524,12452835,13,nõudma,,ad,korraldus,korraldusel,"“ Tekkisid kolme tööpäeva ja tariifide vahed , mille tasumist nõudsime pearaamatupidaja korraldusel lastevanematelt .",,,,no,,no,no
1782392,2838432,22,austama,,ad,arendamine,arendamisel,Riigikontroll austab oma medaliga postuumselt viimast Teise maailmasõja eelset Eesti riigikontrolöri Karl Johannes Soonpääd tema tegevuse eest Eesti tollase riikliku kontrollisüsteemi arendamisel .,,,,no,,no,no
916744,1460298,17,arvestama,,ad,omistamine,omistamisel,"Pangandussektorit ja välistasakaalu ehk jooksevkonto puudujääki puudutavad raskused , millega Fitch arvestas 1997.aastal esimese reitingu omistamisel , on praeguseks möödas .",,,,no,"The phrase 'omistamisel' refers to the time or occasion when the rating was assigned, not a location, so it is not an adverbial of place.",no,no
508489,800245,18,muutuma,,all,kalastaja,kalastajatele,"Alates esmaspäevast keelas Pärnu maavanem Toomas Kivimägi jäälemineku ka Pärnu lahel , sest nõrk jää on muutunud kalastajatele eluohtlikuks .",,alive,,no,,yes,no
6340513,10188297,3,soovitama,,ad,Schulz,Schulzil,Berlusconi soovitas Schulzil vastuseks minna mängima ühes Itaalia filmis natsliku koonduslaagri valvurit .,,,PER,no,,yes,no
6645362,10692993,19,karjuma,,all,turvaja,turvajale,""" Siin kamandan mina , teie istuge aga autosse , "" karjus heledapäine turvaülem vene keeles patriarhi Vene-poolsele turvajale , kes ilmselt ei soovinud nii tulise rutuga lennuväljalt lahkuda , kui kohalik turvaplaan ette nägi .",,alive,,no,,yes,no
5003671,8034090,19,lõppema,,ad,initsiatiiv,initsiatiivil,""" Keskmine hüvitise suurus , kui töölepingu lõpetab tööandja , on 7,5 kuupalka , kui tööleping lõppeb töötaja initsiatiivil , on keskmine hüvitise suurus 4,7 kuupalka , "" märkis Orula .",,,,no,,no,no
113589,190849,25,täituma,,ad,päev,päevadel,"Uusasundused , mille ehitus Peresi ajal peatati täielikult - isegi valminud majadesse ei lubatud uusi elanikke sisse kolida - , täitusid Netanyahu valitsemisaja esimestel päevadel .",,,,no,,no,yes
13140500,21026293,12,käskima,,ad,partei,parteil,"Ja varem , esmaspäeval , käskis parlamendi juurde loodud sõltumatu parlamendieetikakomisjon parteil raha miljonärile tagasi maksta .",,alive,,no,,no,no
7032455,11296676,5,lendama,,ad,ide,idel,"British Airwaysi Concorde'idel on veerand sajandi jooksul lennanud 2,5 miljonit inimest .",,,,no,"The phrase 'idel' does not specify a location but is part of a compound noun, so it is not an adverbial of place.",no,no
523282,824591,7,tulenema,,el,ettepanek,ettepanekust,"Vajadus seaduste täiendamise järele tulenes õiguskantsleri ettepanekust , millega tehti ettepanek parkimisseaduse ja haldusõiguserikkumiste seadustiku põhiseadusega kooskõlla viimiseks .",,,,no,,no,no
136287,227781,6,algama,,ad,aastapäev,aastapäeval,"Hämmastaval kombel algas just küüditamise aastapäeval Euroopas , mõne tuhande kilomeetri kaugusel veelgi vägevam küüditamine .",,time,,no,,no,yes
17758394,27113813,4,saama,üle,el,pask,pasast,Saage sellest poliitilisest pasast üle ja hakake ka elu väärtustele mõtlema .,,,,no,,no,no
10519936,16865184,4,kaitsma,,ad,teisipäev,teisipäeval,Jaak Allik kaitseski teisipäeval Mart Opmanni ja Tiiu Aro käitumist .,,time,,no,,no,yes
2697904,4327766,16,lõpma,,ad,kandmine,kandmisel,Õigus saada lapsehoiutoetust tekib vanemahüvitise seaduse alusel makstava hüvitise lõppemisel ja see õigus lõpeb lapse kandmisel koolieelse lasteasutuse või kooli nimekirja .,,,,no,,no,no
15182446,23724200,7,kasutama,,el,lõige,lõigetest,"Kui üks lepinguosalistest kasutab käesoleva artikli lõigetest 2-5 tulenevat õigust nõuda materjali või seadmete tagastamist , kompenseerib ta enne nende äraviimist teise lepinguosalise territooriumilt või kontrolli alt teisele lepinguosalisele viivitamata nende õiglase turuväärtuse ja sellise äraviimisega tekitatud kulud .",,,,no,,no,no
8648447,13875590,8,kurtma,,ad,mina,meil,"See peaks koolihariduse juurde kuuluma , ent meil kurdab staazhikas kriitikki et  paradoksideklassik Becketti paradoksidetihedaid mõttekäike on öisel ajal raske jälgida ja kõik ei pruugi kohale jõuda  , nagu ühest vaadeldava ööteatri järelkajast lugeda oli .",,,,no,,yes,no
695007,1105636,6,lõpetama,,el,hetk,hetkest,""" Eesti Televisioon lõpetab sellest hetkest reklaami näitamise , kui ETV arvele on laekunud TV1 poolt võlgu olev summa , "" kirjutas Lepp erakanalite tegevjuhtidele saadetud e-mailis , mis on ka Eesti Päevalehe käsutuses .",,time,,no,,no,yes
9685826,15543549,23,lugema,,all,kastraat,kastraadile,"Nüüd juba üle aasta tagasi , kui film kinodes linastus , kirjutas üks eesti kultuuriprominent midagi sellist , et no mis see kastraadile ikka loeb , see on ju ainult tükike liha .",,alive,,no,,yes,no
421670,657279,7,võtma,ära,abl,mees,mehelt,Maardu politseinikud võtsid esmaspäeval Maardus kahelt mehelt ära neli kotikest arvatavasti narkootilist ainet .,,,,no,,yes,no
15237353,23796898,21,püüdma,,all,seletamine,seletamisele,"Ise ma esitaks ühe mõttekäigu , mis käib ka kuidagi filosoofiliste tuulte alla , aga ei püüa just kõrgemate elusaladuste seletamisele .",,,,no,,no,no
14048138,22366678,6,süüdistama,,ad,valitsusaeg,valitsusajal,USA süüdistas Nijazovit tema autokraatlikul valitsusajal inimõiguste rikkumistes .,,time,,no,,no,yes
355575,549627,12,mäletama,,el,mees,mehest,Pool sajandit tagasi pool aastat abielus olnud proua ei mäleta enam mehest suurt midagi .,,,,no,,yes,no
378462,587681,19,kukkuma,läbi,ad,rahapuudus,rahapuudusel,"Eesti telekanal TV 1 on sunnitud mõni päev enne aastavahetust muutma vana-aastaõhtu programmi , sest rahvusvaheline hiigelprojekt kukkus rahapuudusel läbi .",,state,,no,,no,no
9159616,14725035,4,kippuma,,ad,tantsija,tantsijatel,"“ Ka kipuvad tantsijatel aeg-ajalt jalad sõlme minema , ” märkis Jansu .",,alive,,no,,yes,no
4278826,6884452,2,vaagima,,ad,tegemine,tegemisel,"Valiku tegemisel vaagis nõukogu esimehe sõnul nii äriplaani kui ka pakkujate tausta , samuti potentsiaali toorme ja investeeringute hankimisel .",,,,no,,no,no
6805532,10949294,5,tulema,välja,ad,avaetapp,avaetapil,Tipptiimidest tuleb juba MM-i avaetapil Austraalias 9. märtsil päris uue sõidukiga välja vaid BMW-Williams .,,,,no,,no,yes
2770595,4443043,25,jääma,puudu,ad,eestlane,eestlastel,"Kultuuriteoreetik Anzori Barkalaja usub , et praegune seosetu rahvussümbolitega vehkimine näitab vaid seda , et üleilmastumise ja isikliku kasu tagaajamise ajal jääb üha enamatel eestlastel millestki olulisest puudu .",,alive,,no,,yes,no
5015406,8050331,11,asendama,,ad,heakskiit,heakskiidul,"Ning kuigi Ferguson veerand tundi enne lõpuvilet väravat nõudva publiku heakskiidul Michael Stewarti kogenud Ryan Giggsiga asendas , hoidis Poom seljataguse puhtana .",,,,no,,no,no
14678401,23140123,2,jääma,ära,ad,oktoober,oktoobril,16. oktoobril jääb sotsiaalantropoloogia loeng ära ; selle asemel on 23. oktoobril lisaks loengule seminar .,,,,no,It was not classified as adverbial of place ('no') because 'oktoobril' refers to a time frame rather than a location.,no,yes
2871011,4603677,10,kaduma,,ad,euronädal,euronädalal,Keskpanga hinnangul kaob enamik vanast rahast käibelt juba esimesel euronädalal .,,,,no,,no,yes
5490762,8803236,17,kolima,,ad,eluaasta,eluaastal,"Erinevalt paljudest usaldasid tema ehitusalal töötanud ema-isa võsukest lausa nii palju , et kolisid poisi neljateistkümnendal eluaastal Tallinnast Raplasse , jättes Nõmme maja Andole .",,time,,no,,no,yes
623207,988799,9,alustama,,ad,juhtimine,juhtimisel,21. oktoobril alustavad Hiina kommunistlikud väed Mao Zedongi juhtimisel,,,,no,,no,no
271988,429473,13,seonduma,,ad,alune,alusel,"Eesti tööturu näitajate andmeil tehtud analüüside põhjal esineb küll seos , mille alusel madalam töötuse määr seondub kõrgema mobiilsuse tõenäosusega tööturu erinevate seisundite vahel .",,,,no,,no,no
3673328,5915228,22,uskuma,,el,kohtutee,kohtuteest,"Kollektiivantennide hooldajaks valitud ning seega tulevikus ka kaabelvõrgu rajamisel eeliseid omav AS STV Kaabeltelevisiooni asepresident Raivo Mihkelsoo ei usu konkurendi algatatud kohtuteest hoolimata , et Lasnamäel võib tekkida kaabeltelevisioonisõda= "" Sõjas pole võitjaid vaid ainult kaotajad , "" leidis Mihkelsoo .",,event,,no,,no,no
7184774,11557020,2,johtuma,,el,jal,jalist,"Mater jalist ja tehnikast johtuvad probleemid on neis töödes taandunud ole muslikkust väljendava idee ees , vaimukuse ja vai mu rikkuse ees .",,,,no,,no,no
12370393,19805127,11,lülituma,,ad,palve,palvel,Sonia Gandhi ( sündinud Triestis Itaalias ) lülitus poliitikasse Kongressipartei palvel .,,,,no,,no,no
13778761,21968545,1,lendama,,ad,õhkutõus,Õhkutõusul,Õhkutõusul ja maandumisel lendavad suured reisilennukid suhteliselt aeglaselt ning võivad seetõttu osutuda terroristidele kergeks saagiks .,,,,no,,no,yes
4703945,7558048,4,ilmnema,,ad,lugemine,lugemisel,Nende kahe romaani lugemisel ilmnesid soolised erinevused .,,,,no,Not classified as an adverbial of place ('no') because 'lugemisel' refers to the activity of reading and not to a specific location.,no,yes
3547050,5711659,25,tegema,,ad,MM-tasand,MM-tasandil,""" Kui vähegi realistlikult asjadele vaadata , siis enam ettepoole ei anna trügida , "" hindas Kaurit , kelle sõnul teeb ta motokrossiga vähemalt MM-tasandil lõpparve .",,,,no,,no,no
14152577,22496666,3,pakkuma,,all,Harry,Harryle,"Peterburi kultuuriväärtused Harryle huvi ei pakkunud : « Kui keegi üldse vaatamisväärsuste pärast ekskursioonile läheb , on see õpetaja .",,,PER,no,,yes,no
6274458,10080296,5,raatsima,,all,keegi,kellelegi,"Vähe sellest , et kellelegi teisele ei raatsi kulutada .",,,,no,,yes,no
11521346,18451523,5,kõlama,,all,kultuuritöötaja,kultuuritöötajatele,"Banaalselt kõlab näiteks Tartu kultuuritöötajatele , et "" professionaalne tantsuteater on Eesti provintside jaoks midagi väljakannatamatult uut "" .",,alive,,no,,yes,no
15612047,24363779,9,mainima,,ad,mina,mul,"Midagi sellist , mida sa mainisid ei olnud mul küll mõttes ja arvan , et ka Juss ei mõelnud seda nii .",,,,no,,yes,no
5939167,9534052,10,jääma,puudu,ad,Stanišev,Staniševil,"Kui aga parlament pidi kinnitama valitsuse koosseisu , jäi Staniševil üks hääl puudu .",,,LOC,no,,yes,no
2986801,4790884,17,arvestama,,ad,vanaduspäev,vanaduspäevil,"Kuidas see meelekohalt hall ja elukogenud mees seda täisväärtuslikku elu elada saab , kui riik talle vanaduspäevil vaid sandikopikaid arvestab .",,,,no,,no,yes
2246409,3594009,27,kippuma,,ad,allakäigutee,allakäiguteel,"Just aktsiahindade hoogsa langemise ajal astus USA president Bill Clinton üleeile lennukisse ning võttis suuna Moskvasse , kus rahaturu kokkuvarisemine on juba üle elatud , samaväärsel allakäiguteel kipub olema kogu riik .",,,,no,,no,no
17908793,27298115,5,vaatama,vastu,all,valitsus,valitsusele,"Kuna samalaadne pilt vaatas valitsusele vastu mitmel pool eelarves , viitab see tungivale vajadusele uuendada otsustavalt meie eelarveseadust , muuta eelarve koostamine avatumaks , läbipaistvamaks ja ausamaks .",,,,no,,yes,no
11171935,17895787,7,tasuma,,ad,eluseltsiline,eluseltsilisel,"Selliseks kriitiliseks ajaks , mil tema eluseltsilisel tasuks eriti valvas olla , peavad seksuoloogid aastaid 35-36.",,alive,,no,,yes,no
17035329,26181622,33,määrama,,all,ajukasvaja,ajukasvajale,"Maailma ajakirjandus pööras 236sentimeetrisele ja 180 kilogrammi kaaluvale Yao Defenile esimest korda suuremat tähelepanu tänavu juunis , kui naine läks Shanghai haiglasse , kus arstid määrasid esialgse ravi tema erakordset kasvu põhjustavale ajukasvajale .",,state,,no,"The phrase 'ajukasvajale' refers to the target of the treatment, not a location, so it is not an adverbial of place.",no,no
5813427,9327088,9,pääsema,,ad,Saharov,Saharovil,"89. minutil on supervõimalus karistusalas ootamatult löögile pääsenud Saharovil , kes palli tugeva löögiga tribüünile saadab .",,,LOC,no,,yes,no
463246,726460,21,vastama,,ad,teade,teatel,"Peavarjuta jäänud inimeste kurtmise peale , et neil pole võimalik end pesta ega tualetis käia , vastas minister ajalehe Hürriyet teatel : "" Peske ennast meres .",,,,no,,no,no
4264829,6862260,3,oskama,,all,kvaliteet,kvaliteedile,Sealse ravi kvaliteedile ei osanud Levin hinnangut anda .,,,,no,,no,no
2686844,4310060,18,pruukima,,all,see,sellele,"Tulevane ostja peab aga arvestama seda , et laev pole siiski nii kindel elukoht kui maja ja sellele ei pruugi saada pandilaenu .",,,,no,,no,no
6200975,9958141,1,püüdma,,all,sisu,Sisule,"Sisule on autorid püüdnud leida adekvaatset vormi , mis on rahuldanud nii omanikke kui ka külastajaid .",,,,no,,no,no
13015847,20824787,2,looma,välja,ad,puudumine,puudumisel,"Tema puudumisel lõi selgelt välja , kui palju teised tema pealt elavad .",,,,no,"The phrase 'puudumisel' signifies a condition or circumstance rather than a location, so it is not an adverbial of place.",no,yes
12854830,20562095,3,meenuma,,ad,tulek,tulekul,EÜS-i jutuks tulekul meenub mulle ikka 1997 . aastal Postimehes toimunu .,,event,,no,,no,no
6571477,10573629,9,väsima,,el,jõulumöll,jõulumöllust,""" Tahame kutsuda inimesi , kes on väsinud jõulumöllust või kes tahaksid midagi teha , kui on vaba päev ja kuhugi loodusesse pole võimalik minna , "" rääkis Siibak .",,,,no,,no,no
17287136,26533401,23,näitama,,ad,hukkamine,hukkamisel,"Seal on mendid mingid halvad vennad kes tibi mingi 40,50 pussitavad ja siis ellu ärganud tüüp otsib mingit armiga venda kes tema hukkamisel talle armi näitas ( ta oli koguaeg arvanud millegipärast , et mingi armiga vend oli tapja or something ) .",,,,no,,no,no
12802410,20479822,17,jätkama,,el,enesetapp,enesetapust,"Kuigi veel 16. aprillil kinnitasid sponsorid , et meeskond jätkab senise tegevjuhi Andres Eesmaa detsembris toimunud enesetapust hoolimata senises koosluses , kerkisid nädal tagasi klubi kohale tumedad pilved , kui Tallinna Tehnikaülikool teatas loobumisest .",,,,no,,no,no
845,1540,10,abielluma,,el,ise,endast,"Kuuldes , et läheb peagi mehest lahku , abiellub endast palju noorema mehega ja sünnitab veel poja , ei langenudki ta minestusse .",,,,no,,yes,no
5376112,8622660,36,selgitama,,ad,rajamine,rajamisel,""" Esmaseks vajaduseks on baaside loomine üle Eesti , milleks loodame abi Põhjamaade ehitus- ja kommunikatsioonifirmadelt , kes ehitavad hallid valmis ning omavalitsused maksavad neid siis liisinguga näiteks järgmised 15 aastat , "" selgitab tehisväljakute rajamisel ametis olev Lambin .",,,,no,,no,no
14086989,22429973,1,arvama,,ad,kaalumine,Kaalumisel,"Kaalumisel arvab ta konkurente üllatavat 124 kiloga , pärast mehist õhtusööki on isegi 127 ette tulnud .",,,,no,,no,yes
5386441,8637045,4,vastama,,ad,sönu,sönul,"Abilinnapea Liisa Pakosta sönul vastas rahataotlus igati tingimusele , et linn annab reservfondist raha spordiüritustele , millel on suur publikumenu .",,,,no,,no,no
448817,702560,10,lükkama,tagasi,el,kommunist,kommunistist,"Ukrainlased lükkasid piisavalt suure ülekaaluga püha-päevases teises valimisvoorus tagasi kommunistist riigipeaks pürgija , eelistades viimaste aastate majandusraskustele vaatamata anda veel ühe võimaluse senisele presidendile .",,alive,,no,,yes,no
9464443,15194146,15,tulenema,,ad,lahendamine,lahendamisel,Energiasüsteemi reformimisest tekkivad ohud sotsiaalsele tasakaalule ja turvalisusele tulenevad Eesti poole rabedusest selliste probleemide lahendamisel .,,,,no,,no,no
3104112,4984370,14,ulatama,,all,apteeker,apteekrile,"Kui selgus selles asjas "" meie õuele "" saabus ja ma osalise kergendusega apteekrile raha ulatasin , ei andnud ta koos ravimiga selle süstimist võimalikuks tegevaid nõelu .",,alive,,no,,yes,no
