head_id,form,lemma,verb,verb_compound,morph_case,sentence_id,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,classification2,explanation2
18685172,House'is,House,liikuma,,in,11673400,"House'is raha ei liigu , me teeme seda armastusest .",,,LOC,yes,"The term 'House'is' was classified as 'yes' because it refers to a specific named place, 'House'.",yes,The phrase 'House'is' is adverbial of place because it specifies the location where the action occurs (in the House).
10770662,Felixis,Felix,tervitama,,in,6694675,"Nagu vanasti , defitsiidi aegadel , kaunistati lette tühjuse varjamiseks selle tühisega , mis saada oli , nii tervitab Felixis ja Fabianis kohe uksest peale terve riiuliühik kunstipäraselt asetatud vestmikke .",,,PER,yes,,yes,
21599376,näos,nägu,valvama,,in,13504646,": Laigulised mundrid seljas , valvas pilk näos .",,,,no,"The phrase 'näos' refers to a facial expression, not a specific location.",yes,
481759,linnas,linn,hulkuma,,in,307142,"Eriti silmatorkavalt peegeldasid meie unikaalsust Tallinnas välismaised turistid , kes hulkusid linnas juba siis , kui meie inimesed alles teist külge keerasid .",,,,yes,,yes,
25172405,koosseisust,koosseis,minema,ära,el,16252383,"Kolm näidet , mis ma oskan öelda nende kohta , kes on ise lahkunud ( peale selle on lahkujaid ka seoses struktuuri ümberkorraldamisega , ministeeriumist on ära viidud näiteks haldusbüroo ja tehtud muid niisuguseid asju , mistõttu ministeeriumi koosseisust ära läinud isikuid on rohkem ) : näiteks Tallinna linn on saanud Haridusministeeriumist personalijuhi , kes oli töötanud ministeeriumis 13 aastat ja tahtis vaheldust ; üks daam läheb meil järgmisel nädalal Islandile mehele ; üks daam on läinud arvutiõpetajaks Rocca al Mare kooli .",,,,no,The phrase 'koosseisust' pertains to organizational structure and not a geographic location.,no,"The phrase 'koosseisust' is not adverbial of place because it refers to membership or composition, rather than specifying a location."
1245424,Tšetšeenias,Tšetšeenia,ajama,,in,780916,"Sõjaväevande ja ohvitseriau jalge alla tallanud Vene armee polkovnik ajas Tšetšeenias "" oma isiklikke asju "" , ärkas Venemaa armeejuhtkond eile .",,location,LOC,yes,,yes,
9704021,lennukitesse,lennuk,müüma,,ill,6046200,"Turismifirmad on müünud kalli raha eest pileteid lennukitesse , mis tõuseksid õhku samaks ajaks kui maa suurim tehiskaaslane maale tagasi jõuab .",,,,yes,,yes,
21093246,Bosnias,Bosnia,möllama,,in,13184578,Alles paar aastat tagasi möllas Euroopa lõunaosas Bosnias sõda ning vaenust laastatud riigis ennustati mitme talve eel tuhandete inimeste suremist nälja ja külma kätte .,,location,LOC,yes,,yes,
16746695,kaldvoodis,kaldvoodi,lamama,,in,10442646,"Oma tulevaste laste tervise nimel lamas naine kaldvoodis , kus pea jäi allapoole ning jalad ja alakeha üles .",,,,yes,,yes,
7315870,Kosovos,Kosovo,kogunema,,in,4551295,""" Täpselt nagu juhtus meiga pärast 1996. aastat Tshetsheenias , koguneb Kosovos ekstremistlik potentsiaal , mis siis plahvatab ka Kosovo piiride taha . """,,location,LOC,yes,,yes,
2728007,Sadamast,sadam,astuma,läbi,el,1713888,"Või astume aasta algul Tallinna Sadamast läbi , et küsida kõiki rendilepinguid .",,location,ORG,yes,,yes,The phrase 'Sadamast' was classified as 'yes' because it indicates a location ('Tallinna Sadamast') and answers the question 'where'.
12526485,politseiametisse,politseiamet,jääma,maha,ill,7815787,Mööbli Toompeale viimisel jäid need politseiametisse maha .,,location,,yes,,yes,
21872302,läände,lääs,reisima,,adit,13688743,"Kui SDV lagunes , reisis Schalck-Golodkowski läände ja pakkus oma teeneid endistele vaenlastele .",,location,,yes,,yes,
13055747,kliinikus,kliinik,magama,,in,8134478,"Uuritav magab öösel kõrva- kliinikus , tema keha ja pea külge ühendatakse andurid ning aparaat registreerib kaheksa tunni jooksul aju elektrilist aktiivsust , silmalihaste aktiivsust , lihastoonust , hingamissagedust ja südame tegevust .",,location,,yes,"The word 'kliinikus' explicitly refers to a physical place, a clinic, which makes it a location.",yes,
22129435,BBCs,BBC,pidama,,in,13877855,"Esimesel jõulupühal , kui kuninganna Elizabeth II peab BBCs oma traditsioonilist kõnet , astub Victoria Beckham teisel telekanalil üles nn alternatiivse kuningannakõnega .",,location,ORG,no,"The word 'BBCs' was classified as not a location ('no') because it refers to a broadcasting corporation, not a physical place.",yes,
9219777,Detroidist,Detroit,lahkuma,,el,5748032,""" Viis aastat tagasi osanuksin teda leida , siis lahkus ta kodulinnast Detroidist , "" pakub Riho Soonik .",,location,LOC,yes,,yes,
13497665,Pariisis,Pariis,tutvustama,,in,8421228,Peugeot'd ja Citroeni tootev PSA grupp tutvustab Pariisis Peugeot' 406 uusi modifikatsioone ja Citroeni väikeveoki Berlingo pereversiooni .,,location,LOC,yes,,yes,
24205992,hooldeprojekti,hooldeprojekt,panema,,adit,15500381,""" Vajaduse korral panevad Veerpalu ja loodetavasti õed Šmigunid isiklikku raha hooldeprojekti , sest kehvade suuskadega kaugele ei sõida .",,,,no,"The phrase 'hooldeprojekti' refers to a project or initiative, not a geographic location, so it is not classified as a location.",no,"The phrase 'hooldeprojekti' was classified as 'no' because it does not indicate a location or answer the question 'where', but rather refers to a project related to care."
22128897,laineharjalt,lainehari,kukkuma,alla,abl,13877523,"Kui laev laineharjalt alla kukub , läbib rivi jõnksatus .",,,,no,"The phrase 'laineharjalt' refers to a part of a wave and not a geographical location, so it is classified as 'no'.",yes,
11851024,aulas,aula,andma,üle,in,7383647,"Vähemalt mõelge sellele võimalusele , ” oli pakkunud Klaas ja sellest hetkest peale tundsin ma ennast , ilma et oleksin lillegi liigutanud , tema järglasena ajakirjandusosakonna juhataja kohal , kujutasin ette akadeemilist tseremooniat , kus auväärne professor Klaas annab ülikooli aulas mulle üle oma veelgi auväärsema ameti .",,location,,yes,,yes,
24923713,eestisse,eestis,tooma,,adit,16032430,"Kas keegi teab mõnda netipoodi mis tooks eestisse kaupu või teab mõnda poodi , mis müüb iPode odavamalt , kui minu otsitud hinnad ?",,,,yes,,yes,"The phrase 'eestisse' specifies a direction toward a location (Estonia), which qualifies it as adverbial of place."
14872212,Ecuadoris,Ecuador,juhtuma,,in,9255384,Laupäeval Ecuadoris juhtunud lennu- ja bussiõnnetuses hukkus kokku üle saja inimese .,,location,LOC,yes,,yes,
27858061,eelnevasse,eelnev,ütlema,,ill,18375902,Mind lihtsalt huvitas kuidas Sa vastaksid .. neile kahele küsimusele ja ka sellele kolmandale mille Teekäija esitas .. tõesti sekkumata üldse eelnevasse kus mida keegi ütles - tahtsin teada lihtsalt mida Sina arvad v ütled selle kohta !,,,,no,"The word 'eelnevasse' refers to a preceding context or matter, not a physical or geographical location.",no,"The phrase 'eelnevasse' refers to something previously mentioned or an earlier situation, not indicating a specific place."
20524470,Pedagoogikaülikoolist,pedagoogikaülikool,hankima,,el,12830747,"Rahandusministri nõunik Aivo Vaske hankis Pedagoogikaülikoolist üliõpilaspileti , olemata ise selle kooliga seotud .",,location,ORG,yes,,yes,
5131106,Haapsalus,Haapsalu,kogunema,,in,3194869,Pärast tänast mängu Haapsalus Jaroslavli Neftjannikuga kogunevad pallurid uuesti 13. septembril .,,location,LOC,yes,"The word 'Haapsalus' refers to the city of Haapsalu, which is a specific geographical location.",yes,
3857917,toimikusse,toimik,jääma,alles,ill,2406475,"Kohus saatis kriminaalasja täiendavale eeluurimisele , mille järel jäi toimikusse alles vaid neli episoodi ajast mil Aleksandr Belokon viibis juba Venemaal redus ning Sergei sõlmis 1995. aasta 31. augustil ja 4. septembril vahetult enne põgenemist USA-sse üksi laenulepingud nelja firmaga .",,,,no,"The phrase 'toimikusse' refers to a case file, which is an object and not a physical location, so it is not classified as a location.",yes,
12997190,langusesse,langus,pöörama,,ill,8099731,"Pigem on see madal või pöörab sootuks langusesse . """,,,,no,"The word 'langusesse' refers to a state or condition (decline) rather than a physical location, so it is classified as 'no'.",no,The phrase 'langusesse' describes a state or condition (decline) rather than a physical location or place.
16137721,lisarahast,lisaraha,jõudma,tagasi,el,10060758,"200 miljonit ettevõtete kätte jäävast lisarahast jõuab riigile tagasi üksikisiku tulumaksuna , käibemaksuna ja aktsiisidena .",,,,no,"The phrase 'lisarahast' refers to additional funding and does not denote a location, hence classified as 'no'.",no,"The phrase 'lisarahast' refers to additional funding or resources, not specifying a place."
1670252,parkimisplatsile,parkimisplats,parkima,,all,1050198,Eile hommikul kella 10 paiku parkis Kihelkonna valla elanik Eino Kuressaares kaupluse Tehnika Äri parkimisplatsile oma Moskvitshi ning läks kauplusest ehitusmaterjali ostma .,,location,,yes,,yes,
22083696,McLarenisse,McLareni,ootama,,ill,13849454,« Tegemist on suurepärase võimalusega ning ma ootan kannatamatusega McLarenisse istumist .,,,ORG,yes,,yes,
917184,Suurbritannias,Suurbritannia,omama,,in,579087,Näiteks Suurbritannias omab ISO sertifikaati iga seitsmes ettevõte .,,location,LOC,yes,,yes,"The phrase 'Suurbritannias' specifies the location where the action takes place, qualifying it as an adverbial of place."
1267274,Kaubanduskeskuses,kaubanduskeskus,omama,,in,794442,"25 protsenti aktsiatest jääb Ühendatud Kapitali kätte , kes omab enamusosalust ka Rocca al Mare Kaubanduskeskuses .",,location,ORG,yes,,yes,"The phrase 'Kaubanduskeskuses' indicates the location related to the ownership, making it an adverbial of place."
20222827,Jugoslaavias,Jugoslaavia,möllama,,in,12638210,"Tema ajal ( aastail 1991-1995 ) möllas Jugoslaavias kodusõda , endine föderaalriik lagunes väiksemateks osadeks .",,location,LOC,yes,,yes,
8388685,linnaosas,linnaosa,sõitma,ringi,in,5229308,"12. mail sõidavad linnaosas ringi autod , mis veavad ära tänavatele tõstetud suuregabariidilist prügi .",,location,,yes,,yes,
4827121,metallkarpi,metallkarp,peitma,,adit,3009334,Sel päeval peitis nooruk metallkarpi kaks meeste mütsi ja paari Hugo Bossi teksapükse ning üritas kauba eest maksmata poest lahkuda .,,,,yes,,yes,
530202,Greifswaldi,Greifswald,jõudma,,adit,343019,"Kui ta Greifswaldi jõudis , hakkas ta mõtlema : “ Midagi on autoga valesti .",,,ORG,yes,,yes,
14376836,võistluspaikadesse,võistluspaik,pidama,,ill,8944081,Helsingi nõrkuseks on ROKi vaheraport pidanud liiga pikka vahemaad teistesse võistluspaikadesse .,,location,,yes,"The phrase 'võistluspaikadesse' refers to competition venues, which are specific physical locations.",yes,
13339438,lauludesse,laul,lubama,,ill,8322972,"Ja õigusega - rock lubas välismaailma oma lauludesse , vägivalla , ebakõlad , ühiskondliku kaose .",,,,no,"The phrase 'lauludesse' refers to 'songs' and does not indicate a location, so it was classified as not a location ('no').",yes,
704203,Harkust,Harku,naasma,,el,449816,Koloonias hakkas Maria põllealune aga paisuma ja Harkust naasis ta juba lapsega .,,location,LOC,yes,,yes,
14910548,vallamajadesse,vallamaja,saama,sisse,ill,9280583,"Et telefonipostide saamist kergendatakse , tuleb ka vallavalitsustel ja nõukogudel kõik võimalikud abinõud selleks ära kasutada , et telefon käesoleva aasta jooksul vallamajadesse sisse saaks .",,location,,yes,,yes,
6670996,siseruumidesse,siseruum,lubama,,ill,4144323,"Koeraomanikud peavad restorani minnes oma koera koju või ukse taha jätma , sest enamik Eesti söögikohtadest neljajalgseid sõpru kuigi meelsasti siseruumidesse ei luba .",,location,,yes,,yes,"The phrase 'siseruumidesse' indicates a physical location (indoors), so it is classified as an adverbial of place."
22813726,lahingutesse,lahing,järgnema,,ill,14404862,"Need järgnevad talle lahingutesse , mis ta söakalt välja kuulutab , kuid mille ettekäänded on väärad .",,event,,no,"The word 'lahingutesse' refers to battles or conflicts and not a specific geographic location, so it is not classified as a location.",yes,
316201,kihil,kiht,paiknema,,ad,190807,"Peale nimetatud elementide võivad dokumenti kuuluda  kujutised  , mis paiknevad teisel loogilisel kihil kui dokumendi tekst .",,,,?,?,yes,
4219377,alevikku,alevik,panema,,adit,2629662,"Pisike , tihedalt kortermaju täis tipitud 700 elanikuga Ramsi alevik Mulgimaal on kurja kuulsusega , kirjutab  Täpselt neli aastat tagasi panid viis kohalikku koolipoissi otse keset alevikku toime nii jõhkra kuritöö , et veel praegugi on Viljandimaal vähe inimesi , kes "" seda Ramsi lugu "" ei mäleta .",,location,,yes,,yes,
20215816,kraesse,krae,toimuma,,ill,12633679,Raudteelaste kraesse toimunud õnnetusi Rentiku sõnul siiski veeretada ei saa .,,,,no,"The phrase 'kraesse' does not indicate a location; it metaphorically implies blame, so it was classified as 'no'.",no,"The phrase 'kraesse' does not indicate a location but rather has a figurative meaning related to blame, so it is not classified as an adverbial of place."
2131556,Belgias,Belgia,sündima,,in,1340445,"Lugtmeijer on sündinud Belgias , kuid elanud oma USA kontsernis töötanud isa tõttu pikemalt Itaalias ja Belgias .",,location,LOC,yes,,yes,
16179059,ALMAVÜs,ALMAVÜ,tegelema,,in,10085162,Tulevane piirivalvelendur Anneli Kajamaa ( 29 ) on tegelenud ALMAVÜs purilennundusega ja langevarjuga hüpanud .,,,ORG,no,"The phrase 'ALMAVÜs' was classified as 'no' because it refers to an organization, not a physical location.",yes,
6215463,Kiievisse,Kiiev,väljuma,,ill,3859057,"Kui seni väljus lennuk Kiievisse kell 14.05 , siis edaspidi väljub see Tallinnast kell 8.45. ülejäänud väljumisaegades suvine lennuplaan muudatusi kaasa ei too või jäävad need 5 ja 15 minuti vahele , teatas Estonian Air .",,location,LOC,yes,,yes,
13339804,esikust,esik,võtma,kaasa,el,8323187,"Ühed koeravaatajad võtsid lahkudes esikust kaasa , mis seal ripakil oli .",,,,yes,"The word 'esikust' (from the hallway) refers to a specific physical location within a building, thus classified as a location.",yes,
15703680,emale,ema,maanduma,,all,9787399,"Mõneski kultuuris tähendab öösel nähtud liblikas surma , või kui äsja sünnitanud emale maandub ööliblikas , siis sureb laps .",,,,no,"The phrase 'emale' refers to 'to the mother' and is related to a person, not a location, so it was classified as 'no'.",no,"The phrase 'emale' refers to a person and not a physical location, so it is not classified as an adverbial of place."
4145287,Kadriorus,Kadriorg,andma,üle,in,2582804,Neljapäeval andis Kadriorus president Arnold Rüütlile üle volikirja Saksamaa erakorraline ja täievoliline suursaadik Eestis Jürgen Dröge .,,,ORG,yes,,yes,The phrase 'Kadriorus' is classified as adverbial of place because it indicates the specific location where the action of handing over the credentials happened.
10240246,lauta,laut,ronima,,adit,6372122,""" Politsei küsis , miks ta lauta ronis ?",,location,,yes,,yes,The phrase 'lauta' is classified as adverbial of place because it specifies the location where the person climbed into.
3115844,Cannes'is,Cannes,jagama,,in,1954592,""" Inglite unistuste elu "" kaks pea-osatäitjat jagasid tänavu Cannes'is parima näitlejanna preemiat .",,location,LOC,yes,,yes,
3608200,saali,saal,avanema,,adit,2254552,Varem kinniehitatud rõdudelt avaneb vaade suurde saali .,,,,yes,,yes,
3383805,meditsiinipunkti,meditsiinipunkt,pöörduma,,adit,2119550,Esmaspäevast neljapäevani pöördus Põhja-Eesti regionaalhaigla Saku suurhallis paiknenud meditsiinipunkti keskmiselt 25 patsienti päevas .,,location,,yes,,yes,
2822490,ETV-st,ETV,kolima,,el,1772490,"Tutvumismäng "" Reisile Sinuga "" kolis ETV-st Kanal 2 lainele ja vahetas saatejuhti .",,location,ORG,no,"The phrase 'ETV-st' refers to a television station rather than a geographic location, so it was classified as 'no'.",yes,
12694970,Kuressaares,Kuressaare,peatuma,,in,7924124,Kella viie või kuue paiku panime pillid kotti ja tunni pärast peatusime taas Kuressaares Jussi värava taga .,,location,LOC,yes,,yes,
2635026,Irnesse,Irne,müüma,,ill,1655547,Erastamisagentuur müüs hotelli Tallinn 15 miljoni krooni eest aktsiaseltsile Irnesse 1997. aasta suvel .,,,ORG,no,The phrase 'Irnesse' is not classified as a location because it refers to a company or entity rather than a geographical place.,yes,
710289,Porisse,pori,startima,,ill,453517,"Tubli nädal tagasi kui kõik , ka Soome ilmaennustajad lubasid parajat külma , tugevat tormi ja lumetuisku , startisime Helsingist loode suunas , Porisse .",,,,yes,,yes,
7567457,Jaanilinnas,Jaanilinn,peatuma,,in,4710253,Nii Jaanilinnas kui ka Kingissepas peatub Peterburi minev buss .,,location,LOC,yes,,yes,
18466941,lähedusse,lähedus,viskama,,adit,11531238,"Sama salaja , kui varas koera võttis , tõi ta looma tagasi ja viskas varjupaiga lähedusse masuudiauku .",,,,yes,,yes,The phrase 'lähedusse' was classified as an adverbial of place because it indicates proximity to a specific location.
2868959,Paldiskis,Paldiski,pidutsema,,in,1802846,"Paldiskis ühes korteris pidutsenud rahuvalvekompanii luurerühma ülem leitnant Margus Koplimägi ja ta tuttav tagalapataljoni nooremleitnant läksid kohalike vene noormeestega tülli , kui nad baarist alkoholi juurde ostma läksid .",,location,LOC,yes,,yes,
19284273,kasiinosse,kasiino,juhtuma,,ill,12047433,Ka kasiinosse olen juhtunud vaid paar korda elus .,,location,,yes,"The term 'kasiinosse' refers to a physical place, a casino, indicating a specific location, hence classified as 'yes'.",yes,
4635435,Risbiteri,Risbiter,saama,,adit,2891090,[ Saab Risbiteri mõõga kätte .,,,,no,The phrase 'Risbiteri' was classified as 'no' because it appears to refer to a specific object (possibly a sword) rather than a location.,no,The phrase 'Risbiteri' was not classified as an adverbial of place because it refers to a proper noun (likely a name) rather than a location or spatial context.
3217236,Shveitsis,Shveits,olema,koha,in,2016215,"Shveitsis polnud kohal ka ühtki minu esindajat , "" märgib Baranova-Massolkina .",,,LOC,yes,"The word 'Shveitsis' refers to Switzerland, which is a specific geographical location.",yes,
10357386,rehabilitatsioonikeskusesse,rehabilitatsioonikeskus,saama,sisse,ill,6442052,"Suur-Sõjamäe 6a kiiskavkollasesse rehabilitatsioonikeskusesse saab praegu sisse kõrvaluksest , sest remont ei ole veel päris lõpetatud .",,location,,?,?,yes,
18064796,Hebronis,Hebron,puhkema,,in,11271906,Pärast palestiinlase tapmist puhkesid Hebronis ägedad kokkupõrked sadade araablaste ja linna juudi kvartalit kaitsvate Iisraeli sõdurite vahel .,,location,,yes,,yes,
17280428,ansamblist,ansambel,tulema,ära,el,10787474,Poole aasta pärast tuli ta ansamblist ära .,,,,no,"The phrase 'ansamblist' refers to a group or ensemble and is not a location, hence classified as 'no'.",yes,
5021032,alguses,algus,põrkama,kokku,in,3126437,Viimase ringi alguses põrkas Tobreluts raja lahknemiskohas sloveenlasega kokku .,,,,no,"'alguses' refers to the timing of an event, not a specific location.",no,The phrase 'alguses' was not classified as an adverbial of place because it refers to a temporal context (the beginning) rather than a spatial one.
18950695,vabamüüki,vabamüük,lubama,,adit,11841329,"Sotsiaalminister Siiri Oviir allkirjastas märtsi lõpul määruse , mis lubab taas vabamüüki mitmeid ravimtaimedel põhinevaid odavaid rohtusid nagu validool ja alohol .",,,,no,"The phrase 'vabamüüki' refers to the concept of free sale, which is not a location.",yes,
9951630,varjupaikadesse,varjupaik,pagema,,ill,6197221,"Orkaan Wilma jõudis eile Yucatani poolsaarele Mehhikos ja tabas sealseid rannakuurorte , tuhanded turistid pagesid tormi teele jäänud Cozumelist ja Cancunist varjupaikadesse .",,location,,yes,,yes,"The phrase 'varjupaikadesse' was classified as 'yes' because it indicates a location and specifies where the tourists went, qualifying it as an adverbial of place."
7384057,Tartus,Tartu,jälgima,,in,4594375,pealtvaatajat jälgis eile Tartus ülikooli spordihoones korvpalli neljandat finaalmängu,,location,ORG,yes,,yes,
692891,boksi,boks,tahtma,,adit,442864,"Võistkond tahtis mind Davidiga ühel ajal boksi ning see õnnestus hästi ja täpselt nii , nagu võistkond oli kavandanud .",,location,,yes,,yes,
10953390,territoriaalvetest,territoriaalvesi,sõitma,läbi,el,6808261,Seega sõidaks tanker praeguste plaanide kohaselt paari nädala pärast 100 000-tonnise naftalaadungiga Eesti ja Soome territoriaalvetest läbi .,,,,yes,,yes,
1121500,Lätti,Läti,saatma,,adit,704615,"Ühinenud Meiereid saatis üleeile Lätti 20 tonni jogurteid ja joogipiima , mis läheb müüki Tukuma Piensi uue kaubamärgi Baltais ( Valge ) all , teatas ettevõte .",,location,LOC,yes,,yes,
11892279,Compostelasse,Compostela,minema,edasi,ill,7408118,"Kuhu te edasi lähete , Compostelasse või Montserrat'sse ? """,,,LOC,yes,,yes,
19523784,Betis,Bet,maksma,,in,12193880,"Jarni eest maksid inglased Hispaania klubile Sevilla Real Betis 2 , 6 miljonit Suurbritannia naela .",,,,yes,,yes,
12393141,läänes,lääs,võimutsema,,in,7729824,"Antoniusest sai suurriigi kõigi idaalade valitseja , läänes võimutses Octavianus .",,location,,yes,,yes,
22692055,Naruski,Narusk,laskma,,adit,14293818,Mae laskis Naruski üheksasekundilisse eduseisu ja alustas siis karmi tagaajamist .,,,LOC,no,'Naruski' is not classified as a location because it appears to refer to a person's name rather than a geographical location.,no,"The phrase 'Naruski' was classified as 'no' because it refers to a person and not a place, so it does not indicate an adverbial of place."
6901328,Austriast,Austria,naasma,,el,4289449,Eesti jääpurjetajad naasid eile aasta tippjõuproovidelt Austriast .,,location,LOC,yes,,yes,
13110457,Uhtnast,Uhtna,kolima,,el,8167596,"KAUGEL MINEVIKUS polnud veel need ajad , mil Tanel perega Uhtnast Haljalasse kolis .",,location,LOC,yes,,yes,The phrase 'Uhtnast' is classified as an adverbial of place because it specifies a starting location for the movement described in the sentence.
17695588,akadeemiasse,akadeemia,minema,edasi,ill,11049268,"Nagu tegi sõber Kirill , kes hiljem allveelaevnike akadeemiasse edasi läks .",,location,,yes,,yes,
7823503,boksirajalt,boksiraja,sõitma,välja,abl,4873099,"Saime masina boksis taas käima , kuid sõitsin punase tulega boksirajalt välja ning mind kutsuti rajalt ära . """,,,,yes,,yes,
15335599,Roraimas,Roraima,sadama,,in,9554003,"AP andmeil on sel aastal Roraimas sadanud vaid 0,1 mm vihma .",,,LOC,yes,,yes,
21216098,olümpiamängudelt,olümpiamängud,startima,,abl,13261100,"SÕUDMINE Kui kõik lubanud sõna peavad , stardib Tartu laupäevasel sõude-show'l kolmteist olümpiamängudelt või täiskasvanute MMilt medaleid võitnud sportlast .",,event,,yes,"The term 'olümpiamängudelt' refers to the Olympic Games, which is associated with a location where the event takes place, hence classified as a location.",yes,
22647514,tabloovõrgus,tabloovõrk,ilutsema,,in,14266646,"Juhtus mängija täie jõuga võrku servima , lendas pildil ka pall võrgu poole ja järgmisel hetkel ilutses tabloovõrgus auk .",,,,no,"The word 'tabloovõrgus' refers to 'in the scoreboard net' and describes a part of an object, not a geographical location.",yes,
9471819,Kiievis,Kiiev,esitlema,,in,5900553,"Neljapäeval esitles ta lämbes Kiievis rahvusvahelisel Kyiv Travnevy teatrifestivalil oma uut lavastust "" Mesta "" .",,location,LOC,yes,,yes,
8608438,orgu,org,pöörduma,,adit,5367021,Paraku pöördus tee taas orgu .,,location,,yes,,yes,
3296559,peitu,peit,pagema,,adit,2066247,"Valdo Lips lõi tempo alla , Ivo Saksakulm ja Chris Moore kontrollisid lauavõitlust , Indrek Varblane ja Andrus Nagel pagesid kaitse haardest peitu ja tulistasid kaugvisetega .",,,,no,"The phrase 'peitu' was classified as 'no' because it describes a state or action of hiding, not a location.",no,The phrase 'peitu' is not classified as an adverbial of place because it indicates a movement to hide rather than specifying a precise location.
8332973,tehasesse,tehas,saama,sisse,ill,5193848,"Nii viibib ta teatris sealt lahkumata mitu ööd-päeva järjest ja valvurivanamehed ning koerad , kes elavad kindlakskujunenud vankumatu rutiini järgi , murravad pead selle üle , mismoodi ta tehasesse märkamatult sisse sai .",,location,,yes,,yes,
583472,masinast,masin,pääsema,välja,el,375771,"Co mõelnud : pärast pesu teevad ultra-infrapunakiired ja soe föön , kliendi ilusti kuivaks , enne kui ta masinast välja pääseb .",,,,yes,,yes,The phrase 'masinast' was classified as 'yes' because it denotes a specific location (out of the machine).
4913417,Lissabonis,Lissabon,ootama,,in,3061711,"Kolmapäeval ootab hollandlasi Lissabonis poolfinaal ning siis tuleb vastaseks Portugal , vahendas Sportnet .",,location,LOC,yes,,yes,
18113893,eelarvesse,eelarve,olema,,ill,11302806,"Tallinna rahandusküsimustega tegelev abilinnapea Ants Leemets kinnitas esmaspäeva õhtul oma kabinetis “ Postimehele ” selge sõnaga , et vähemalt selleks aastaks on Nomura laenu tagasimaksmiseks linnal raha juba olemas , s.o sisse planeeritud eelarvesse , mille volikogu nii või teisiti peagi vastu võtab .",,,,no,The phrase 'eelarvesse' refers to a budget rather than a geographical or physical location.,no,The phrase 'eelarvesse' was classified as 'no' because it indicates a target or goal (to the budget) rather than a specific place.
280706,maailmas,maailm,vaatama,ringi,in,168523,"Panamakübar peas , vaatab härrasfotograaf maailmas ringi , kadreerib teemasid , loob tähendusi ja tähtsuse järjekordi .",,,,yes,,yes,
891673,Klubisse,klubi,olema,vaja,ill,563748,"Klubisse oli vaja tuua dünaamikat , koosseisu uuendamise oleks pidanud ette võtma juba eelmise aasta lõpul , "" põhjendas Pohlak otsustavaid samme .",,,,yes,,yes,
5493339,Rakverest,Rakvere,suunduma,,el,3413093,Kõik teelt välja sõitnud autod suundusid Rakverest Haljala poole ja libisesid pärast kurvi mustal jääl paremale teepervest alla .,,location,ORG,yes,,yes,
