head_id|form|lemma|verb|verb_compound|morph_case|sentence|sentence_id|timex_tag|ekilex_tag|ner_tag
4519096|Tbilisis|Tbilisi|kogunema||in|Gruusias Tbilisis kogunesid eile tuhanded inimesed protesteerima valitsuse ja president Mikheil Saakašvili vastu .|2817904||location|LOC
27046437|nõukogusse|nõukogu|juhtuma||ill|Olles olnud eelmise koosseisu ajal Põllumajanduse ja Maaelu Krediteerimise sihtasutuse nõukogu liige ja teades , et see ei allu ega ole allunud Riigikontrolli kontrollile , söandan ma väita , et juhul kui selle fondi nõukogusse juhtub ka niisuguseid krutskitega inimesi , siis on seal võrdlemisi suuri võimalusi pehmelt öeldes pahategudeks , mida kindlasti ei oleks sellisel juhul , kui tegemist oleks avalik-õigusliku juriidilise isikuga , mis seaduse järgi oleks pidanud toimima hakkama 1. juunist .|17706403||location|
28421374|seaduseelnõusse|seaduseelnõu|võtma||ill|Sellest tulenevalt võttis komisjon ka Kalev Kuke paranduse seaduseelnõusse 950 , kuigi see seaduseelnõu nimetatud temaatikat ei hõlma .|18815545|||
9585422|hääletusest|hääletus|väljuma||el|Keskerakonna tugev kuluaaritöö võib viia selleni , et konkureerivast hääletusest väljub võitjana Evelyn Sepa parandus , mis lubab välireklaami püsivates reklaamikohtades .|5971620|||
4410104|piirkonnas|piirkond|pesema||in|Supermodell võtab harja ja lapi kätte 19. märtsil ning peseb põrandaid New Yorgi Manhattani piirkonnas .|2749596|||
24957609|arhiiviregistrisse|arhiiviregister|otsustama||ill|Selliste arhivaalide kandmise arhiiviregistrisse otsustab riigiarhivaar .|16076945|||
7872454|Tabasalus|Tabasalu|süttima||in|Tabasalus katla plahvatuse tõttu esmaspäeval põlema süttinud linnukasvatuse tapamaja pääses imekombel hävimisest , kuna õnnetuse hetkel korraldasid päästeametnikud katlamaja kõrval õppust .|4903125||location|LOC
22371604|Düsseldorfis|Düsseldorf|juhtuma||in|Hea , et kõik see juhtus Düsseldorfis , kus oli 20 , mitte näiteks Kuusamos , kus on –20 kraadi . »|14051139||location|LOC
5046429|paekallastelt|paekallas|kukkuma||abl|Nii mõnigi mööduja on märganud , et paekallastelt kukub kive .|3142911||location|
6946389|maasse|maa|hakkama||ill|Seenepakk hakkab tööle pärast maasse kaevamist .|4318123|||
14082916|kasukates|kasukas|kohtama||in|Tänavatel ja baarides kohtasime hinnalistes kasukates naisi , verevalumid näos .|8774730|||
10696160|lillest|lill|lendama||el|“ Ta lendab lillest lillesse ja lendab mesipuu poole ” , nõnda on putukaist kõige imepärasemast – mesilasest – sõnu seadnud Juhan Liiv .|6647341|||
6306661|Lillehammerisse|Lillehammer|põikama||ill|Lillehammerisse põikab kõige sagedamini Bjarte Engen Vik , kellega eestlasedki rollerirajal ja hüppemäel trehvavad .|3915484||location|LOC
6028020|Holmenkollenis|Holmenkollen|jätkuma||in|MK-võistlused jätkuvad täna Holmenkollenis vabastiili pikkade distantsidega , mehed läbivad 50 ja naised 30 km .|3743058||location|LOC
750712|Kehakaalus|kehakaal|võistlema||in|""" Kehakaalus kuni 100 kg võistelnud Martin Padar teenis kahe võidu ja kahe kaotusega 9. koha , Anton Fedorin kaotas avaringis ."|477938|||
9183766|kogumistehnikasse|kogumistehnika|investeerima||ill|Eelmise aasta investeeringutest läks 10 miljonit krooni Tallinna jäätmete sorteerimisjaama projekti realiseerimiseks ning 10 miljonit krooni investeeris ettevõte kogumistehnikasse ehk siis autodesse ja konteineritesse .|5726028|||
367675|töökavasse|töökava|võtma||ill|Küll oleks tore , kui mõni asjalik inimene võtaks taolise tulevikuplaneerimise kasvõi utoopilise visandina oma töökavasse .|228126|||
24802186|toomkirikus|toomkirik|juhatama||in|16 Haapsalu toomkirikus  - kannatusnädala motetid ja responsooriumid  Eesti Rahvusmeeskoorilt  , juhatab  Toomas Siitan  .|15944665||location|
5885682|lõpp-peatusesse|lõpp-peatus|ruttama||ill|Kiirabi ruttas talle appi Tondi lõpp-peatusesse , kust ninaluumurru kahtlusega patsient keskhaiglasse toimetati .|3654694||location|
9485669|organisatsioonist|organisatsioon|voolama|välja|el|Raha voolab organisatsioonist rohkem välja , kui sisse tuleb - nagu nuga saanud mees jookseks verest tühjaks kuskil räpases kõrvaltänavas .|5908856|||
4069658|lossiruumis|lossiruum|valvama||in|ee on Petersoni sõnul väga lihtne : vanas lossiruumis valvavad kolm naist kirstu noore neiu kehaga ja vestlevad koidikut oodates omavahel , et peletada vaikuse ängi .|2536519|||
476738|pinnalt|pind|paistma||abl|Pealt olid palgid musta värvi , aga saetud pinnalt paistis ilus kollakaspruunikas puit .|303957|||
1364079|Elvis|Elvi|käima||in|Samamoodi nagu käivad jutud ikka veel elavast Elvis Presleyst , John Kennedyst või Dzhohhar Dudajevist .|856534|||ORG
15238683|filmis|film|surema||in|Kuigi surm on üks komponent Kusturica absurditeatrist , ei sure tema filmis päriselt mitte ükski tegelane .|9492714|||
2765010|Hames|Hame|jagama||in|Rahvaste Ühenduse Mängudel Kuala Lumpuris võitis 22-aastane austraallane Jagan Hames kümnevõistluse 8490 punktiga .|1736860|||
7141782|toolil|tool|lamama||ad|""" Lamasin kõhuli toolil ja tegin ujumisliigutusi , õigemini küll "" kiike "" - lasteaias oli selline harjutus , "" meenutab Lamp oma "" lendamiskogemust "" , "" samal ajal võeti teise kaameraga katuseid ja linnapilti ja pärast monteeriti need kuidagi kokku ."|4441126|||
8596421|köögis|köök|võimutsema||in|Roosakaslilla ei võimutse köögis sugugi juhuslikult .|5359043|||
19537911|Narvamäelt|Narvamäe|startima||abl|Tartus startis neljapäeval kell 21 . 25 Narvamäelt laulupeo kivi juurest jüriöö jooks , mida julgestas tagant politsei patrullauto Mazda 626 , ütles Tartu politsei pressiesindaja .|12203286|||
8365369|Melbournes|Melbourne|jälgima||in|Melbournes võistlust jälginud Fordi tegevjuht Jac Nasser usub , et Jaguar saavutab veel käesoleval hooajal üllatavalt häid tulemusi .|5214568||location|LOC
27284456|kodukorras|kodukord|olema|alles|in|Ma küsin , et kas kodukorras on ikka alles see säte , mis ei luba , et hääletamise ajal räägitakse valju häälega , kuidas hääletada ?|17898352|||
650885|lauas|laud|möllama||in|"Tasemel oli vaid Gerald Eaker , kes hoolitses skoori eest , möllas lauas ja jagas "" kulpe "" ."|417926|||
25790963|mõõteskaalalt|mõõteskaala|väljuma||abl|Usk ei tingi vastuoksa levinud väärarvamusele mingit erilist kõlbelisust , v.a. religioosne kõlblus , ent see nähtus väljub inimlikkuse mõõteskaalalt .|16759188|||
8246045|Adelaide'is|Adelaide|toimuma||in|Tööseisakud toimuvad muuhulgas ka Adelaide'is , Perthis ja Brisbane'is .|5139414||location|LOC
9132102|Keilasse|Keila|kihutama||ill|Täna keskpäeval kihutasid päästjad Keilasse Koidu tänavale , kus eramaja omanik oli leidnud kahtlast roosat puru sisaldava kirja .|5693736||location|ORG
10280897|Ehrenfeldis|Ehrenfeldi|sündima||in|Sünnijärgne Charles Buchinsky sündis 1921. aastal Pennsylvanias Ehrenfeldis , ta oli 11. oma Leedu immigrantidest vanemate 15-lapselises perekonnas .|6395985|||ORG
1922068|Moskvas|Moskva|juhatama||in|Tuntud dirigent Eri Klas juhatab tuleval nädalal Moskvas sümfooniaorkestrit Molodaja Rossija ( Noor Venemaa ) .|1208518||location|LOC
9445298|laserperforeeringul|laserperforeeringu|paiknema||ad|Kuigi Euroopa Liidus kehtivatel passivormidel on mõned kohustuslikud turvaelemendid ja üldjoontes on kindel ka isikuandmete paigutus , on Eesti ainus riik , kus isikukood paikneb laserperforeeringul .|5884502|||
4445277|kongressilt|kongress|sõitma||abl|"Sõitsime Udmurtias toimunud soome-ugri kirjanike kongressilt Tallinna poole ja hirmutasime teineteist rongis kõikvõimalike kultuuriministri kandidaatidega , umbes nii et : "" Aga see võib ka saada , tema on ju ka "" kultuurihuviline "" ! """|2771898|||
3245267|baaris|baar|tulistama||in|Mamutov jäi teise grupi invaliidiks pärast seda , kui teda tulistas kõhtu Indrek Vaikmaa eelmise aasta juunis Pühajärve Beach Party ajal Otepääl Setanta baaris .|2032830|||
3038838|linnakodudesse|linnakodu|kolima|tagasi|ill|Nii kolivadki pool aastat suvilas veetnud inimesed aasta teiseks pooleks oma linnakodudesse tagasi .|1906909||location|
14112512|kunstnikus|kunstnik|säilima||in|Olen sellega päri , lisan ainult omalt poolt , et igatsus selle järele , et ka kunst ( ballett , muusika , pisipunutised jms ) oleks võimeline mehetegudeks , säilib igas endast lugupidavas kunstnikus .|8792748||alive|
25692086|loetellu|loetelu|kandma||adit|Mul on ikkagi küsimus , kuidas viiakse muudatusettepanekute hääletamine läbi , ja mul on ka omalt poolt üks pakkumine , millele härra Tarand vihjas seoses sellega , et on tulnud ebatäpsused sisse ja näiteks muudatusettepanekule number 5 oleks pidanud olema lisatud veel juhtivkomisjoni arvamus , vastavalt kodukorraseaduse § 88 lõikele 2 , et kui juhtivkomisjon arvestab muudatusettepaneku sisu või arvestab muudatusettepanekut osaliselt , kannab ta muudatusettepanekute loetellu muudatusettepaneku järel ka oma redaktsiooni .|16698679|||
12784369|perekonnaseisuametisse|perekonnaseisuamet|kõndima||ill|""" Teie , eestlased , elate alles ürgkogukondlikus ajas , magate esimese ettejuhtuva naisega , kes omakorda magab esimese ettejuhtuva mehega , ja pärast , kui kõik on kõigiga ära maganud , kõnnite viimase paarilisega perekonnaseisuametisse ning hakkate koos otsekui kasvatama üksteise põngerjaid ."|7972045||location|
21469998|vendadest|vend|suunduma||el|Vähem kenam ja andekam vendadest , Digby (  Marty Feldman  ) suundub kaksikvenna otsinguile ning leiab ta Prantsuse võõrleegionist .|13423424|||
3543009|Ramsausse|Ramsau|otsustama||ill|Ramsausse otsustas mees minna .|2215283|||LOC
8960747|investeerimisfondis|investeerimisfond|tegelema||in|Praegu tegeleb jooksvate küsimustega Sorosi investeerimisfondis tema poeg Robert ( 38 ) , kuid peamine niiditõmbaja on 11 miljardi dollari ( 1998.a. 22 miljardit ) suuruses finantsimpeeriumis ikkagi selle asutaja .|5588588||location|
21315101|Ridas|Rida|liikuma||in|Tema Ridas 35 tüüpi punane iludus Zarah May liigub liiga kiiresti .|13323951|||
9737511|teatrisse|teater|tahtma|tagasi|ill|""" Täiskohaga ma praegu teatrisse tagasi ei taha ."|6065944|||
5803580|Abhaasiasse|Abhaasia|jõudma||ill|Tallinna kooliõpetaja Ilma Sinisalu jõuab sel nädalal Abhaasiasse ja alustab Salme küla põhikoolis laste õpetamist .|3603884||location|LOC
17076175|kongressikõnes|kongressikõne|ründama||in|Oma hääletuseelses kongressikõnes ründas Ruml kitsa parteijuhtkonna liikmeid teravalt ja süüdistas neid tõe varjamises .|10654632|||
12867799|linnaservas|linnaserv|hulkuma||in|Nüüd ei hulkunud ta poppi tehes enam linnaservas , vaid ronis keldrisse ja võttis poolelioleva raamatu kaasa .|8019903|||
12952307|faksiaparaadist|faksiaparaat|väljuma||el|Kui teie faksiaparaadist väljub teade , mis algab sõnadega “ PR- firma Kodu-Uss ja Mann palub Teid ... ” , siis võite olla kindel , et teie faks on nakatumas ohtliku viirusega , mis hävitab kõigepealt aparaadi sisemuse ja võib seejärel paisata faksi kesta tükid mitmekümne meetri kaugusele .|8071239|||
15810507|Chicagost|Chicago|lahkuma||el|Seejärel olevat mees politsei hinnangul lahkunud Chicagost , tulistanud mitmel pool Illinoisi osariigis asiaate ja neegreid ning pühapäeval mõrvanud Indianas Bloomingtonis korealasest tudengi Won-joon Yooni .|9852601||location|
15882922|Viljandisse|Viljandi|andma||ill|Muguri arvates annaks see eelise Viljandisse sõitjaile , kes ei peaks enam Imavereni sõitma .|9900812||location|LOC
6801110|akadeemias|akadeemia|andma|üle|in|TALLINN , 25. veebruar ( EPLO ) - Peaminister Andrus Ansip andis reedel teaduste akadeemias üle riigi elutöö- ja aastapreemia ning Wiedemanni keeleauhinna , kirjutab SL Õhtuleht .|4226003||location|
10246585|tuledesäras|tuledesära|sirguma||in|Keset väikse armsa Tabasalu lumist vaikelu seisab kauboi ja tuledesäras maja ees sirgub palm .|6375788|||
21493927|silmis|silm|nappima||in|Nii nagu riigikogulased ei suuda kuidagi vastu võtta seadust , mis maksustaks nende hiigelpensioni , ei loobu ka ametnik tulemuspalgast , kuigi avalikkuse silmis positiivseid tulemusi napib .|13438743|||
1659260|olümpialinnast|olümpialinn|naasma||el|""" Nagu suurlinn ikka , ei paku Sydney eksootikat , küll aga erakordset silmailu , "" hindab peatsest olümpialinnast naasnud ajakirjanik Indrek Schwede vaimustunult ."|1043351||location|
19720441|sektorist|sektor|saatma|välja|el|Teisel katsel saab ta kirja 63.92 , ent kolmandal saadab 68 meetrini kandunud heite paarkümmend sentimeetrit sektorist välja ning peab leppima üheksanda kohaga .|12317324|||
9008987|kaatrisse|kaater|saama||ill|"Kui Evelyn jälle kaatrisse saab , siis ütleb : "" Minge kindlasti , see on täitsa ohutu ."|5618385|||
3969999|disainigaleriis|disainigalerii|avama||in|Eesti Kunstiakadeemia sisearhitektuuri osakond avas eile Pärnu maanteel asuvas uues disainigaleriis näituse , kus saab tutvuda üliõpilaste loominguga .|2476093|||
26391960|Maal|Maa|vedelema||ad|Maal vedeleb arvutikast - juba neljandamat aastat - talvel on maja kytmata , koos soojade kevadilmadega saabun ka mina , anna vÄnta ja ... voila .|17189629|||
742590|kesklinnas|kesklinn|tunglema||in|Pärastlõunal tungles kesklinnas Kreutzwaldi tänaval energiamüügisaali kolme kassa ümber püsivalt mitmekümnepealine elav järjekord .|473234||location|
2309317|infotehnoloogiasse|infotehnoloogia|investeerima||ill|Järgmise aasta eelarve kohaselt investeerib riik Eesti suurima IT-firmade kliendina infotehnoloogiasse 260 miljonit krooni , kirjutab tänane Äripäev .|1450841|||
28515233|tööbüroodesse|tööbüroo|andma||ill|Saksamaal annavad talud ja ühistud tööbüroodesse oma tellimuse , mis kvalifikatsiooniga töötajaid neil vaja on .|18881704||location|
1238105|jazzipealinna|jazzipealinn|viima||adit|Edasi viis tee jazzipealinna New Yorki , kus ta esineb klubides .|776236|||
3163153|Peipsist|Peipsi|võtma|välja|el|Saunaehituselt ligi astunud peremees Kalev Kalme , kes oma Lindast kaasat hella pilguga paitas , kostis , et rehnuti järgi võtab nende kalapüügitalu aastas Peipsist välja ligi üheksa tonni kalu .|1983126||location|LOC
1893179|itta|ida|jõudma||adit|Kampalast tunnikese sõidu järel itta jõuab Jinjasse ehk Niiluse alguse juurde .|1190909||location|
5998560|Lalanderis|Lalanderi|peatuma||in|Lalanderis peatume kruusasel jõekaldal aprikoosisalu kõrval .|3724950|||LOC
16630371|metsas|mets|ründama||in|Ajalehtedes ju alles kirjutati , kuidas torisev karujõmm metsas meest ründas .|10364211|||
651374|Hispaanias|Hispaania|käima||in|Kümned riigiametnikud käisid möödunud aasta lõpus Eesti suuremate bussifirmade kulul õppereisil Hispaanias .|418256||location|LOC
24908439|Kõvaketast|kõvaketa|röövima||el|-> Kõvaketast röövib ca 9 giga .|16021669|||
4124136|algklassidesse|algklass|toimuma||ill|Tugeva identiteediga ja seetõttu prestiižeks kujunenud Tallinna koolid , kus toimuvad algklassidesse sisseastumiskatsed , on tänaseks valiku teinud .|2570242||alive|
18315779|salongis|salong|olema|alles|in|Isegi taksojuhi rahakott ja dokumendid olid salongis alles .|11430226|||
2209058|hotellitoas|hotellituba|helisema||in|Ühel varahommikul heliseski mu hotellitoas telefon ja keegi mees , kellega olin vastuvõtul rääkinud , teatas , et laupäeval on Peleboni kalmistul matused .|1388855||location|
6800834|Tartus|Tartu|tudeerima||in|Tartus , Göttingenis ja Berliinis ajalugu ning usuteadust tudeerinud mees kirjutab küll endiselt ilukirjandust , ent olulisema väljundi annab aadressil kriteerium.ee asuva võrguajakirja toimetamine .|4225867||location|LOC
3037525|linna|linn|saatma||adit|Arst saatis veremürgitusega mehe üksinda võõrasse linna haiglat otsima|1906170|||
11268601|kehastuses|kehastus|olema|koha|in|Kuna sel aastal möödub 105 aastat esimese eestlasest linnapea valimisest Eestimaal , on kohal ka Johannes Märtson Mart Puusti kehastuses .|7014900|||
632480|kodus|kodu|ehitama||in|Peagi ehitas ta oma kodus Väänas esimese teleskoobi : toruks sai tapeedirull , prilliklaasidest ja uhiuue “ Smena ” objektiivist valmistas objektiivi ja okulaari .|406484||location|
23016579|budismis|budism|puuduma||in|Inimlikku armastamist usupraktikana - teenimist , otsustamist , tundmust - võib käsitleda Jumalaga osaduses olemisena ja selle osaduse pideva suurendamisena , mis sellisena budismis puudub .|14572963|||
28238731|menetlusse|menetlus|viima||adit|Ma olen täiesti kindel , et need põhimõttelised vastuolud varem või hiljem viivad selle seaduse tervikuna või mõne tema osise Riigikohtusse põhiseadusele vastavuse menetlusse .|18674043|||
9982886|sõjaväes|sõjavägi|sööma||in|Griškovetsi erakordne looming saab viimasel ajal aina rohkem raamatuteks , ja see on teatud mõttes ka loomulik - kaua sa ikka teatris näitad , kuidas sa sõjaväes koera sööd !|6215693|||
13277883|Berliinist|Berliin|pääsema|välja|el|Pole teada , kuidas ta Berliinist välja pääses , kuid 1945. aasta suvel-sügisel peeti Müller kinni USA Altenstadti sõjavangilaagris Ülem-Baieris .|8278439||location|LOC
26400112|külas|küla|jalutama||in|Männiku lasketiirus lastud juhuslik kuul tabas pähe lasketiiru taga asuvas külas jalutanud meest , jäädes pidama naha all mõne sentimeetri kaugusel kõrvast .|17196333|||
10430767|autovõidusõidus|autovõidusõit|rajama||in|Pääsemine Champ Cari eliit-sarja täidaks paljuski oma tee USA autovõidusõidus ise rajanud Tõnis Kasemetsa eesmärgid .|6486046||event|
8054154|voorus|voor|kõndima||in|Žürii tüdrukute mõtteis ei sorinud , naeratades ja sõnatult kõndisid nad üle lava kolmes voorus - vaba aja rõivais , ujumistrikoos ja pidulikus ürbis .|5017711|||
10135602|volikogudesse|volikogu|moodustama||ill|Väike arvutus - kohalikel valimistel moodustavad naiskandidaadid kõigist volikogudesse pürgijatest 40% , kuid telestuudios esinenuist vaid 17% .|6308541||alive|
22310050|sarjas|sari|nappima||in|Kõrvalt vaadates tundub , et F1 sarjas napib kiireid sõitjaid ?|14013941|||
20141502|Slovakkias|Slovakkia|võistlema||in|Nii võistlevad Rauno ja Roomet Pikkor ning Jaak Lukk 19 . taliuniversiaadil Slovakkias Poprad-Tatrys .|12586251||location|
10325743|pärandisse|pärand|hakkama||ill|Äsja vanaema matnud hotellijuht Lisa Reisert ( Rachel McAdams ) kohtub lennujaamas Jackson Rippneriga ( Cillian Murphy ) , kes oma pahaendelise nime üle ( Jack the Ripper ? ) küll esmalt nalja viskab , ent hiljem , Florida suunas kihutavas lennukis Lisa kõrval uuesti istet võttes , kuulsa sarimõrvari pärandisse märksa tõsisemalt suhtuma hakkab .|6422914|||
26591718|kalapaadile|kalapaat|paigutama||all|Kuid kõrvuti võitlusega väidetava natsiohu vastu ( Hemingway oli oma kalapaadile paigutanud kuulipilduja ja igatses võitlust Saksa sõjalaevadega ) müüs kirjanik FBI-le ka diskreetseid teateid oma sõprade kohta .|17327500|||
6743781|lõunast|lõuna|lendama||el|Liibanoni turvateenistuse andmetel lendas kaheksa Iisreali lennukit Liibanoni õhuruumi sisse lõunast , suundusid seejärel põhja poole edasi ja lendasid siis madalalt üle pealinn Beiruti äärelinnade .|4190190|||
1544091|Aegviidus|Aegviidu|sündima||in|Sündinud : 28.03.1950 Aegviidus|969364||location|
