lause|form|classification
Pidevalt valitsuses istunud põllumeeste esindajad suutsid eelarvet oma kasuks mõjutama hakata alles pärast karmikäelise Vähi asendamist pehme Siimanniga .|valitsuses|NONE
Mullu politseisse toimetatud alaealistest Narvas 11 ja Ida-Virus 17% ei käinud koolis .|Narvas|LOC
Leidmata eest pisikuid , ei lahku kohaletulnud immuunrakud ometi maoseinast .|maoseinast|LOC
Kui Kanepi kolhoos laiali läks , lahkus siitkandist äraelamise otsinguil hulk inimesi .|otsinguil|NONE
Bremenit tabanud hiigellaine võis koosneda mitmest üksiklainest , mis üldjuhul rahulikult liiguvad .|üldjuhul|NONE
Korra käid pesulas - 100-150 liitrit ehk vannitäis vett jälle läinud .|pesulas|LOC
Teisalt liigub veri sääse iminokas ainult ühes suunas .|iminokas|LOC
Kuid kui me astume tagasi selt inimliku ülbuse positsioonilt , siis võime läheneda ka teisiti : see on keel , mis kõneleb läbi inimese ja mitte vastupidi .|positsioonilt|NONE
Andres Tarandi valitsus 4. novembrist 1994.a. kuni 17. aprillini 1995.a. Tuli võimule seoses umbusalduse avaldamisega Mart Laarile , mille tulemusel peaminister astus tagasi .|tulemusel|NONE
Käisin tualetis nina puuderdamas ning tagasi tulles leidsin eest kaks vaenulikku leeri .|tualetis|LOC
"""Kui me käisime Peterburis ehituskomitees ja andsime infot meie firmade kohta - mida me toodame , missugused on meie võimalused - , sain aru , et neil on huvi Eesti ettevõtjate vastu , kes tuleksid oma kapitaliga ja lükkaksid mõnegi asja käima ."|ehituskomitees|"LOC"""
Eesti Ajas astus pihtimusega üles retsidivist Aivo Käoküla , kes tema enda kinnitust mööda teinud Moskvas salaja läbi KGB erikursuse , kaardistanud hiljem Türi pastoraadi ümbruse teed ning osalenud pastor Meri ja tema koduabilise tapmises .|Ajas|NONE
Kui mandril armastatakse suhtlemisruumi laiendada tänavale ( inimesed söövad , joovad , veedavad aega , suhtlevad seal ) , siis Inglismaal käib suhtlemine rohkem kutsete abil ja eraldatumais paigus , nagu aiavastuvõttudel .|Inglismaal|LOC
Astronoomilises kirjanduses liiguvad väited , et 100-meetriste ja suuremate ohtlike asteroidide arv võib ulatuda 300 000.|kirjanduses|NONE
"""Sellisel juhul on Eesti rahuvalvekompanii pidevas valmisolekus , sinikiivritel on pikemad lepingud ja nad käivad kogu aeg missioonil ."|missioonil|"NONE"""
Nende eesnimed enam õiged eesti nimed polegi , nimedega originaalitsemine käis juba seitsmekümnendatel .|seitsmekümnendatel|NONE
Ajalooline paratamatus seisnes selles , et mees astus nii komsomoli kui parteisse olude sunnil , mitte iseenda algatusel .|komsomoli|NONE
“ Ma tunnen Olari Taali kui jahi- ja kalameest ammusest ajast ja mul polnud põhjust kahelda , kui see taotlus tehti , ” kinnitab Villu Reiljan , kes käis Taaliga koos Viitina koolis Võrumaal .|Võrumaal|LOC
Soome meremehel jookseb palk ka puhkepäeval .|puhkepäeval|NONE
Darja ja Dima on suure töö ära teinud - rühmas , mis alustas Tallinna Tõnismäe reaalkooli lastega , käib lapsi üle Tallinna .|rühmas|NONE
Väike Trull on ju muude tunnuste poolest Oleg-Lembit Mutt , kes Amicusse astus alles teisel semestril 1939.|semestril|NONE
Komitee koosnes ministritest ja teistest juhtivatest riigitegelastest ning käis koos vastavalt vajadusele .|vajadusele|NONE
KR : Sadakond , üldse käib 500 inimest Tapalt väljaspool tööl .|Tapalt|LOC
Uskuge või mitte , Leo käiski väljamaal silmi hööveldamas .|väljamaal|LOC
Pendeldajaid liigub kesklinlastest suhteliselt rohkem ( erinevus kuni 10% ) tööpäevadel tööle mineku ja töölt tuleku ajal : hommikul kl 8 : 30-9 : 30 ja õhtul 16 : 30-18 : 00.|kesklinlastest|NONE
Kuigi Eesti on olnud üks neist maadest , kes on liikunud kõige kiiremini globaalsetesse kommunikatsiooni võrgustikesse , on Eesti kaotanud ligi pool sajandit globaalses moderniseerumise protsessis .|võrgustikesse|NONE
Esimene kirjeldab , kuidas ettevõtlikud eestlased ookeani taga juhutöödel käivad .|juhutöödel|NONE
Need teadmised on a ) konkurentsivõimelised teadmised tehnoloogiavaldkonnast , millest ideed pärineb , b ) konkurentsivõimelised teadmised ärivaldkonnast ehk üldine arusaamine sellest , kuidas raha ühiskonnas liigub ja kuidas majandus toimib .|ühiskonnas|NONE
"""[ 3 ] Nii käib siin jutt sotsiaalse käitumisnormi õiguslikust kehtivusest läbi riigi seadusandliku tegevuse prisma ."|kehtivusest|"NONE"""
Uute turgude sissesöömine käib üleminekuriikides ja Aafrikas .|üleminekuriikides|LOC
Samuti nagu muudel kasutusaladel käib ka haldusmenetluses proportsionaalsuse testimine sobivuse , vajalikkuse ja mõõdukuse kaudu .|kasutusaladel|NONE
"""Vaatluse alt olen välja jätnud need ministrid , kes on ametist lahkunud ( a ) haiguse tagajärjel ( b ) terve valitsuse ametist ( c ) ühe valitsuse osapoole valitsusest lahkumisega ."|tagajärjel|"NONE"""
Et aga kvantmaailmas liiguvad osakesed valguse kiirusel , siis juba mõõtmise lõppedes on osakese asukoht muutunud ja kiirus samuti .|kvantmaailmas|NONE
Sittow on lahkunud 15-aastase poisina Tallinnast Brüggesse Madalmaile ning tal on õnnestunud saada seal just nagu isegi ootamatult õpilaseks tollal väga kuulsa Hans Memlingi töökotta .|Madalmaile|LOC
Ja pakkudele seatud lauajuppidel istub tosina rasvaküünla paistel neli- või viiskümmend meest .|paistel|NONE
Samal aastal astus R. Kangro Tartu Ülikooli doktoriõppesse , kust 1992. a sügisel suundus õpinguid jätkama Carnegie Melloni Ülikooli .|doktoriõppesse|NONE
Astunud topoloogiaks nimetatava hoone lävele , heidame nüüd põgusa pilgu ka hoone sisemusse .|lävele|LOC
Lvovi parem käsi Nikolai Holopov istus enne jõule nädalakese vahi all .|jõule|NONE
Ühel suvelõpupäeval istuvad kaks meest Pärja tänaval Astera direktori Andronovi autosse .|suvelõpupäeval|NONE
On olnud huvitav jälgida dispuuti kõrghariduse rahastamise teemal : pilkupüüdvad pealkirjad räägivad haridusest , aga jutt käib koolitustellimustest erialadele .|koolitustellimustest|NONE
Rootsi-poolses multimeediastuudios istus ja esines professor Björn Pehrson .|multimeediastuudios|LOC
Varundatavad andmed liiguvad kettasüsteemist läbi serveri varundusseadmesse .|varundusseadmesse|LOC
Pärast kaheksandat klassi astusin TEMTi MM-erialale ( täna Tallinna Kõrgem Tehnikakool ) , 1987 lõpetasin (  c   um   l   aude  ) ja viisin paberid kohe TPI õhtusesse osakonda , tuli hakata end ise majandama .|MM-erialale|NONE
( Am 5 : 10-12 ) Kui etiooplane Ebed-Melek , hoovkondlane , kes viibis kuningakojas , kuulis , et nad olid Jeremija pannud kaevu - kuningas istus parajasti Benjamini väravas - , siis Ebed-Melek läks kuningakojast ja rääkis kuningaga … ( Jr 38 : 7 ) Siis kuningas ( jutt käib Taavetist ) tõusis ja istus väravasse .|Taavetist|NONE
Kuna kristluse üheks “ firmamärgiks ” oli igavese elu idee , oli selge , et teispoolsusesse lahkunud nii nais- kui ka meespühakute hauad said erilise tähelepanu osaliseks .|teispoolsusesse|NONE
Viimati astus suursoosikuna võistlustulle sõudja Jüri Jaanson 1995. aasta MM-il , enne teda trekirattur Erika Salumäe Barcelona olümpial .|MM-il|NONE
Lausetes  Järsku olid auto rattad taeva poole  'autol olid rattad ülespoole' ja  Nõrgemal rüselejal käisid sussid vastu taevast  toimib  taevas  ruumiorientiirina .|rüselejal|NONE
Jalgpalli EM-i 9. valikgrupi liider Tshehhimaa astub 5. juunil Tallinnas Eesti vastu peaaegu parimas rivistuses .|rivistuses|NONE
Käis õpireisidel Soomes , Saksamaal , Rootsis , Taanis .|õpireisidel|NONE
Äikesepilve tipus liigub kuivaks sadanud õhk orkaani tsentrist eemale ja moodustab orkaani ülaosas silmast mitmesaja kilomeetri kaugusele küündiva antitsüklonaalse õhupöörise .|tsentrist|LOC
Eriti sagedasti tekivad ja liiguvad tornaadod Ameerika Ühendriikide Suurel Tasandikul , kus neid registreeritakse aastas üle 700 ja nad tapavad aastas üle 100 inimese .|Tasandikul|LOC
Raskes seisus toimetati Märjamaa haiglasse Nivas juhi kõrvalistmel istunud hooldekodu velsker Enna ( 58 ) , kes sai hulgaliselt luumurde .|Nivas|NONE
16.000 töötut oli eelmiselt töökohalt lahkunud omal soovil ja 16.000 olid enne tööotsingute alustamist mitteaktiivsed ( õppijad , lapsehoolduspuhkusel olijad , kodused ) .|kõrvalistmel|LOC
"""16.000 töötut oli eelmiselt töökohalt lahkunud omal soovil ja 16.000 olid enne tööotsingute alustamist mitteaktiivsed ( õppijad , lapsehoolduspuhkusel olijad , kodused ) ."|töökohalt|"NONE"""
""" Mulle meeldib siin väga , "" tunnistas mööda treppe kõrgele vaateplatvormile astunud ning moevaatemängu ja muusikat kaifiv kultuuriminister Signe Kivi "" Õhtulehele "" ."|vaateplatvormile|LOC
""" Võimult lahkunud valitsusi aga vaadatakse tagantjärele nostalgiliselt - ega neil viga olnudki . """|Võimult|"NONE"""
Paljud Jõgevamaa vallavalitsused on internetiühenduse puudumise pärast mures , kuna üha rohkem informatsiooni riigiasutustest muutub tasapisi elektrooniliseks ning paberil dokumente liigub järjest vähem , kirjutab ajaleht Vooremaa .|paberil|NONE
Laupäeval selgub õnnelik tiitliomanik , enne seda astuvad võitlustulle veel kaks truppi .|võitlustulle|NONE
Päästearmee Kopli korpuses käis|korpuses|LOC
"""Vaatamata NBA-ahvatlusele käis ta ülikoolitee Wake Forestis lõpuni ja lõikab nüüd dividende . """|NBA-ahvatlusele|NONE
Linnakodanikke hämmastas , et Mamutovi protsessil käis kohtuotsust kuulamas Tartu autoregistribüroo juhataja Nikolai Sess .|protsessil|NONE
Minu hea eesti kolleeg pole käinud Vormsil ega Prangli saarel , aga meie abikaasaga viibisime möödunud nädalal Halliste jõel kanuumatkal .|Vormsil|LOC
""" Atlasss ! "" astub perenaine mesimagusalt suurele loomale ligi ja sügab tedagi sarvede tagant ."|loomale|LOC
"""Tema kaksikutel poegadel Savilil ja Simeonil jookseb neljas elusuvi ."|kaksikutel|"NONE"""
Nädalavahetustel käin vastavalt oma rahakotile keskturul .|rahakotile|NONE
"""Enne lennukisse minekut oli Tombak lahinguvalmis : "" Kui enesetunne hullemaks ei lähe , istun laupäeval sadulasse ."|sadulasse|"LOC"""
"""Istus hommikupimeduses Otepääl autosse ja roolis Tallinna , võttis Toompeal peaministrilt preemia ja sõi temaga pidulikku lõunat , kohtus lugematute õnnitlejatega ja andis äsja spordi avastanuile intervjuusid ."|hommikupimeduses|"NONE"""
Öösel põlengupaigal käinud inimesed rääkisid , et tuli sai alguse rahvamajaga ühe katuse alla ehitatud elektrita hoiuruumist , mille eraldi sissepääs oli lahti .|põlengupaigal|LOC
"Esmakordselt astus püünele porgandpaljas inimene New Yorgis muusikalis "" Juuksed "" 1968. aastal"|muusikalis|NONE
Tal on pikad juuksed , hall habe ja vasaku rinna kohal on tal tätoveering , mis kujutab pilvel istuvat naist .|pilvel|LOC
Võttis lihtsalt puhkuse varem välja ja käis operatsioonil ära .|operatsioonil|NONE
Re ( ogonek ) iimist power lahkub auto kohe , kui juht lülitab sisse kiirusehoidiku .|iimist|NONE
Norrast Eestisse vääriskala vedav ja seda Keskturul müüv Oleg Lvov , 44 , ning Venemaalt Kesk-Euroopasse kala importiv Aleksandr Klepatš istusid teisipäeval Lvovi kodumajas Meriväljal Ida tee ja Heki tee nurgal , kui keskkriminaalpolitsei tuli , Lvovi käed raudu pani ja ta eeluurimisele viis .|Meriväljal|LOC
Kalalkäigult tulnud haigur istus puhkama Maureen Brewini korstnale Inglismaal Northamptonis .|korstnale|LOC
Kokkupõrke põhjustas rahukontingendile KFOR kuuluv sõiduk , mis liikus ühesuunalisel teelõigul eksikombel vastassuunas .|teelõigul|LOC
"""Lisaks juba mullu festivali filme demonstreerinud kinomajale , Sakala keskusele , kinole Sõprus ja vene kultuurikeskusele jooksevad festivali filmid tänavu ka vene draamateatris ja Tartu kinos Illusioon ."|draamateatris|"LOC"""
"""Ega see mulle eriti veel kohale pole jõudnud , "" naerab lauljatar Hanna-Liina Võsa , kes nädala pärast lahkub Maarjamaalt ja alustab õpinguid Ameerikas ."|Maarjamaalt|"LOC"""
Ehkki lapsepõlves käis ta Kuku-klubis päevasel ajal söömas ning vaatas Kunstifondi ruumidest Niguliste kiriku põlemist .|Kuku-klubis|LOC
""" Oleme patrullidele sõnad peale lugenud , et nad hommikuti ikka koolide läheduses liiguksid , "" märkis ta ."|läheduses|"LOC"""
"""Kõrgushüppe kohta kostis Nool , et jooksis 2.00-l latile liialt sisse : "" Jõudu jätkus , aga see ei suundunud üles ."|latile|"LOC"""
Veebilehe andmeil viidi pühapäeval linna veel 800 võitlejat , äärelinnades käivat juba lahingud .|äärelinnades|LOC
Raamatu autori südamesse astus Elvis umbes 1977. aastal , kui toona 13aastane Tõnu nägi telerist juhuslikult klippi Elvise matustest , mida austas oma kohaleolekuga ligi 7000 inimest .|Elvis|NONE
"""Jugoslaavia kriisile diplomaatilise lahenduse otsimine jookseb täistuuridel - esirinnas on vähemasti sõnades ikka Venemaa ja tema järel nüüd ka ÜRO peasekretär Kofi Annan , OSCE ja euroliit ning ilmselt kõige tõsisemalt viimase eesistujariik Saksamaa ."|kriisile|"NONE"""
Kohustusliku kirjanduse lugemisajaks jooksevad emmed-issid mõne teose leidmiseks mööda linna jalad rakku .|rakku|NONE
"""Kui ta katsub perenaist majapidamistöödes abistada , saadetakse ta ära kambrisse , kui ta üritab seal klaverit mängida , hakkab haige vanaperemees tagatoas köhima , oigama ning palub viimaks : jätku kallis laps ometi järele , see käib luust ja lihast läbi !"|luust|"NONE"""
Inge Ojalal käivad varjupaigas abiks ka mees ja tütar .|varjupaigas|LOC
Ja nüüdismaailmas liigub tehnoloogia suhteliselt kiiresti käest kätte .|nüüdismaailmas|NONE
Kosovo lõunaosas asuva Urosevaci linnast idas asuval nisupõllul käib juba kaks kuud kõva ehitustegevus , kus USA rahuvalvajatele püstitatava baasiga tahetakse sõduritele luua kodune atmosfäär ja kaitsta neid rünnakute eest .|nisupõllul|LOC
"Teatrikooli XIX lennu tudengid astuvad täna publiku ette vanal seto lugulaulul põhineva "" Kalmuneiuga "" Tallinna vana elektrijaama turbiinisaalis Põhja puiesteel , nüüd energeetikamuuseumis ."|turbiinisaalis|LOC
Võrumaal Ruusmäe , Rõngu , Antsla ja Sõmerpalu trajektooril liikunud maru tõttu langes seal rivist välja 450 trafopunkti .|trajektooril|NONE
Sügishooajal käin ilmselt paar korda perega Rootsis ja mõned korrad mujal Euroopas konverentsidel või loengut pidamas .|Sügishooajal|NONE
Suure sihi nimel teeb Tiidemann nädalas 25 treeningut -- ujub ja jookseb kuuel , vehkleb ja tulistab viiel ning ratsutab kolmel korral .|kuuel|NONE
Eile Londonis suurel vabaõhulaval üles astunud Chris De Burgh oma kolmetunnisest Tamula kontserdist otseülekannet teha ei lubanud .|vabaõhulaval|LOC
Pala lapsed käivad Alatskivil ja Tartus keskkoolis , Alatskivi vallaga on ühine vallaarst .|Alatskivil|LOC
Populaarne naiskriminalist Miss Marple toimetab juurdlusi Christie 12 romaanis ja 20 lühijutus , Vanemuise lavale astub ta Maimu Krinali kehastuses .|kehastuses|NONE
Aga tõe-näoliselt astus Kvashnin nii järsult kaitseministri vastu välja president Vladimir Putini teatud toetusel .|toetusel|NONE
Arusaamine käib käsi-käes küpsusega .|käsi-käes|NONE
Küllap oleksingi mammiks jäänud , nagu mind mees ja hiljem lapsedki kutsusid , aga võtsin end kokku ja astusin kultuurikolledõisse raamatukogundust õppima .|kultuurikolledõisse|LOC
"""Kollase Jõe deltas , Shandongi provintsis käisin kahes linnas ."|deltas|"LOC"""
Sel aastal käis ta seal teist korda külas oma üliõpilasest vennal .|üliõpilasest|NONE
Euroopa börsid liikusid reedel plussis , kuid Wall Streeti avanemine miinuses vallandas kasumivõtmise .|plussis|NONE
Tsurkan ja Harkin lavastasid rahaautos istunud Kuusksalule kallaletungi ning sõitsid rahaveomasinaga minema .|rahaautos|LOC
Miljon kilomeetrit ehk 25 korda ümber maakera sõitnud buss on ühe korra käinud kapitaalremondis .|kapitaalremondis|NONE
Arge oli omal ajal sõlminud Nordika ja RBH vahelise arvelduskrediidi lepingu 10 miljoni krooni peale , mille alusel liikusid varad Nordikast RBHsse ning vastutasuks ei pidanud Nordika oma Rävala büroo kolme korruse eest renti maksma .|RBHsse|LOC
Puhastuse ootuses käisin kogu aeg massaažis .|ootuses|NONE
Kõrvuti Draamateatri näitlejate Lembit Ulfsaki , Mait Malmsteni , Kleer Maibaumi , Veikko Tääri ja Taavi Teplenkoviga astuvad rockmuusikalis lavale noored lauljad Jakko Maltis , Kaire Vilgats , Kelli Uustani , Ele Raik , Maria Kasepalu-Joffe , Lauri Liiv ja Bert Pringi .|rockmuusikalis|NONE
Muidugi liigub vormelimaailmas väga suur raha .|vormelimaailmas|NONE
Endine Tšiili diktaator Augusto Pinochet käis teist korda viimase üheksa päeva jooksul aju-uuringul , mille tulemusi aga arstid ei avalda .|aju-uuringul|NONE
Seni on Morozov keeldunud legaliseerimast enda viibimist Eestis ega pole ettekirjutusest hoolimata siit seni ka lahkunud .|ettekirjutusest|NONE
Vene president Vladimir Putin astus eile juba teist korda viimase kahe kuu jooksul Jaapanis judotatamile , kus ta aga 10-aastase koolitüdruku poolt selili heideti .|judotatamile|LOC
Tallinna linnavalitsus ei kavatse koonderakondlasest Kristiine linnaosavanemat Juhan Hindovit ( pildil ) ametist vabastada , kuigi Koonderakond lahkus möödunud reedel Tallinna võimuliidust .|võimuliidust|NONE
Tänavad blokeeriti , mina aga istusin koos emaga trollis ning meil oli vaja jõuda Balti jaama , et sealt siis bussiga seenele sõita .|trollis|LOC
Või näiteks kuivõrd fundamentaalne on ikkagi Tartu-Tallinna füüsiline vastuolu , ehkki võrgumaailmas käib kahe linna elanike vahel tihe suhtlemine .|võrgumaailmas|NONE
"""Ametlikku kandidaatide süsteemi pole , kuigi väitlus käib juba ajalehtede siselistidel , "" ütles Tammerk ."|siselistidel|"NONE"""
Natalja ehmunud kaaslane jooksis pärast õnnetust trollipeatusse ja sõitis minema .|trollipeatusse|LOC
Peaaegu iga päev käib ta mõisamajast , mida praegu Rõuge huvikojaks kutsutakse , läbi .|mõisamajast|LOC
"""Kõik suuremad mobiilitootjad astuvad jõuludele vastu tuliuute noortetelefonidega ."|jõuludele|"NONE"""
Ida-Viru maakonnakeskuses Jõhvis käib tööd otsimas umbes 1200 inimest kuus ehk keskmiselt 50 inimest päevas .|maakonnakeskuses|NONE
Järelikult käib jutt järjekordsest Vene-pärasest teede ja külade lauspommitamisest , mitte NATO poolt demonstreeritud täpsuslöökidest .|lauspommitamisest|NONE
"Paljud pangad on sel aastal oma töötajatele juba maksnud "" kuldsete käeraudadena "" mõjuvaid preemiaid , kuna andekamate töötajate värbamisel käib tihe konkurents ."|värbamisel|NONE
Arendavad keelt , kultuuri , kõnnivad rahvariideis , helistavad kannelt .|rahvariideis|NONE
Mängu tootja Blizzard kinnitab , et mäng jookseb ilusti 233-megahertsise protsessori , 32 MB mälu , 650 MB vaba kettaruumi ja DirectX graafikakaardi olemasolul .|olemasolul|NONE
Pärast tagasiastumist valitsusjuhiametist 1999. aasta lõpus lahkus Paksas ka konservatiivide parteist ning asus Liberaalide Liidu etteotsa .|Paksas|NONE
Naised , kes käisid 1997. aasta mais ekspeditsioonil põhjapoolusel , alustasid oma retke lõunapoolusele 24. novembril , olles eelnevalt 18 kuud Norras treeninud .|põhjapoolusel|LOC
""" Kui tulemus , mille Bemis nüüd välja käib , pole midagi sellist , mis oleks väärinud niisugust poolehoidu , siis ollakse tulevaste taoliste aktsioonide suhtes kindlasti palju skeptilisemad , "" rääkis sotsioloog ."|Bemis|"NONE"""
Pärast seda esitas Vaik lahkumisavalduse vallavanema kohalt ning astus välja ka Isamaaliidust .|Isamaaliidust|NONE
Olen käinud Eestis palju tööreisidel , ei tunne aga ometi kuigi hästi neid põhimõtteid , milledele tuginedes toimivad teie kohalikud omavalitsused .|tööreisidel|NONE
Kõnnime kaldapealsel , mis veel paarikümne aasta eest oli nii püha , et siin vaid vilja kasvatati .|kaldapealsel|LOC
Merike räägib loo ajast , kui käis vaegnägijatele esinemas .|vaegnägijatele|NONE
Maailma viimase 15 aasta valitsejale Kasparovile ( 37-aastane , Elo 2849 ) astub vastu rahvusvahelise alaliidu FIDE edetabeli teine number ( 25 , 2770 ) , kuu aega kestvas matshis mängitakse 16 partiid .|valitsejale|NONE
Peipsil kalal käinud kolme lätlase vahel tekkis tagasiteel tüli , mille käigus Viktor ( 46 ) pussitas Vladimirit ( 47 ) ja Antonit ( 42 ) .|Peipsil|LOC
Kaukaasias käisid piigad ujumas .|Kaukaasias|LOC
Samal ajal väidavad mõned allikad , näiteks Saksa nädalaleht Der Spiegel , et jutt käib dokumendist , mille koostas Hiina kompartei keskkomitee sõjaline allkomitee .|dokumendist|NONE
Ta 12aastane poeg käib hokitrennis ja 14aastane tütar uisutamas .|hokitrennis|NONE
"""Tuttavad jooksevad Pääskülast kohale , näost valged ."|Pääskülast|"LOC"""
Ma olen Laari mahitusel käinud , 1993. aastal .|mahitusel|NONE
Linnapeadest käisid peale Suklese ja Mägi platsil Pärnu linnapea Andres Sooniste , Kuressaare linnapea Jaanus Tamkivi , Tapa linnapea Voldemar Nellis ja Rapla linnapea Aare Heinvee .|Linnapeadest|NONE
Kitsukeses sakstekambris istusid ühe laua taga Delta mehed kaasadega ja teises tantsutüdrukud .|sakstekambris|LOC
United ja Real polnud oskusi mõõtnud koguni 32 aastat - toona jäid inglased meistrite sarja poolfinaalis peale ja liikusid Euroopa palliväljadel esimese suure vallutuseni .|palliväljadel|LOC
Laupäeva pärastlõunal kell 15.20 astus Raivo Kumm , 8 , Raplas Tallinna maantee ja Kooli tänava ristmikule maha märgitud ülekäigurajale ehk sebrale .|ülekäigurajale|LOC
Ta ise sobib siin hästi näiteks : kui kahe vanema , 1974. ja 1975. sündinud tütre detsember tähendas vaid jõuluvana ootust , siis 1979. aastal sündinud noorimal käisid ka päkapikud .|noorimal|NONE
Tartus tööle hakanud Kalda Konsum astub toidumüügiturule viimase peal tehnika , suure parkla ja tugeva turvasüsteemiga .|toidumüügiturule|NONE
Analüüsitud lepingutest nähtub , et töötlejate poolt hulgiettevõtjatele antavad maha- ja allahindlused on erinevad , seega on välistatud olukord , kus kaup liiguks töötlejalt jaemüüjatele ühesuguste hindadega .|jaemüüjatele|NONE
Philadelphia 76ersi jõud käis võõrsil 118 : 110 üle Golden State Warriorsist .|Warriorsist|NONE
Istun linnadevahelise bussi kümnendal istekohal ja üritan magama jääda .|istekohal|LOC
Need inimesed , kes käisid seal 80ndatel , poleks ehtsasse Studio 54 sisse saanud , sest see oli niivõrd elitaarne .|80ndatel|NONE
Kotitäis õunu näpus , tunnistame naisele viisakalt üles , kellega tegemist ja uurime tema suhtumist koduõuele astunud võõrastesse .|koduõuele|LOC
Sestsaadik , kui Geidar Alijevile mullu südameoperatsioon tehti , liiguvad pidevalt kuuldused tema halvast tervisest .|tervisest|NONE
No käisime korra teatud ettevalmistustel Pihvas diviisis .|Pihvas|LOC
Paar aastat tagasi , kui Coulthard ja Schumacher Belgias kokku põrkasid , jooksis viimane vihast tulipunase näoga McLareni boksi juurde ning oli valmis shotlasele kere peale andma .|vihast|NONE
Lennuk lahkus Pitcairnilt , lastiks tohutul hulgal mandariine , apelsine , kookospähkleid , ananasse , papaiasid , sidruneid , greipe , laime , banaane , leivapuu vilju , mangosid ja muud värsket , mida üks küllusesaar võib pakkuda .|Pitcairnilt|LOC
