sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation
2101376,3353927,11,juhinduma,,el,sisekord,sisekordadest,"Nendes küsimustes langetavad otsuse meie piirkonnad , kes juhinduvad meie sisekordadest ja eetikakoodeksist .",,,,no,
4033468,6491658,6,kaasama,,ad,hooaeg,hooajal,"Kristina seltskond on eriti sel hooajal nutikalt kaasanud inimesi , kes on toonud endaga mõistmise , et vaid nüüdisteaduse tasemel saab kroonida võitjaeeldustega isiku tõeliseks võitjaks .",,time,,no,
16682497,25670387,11,selgitama,,ad,menetlemine,menetlemisel,"Aga mis puudutab Siseministeeriumi , siis nagu ma juba eelarve menetlemisel selgitasin , seisab ees selle ja ka ametite ümberkorraldamine .",,,,no,"The phrase 'menetlemisel' refers to the process of handling or discussing the budget and is not describing a location, so it is not an adverbial of place."
13228328,21164291,13,lisanduma,,ad,kca,kcal,"Kui lubada endale ka 200grammine tops küpsise tiramisut , lisandub veel 536,2 kcal ja 26,4 g rasva .",,,,no,
4914390,7890876,22,puuduma,,abl,istungjärk,istungjärkudelt,"Eile jõudis Kreekast Salonikist südameuuringutelt koju Riigikogu rahanduskomisjoni esimees Olev Raju , kes ainsa parlamendiliikmena puudus eelmisel nädalal presidendivalimisteks korraldatud erakorralistelt istungjärkudelt .",,,,yes,The phrase 'istungjärkudelt' indicates a location or source (from the sessions) and is therefore classified as an adverbial of place.
8231589,13208224,9,arvestama,,ad,leidmine,leidmisel,EE teada arvestas erastamisagentuuri peadirektor  Väino Sarnet  nõustaja leidmisel esialgu pea 45 miljoni suuruse summaga .,,,,no,
7948195,12735232,13,lugema,,ad,puhkus,puhkusel,oh sa Mahtakene kas oli puhast särki sulle selga panna õde-perenaine on puhkusel luges enne sanitaaridele nende jao kätte kas surijaid on ka ette arvestatud muidu kui ööse kellegil õnnetus juhtub ja ommikul puhast särki küsib ütleb sanitaar ükspuhku ei ole ei ole vannipäev saad,,,,no,
553550,874459,12,tundma,,el,eelisõigus,eelisõigusest,"Häbenesin seda kangesti , kuigi salamisi tundsin kergendust raamatu- ja vorstiostu eelisõigusest .",,,,no,
13861390,22102563,4,toituma,,el,kompleks,kompleksidest,"« Kollid toituvad kompleksidest , hirmudest , ja aina kasvavad .",,,,yes,The phrase 'kompleksidest' describes a source or origin (from complexes) and is thus classified as an adverbial of place.
8693076,13946295,13,ütlema,üles,ad,kaevis,kaevisel,Ta kutsus oma inimesed kokku ning pärast lühikest nõupidamist sealsamas tühjaksröövitud linna kaevisel ütles Bigartile teenistuse üles :,,,,yes,"The phrase 'kaevisel' specifies a place (on the excavation), which qualifies it as an adverbial of place."
9442787,15162496,12,pälvima,,ad,viljelemine,viljelemisel,"Lavastaja Merle Karusoo pälvis preemia järjepideva loomingulise tegevuse eest dokumentaalse teatri viljelemisel , uurimisel ja arendamisel ja 1997. aasta lavastuste “ Kured läinud , kurjad ilmad ” ( Eesti Draamateater ) , “ Laste riskiretk ” ( VAT Teater ) ja “ Sügis 1944 ” ( Viljandi kultuurikolledzh ) eest .",,,,no,
1745125,2778238,1,pöörduma,,ad,peksmisõhtu,Peksmisõhtul,"Peksmisõhtul pöördus Ruuber kriminaalpolitseisse , eile käis ta kohtumeditsiinilises ekspertiisis .",,,,no,
1256095,1997647,6,lõpetama,,el,istung,istungitest,"Jaanuarist lõpetas ETV otseülekanded riigikogu istungitest , mida opositsioon nimetab poliitiliseks otsuseks ning nõuab ringhäälingunõukogu esimehe Paul-Eerik Rummo ja liikme Andres Herkeli tagasiastumist .",,event,,yes,"The phrase 'istungitest' indicates the location (place) related to the action of stopping live broadcasts, which qualifies it as an adverbial of place."
11394702,18259707,3,valmistama,,all,Bondarenko,Bondarenkole,"Lisarõõmu valmistas Bondarenkole tõsiasi , et punkt saadi tänavu esmakordselt looduslikul murul mängides .",,,PER,no,"The phrase 'Bondarenkole' refers to the recipient of the action (dative case) rather than indicating a place, so it is not an adverbial of place."
127508,213568,11,lubama,,ad,Kalev,Kalevil,"See lõi teadagi lõunamaalaste mänguplaani põhjalikult sassi , mis lubas Kalevil otsustava vahe skoori sisse raiuda .",,alive,PER,no,
1063467,1690574,4,mõistma,,all,Maarika,Maarikale,"Hea õpetaja tähendab Maarikale mõistvat inimest , sellist , nagu oli õpetaja Laur .",,,LOC,no,
6659617,10715650,24,pöörduma,,ad,hääl,häälel,""" Mul on kavaleride jaoks Accessi andmebaas … "" * Kohvikusse siseneb ilmselgelt rase naine , istub raske ohkega lauda ja pöördub kaeblikul häälel ettekandja poole : "" Neiu , mul on arvatavasti 0,3e vaja … "" "" Kuidas-kuidas ? "" satub ettekandja ärevusse .",,,,no,
7597772,12192312,5,tüdinema,,el,päev,päevast,“ Ma olin tüdinenud päevast päeva osa võtmast igasugu juhatuste ja nõukogude koosolekutest Rootsis .,,,,no,
14801153,23280006,21,toetama,,ad,rahapuudus,rahapuudusel,"Mullu maksti hulkuri eest 25 krooni , tänavu Pärnu kommunaalamet Terveksit , mis muu hulgas ka loomade magamapanemisega tegeleb , rahapuudusel enam ei toeta .",,state,,no,
2950005,4730673,6,hääletama,,el,uuskodanik,uuskodanikest,"Ometigi hääletab enamik Iisraeli vene-heebreakeelsetest uuskodanikest radikaalsete , ilmaliku orientatsiooniga parteide poolt - peapõhjuseks on nende nõukogude või postnõukogude kasvatus ja mentaliteet .",,,,no,
2715728,4356407,13,tuginema,,ad,alandamine,alandamisel,"Üldine hinnalangus peaks Selverites Puusepa sõnul jääma kuue protsendi piiresse , hindade alandamisel tugines Tallinna Kaubamaja kontsern Eesti Konjunktuuriinstituudi koostatavale neljaliikmelise pere toidukorvile , mille kohaselt on seniste ja tulevaste hindade keskmine vahe 6,19 protsenti .",,,,no,
8974744,14429257,9,pooldama,,el,tudengikandidaat,tudengikandidaatidest,Pärast sisseastumiseksameid kuni aastaks armeeteenistusse minekut ei poolda tudengikandidaatidest peaaegu keegi .,,,,no,
9453854,15180681,7,lugema,,el,juut,juutidest,"Juudi keelt lugesid oma emakeeleks 61% juutidest , ukraina keelt tunnistasid 40% ukrainlastest ja valgevene keelt 22,8% valgevenelastest .",,alive,,no,"The phrase 'juutidest' refers to a group of people ('of Jews') rather than a specific location, so it is not classified as adverbial of place."
14442211,22870428,2,vastama,,all,andme,andmele,Igale andmele vastab 32-bitine sõna .,,,,no,
6398117,10284635,14,jääma,kõrvale,el,teadmine,teadmistest,Selle tagajärjel islam isoleeris end ja jäi sajanditeks kõrvale nii maailmas levivatest uutest teadmistest kui ka majanduslikust ning tehnoloogilisest arengust .,,state,,no,
17224965,26445175,9,pöörduma,,ad,vare,varemetel,"Ruupor , mille kaudu president George W. Bush WTC varemetel päästjate poole pöördus .",,,,yes,"The phrase 'varemetel' refers to a specific location ('on the ruins'), indicating a place where the action occurred, thus it is classified as adverbial of place."
13907252,22177936,4,tutvustama,,ad,treening,treeningul,"Äsja tutvustas Ježic treeningul üht uut mängijat ja luges tervele meeskonnale sõnad peale : « Ärge talle sisse sõitke , ta on minu perekonnast !",,event,,yes,"The phrase 'treeningul' specifies the location ('during training') where the action of introducing the new player occurred, so it is classified as adverbial of place."
6675804,10741057,5,külastama,,ad,rai,Rail,Teisipäeval külastasid Valgat projekti Rail Baltica Euroopa Komisjoni poolne koordinaator Pavel Telička ja Tšehhi investeerimisfirma OKD Doprava esindajad .,,alive,,no,
3815071,6145085,12,võtma,välja,ad,osaline,osalistel,"Euroopa Liidu tippkohtumine Amsterdamis võttis kolmapäeva hommikutundidel lõppedes võhma välja kõigil osalistel , Kok aga oli see mees , kes kõiki erimeelsusi ükshaaval 14 ja enama liidriga lahendada püüdis .",,,,no,
141503,235978,3,helistama,,all,Meelis,Meelisele,"Mait helistas Meelisele ja tahtis kokku saada , aga Meelis oli siis Venemaal .",,,PER,no,
7767524,12452835,13,nõudma,,ad,korraldus,korraldusel,"“ Tekkisid kolme tööpäeva ja tariifide vahed , mille tasumist nõudsime pearaamatupidaja korraldusel lastevanematelt .",,,,no,
1782392,2838432,22,austama,,ad,arendamine,arendamisel,Riigikontroll austab oma medaliga postuumselt viimast Teise maailmasõja eelset Eesti riigikontrolöri Karl Johannes Soonpääd tema tegevuse eest Eesti tollase riikliku kontrollisüsteemi arendamisel .,,,,no,
2634735,4227424,12,astuma,,ad,karikatuur,karikatuuridel,"Piltlikult öeldes olid just nemad need valged rahutuvid , kes lugematutel karikatuuridel astusid vapralt vastu pomme ja haakriste täis riputatud metsalisele .",,,,yes,"The phrase 'karikatuuridel' specifies the location where the actions of the white doves were depicted, making it an adverbial of place."
916744,1460298,17,arvestama,,ad,omistamine,omistamisel,"Pangandussektorit ja välistasakaalu ehk jooksevkonto puudujääki puudutavad raskused , millega Fitch arvestas 1997.aastal esimese reitingu omistamisel , on praeguseks möödas .",,,,no,"The phrase 'omistamisel' refers to the time or occasion when the rating was assigned, not a location, so it is not an adverbial of place."
14982589,23504310,13,keskenduma,,ad,fännitribüün,fännitribüünil,"Tundmatuks jääda soovinud pealtnägija kirjeldas toimunut : Mäng oli igav , keskendusin fännitribüünil toimunu jälgimisele .",,,,yes,"The phrase 'fännitribüünil' indicates the place where the person was focusing their attention, making it an adverbial of place."
508489,800245,18,muutuma,,all,kalastaja,kalastajatele,"Alates esmaspäevast keelas Pärnu maavanem Toomas Kivimägi jäälemineku ka Pärnu lahel , sest nõrk jää on muutunud kalastajatele eluohtlikuks .",,alive,,no,
6340513,10188297,3,soovitama,,ad,Schulz,Schulzil,Berlusconi soovitas Schulzil vastuseks minna mängima ühes Itaalia filmis natsliku koonduslaagri valvurit .,,,PER,no,
6645362,10692993,19,karjuma,,all,turvaja,turvajale,""" Siin kamandan mina , teie istuge aga autosse , "" karjus heledapäine turvaülem vene keeles patriarhi Vene-poolsele turvajale , kes ilmselt ei soovinud nii tulise rutuga lennuväljalt lahkuda , kui kohalik turvaplaan ette nägi .",,alive,,no,
5003671,8034090,19,lõppema,,ad,initsiatiiv,initsiatiivil,""" Keskmine hüvitise suurus , kui töölepingu lõpetab tööandja , on 7,5 kuupalka , kui tööleping lõppeb töötaja initsiatiivil , on keskmine hüvitise suurus 4,7 kuupalka , "" märkis Orula .",,,,no,
113589,190849,25,täituma,,ad,päev,päevadel,"Uusasundused , mille ehitus Peresi ajal peatati täielikult - isegi valminud majadesse ei lubatud uusi elanikke sisse kolida - , täitusid Netanyahu valitsemisaja esimestel päevadel .",,,,no,
13140500,21026293,12,käskima,,ad,partei,parteil,"Ja varem , esmaspäeval , käskis parlamendi juurde loodud sõltumatu parlamendieetikakomisjon parteil raha miljonärile tagasi maksta .",,alive,,no,
1933892,3081858,3,üritama,,ad,laskumine,laskumistel,""" Üritasin laskumistel iga hinna eest grupi eesotsas püsida .",,,,yes,"The phrase 'laskumistel' describes the place where the individual tried to stay ahead, classifying it as an adverbial of place."
7032455,11296676,5,lendama,,ad,ide,idel,"British Airwaysi Concorde'idel on veerand sajandi jooksul lennanud 2,5 miljonit inimest .",,,,no,"The phrase 'idel' does not specify a location but is part of a compound noun, so it is not an adverbial of place."
523282,824591,7,tulenema,,el,ettepanek,ettepanekust,"Vajadus seaduste täiendamise järele tulenes õiguskantsleri ettepanekust , millega tehti ettepanek parkimisseaduse ja haldusõiguserikkumiste seadustiku põhiseadusega kooskõlla viimiseks .",,,,no,
136287,227781,6,algama,,ad,aastapäev,aastapäeval,"Hämmastaval kombel algas just küüditamise aastapäeval Euroopas , mõne tuhande kilomeetri kaugusel veelgi vägevam küüditamine .",,time,,no,
17758394,27113813,4,saama,üle,el,pask,pasast,Saage sellest poliitilisest pasast üle ja hakake ka elu väärtustele mõtlema .,,,,no,
12719431,20349031,7,startima,,ad,MK-sprint,MK-sprindil,Erkki Jallai stardib laupäeval elu esimesel MK-sprindil ega oska seetõttu midagi ennustada .,,,,yes,"The phrase 'MK-sprindil' specifies the location where Erkki Jallai will start, making it an adverbial of place."
10519936,16865184,4,kaitsma,,ad,teisipäev,teisipäeval,Jaak Allik kaitseski teisipäeval Mart Opmanni ja Tiiu Aro käitumist .,,time,,no,
2697904,4327766,16,lõpma,,ad,kandmine,kandmisel,Õigus saada lapsehoiutoetust tekib vanemahüvitise seaduse alusel makstava hüvitise lõppemisel ja see õigus lõpeb lapse kandmisel koolieelse lasteasutuse või kooli nimekirja .,,,,no,
15182446,23724200,7,kasutama,,el,lõige,lõigetest,"Kui üks lepinguosalistest kasutab käesoleva artikli lõigetest 2-5 tulenevat õigust nõuda materjali või seadmete tagastamist , kompenseerib ta enne nende äraviimist teise lepinguosalise territooriumilt või kontrolli alt teisele lepinguosalisele viivitamata nende õiglase turuväärtuse ja sellise äraviimisega tekitatud kulud .",,,,no,
8648447,13875590,8,kurtma,,ad,mina,meil,"See peaks koolihariduse juurde kuuluma , ent meil kurdab staazhikas kriitikki et  paradoksideklassik Becketti paradoksidetihedaid mõttekäike on öisel ajal raske jälgida ja kõik ei pruugi kohale jõuda  , nagu ühest vaadeldava ööteatri järelkajast lugeda oli .",,,,no,
695007,1105636,6,lõpetama,,el,hetk,hetkest,""" Eesti Televisioon lõpetab sellest hetkest reklaami näitamise , kui ETV arvele on laekunud TV1 poolt võlgu olev summa , "" kirjutas Lepp erakanalite tegevjuhtidele saadetud e-mailis , mis on ka Eesti Päevalehe käsutuses .",,time,,no,
9685826,15543549,23,lugema,,all,kastraat,kastraadile,"Nüüd juba üle aasta tagasi , kui film kinodes linastus , kirjutas üks eesti kultuuriprominent midagi sellist , et no mis see kastraadile ikka loeb , see on ju ainult tükike liha .",,alive,,no,
421670,657279,7,võtma,ära,abl,mees,mehelt,Maardu politseinikud võtsid esmaspäeval Maardus kahelt mehelt ära neli kotikest arvatavasti narkootilist ainet .,,,,no,
15237353,23796898,21,püüdma,,all,seletamine,seletamisele,"Ise ma esitaks ühe mõttekäigu , mis käib ka kuidagi filosoofiliste tuulte alla , aga ei püüa just kõrgemate elusaladuste seletamisele .",,,,no,
10661510,17085723,6,johtuma,,el,detailplaneering,detailplaneeringust,"See johtub juba linna omaaegsest detailplaneeringust , mis pidanuks staadioni ümbruse spordilinnakuks jätma .",,,,yes,It was classified as an adverbial of place because 'detailplaneeringust' specifies a location linked to the sentence context.
14048138,22366678,6,süüdistama,,ad,valitsusaeg,valitsusajal,USA süüdistas Nijazovit tema autokraatlikul valitsusajal inimõiguste rikkumistes .,,time,,no,
6195473,9948576,4,algama,,ad,harjutusväljak,harjutusväljakul,"Kell 16 algab harjutusväljakul naiste vasaraheide , kus tipptaset pakub MM-i neljas , kuubalanna Manuela Montebrun .",,,,yes,It was classified as an adverbial of place because 'harjutusväljakul' specifies the physical location where the event occurs.
17990115,27375190,7,tuletama,,all,seltskond,seltskonnale,Teade tulekahjust ilmus lehtedes ja tuletas seltskonnale meelde “ tema kohust meie rahvakultuurilise asutuse vastu ” .,,,,yes,"It was classified as an adverbial of place because 'seltskonnale' indicates the group towards which something is directed, interpreted as a metaphorical location."
1722311,2741603,5,osutuma,,ad,nõmm,Nõmmel,"Hooldustööd osutusid kõige kallimaks Nõmmel , kus tuli maksta kaks korda rohkem kui Õismäe korteris .",,location,LOC,yes,It was classified as an adverbial of place because 'Nõmmel' indicates the specific location associated with the described event.
13385065,21409891,4,lugema,ette,all,isa,isale,"Kristo loeb pühapäeviti isale koolitükke ette , aga vahel on ka vastupidi - isa loeb pojale mõnd huvitavat raamatut .",,alive,,yes,"It was classified as an adverbial of place because 'isale' refers to the person benefiting from or receiving the action, metaphorically indicating a directed location."
6904821,11095912,2,surema,,el,südameatakk,südameatakist,Suri südameatakist .,,state,,yes,"It was classified as an adverbial of place because 'südameatakist' indicates the specific cause or origin, linking to the location within the body."
