sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,tags,timex_tag,ekilex_tag,ner_tag
10620254,17022259,3,haigestuma,,adit,infektsioon,infektsiooni,"“ Anaeroobsesse infektsiooni haigestunud patsient sureb baroteraapiat saamata kindlasti , ” ütles uroloog Gennadi Timberg .",|S|AS|LS|ST|AST|LST|,,state,
1975651,3150511,11,haigestuma,,adit,tiisikus,tiisikusse,"Vanglaid ähvardab tuberkuloosipuhang , kui riik jätab tänavu katmata praeguseks tiisikusse haigestunud 250 vangi ravikulud .",|S|AS|LS|ST|AST|LST|,,state,
3508896,5650366,21,haigestuma,,ill,trombemboolia,trombembooliasse,"Masside hulka on paisatud statistika , et 100 000 naisest , kes on tarvitanud uuema põlvkonna antibeebibille , on 30 haigestunud trombembooliasse .",|S|AS|LS|ST|AST|LST|,,state,
187224,310836,13,surema,,adit,entsefaliit,entsefaliiti,"Mullu vapustas maailma kummaline haigus , seitse inimest suri New Yorgis senitundmatusse entsefaliiti .",|S|AS|LS|ST|AST|LST|,,state,
18131243,27547644,3,haigestuma,,adit,onühhomükoos,onühhomükoosi,"Inglismaal haigestub onühhomükoosi keskmiselt 4,8 inimest tuhande täiskasvanu kohta , kusjuures sagedasem on haigestumine meeste hulgas ning sagedamini diagnoositakse varbaküünte seenhaigust ( 7 , 8 ) .",,,,
1074725,1708377,23,haigestuma,,ill,ajukasvaja,ajukasvajasse,"Mõlema uurimuse puhul leidsid teadlased , et ükskõik mis meetodiga uurimisandmeid ka ei analüüsi , kuskil pole mingit viidet sellele , et ajukasvajasse haigestuvad just need , kes mobiiltelefoniga räägivad eriti palju .",|S|AS|LS|ST|AST|LST|,,state,
867555,1381900,9,haigestuma,,ill,nohusse-köha,nohusse-köhasse,"Kui seda on vähe , haigestub inimene sagedamini nohusse-köhasse ja viirushaigustesse .",,,,
10812425,17317261,1,haigestuma,,adit,ajuinfarkt,Ajuinfarkti,"Ajuinfarkti haigestub igal aastal 160-195 inimest 100 000 elaniku kohta , kõikidest surmapõhjustest on ajuinfarkt kolmandal kohal .",|S|AS|LS|ST|AST|LST|,,state,
12108045,19384127,3,surema,,adit,diabeet,diabeeti,Maailmas sureb diabeeti sama palju inimesi kui aidsi .,|S|AS|LS|ST|AST|LST|,,state,
867688,1382145,2,surema,,adit,ajakiri,ajakirja,Suri ajakirja Novõi Mir peatoimetaja,,,,
6200612,9957582,12,haigestuma,,adit,viirushaigus,viirushaigusse,"Olnud paar nädalat enne Birminghami sise-MM-i heas vormis , haigestus ta viirushaigusse , mis hiljem arenes kopsuklamüüdiaks .",|S|AS|LS|ST|AST|LST|,,state,
9329572,14985266,5,nakatuma,,adit,Hip-Hop,Hip-Hopi,Olen nakatunud Prantsuse Kuninglikku Hip-Hopi .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,,ORG
2332675,3735775,10,haigestuma,,adit,soolte-vähk,soolte-vähki,"See summa pole suur , kui arvestada , et soolte-vähki haigestub aastas paar tuhat ning sureb tuhat soomlast .",,,,
3248810,5220366,6,surema,,adit,sissehingamine,sissehingamisse,"Inimesed , kes mürgise suitsu sissehingamisse ka otseselt ei sure , kannatavad hingamisteede haiguste , nagu bronhiidi ja kopsupõletiku , käes .",,,,
6364090,10226621,15,haigestuma,,adit,kodu,koju,"Tegemist oli kaks aastat Hiinas Guandongi provintsis töötanud 33aastase mehega , kes haigestus teel koju .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
1535910,2444398,18,nakatuma,,adit,teetanus,teetanusse,Praegu hoolsalt ratsatrennis käiv Kati valmistub nimelt uue täkuga sõitmiseks - jõuluajal nakatus ju tema nooruke mära teetanusse ja suri .,|S|AS|LS|ST|AST|LST|,,state,
5993184,9618660,18,haigestuma,,ill,viir,viirusse,"Eesti seisab senikardetust suurema HI-viiruse epideemia lävel , sest praeguse nakatumise tempo juures haigestub aasta lõpuks surmavasse viirusse üle tuhande inimese .",,,,
6245616,10031853,4,nakatuma,,adit,mädanik,mädanikku,Puu on luuviljaliste mädanikku nakatunud .,|S|AS|LS|ST|AST|LST|,,state,
15764525,24587295,9,haigestuma,,ill,punetised,punetistesse,"Nii haigestusid lapsed esimesel eluaastal mumpsi harva , punetistesse aga sageli .",|S|AS|LS|ST|AST|LST|,,state,
927895,1478168,12,surema,,adit,südameinfarkt,südameinfarkti,"Esialgu möödus vulkaanipurse suuremate ohvriteta , vaid üks 75aastane külamees suri südameinfarkti , kui nägi tulemäe kraatrit leekides .",|S|AS|LS|ST|AST|LST|,,state,
13341882,21344132,5,haigestuma,,adit,vöötohatis,vöötohatisse,1998 . a haigestusin ka vöötohatisse .,|S|AS|LS|ST|AST|LST|,,state,
4965436,7972480,9,haigestuma,,ill,närvihaigus,närvihaigusesse,"Saaremaalt pärit 14-aastane nooruk haigestus Eestis harva esinevasse närvihaigusesse , millest paranemine võib kesta mitu kuud .",|S|AS|LS|ST|AST|LST|,,state,
462400,724997,5,haigestuma,,adit,gripp,grippi,Moskvas haigestub iga päev grippi 134 inimest 10 000 elaniku kohta .,|S|AS|LS|ST|AST|LST|,,state,
3715947,5984442,8,surema,,adit,teetanus,teetanusse,Paraku sureb igal aasta Eestis paar inimest teetanusse .,|S|AS|LS|ST|AST|LST|,,state,
12771499,20429481,4,surema,,adit,puupiiritusemürgitus,puupiiritusemürgitusse,Valitsus eraldas Pärnumaal puupiiritusemürgitusse surnud inimeste orvuks jäänud lastele ühekordseks toetuseks 83 000 krooni .,,,,
10968562,17568161,16,nakatuma,,adit,veisehullus,veisehullusse,"Viitega Läti ajalehes “ Neatkariga ” avaldatud teatele mainiti , et seda haigust põhjustab nn veisehullusse nakatunud looma liha söömine .",,,,
812933,1297038,4,surema,,adit,kuumasurm,kuumasurma,"Neli inimest suri kuumasurma New Jerseys , kaks Pittsburgi piirkonnas , kolm Uus-Inglismaal ja kaks Washingtonis .",,,,
7583289,12170228,1,haigestuma,,ill,Mukooshaigus,Mukooshaigusesse,Mukooshaigusesse ( MH ) haigestuvad 6–24 kuu vanused PI-loomad .,,,,
2679319,4298260,8,haigestuma,,adit,kõhulahtisus,kõhulahtisusse,"Eelmisel nädalal haigestusid Tallinki laeva Romantika reisijad kõhulahtisusse , Eesti tervisekaitseinspektsiooni hinnangul on kõige tõenäolisem adenoviirus , mida rahvasuu on ka kõhugripiks nimetanud , teatas BNS .",|S|AS|LS|ST|AST|LST|,,state,
5985649,9606118,5,surema,,adit,insult,insulti,"Venemaal sureb igal aastal insulti 500 tuhat inimest ( teine koht maailmas ) ning sealsed meedikud loodavad , et juba järgmisel aastal saabuvad nendest ainetest koosnevad ravimid ka sinna .",,,,
3437231,5533627,25,nakatuma,,adit,A-hepatiit,A-hepatiiti,"Nakatumiste statistika põhjal on välja arvutatud , et keskmiselt viibib ühes 333 reisijaga lennukis , mis naaseb kõrge A-hepatiidi riskiga piirkonnast , vähemalt üks A-hepatiiti nakatunud inimene .",,,,
7602351,12198871,15,surema,,adit,ahvihammustus,ahvihammustusse,"Ja lõpuks ei või sugugi kindel olla , et botaanik Ezra Chater Martinique'i saarel ahvihammustusse suri või poeet Byron Sidley pargis jänese laskis , duellipidamisest rääkimata .",,,,
384915,597683,4,haigestuma,,adit,kehvveresus,kehvveresusse,Tudeng haigestus raskekujulisse kehvveresusse ja suri .,|S|AS|LS|ST|AST|LST|,,state,
13270331,21231051,8,surema,,adit,sisehaigus,sisehaigusse,Mari haigestus ja suri hiljem mingisse raskesse sisehaigusse ja Indrek pidas end oma ema mõrvariks .,,,,
936835,1491856,13,surema,,adit,südamehaigus,südamehaigusse,Kambodža ekspeaminister ja kuningas Norodom Sihanouki liitlane Son Sann suri teisipäeval 89-aastaselt südamehaigusse .,|S|AS|LS|ST|AST|LST|,,state,
2138054,3415162,3,nakatuma,,adit,marutõbi,marutõppe,Maailmas nakatub marutõppe igal aastal kuni 100 000 inimest .,|S|AS|LS|ST|AST|LST|,,state,
1405361,2235182,14,haigestuma,,ill,lihasööjabakter,lihasööjabakterisse,"Breibergi sõnade kohaselt on Mustamäe haiglas praegu Tallinnast pärit inimene , kes haigestus lihasööjabakterisse kulmuvigastusest .",,,,
1963565,3131233,13,surema,,adit,veen,veeni,"Kaheksa ühe Bangladeshi haigla patsienti surid pärast vananenuks osutunud füsioloogilise lahuse manustamist veeni , 15 inimesel aga tekkis kõrge palavik .",,,,
17061507,26224260,8,surema,,adit,Kuressaare,Kuressaarde,"Pakk oli kaks aastat tagasi saadetud Tallinnast Kuressaarde surnud Lembitu õele , et too venna maha mataks .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,ORG
11853597,18970090,16,surema,,adit,metanoolisurm,metanoolisurma,Valitsusjuhi kohalolekuga alkoholitootmise õilistamine ja tarbimise propageerimine ning sellega seotud aktsiisilaekumised on valitsuse kindlaks prioriteediks metanoolisurma surnud vähemväärtuslikuma elanikekontingendi ees .,,,,
4940873,7933278,9,surema,,adit,taud,taudi,"Ta on kindlalt veendunud , et hullu lehma taudi surnud loom Rakvere Lihakombinaati ei pääse .",,,,
243350,389280,17,haigestuma,,ill,südamehaigus,südamehaigustesse,"Euroopas peaks igal sündival lapsel olema õigus elada vähemalt 65. eluaastani , ilma et ta haigestuks südamehaigustesse .",|S|AS|LS|ST|AST|LST|,,state,
11329863,18157090,7,haigestuma,,adit,trihhomoniaas,trihhomoniaasi,"Tervisekaitseinspektsiooni andmetel haigestus kõige rohkem inimesi trihhomoniaasi , kokku 1778 juhul .",|S|AS|LS|ST|AST|LST|,,state,
4399264,7075658,16,surema,,adit,hapnikupuudus,hapnikupuudusse,""" Eelmisel kevadel , kui veetase oli tänavusest kõrgem , tõmbasime järvest välja 20 tonni hapnikupuudusse surnud angerjaid , "" ütles Võrtsjärve endoloogiajaama kalabioloog Andu Kangur .",|S|AS|LS|ST|AST|LST|,,state,
5689035,9124221,18,haigestuma,,adit,kopsuhaigus,kopsuhaigusse,"Ajaleht Pakistan Observer väitis anonüümsele Talibani allikale viidates , et bin Laden haigestus paar nädalat tagasi raskesse kopsuhaigusse ja suri .",|S|AS|LS|ST|AST|LST|,,state,
71176,122157,4,surema,,adit,solgisurm,solgisurma,"Jutt , et solgisurma pole veel keegi surnud , siin paika ei pea .",|E|AE|EL|ET|AET|ELT|,,event,
3214042,5162823,1,haigestuma,,adit,noroviirusnakkus,Noroviirusnakkusse,"Noroviirusnakkusse haigestus mullu 168 inimest , kellel see ka laboratoorselt kinnitust leidis .",,,,
7382906,11849925,5,põdema,,adit,meningiit,meningiiti,"Ta on kaks korda meningiiti põdenud , aga sellest hoolimata kõbusa olemisega mees , kes mööda Neeruti künklikke teid nelja kilomeetri kaugusel poes käib .",|S|AS|LS|ST|AST|LST|,,state,
4661744,7491060,8,surema,,adit,maailm,maailma,USA-s Memphises suri eile 116. aasta vanuselt maailma vanim inimene Elizabeth Bolden .,,,,
2005103,3199038,1,haigestuma,,adit,langetõbi,Langetõppe,Langetõppe haigestub seitse korda rohkem mehi kui naisi .,|S|AS|LS|ST|AST|LST|,,state,
3024815,4851864,11,põdema,,adit,migreen,migreeni,"Üks varasem uuring näitab , et peale kaheaastast perioodi on migreeni põdenud inimene esimestele depressiooni-ilmingutele tavalisest viis korda altim .",|S|AS|LS|ST|AST|LST|,,state,
6496331,10448100,13,haigestuma,,adit,kõripõletik,kõripõletikku,"TALLINN , 28. august ( EPLO ) - Kolme aasta eest ägedasse kõripõletikku haigestunud naine tahab Mustamäe haiglalt valuraha , sest sealsed tohtrid tegid talle operatsiooni , mis tema olukorda halvendas , ning varjasid haige eest teisi ravivõimalusi Tartus , kirjutab Postimees .",|S|AS|LS|ST|AST|LST|,,state,
4989402,8011154,1,haigestuma,,ill,pojengi-ringlaiksus,Pojengi-ringlaiksusesse,Pojengi-ringlaiksusesse haigestuvad sageli just hästi arenenud ja korralikult hooldatud taimed .,,,,
16726860,25735579,13,haigestuma,,adit,liigutusnärvitõbi,liigutusnärvitõppe,Kahe täiskasvanud lapse ema Diane Pretty ( 43 ) haigestus harva esinevasse liigutusnärvitõppe 1999. aastal .,,,,
5047887,8101294,7,nakatuma,,adit,kärntõbi,kärntõppe,"Paljud viljad nakatusid vaatamata kahekordsele pritsimisele kärntõppe , ütles ETAle Eesti Põllumajandusülikooli Polli Aianduse instituudi direktor Toivo Univer .",|S|AS|LS|ST|AST|LST|,,state,
2685127,4307416,3,haigestuma,,adit,suhkurtõbi,suhkurtõppe,"Jaanika haigestus suhkurtõppe , kui oli alles viiene .",|S|AS|LS|ST|AST|LST|,,state,
123426,206847,14,surema,,adit,südamerabandus,südamerabandusse,"Samuti elas Eestis kapteni vanemabi Valentin Sarantsin , kes suri laeval politseihaarangu käigus südamerabandusse .",|S|AS|LS|ST|AST|LST|,,state,
12086609,19348570,6,surema,,adit,pantšen-laam,pantšen-laama,Kaks päeva hiljem oli kümnes pantšen-laama surnud .,,,,
187283,310937,7,haigestuma,,adit,meningiit,meningiiti,Mõnel pool Austraalias haigestuvad inimesed suviti meningiiti .,|S|AS|LS|ST|AST|LST|,,state,
15533597,24259267,57,surema,,adit,yletoos,yletoosi,"Ma ei saa aru , miks k6ik r22givad , et kanep on paha , miks keegi ei r22gi , et herohiin on paha , kas te kurat olete seal k6ik puuga p2he saanud  Miks keegi ei keela suitsetamist 2ra , ma olen aru saanud , et regular suits on surm , palju inimesi sureb 2ra kanepi yletoosi v6i pideva tarbimise tagaj2rjel ja palju regulaarse suitsetamise tagaj2rjel ?",,,,
5829703,9354890,8,surema,,adit,H5-tüüp,H5-tüüpi,"Türgi ametnikud ütlesid , et linnud surid H5-tüüpi grippi , kuid pole selge , kas tegemist on täpselt sama tüvega , mis paneb tervisekaitsjad eriliselt muretsema .",,,,
1761421,2804698,13,haigestuma,,adit,HIV-tõbi,HIV-tõppe,"Tervisekaitseinspektsiooni andmeil elab Eestis 73 HI-viiruse kandjat , kellest viis on haigestunud HIV-tõppe ehk aidsi .",,,,
181205,301240,16,surema,,adit,käsi,kätte,Politsei avastas maja varemete läbituhnimisel kahe vanainimese surnukehad - ilmselt surid nad kuumuse ja vingu kätte .,,,,
178852,297287,2,haigestuma,,ill,difteeria,difteeriasse,"Kuigi difteeriasse haigestuvad ka süsti saanud inimesed , põevad nad haiguse kergelt läbi .",|S|AS|LS|ST|AST|LST|,,state,
1897671,3023340,5,haigestuma,,adit,klaukoom,klaukoomi,"Ootamatult haigestus poiss silmahaigusesse klaukoomi , mille taga-järjel saabus pimedus .",,,,
15485428,24182782,3,surema,,adit,ketoatsidoos,ketoatsidoosi,( Suri ketoatsidoosi . ),,,,
10050386,16120206,3,haigestuma,,adit,veistehullustus,veistehullustusse,Eile haigestus veistehullustusse esimene tartlane .,,,,
5057919,8117618,29,haigestuma,,ill,BSE,BSEsse,"Tirooli peaminister Wendelin Weingartner ütles uudisteagentuurile APA , et Tiroolist pärit seitsme aastane veis tapeti Saksamaa Baden- Württembergi liidumaal ning esialgsed testid näitasid , et ta oli haigestunud BSEsse .",,,,
15929685,24780044,4,nakatuma,,adit,lennutamine,lennutamisse,Priidul on lohe lennutamisse nakatunud terve pere .,,,,
20488573,29622193,14,põdema,,adit,oldk,oldki,skc: kutt21 meie vähemalt noores eas põeme seda aga sul ple veel oldki,,,,
7075253,11373305,7,surema,,adit,poegimine,poegimisse,"Lehm sai veebruaris otsa , suri poegimisse .",,,,
607036,962320,19,surema,,adit,verevähk,verevähki,"Kümned riigikogu liikmed saatsid eile kaastundeavalduse NSV Liidu viimasele riigipeale Mihhail Gorbatshovile , kelle abikaasa Raissa suri esmaspäeval verevähki .",|S|AS|LS|ST|AST|LST|,,state,
18955354,28619937,3,haigestuma,,ill,hantaviirus-nakkus,hantaviirus-nakkustesse,Aastas haigestub hantaviirus-nakkustesse erinevates maades umbes 150 000 -,,,,
418119,651193,10,surema,,adit,toidumürgitus,toidumürgitusse,Kenasti verise lihaga söödetud lind suri paraku hiljem loomaaias toidumürgitusse .,|S|AS|LS|ST|AST|LST|,,state,
6097357,9787582,7,surema,,adit,võrk,võrku,"Tean , et kalurid , kelle võrku viigerhüljes on surnud , ei julge sellest tavaliselt teatada .",,,,
4084088,6573877,13,nakatuma,,adit,majavamm,majavammi,Olen imestades lugenud ajalehesõnumeid rohkem kui miljon krooni maksvast remonditööst mõnes Tallinna majavammi nakatunud hoones .,,,,
16531670,25492771,9,põdema,,adit,jämesoolevähk,jämesoolevähki,"Gabrieli sõnul on ka ta endise patsiendi , jämesoolevähki põdenud mehe süüdistused alusetud .",,,,
5754570,9230924,30,surema,,adit,põmmd,põmmdi,"Mulle on ka tuttav tüüakas vana härrasmees Rein Raidme - vana Pannoniaga sõitja ja vangis istunud mees , kuna ta ajas mootorrattaga ühe vana onksi alla ja see suri põmmdi kohapeal - nojah see vana Rein Raidme , kellega koos me mõnegi pudelikese oleme ära lahendanud ja kes on kokku joonistanud suurema osa teatud perioodi Eesti multifilmidest - jah seesama tõsises vanuses härrasmees , ütles paari klaasi vahel , kui ma kurtsin , et tunnen end poisikesena , kuigi pea hallineb : "" Peeter , vahel on ikka alles kutsikatunne sees .",,,,
16711746,25711702,19,surema,,adit,lümfivähk,lümfivähki,"Järgmises Harry Potteri filmis « Azkabani vang » kehastab professor Dumbledore'i Michael Gambon , kes päris osa mullu lümfivähki surnud Richard Harriselt .",,,,
