sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,opinion,simple_sentences,tags,timex_tag,ekilex_tag,ner_tag,A,E,T,L1,L2,L,S,tag,initial_cat
12879242,20601501,7,vanduma,alla,all,seltsiline,seltsilistele,Lõpus vandus Dęhlie alla ka oma seltsilistele - Ilmar Udamile ja itaallasele Andrea Piccoliorile .,,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
5817968,9334876,12,leidma,,all,algatus,algatusele,Tervishoiuprobleemide pärast peaminister Juhan Partsi tagandamist kavandanud sotsiaaldemokraadid ei leidnud oma algatusele liitlasi .,,,,,,,no,no,no,no,no,no,no,,a_n50
1849060,2944712,10,kavandama,,all,tema,neile,"Kas soomlased tajusid , et pikas perspektiivis kavandas idanaaber neile samasugust saatust ja lämmatatud Eesti oli tegelikult tuleviku Soome ?",,,,,,,yes,no,no,no,no,no,no,A,a_n50
6844848,11012712,2,mõtlema,,all,edasipääsuvõimalus,edasipääsuvõimalustele,Eesti edasipääsuvõimalustele ta mängu ajal ei mõtle .,,,,,,,no,no,no,no,no,no,yes,S,a_n50
10808882,17311387,3,pruukima,,ad,sportlane,sportlastel,"Pruugib Eesti sportlastel mõnel maailmamastaabiga võistlusel esinemine ebaõnnestuda , kui ühiskonnas vallandub teenitud meelepaha : milleks raisatakse rahva raha , mida võiks kasutada kasvõi nende poolte eestlaste toitmiseks-katmiseks , kes Jaak Alliku andmetel parasjagu nälgivad .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
3449293,5553715,5,võitma,,all,kaitsetegevus,kaitsetegevusele,Kreeka võitis tänu hingestatud kaitsetegevusele ning Efthimios Rentziase ja Nikos Ekonomou heale mängule .,???,"Kreeka võitis.
Võidu põhjuseks oli hingestatud kaitsetegevus.
Efthimios Rentzias mängis hästi.
Nikos Ekonomou mängis hästi.",,,,,no,no,no,no,no,no,no,,a_n50
1716275,2732183,16,pöörduma,,all,rahvas,rahvale,"Alles siis ronis K-Fori rahuvalvajate juhataja , Saksa kindral Klaus Reinhardt Briti tankile ja pöördus rahvale kõnelema .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
9914955,15905727,10,lisanduma,,all,grupeering,grupeeringutele,"Uus rühmitus lisandub juba varem rahvusvahelise majanduskoostöö edendamiseks loodud grupeeringutele , mille hulka peale G7 kuuluvad näiteks G10 ja G24 .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,no,no,no,yes,no,yes,no,L,a_n50
5763046,9245109,16,laskma,,ad,avameri,avamerel,Soome ajalehe väitel lasevad suured Tallinki liinilaevad Romantika ja Meloodia endistviisi oma pesu- ja tualetivee avamerel Läänemerre .,,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,,no,no,no,yes,no,yes,no,L,a_n50
1354468,2152699,5,kandma,,all,Inglismaa,Inglismaale,"Kannaksin selle raha otse Inglismaale sinna selle kooli või kolledži arvele , kus ta õpib !",???,"Ma kannaksin selle raha otse Inglismaale.
Ma kannaksin raha selle kooli või kolledži arvele.
Ta õpib selles koolis või kolledžis.",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,yes,no,yes,no,L,a_n50
1482904,2360290,1,soovima,,el,Eesti,Eestist,"Eestist soovivad Venemaale või mõnda teise SRÜ riiki ümber asuda keskmisest haritumad mittekodanikud , selgub eile avalikustatud uuringust .",,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,yes,no,yes,no,L,a_n50
12565181,20108405,15,olema,tarvis,ad,suusataja,suusatajail,Eesti suusaliidu peasekretär Kaarel Zilmer säras kui pühademuna : vaatamata Kristina Šmiguni õnnetusele pole suusatajail tarvis koju tagauksest siseneda .,,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
3537862,5697343,4,tahtma,,el,kaaslane,kaaslasest,Heast ja kannatlikust kaaslasest ei tahaks lapsed ja kasvatajad aga loobuda .,,,,,,,yes,no,no,no,no,no,no,A,a_n50
2868731,4600234,25,piinama,,el,sügis,sügisest,"Päris sama koosseisuga ei saaks neljapaat kuidagi aga edasi sõita , kuna eessõudja Andrei Jämsä pole lahti saanud kõhu- ja seljavaludest , mis teda sügisest saati piinavad .",,,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,time,,no,no,yes,no,no,no,no,T,a_n50
4530501,7282195,2,köitma,,el,liikluskorraldaja,liikluskorraldajatest,"Tallinna liikluskorraldajatest ja parkimisametnikest , maanteeameti liiklusohutusspetsialistidest , liikluspolitseinikest ja inseneribüroo Stratum töötajatest koosneva ümarlaua tähelepanu köitsid viimastel kuudel toimunud järjestikused ränkade tagajärgedega otsasõidud Tallinna vöötradadel .",???,"Tallinnas on liikluskorraldajad ja parkimisametnikud.
Seal on ka maanteeameti liiklusohutusspetsialistid.
Seal on liikluspolitseinikud.
Seal töötavad inseneribüroo Stratum töötajad.
Need inimesed moodustasid ümarlaua.
Ümarlaua tähelepanu köitsid viimastel kuudel toimunud järjestikused ränkade tagajärgedega otsasõidud Tallinna vöötradadel.",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
11437343,18326289,2,väärima,,el,kaotanu,kaotanutest,Poolfinaalis kaotanutest väärinuks ainsana finaalipääsu KK Tartu .,,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
1770245,2818602,8,hääletama,,all,planeering,planeeringule,"Sellega hääletasid nad vastu valmivale Saare maakonna planeeringule , mis näeb ette Ruhnu valla liitmist Kuressaare või Pärnu linnaga .",,,,,,,no,no,no,no,no,no,no,,a_n50
15010528,23549113,2,kasvama,,all,asi,asjale,"Mõnele asjale , mis tema puhul häirib , vaatan , ah , kasva veel .",syntax,,,,,,no,no,no,no,no,no,no,,a_n50
3000456,4812747,9,keelama,,ad,esindaja,esindajail,Trüb Switzerland AG tootejuht Stephan Hofstetter keelas ARK esindajail lepingu konfidentsiaalsusele viidates uue loa hinda avalikult välja öelda .,,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
8858567,14232449,7,langema,,all,ajakirjandus,ajakirjandusele,"See oli mõjukas kõne , milles ajakirjandusele langes osaks küllalt karm kriitika , võiks isegi ütelda , et süüdistused täielikus väärkäitumises .",,,,,,,no,no,no,yes,no,yes,no,L,a_n50
10439332,16741696,22,piiskama,,el,ulmekas,ulmekast,"Universumiavarus peidab endas kohutavat tõde , mis on koguni nii ebameeldiv , et selle kujutamiseks pole piisanud Ridley Scotti 1979. aasta ulmekast “ Alien ” .",verb = piisama?,,,,,,no,no,no,no,no,no,no,,a_n50
4325300,6958332,10,võitma,,el,Lillehammer,Lillehammerist,Kolm aastat hiljem tuli olümpiavõitjaks 10 000 meetris ja 1994 Lillehammerist võitis samal distantsil olümpiapronksi .,,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,yes,no,no,no,no,no,E,a_n50
1093286,1737677,15,alustama,,all,Saaremaa,Saaremaale,"1962. ja 1966. aastal sündinud mehed alustasid reede hommikul väikese päramootoriga paadiga teed Vilsandilt Saaremaale , et otsida poest abi ühe paadisolija hambavalu vastu , ütles piirivalve pressiesindaja BNS-ile .",,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,yes,no,yes,no,L,a_n50
3562443,5736582,3,lähenema,,all,iirlane,iirlastele,"Tööpuudus läheneb iirlastele seni utoopilisena tundunud kümne protsendini ja sisemaine kogutoodang inimese kohta oli eelmisel aastal suurem kui Suurbritannias , mis saarlastele muidugi suurt rõõmu valmistab .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
105347,177625,3,esinema,,el,kolesterool,kolesteroolist,Veres olevast kolesteroolist esinebki põhiosa kahel kujul : madala tihedusega lipoproteiinina ( LDL ) ja kõrge tihedusega lipoproteiinina ( HDL ) .,,,,,,,no,no,no,no,no,no,no,,a_n50
8924817,14346161,9,püsima,,all,linnapea,linnapeale,Tänaseks võivad valimas käinud kergendatult ohata - tänu linnapeale ja siseministrile Tartu võimuliit püsib .,???,"Tänaseks võivad valimas käinud kergendatult ohata.
Tartu linnapea ja siseminister tegid midagi.
Tartu võimuliit püsib.",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
4870996,7819993,4,äratama,,in,tegelane,tegelastes,See äratas komsomolimeelsetes tegelastes pilkeid ja rahva hulgas suurt poolehoidu .,,,,,,,yes,no,no,no,no,no,no,A,a_n50
6484627,10428322,29,jääma,välja,el,duuma,duumast,""" Jõudude ühinemine ei tule nähtavasti jälle välja ning me näeme presidendivalimistel jälle Jabloko kandidaati Javlinskit ja võib-olla kedagi veel Paremjõudude Liidust , kuid uutes tingimustes , mil duumast välja jäänud parteid peavad koguma kandidaadi toetuseks kaks miljonit allkirja , on parempoolsete osalus suure küsi-märgi all . """,,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,,no,no,no,yes,no,yes,no,L,a_n50
19564159,29177912,6,kasvatama,,all,suguelund,suguelunditele,Lisa-maria: kasvata ennem oma suguelunditele karvad,,,,,,,no,no,no,no,no,no,no,,a_n50
5822852,9343076,13,mõtlema,,el,kaasalöömine,kaasalöömisest,"Neljapaat tähendab paljudele perspektiivi , tagab konkurentsi - ka Jüri Jaanson mõtleb kaasalöömisest - ja annab tööisu .",???,"Neljapaat tähendab paljudele perspektiivi.
Neljapaat tagab konkurentsi.
Jüri Jaanson mõtleb kaasalöömisest.
Neljapaat annab tööisu.",,,,,no,no,no,no,no,no,no,,a_n50
1651470,2628094,3,langema,,all,Finnair,Finnairile,"Valik langes Finnairile , sest Helsingi lennujaamas Pariisi lennuki ootamise aeg oli kõige lühem .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER,no,no,no,no,no,no,no,A,a_n50
7973329,12786868,15,lahutama,,el,maavägi,maaväest,"Aga pöörates pealtnäha meeleheitlikule taganemisele , meelitasid mongolid rüütliväe oma kannule ja lahutasid nad maaväest .",,,,,,,no,no,no,yes,no,yes,no,L,a_n50
12753203,20400469,5,mõtlema,,el,alagrupp,alagrupist,Neissaar ei mõtle esialgu alagrupist edasipääsule .,,,,,,,no,no,no,yes,no,yes,no,L,a_n50
14330004,22749634,5,tulema,,all,Kiidjärv,Kiidjärvele,Mõni aeg tagasi tuli Kiidjärvele saksakeelne tänukaart .,,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,,LOC,no,no,no,yes,no,yes,no,L,a_n50
13972197,22242712,6,seisma,ees,ad,Mari-Liisi,Mari-Liisil,"Georg Otsa nimelises muusikakoolis seisab Mari-Liisil ees viimane õppeaasta , kevadel peaks ta käes hoidma koorijuhi diplomit .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER,yes,no,no,no,no,no,no,A,a_n50
4902796,7871871,4,vajama,,el,muhameedlane,muhameedlastest,Ma ei vaja muhameedlastest fundamentaliste rohkem kui näiteks Jehoova-tunnistajaid .,???,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
8978088,14434863,12,moodustama,,all,eestlane,eestlastele,"Sama medali teise külje aga moodustab isade maa külastamise lihtsustamine nendele eestlastele , kellel pole ette näidata Eesti riigis arvestatavat isikutunnistust .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
6482303,10424411,38,olema,tarvis,ad,psühhiaatria-kliinik,psühhiaatria-kliinikul,""" Oleksime kolimiseks valmis , aga enne peab töögrupp läbi vaatama kõik kolimise kasulikud ja kahjulikud mõjud , kindel on aga see , et onkoloogiakeskuses tuleb enne kolimist ära teha põhjalik remont , näiteks operatsioonisaale ei ole psühhiaatria-kliinikul tarvis , "" rääkis Rammul .",,,,,,,no,no,no,no,yes,yes,no,L,a_n50
6625014,10660705,4,tundma,ära,in,materjalikäsitlus,materjalikäsitluses,Arvan end Rodgersi materjalikäsitluses ära tundvat oskuse tuua esile tarbeesemeis sisalduvat vägivalda ja kurjust .,,,,,,,no,no,no,no,yes,yes,no,L,a_n50
14155762,22502020,7,viskama,,all,hüüdja,hüüdjale,» Seepeale viskab Põhjala ühe kangi hüüdjale .,,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
2437968,3909052,2,võistlema,,el,koondislane,koondislastest,Eesti koondislastest võistleb Jaak Mae samal ajal Nove Miestos MK-etapil 10 km klassikasõidus ja Raul Olle aga osaleb Tšehhimaal maratonil .,???,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
7194217,11572017,3,lubama,,ad,Arbonale,Arbonalel,"Mis lubab Arbonalel maailma juhtiva krediidiagentuuri Dun & Bradstreeti andmetele viidates väita , et ESCO Holdingi eelistamine on väga riskantne .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER,no,no,no,no,no,no,no,A,a_n50
11029215,17665024,2,puutuma,,el,film,filmist,"Mitte filmist , film ei puutu siin üldse asjasse .",???,,,,,,no,no,no,no,yes,yes,no,L,a_n50
12080207,19338045,2,tekkima,,ad,Cruise,Cruise'il,"43aastasel Cruise'il tekkis idamaiste pulmade idee Maroma kuurordis Mehhikos , kirjutab ajaleht Sunday Mirror .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER,yes,no,no,no,no,no,no,A,a_n50
7554055,12131168,12,sarnanema,,all,kana,kanadele,"Siis on tal täiesti erisugused tibud , kes sarnanevad mitte tänastele kanadele , vaid kes on saledad , kirjud , pikkade sabasulgedega , nende kaugete eelkäijate moodi , keda öeldakse vabaduses enam peaaegu üldse mitte leiduvat .",,,,,,,yes,no,no,no,no,no,no,A,a_n50
1976869,3152588,13,sarnanema,,all,joobnu,joobnule,""" Ta üritas käivitada juba töötava mootoriga autot ning tema kõnepruuk sarnanes joobnule , "" ütles Reigo .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
412071,641103,8,kuluma,,all,arhiiv,arhiividele,"Kuna arhiivitöötajate energia on kulunud täielikult väliseesti arhiividele , on kodueesti materjalid seni oma järge oodanud .",,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,,no,no,no,yes,no,yes,no,L,a_n50
1427383,2270802,3,pühendama,,all,Ateena,Ateenale,"Kärmas pühendas Ateenale oma kolmenädalasest Kreeka reisist ühe päeva ega kahetse , et kauemaks ei jäänud .",,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,yes,no,yes,no,L,a_n50
168632,280853,3,tundma,ära,in,nõudmine,nõudmistes,Pachomiuse rangetes nõudmistes tunnevad egüptüloogid ära iidse vanaegiptuse elutarkuse ettekirjutusi .,,,,,,,no,no,no,no,yes,yes,no,L,a_n50
4866775,7813213,11,andma,välja,all,aktsiaselts,aktsiaseltsile,Kehra linnavalitsus ei ole meie sooviga arvestanud ning on andnud aktsiaseltsile välja ka litsentsi alkoholimüügiks .,,,,,,,no,no,no,yes,no,yes,no,L,a_n50
5469152,8768954,20,vaatama,,all,külastaja,külastajale,"Loomade õiguste eest võitlev rühmitus Oikeutta Eläimille valmistas ruttu heal tasemel Marimekko-vastase kodulehekülje (  ) , mille esilehel vaatab külastajale sügavale silma põhja soojade silmadega rebasekutsikas ning kus räägitakse Marimekko ebaeetilisest käitumisest , kutsutakse üles mitte ostma Marimekko tooteid ja saatma arvamusavaldusi otse rõivafirma juhile Paakkanenile .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,no,no,no,no,no,no,no,,a_n50
17339132,26609338,9,lõpetama,,all,juhtimiskeskus,juhtimiskeskusele,Teine piloot Klass Meurs lõpetas stardieelsete toimingute raporti juhtimiskeskusele ning kohe avas kapten van Zanten gaasiheeblid ja lennuk hakkas liikuma .,,,|A|AE|AL|AS|AT|AET|ALT|AST|,,organisation,,no,no,no,no,yes,yes,no,L,a_n50
15594972,24342900,29,viskama,,el,kurv,kurvist,"Sumbutajatega on lugu hoopis keeruline sest kõik sõltub mis on tuuningu kontseptsioon kas tahetakse sõida staadionit kus ka võrrid peavad käima alt ka keskelt , et tagasi pöörde kurvist kohe üle suure hüppe viskaks või on vaja Jean D'Angeli suurtele mägedel mõeldud karmi laksuga kesala lõppu pilli .",,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,,no,no,no,no,no,no,no,,a_n50
2291755,3669414,23,käituma,,all,norm,normidele,"Riidekaupluse omaniku Nadežda ( 54 ) sõnul visati ta Amigost välja , vaatamata sellele et ta oli ostnud pileti ning käitunud kõikidele normidele vastavalt .",,,,,,,no,no,no,no,no,no,no,,a_n50
11190209,17925497,21,ütlema,lahti,el,muudatus,muudatustest,"“ Mul on hea meel , et valitsus ei andnud alla ega loobunud haldusreformist , et valitsus ütles lahti kosmeetilistest muudatustest ning valis radikaalse tee , mis jättis Eestisse viisteist tugevat valda . ”",,,,,,,no,no,no,no,no,no,no,,a_n50
4923788,7905668,7,vajama,,all,kes,kellele,"Kutsudes kommunismi hukka mõistes kõigile , kellele vaja koodiga koonu pihta andma !",,,,,,,yes,no,no,no,no,no,no,A,a_n50
13585972,21724158,5,valima,,all,aastaja,aastajale,*Valige hooldusvahendid vastavalt aastajale ja jalatsi materjalile .,???,,,,,,no,no,yes,no,no,no,no,T,a_n50
13153656,21046246,10,lunastama,,el,Riesa,Riesast,"Varasemate teenete põhjal oli osavõtuõigus Saksamaal ja Soomel , Riesast lunastasid edasipääsu lisaks Eestile veel Inglismaa , Prantsusmaa ja Šveits , kes võitis lisamatšis Bulgaariat .",,,,,,,no,no,no,yes,no,yes,no,L,a_n50
15593872,24341421,3,tekkima,,all,GL-mudel,GL-mudelitele,"Lukstrend tekkis GL-mudelitele alles 80-date algusest , kui neile tupperwaret tehasepoolt külge riputama hakati .",,,,,,,no,no,no,yes,no,yes,no,L,a_n50
11377266,18230334,13,tõusma,,all,esinemine,esinemisele,Moodsas viievõistluses Euroopa meistriks kroonitud Imre Tiidemann tõusis ihaldatud kuldmedalini tänu ühtlasele esinemisele kõigil aladel .,???,,,,,,no,no,no,no,no,no,no,,a_n50
14742159,23223916,6,pärinema,,abl,kagebiit,kagebiidilt,"Kuuldu pärines ühelt endiselt ” kagebiidilt ” , kes pärast KGB tegevuse ametlikku lõppu Eestis 1991 . aastal asus tegutsema väikeettevõtjana .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
1809238,2879636,3,tekkima,,all,asu-ala,asu-alale,"Eestlaste ajaloolisele asu-alale ei tekkinud 1991 uus riik , vaid taastati varem olnu .",,,,,,,no,no,no,yes,no,yes,no,L,a_n50
8619741,13827795,10,laskma,,ad,KGBlane,KGB-lastel,"Selle eest saigi , et kaks ja pool aastat KGB-lastel end punkrites lollitada laskis .",,,,,,,yes,no,no,no,no,no,no,A,a_n50
904457,1440807,16,olema,vaja,ad,ETV,ETV-l,"Valitsus otsustas eile eraldada reservfondist ETV-le ka kuus miljonit krooni , kuigi võlgade maksmiseks oleks ETV-l vaja 30 miljonit .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,organisation,ORG,no,no,no,no,no,no,no,A,a_n50
12463447,19952076,29,tegema,välja,el,peaminister,peaministrist,"Briti peaminister Tony Blair sattus piinlikku olukorda : metroos üritas ta juttu alustada noorepoolse riigialamaga , kes kuulas aga andunult kõrvaklappidest ameerika lauljatari Whitney Houstonit ja ei teinud peaministrist väljagi .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
1030321,1639082,16,joonistama,,all,aken,aknale,"Soome kelke on veel keegi näinud , aga last , kes vaatab , kuidas pakane aknale jäälilli joonistab ja tõmbab sealjuures sukka jalga , küll ei ole .",,,,,,,no,no,no,yes,no,yes,no,L,a_n50
2564033,4114099,3,sülitama,,all,paragrahv,paragrahvidele,Sülitavad seaduse paragrahvidele .,,,,,,,no,no,no,no,no,no,no,,a_n50
5497212,8813768,5,õnnestuma,,ad,FSB,FSB-l,"See , mis õnnestus FSB-l Venemaal , kukkus naaberriigis läbi , kõlab oletuslik kommentaar .",,,|AL|ALT|,,organisation,LOC,no,no,no,no,yes,yes,no,L,a_n50
4074829,6559041,1,eemalduma,,el,organism,Organismist,"Organismist eemaldub igal päeval ligi 2,5 liitrit vedelikku , treeninguga kaotab tervisesportlane lisaks 0,5 -,5 liitrit , seepärast tuleb vedelikku tarbida korrapäraselt .",,,,,,,no,no,no,yes,no,yes,no,L,a_n50
6226926,10001297,6,minema,mööda,el,Timošenko,Timošenkost,Esialgu aga läks valitsusjuhi koht Timošenkost mööda - president Kutšma määras eile ajutiselt sellele kohale senise esimese asepeaministri Mikola Azarovi .,,,|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER,yes,no,no,no,no,no,no,A,a_n50
17485571,26805871,4,kirjutama,,el,Albaania,Albaaniast,"Kui kirjutasin lugu Albaaniast , siis see oli mulle tõeline šokk , kui kinnised olid seal inimesed , kuivõrd omas kestas nad elasid .",,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,,no,no,no,yes,no,yes,no,L,a_n50
