sentence_id,head_id,head_loc,verb,verb_compound,vad_ending,morph_case,lemma,form,sentence
15519205,24236968,4,koolitama,,"vad, H",in,virtuaalne,virtuaalsetes,Häkkerid koolitavad niiöelda virtuaalsetes « treeninglaagrites » kasutajaid ja müüvad siis neid .
597671,947570,3,helisema,,"vad, H",in,rollibukett,rollibuketis,"Helle Kuninga rollibuketis helisevad enim keerulised ja vaimsed naised : Ibseni "" Naine merelt "" Hilde ja "" John Gabriel Borkmani "" Gunhild , aga ka nn ajastute julmad Juuladki ... poisid ja preilid , Turgenevi Lizaveta murduv aristokratism kõrvu säraga Lope de Vega "" Tantsuõpetaja "" Florelas ... lihtlaste rõõmud Wuolijoki Telefoni-Sandrani välja ."
17556151,26909431,8,patrullima,,"vad, H",in,lootus,lootuses,"Lähemail päevil patrullivad inspektorid ATVga rannikut , lootuses veel reostunud linde leida ."
417514,650159,4,ravima,,"vad, H",in,heroiinisõltuvus,heroiinisõltuvuses,"Vene kirurgid ravivad heroiinisõltuvuses narkomaane aju-operatsioonidega , kasutades selleks kohalikku tuimestust ja isetehtud kirurginuga ."
15473966,24164943,7,levitama,,"vad, H",in,lootus,lootuses,"Tsetseenia müüti levitavad mõned kohalikud lihtsameelsed lootuses , kuigi pigem endale valetades , et meie praeguse doktriini juures oleme suutelised milleski ."
12124102,19411102,20,seiklema,,"vad, H",in,Elli,Ellis,"Tee , mis tahad , kuid inspektor George Felse tundub millegipärast parem kui munk vend Cadfael , kes mõlemad Ellis Petersi krimkades seiklevad ."
6176966,9917544,15,ilutsema,,"vad, S",in,asfaltkate,asfaltkattes,"Pole raske mõista , kui ohtlikud võisid olla toonased tänavad - mõnel pool kõnnitee asfaltkattes ilutsevad pea igal sammul "" Sarajevo roosid "" , miinipildujatulest jäänud süvendid päikesekiirtena laiali jooksvate pragudega ."
3934517,6336663,12,süütama,,"vad, H",in,kõrbekuumus,kõrbekuumuses,"TALLINN , 10. aprill ( EPLO ) - Jaanipäeval süütavad Afganistani kõrbekuumuses Camp Bastoni sõjaväelaagri müüride varjus sümboolse lõkke 80 Eesti sõdurit , jõuluvorste söövad nad sealsamas aga juba koos Eesti diplomaadiga , kirjutab Postimees ."
566828,896695,4,juhatama,,"vad, H",in,raamat,raamatus,Eesti juudid juhatavad raamatus lugejaid oma isade maale
14312924,22721401,8,pidama,,"vad, H",adit,kamp,kampa,Leppimatut vihavaenu trotsides peavad mehed pääsemise nimel kampa hakkama .
11824608,18924355,1,kuuluma,,"vad, H",in,America,America ’ s,America ’ s Cupi juurde kuuluvad tavapäraselt skandaalid .
10211788,16386266,13,kõndima,,"vad, S",in,diskopepupüks,diskopepupükstes,"Seda huvitavam on jälgida , kuidas läbi müravate algklassiõpilaste kõnnivad modelsel kõnnakul diskopepupükstes abituuriumieelsed tüdrukud ."
1378240,2191848,6,saama,,"vad, H",ill,HIV,HIV-sse,Narvas saavad positiivse testitulemuse 5 HIV-sse nakatunut .
5845299,9380057,13,tellima,,"vad, H",el,kaup,kaubast,"Hulk inimesi ( sealhulgas ka ma ise ) tellivad enamiku eluks vajalikust kaubast Internetist , see on saanud oluliseks osaks igapäevasest elust ."
