lemma;form;naitelause;margend
iminokk;iminokas;Teisalt liigub veri iminokas suunas;loc_c
positsioon;positsioonilt;me astume tagasi positsioonilt;loc_a
tulemus;tulemusel;tulemusel peaminister astus tagasi;other
tualett;tualetis;Käisin tualetis puuderdamas;loc_c
ehituskomitee;ehituskomitees;me käisime Peterburis ehituskomitees;loc_c
ajama;Ajas;Ajas astus pihtimusega üles retsidivist;error
Inglismaa;Inglismaal;armastatakse siis Inglismaal käib suhtlemine kutsete abil;loc_c
kirjandus;kirjanduses;kirjanduses liiguvad väited;loc_a
missioon;missioonil;nad käivad aeg missioonil;event
seitsmekümnes;seitsmekümnendatel;originaalitsemine käis juba seitsmekümnendatel;time
komsomol;komsomoli;mees astus komsomoli;loc_a
Võrumaa;Võrumaal;kes käis Taaliga koos koolis Võrumaal;loc_c
puhkepäev;puhkepäeval;meremehel jookseb palk puhkepäeval;time
rühm;rühmas;rühmas käib lapsi üle Tallinna;loc_a
semester;semestril;kes Amicusse astus semestril;time
vajadus;vajadusele;käis koos vastavalt vajadusele;other
tapp;Tapalt;üldse käib inimest Tapalt väljaspool tööl;loc_c
väljamaa;väljamaal;Leo käiski väljamaal hööveldamas;loc_c
kesklinlane;kesklinlastest;Pendeldajaid liigub kesklinlastest rohkem tööpäevadel;other
võrgustik;võrgustikesse;kes on liikunud kiiremini võrgustikesse;loc_a
juhutöö;juhutöödel;eestlased ookeani taga juhutöödel käivad;loc_a
ühiskond;ühiskonnas;raha ühiskonnas liigub;loc_a
kehtivus;kehtivusest;Nii käib siin jutt käitumisnormi kehtivusest läbi prisma;other
üleminekuriik;üleminekuriikides;sissesöömine käib üleminekuriikides;loc_c
kasutusala;kasutusaladel;Samuti kasutusaladel käib haldusmenetluses testimine;event
tagajärg;tagajärjel;kes on ametist lahkunud tagajärjel;other
kvantmaailm;kvantmaailmas;aga kvantmaailmas liiguvad osakesed;loc_a
Madalmaad;Madalmaile;Sittow on lahkunud poisina Tallinnast Madalmaile;loc_c
paiste;paistel;lauajuppidel istub paistel meest;manner
doktoriõpe;doktoriõppesse;aastal astus R. Kangro doktoriõppesse suundus;loc_a
lävi;lävele;Astunud topoloogiaks lävele;loc_a
jõud;jõule;käsi istus enne jõule vahi all;error
suvelõpupäev;suvelõpupäeval;suvelõpupäeval istuvad meest tänaval autosse;time
koolitustellimus;koolitustellimustest;jutt käib koolitustellimustest erialadele;other
multimeediastuudio;multimeediastuudios;multimeediastuudios istus;loc_c
varundusseade;varundusseadmesse;andmed liiguvad kettasüsteemist läbi serveri varundusseadmesse;loc_c
MM-eriala;MM-erialale;Pärast klassi astusin MM-erialale;loc_a
Taaveti;Taavetist;jutt käib Taavetist;other
teispoolsus;teispoolsusesse;teispoolsusesse lahkunud;loc_a
MM;MM-il;Viimati astus suursoosikuna võistlustulle sõudja MM-il teda;event
rüseleja;rüselejal;rüselejal käisid sussid;owner
rivistus;rivistuses;liider astub juunil Tallinnas Eesti vastu rivistuses;loc_a
õpireis;õpireisidel;Käis õpireisidel Soomes;event
tsenter;tsentrist;tipus liigub õhk tsentrist eemale;loc_a
tasandik;Tasandikul;liiguvad tornaadod Tasandikul;loc_c
Niva;Nivas;haiglasse Nivas kõrvalistmel istunud;loc_c
kõrvaliste;kõrvalistmel;haiglasse Nivas kõrvalistmel istunud;loc_c
töökoht;töökohalt;töötut oli eelmiselt töökohalt lahkunud soovil;loc_a
vaateplatvorm;vaateplatvormile;mööda treppe kõrgele vaateplatvormile astunud;loc_c
võim;Võimult;Võimult lahkunud;loc_a
paber;paberil;paberil dokumente liigub vähem;error
võitlustuli;võitlustulle;enne seda astuvad võitlustulle veel truppi;event
korpus;korpuses;Päästearmee korpuses käis;loc_a
NBA-ahvatlus;NBA-ahvatlusele;Vaatamata NBA-ahvatlusele käis ta ülikoolitee lõpuni;other
protsess;protsessil;protsessil käis kuulamas juhataja;event
Vormsi;Vormsil;kolleeg pole käinud Vormsil saarel;loc_c
loom;loomale;astub perenaine mesimagusalt loomale ligi;other
kaksik;kaksikutel;kaksikutel poegadel jookseb elusuvi;owner
rahakott;rahakotile;Nädalavahetustel käin vastavalt rahakotile keskturul;other
sadul;sadulasse;lähe istun laupäeval sadulasse;loc_c
hommikupimedus;hommikupimeduses;Istus hommikupimeduses Otepääl autosse;time
põlengupaik;põlengupaigal;Öösel põlengupaigal käinud;loc_c
muusikal;muusikalis;Esmakordselt astus püünele inimene muusikalis aastal;event
pilv;pilvel;pilvel istuvat;loc_c
operatsioon;operatsioonil;käis operatsioonil ära;event
iimi;iimist;iimist power lahkub auto kohe lülitab;error
meriväli;Meriväljal;Aleksandr istusid teisipäeval kodumajas Meriväljal tee tuli;error
korsten;korstnale;haigur istus puhkama korstnale Inglismaal Northamptonis;loc_c
teelõik;teelõigul;mis liikus teelõigul eksikombel vastassuunas;loc_c
draamateater;draamateatris;Lisaks jooksevad filmid tänavu draamateatris;loc_c
maarjamaa;Maarjamaalt;kes nädala pärast lahkub Maarjamaalt;loc_c
kuku-klubi;Kuku-klubis;lapsepõlves käis ta Kuku-klubis söömas;loc_c
lähedus;läheduses;nad hommikuti ikka läheduses liiguksid;loc_a
latt;latile;jooksis latile liialt sisse;loc_c
äärelinn;äärelinnades;äärelinnades käivat lahingud;loc_c
Elvi;Elvis;südamesse astus Elvis aastal nägi;error
kriis;kriisile;kriisile otsimine jookseb täistuuridel;event
rakk;rakku;lugemisajaks jooksevad emmed-issid leidmiseks mööda linna jalad rakku;state
luu;luust;see käib luust läbi;loc_c
varjupaik;varjupaigas;Inge käivad varjupaigas abiks mees;loc_c
nüüdismaailm;nüüdismaailmas;nüüdismaailmas liigub tehnoloogia kiiresti käest kätte;loc_a
nisupõld;nisupõllul;nisupõllul käib kuud ehitustegevus tahetakse;loc_c
turbiinisaal;turbiinisaalis;tudengid astuvad täna publiku ette vanal Kalmuneiuga turbiinisaalis puiesteel;loc_c
trajektoor;trajektooril;Võrumaal trajektooril liikunud;loc_a
sügishooaeg;Sügishooajal;Sügishooajal käin ilmselt korda perega Rootsis pidamas;time
kuub;kuuel;jookseb kuuel;error
vabaõhulava;vabaõhulaval;Eile Londonis vabaõhulaval üles astunud;loc_c
Alatskivi;Alatskivil;lapsed käivad Alatskivil keskkoolis;loc_c
kehastus;kehastuses;lavale astub ta kehastuses;state
toetus;toetusel;tõe-näoliselt astus Kvashnin järsult kaitseministri vastu välja toetusel;manner
käsi-käsi;käsi-käes;Arusaamine käib käsi-käes küpsusega;manner
kultuurikolledõi;kultuurikolledõisse;astusin kultuurikolledõisse õppima;error
delta;deltas;deltas provintsis käisin linnas;loc_c
üliõpilane;üliõpilasest;aastal käis ta seal korda külas üliõpilasest vennal;state
pluss;plussis;börsid liikusid reedel plussis;state
rahaauto;rahaautos;rahaautos istunud;loc_a
kapitaalremont;kapitaalremondis;kilomeetrit buss on korra käinud kapitaalremondis;event
RBH;RBHsse;alusel liikusid varad Nordikast RBHsse;loc_a
ootus;ootuses;ootuses käisin aeg massaažis;state
rockmuusikal;rockmuusikalis;Kõrvuti astuvad rockmuusikalis lavale lauljad;event
vormelimaailm;vormelimaailmas;Muidugi liigub vormelimaailmas raha;loc_a
aju-uuring;aju-uuringul;diktaator käis korda päeva jooksul aju-uuringul;event
ettekirjutus;ettekirjutusest;pole ettekirjutusest hoolimata siit seni ka lahkunud;other
judotatami;judotatamile;president astus eile korda kuu jooksul Jaapanis judotatamile heideti;loc_c
võimuliit;võimuliidust;Koonderakond lahkus reedel võimuliidust;loc_a
trollima;trollis;mina aga istusin trollis;error
võrgumaailm;võrgumaailmas;võrgumaailmas käib elanike vahel suhtlemine;loc_a
siselist;siselistidel;väitlus käib juba siselistidel;loc_a
trollipeatus;trollipeatusse;kaaslane jooksis pärast õnnetust trollipeatusse;loc_c
mõisamaja;mõisamajast;päev käib ta mõisamajast läbi;loc_c
jõulud;jõuludele;mobiilitootjad astuvad jõuludele vastu noortetelefonidega;event
maakonnakeskus;maakonnakeskuses;maakonnakeskuses käib otsimas inimest;loc_c
lauspommitamine;lauspommitamisest;Järelikult käib jutt lauspommitamisest;other
värbamine;värbamisel;värbamisel käib konkurents;event
rahvariie;rahvariideis;kõnnivad rahvariideis;state
olemasolu;olemasolul;mäng jookseb ilusti protsessori olemasolul;reason
Paksa;Paksas;Pärast tagasiastumist lahkus Paksas parteist;error
põhjapoolus;põhjapoolusel;kes käisid mais ekspeditsioonil põhjapoolusel;loc_c
Bem;Bemis;Bemis nüüd välja käib;error
isamaaliit;Isamaaliidust;astus välja Isamaaliidust;loc_a
tööreis;tööreisidel;Olen käinud Eestis tööreisidel;event
kaldapealne;kaldapealsel;Kõnnime kaldapealsel;loc_c
vaegnägija;vaegnägijatele;käis vaegnägijatele esinemas;owner
valitseja;valitsejale;valitsejale astub vastu number;owner
Peipsi;Peipsil;Peipsil kalal käinud;loc_c
Kaukaasia;Kaukaasias;Kaukaasias käisid piigad ujumas;loc_c
dokument;dokumendist;jutt käib dokumendist;other
hokitrenn;hokitrennis;poeg käib hokitrennis uisutamas;loc_a
pääsküla;Pääskülast;Tuttavad jooksevad Pääskülast kohale;loc_c
mahitus;mahitusel;Ma olen mahitusel käinud aastal;other
linnapea;Linnapeadest;Linnapeadest käisid peale platsil linnapea;other
sakstekamber;sakstekambris;sakstekambris istusid laua taga mehed;loc_c
palliväli;palliväljadel;liikusid palliväljadel vallutuseni;loc_c
ülekäiguraja;ülekäigurajale;pärastlõunal kell astus Raivo ülekäigurajale;loc_c
noorim;noorimal;siis noorimal käisid päkapikud;owner
toidumüügiturg;toidumüügiturule;Kalda astub toidumüügiturule viimase peal tehnika;loc_a
jaemüüja;jaemüüjatele;kaup liiguks töötlejalt jaemüüjatele hindadega;owner
Warriorss;Warriorsist;jõud käis võõrsil 118 üle Golden Warriorsist;error
istekoht;istekohal;Istun istekohal;loc_c
80.;80ndatel;kes käisid seal 80ndatel;time
koduõu;koduõuele;koduõuele astunud;loc_c
tervis;tervisest;Sestsaadik tehti liiguvad pidevalt kuuldused tervisest;other
Pihva;Pihvas;käisime korra ettevalmistustel Pihvas diviisis;loc_c
viht;vihast;aastat tagasi põrkasid jooksis viimane vihast näoga boksi juurde;error
Pitcairn;Pitcairnilt;Lennuk lahkus Pitcairnilt;loc_c
Delfi;Delfis;Delfis käib tihti andmine omade vahel põrkuvad;loc_a
asukoht;asukohale;ilmselt tänu asukohale käis näitusel külastajaid;other
doonoripäev;doonoripäeval;doonoripäeval käis andmas inimest;event
mootorpaat;mootorpaadis;mootorpaadis istus tuukrit;loc_c
liikumisrada;liikumisrajal;Viimati käisid Andrus liikumisrajal teisipäeval;loc_c
kvaliteet;kvaliteedis;erakonnad astuvad valijate ette kvaliteedis;state
väikeettevõtja;väikeettevõtjale;mis väikeettevõtjale käib üle jõu;owner
Sardiinia;Sardiiniast;Ta lahkus Sardiiniast korra saanud;loc_c
mitmepäevasõit;mitmepäevasõidul;profid astusid mitmepäevasõidul leeri;event
ummiktee;ummikteel;aastat liikus Venemaa ummikteel;loc_a
riigikirjand;riigikirjandites;sõnul jooksis mullu riigikirjandites tekst;loc_c
arvutifirma;arvutifirmas;Firenzes käisime arvutifirmas;loc_c
Aivar;Aivarilt;aastat olen Aivarilt käinud küsimas;owner
arvutitelk;arvutitelgis;arvutitelgis käis eile huvilist;loc_c
vastukülaskäik;vastukülaskäigul;Virumaal vastukülaskäigul käinud;event
sihtasutus;sihtasutuses;Sergejeva käis sihtasutuses novembris;loc_c
rätt;rättides;aedades istusid rättides naised;state
mini;minis;Talvel minis hästi ei käi;state
ebaõnnestumine;ebaõnnestumisest;ebaõnnestumisest hoolimata lahkun Eestist muljetega;other
korvpallikool;Korvpallikoolis;Korvpallikoolis käinud;loc_a
plaju;plajudele;hankimine käib plajudele mehhiklastele üle jõu;error
jõudmine;jõudmisest;ei lahku abilinnapea kohalt enne jõudmisest ette novembril;error
telefonirežiim;telefonirežiimis;menüüd ei liiguks telefonirežiimis aeglaselt;state
äss;ässadele;hooaegadel on ta ässadele valusalt kannale astunud;owner
uusrajoon;uusrajoonis;kes käis uusrajoonis hääletamas;loc_c
Amasoonia;Amasoonias;mis ju Amasoonias edukalt käib;loc_c
Tallina;Tallinas;hiljuti Tallinas käinud;loc_c
avariihetk;Avariihetkel;Avariihetkel juhi kõrval istunud;time
esinemispaik;esinemispaigas;ajal astuvad esinemispaigas õllesõprade ette lauljad;loc_c
Sigulda;Siguldas;Nädalavahetusel Siguldas MKetapil käinud;loc_c
imik;imikutest;väitel käib Jõulumäel rahvast alates kõhul imikutest kuni pensionärideni välja;other
kangisaal;kangisaalis;Nüüd käisin päeva enne võistlust kangisaalis;loc_c
veinipidu;veinipeol;Korra käis Ööbik Rakverest väljaspool veinipeol;event
McLaren;McLarenisse;McLarenisse lahkunud;loc_a
tualetipott;Tualetipotist;Tualetipotist mööda istunud;other
sinine;sinisesse;Marika istus eemal sinisesse Fordi;error
juveeliäri;juveeliärisse;Astuvad sisse juveeliärisse;loc_c
naiskodukaitse;naiskodukaitsesse;naiskodukaitsesse astuvad;loc_a
Ikaru;Ikarust;Praegu liigub liinidel sõnul päev kaks Ikarust;error
festivalivõitja;festivalivõitjast;Eestist astub seekord lavale rohkearvuliselt lauljaid alates festivalivõitjast;other
külapidu;külapidudel;aeg-ajalt käib ta külapidudel mängimas;event
parandusmasin;parandusmasinale;remont käib tänu parandusmasinale kiiremini;other
neljasilmavestlus;neljasilmavestlusel;korda käisin neljasilmavestlusel;event
seisus;seisusest;oleks astuksin ma seisusest otsekohe välja;other
taaspühitsemine;taaspühitsemisest;Piiskop-emeeritus on käinud olavipäeval aastal alates taaspühitsemisest;event
lennundus;lennundusele;Estonian liigub lennundusele suunas aastal;state
kinnipeetav;kinnipeetavast;kinnipeetavast astus eile esimesena kabinetti Eenmaa;other
kuru;kurus;lennukid pole kurus käinud;loc_c
tagaots;tagaotsas;Ustimenko istus tagaotsas pannud;loc_c
Amsterdam;Amsterdamis;Esmaspäevani istus ta Amsterdamis trellide taga;loc_c
lahkumine;lahkumisest;käis dislussioon lahkumisest;other
ühinemisläbirääkimised;Ühinemisläbirääkimistesse;Ühinemisläbirääkimistesse on astunud Eesti;event
luide;luidetelt;luidetelt liigub liiv hoovuste mõjul veel muulide vahele laevakanalisse sonni;loc_c
valimiskomisjon;valimiskomisjonis;ma esmaspäeval end valimiskomisjonis registreerimas käisin;loc_a
aura;Auras;palju käib Auras lätlasi;loc_c
eramu;eramutes;ajal käivad vargad eramutes sees päeva ajal toimetavad;loc_c
töökorraldus;töökorralduses;juurutamisega astub linn töökorralduses sammu edasi;dependent
ujula;ujulas;Nad käisid siin ujulas ujumas;loc_c
vangistus;vangistuses;laureaat istus protestidest hoolimata vangistuses;state
eetika;eetikasse;Ühelt jookseb ta sisse eetikasse;loc_a
põhiväärtus;põhiväärtustest;Jutt käib põhiväärtustest;other
õhuruum;õhuruumis;Nüüd kõnnivad õhuruumis laevamudelite vahel muuseumikülalised;loc_a
sügissuplem;sügissuplemas;käib hoidmiseks koos setteri veerel sügissuplemas;error
sõjaväeterritoorium;sõjaväeterritooriumil;konvoi käis linnast sõjaväeterritooriumil;loc_c
konjakireis;konjakireisil;klubi käib korra Prantsusmaal konjakireisil;event
uulits;uulitsal;Seega on karud uulitsal käinud;loc_c
Bal-neomi;Bal-neomis;Bal-neomis käib traumadega inimest;loc_c
majaelanik;majaelanikest;Tänaval peal käib majaelanikest kolmandik;other
orienteerumisvõistlus;orienteerumisvõistlusel;ilmselt käin üle aja taas orienteerumisvõistlusel;event
kultuurifestival;Kultuurifestivalil;Kultuurifestivalil Kopenhaagenis astuvad üles muusikud;event
diivaninurk;diivaninurgal;Helene istub diivaninurgal nii istuvad;loc_c
taksondus;taksonduses;Alates päevast tekkisid käib taksonduses kammajaa;loc_a
tööpataljon;Tööpataljonis;Tööpataljonis käisime üle metsatöödel;loc_a
Petseri;Petseris;kutsel Petseris käisin;loc_c
proovilava;proovilaval;Vahetult enne Gerlit proovilaval käinud;loc_c
euroaju;euroajudes;euroajudes liigub mõte;loc_c
orhideevorm;orhideevormidele;Näiteks Floridas käib orhideevormidele jaht;owner
foon;foonil;Reklaamplakatil istub Gorbatšov tagaistmel foonil;manner
rentsel;rentslisse;astu rentslisse;loc_c
humanitaarala;Humanitaaraladel;Humanitaaraladel on tegelastest lahkunud Berk;loc_a
uni;unes;sõnul kõnnib vend sageli unes;state
tarbekunstigalerii;tarbekunstigaleriis;jalas käisid nad tarbekunstigaleriis jäädes;loc_c
hävitamine;hävitamisel;likvideerimine käib hävitamisel stsenaariumi järgi;reason
sotsiaalkeskus;sotsiaalkeskuses;sotsiaalkeskuses tegemas käivad;loc_c
hommikukuub;hommikukuues;kes istub hommikukuues kiiktoolis;state
headus;headuses;Polkovniku astuvad Madis headuses;state
energiafirma;energiafirmast;Jutt käib energiafirmast;other
1960.;1960-ndatel;kirjamees astus kirjandusellu 1960-ndatel oli;time
Kajakas;Kajakast;Jutt käib Kajakast aastast;other
äriringkond;äriringkondades;kes istuvad äriringkondades;loc_a
La;Las;Näiteks käib Las Vegases esinemas Elton;loc_c
MM-etapp;MM-etapil;MM-etapil poodiumile astunud;event
prostitutsiooniprotsess;prostitutsiooniprotsessis;pidajad astuvad nädala pärast prostitutsiooniprotsessis süüdistatavatena kohtu ette;event
sunniit;sunniidist;mis valitsusajal astus vastu sunniidist režiimile;error
digitaalplatvorm;digitaalplatvormile;nähtav siis alates eilsest liikus kanal digitaalplatvormile;loc_a
toomemägi;Toomemäele;mis koos rongkäigulistega Toomemäele liigub;loc_c
Show;Show'l;Show'l astub ülesse poeg;event
list;listides;debatt on listides käinud;loc_a
Mäo;Mäolt;kes alates Mäolt Sõmerpalu poole astus abistada;loc_c
rongivagun;rongivagunis;plahvatus käis kell hommikul rongivagunis;loc_c
talumees;talumeestest;mis liiguvad küll talumeestest kiiremini;other
hasart;hasardist;paljud käivad sisseastumiskatsetel lihtsalt hasardist;other
arvutimess;arvutimessil;Peeter käis Saksamaal arvutimessil;event
sessioon;sessioonil;sessioonil istus seltskond arutama;event
traal;traalidel;Puhkuse ajal käis Mart kuulmisega traalidel;loc_c
muusikamaastik;muusikamaastikust;Jutt käib muusikamaastikust;other
väikeplokk;väikeplokkidest;Külas käis väikeplokkidest ehitamine saama;other
Taanimaa;Taanimaalt;Taanimaalt noruspäi lahkuvad;loc_c
reaktor;reaktorist;Soojusenergia lahkub reaktorist hoopis heeliumi abil;loc_c
Kazimirez;Kazimirezis;ta pole käinud Kazimirezis;loc_c
olümpia-mäng;olümpia-mängudel;olümpia-mängudel käis kultuuriminister;event
seganeljane;seganeljases;seganeljases istusid veel Silver;loc_a
õhtuhämar;õhtuhämaras;kuuseäri ees käis eile õhtuhämaras riietumine;time
eksamikeskus;eksamikeskuses;Eile käisid eksamikeskuses küsimas abituriendid;loc_c
huvialaring;huvialaringides;Erinevalt käib ta sagedamini huvialaringides;loc_a
türklane;türklastest;Tihtipeale astusid nad türklastest mööda;other
Martha;Martha's;Martha's on Russo käinud perega aastaid;loc_c
massaažikool;massaažikoolis;kes käivad massaažikoolis lihtsalt huvist;loc_a
videvik;Videvikus;Videvikus liiguvad loomad kanapimedus;time
töömaht;töömahust;komisjonid ei käi töömahust üle;other
europarlament;europarlamendis;õnneks ei käi poliitika europarlamendis riigiti;loc_a
suurendamine;suurendamisest;jutt käib suurendamisest;other
välibassein;välibasseinis;Noormehed käisid välibasseinis;loc_c
Tammsaare-lavastus;Tammsaare-lavastuses;kes Tammsaare-lavastuses astub üles Indrekuna;event
müügitehing;müügitehingul;kelm käis ise müügitehingul võtmas kannatanud;event
kõrvalejäämine;kõrvalejäämisele;hinnanguil käis vaatamata kõrvalejäämisele hääletamas protsendi erandina;other
Reaalkool;Reaalkoolist;Reaalkoolist pole jookul lahkunud õpetaja;loc_a
naisteosakond;naisteosakonnas;käis naisteosakonnas;loc_c
golfiraja;golfirajal;Tulles käime golfirajal;loc_c
Schäuble;Schäublel;Käed liiguvad Schäublel aga tänu imele;owner
laadaplats;Laadaplatsil;Laadaplatsil käib elu;loc_c
seitsmetund;seitsmetunnist;kes astus pärast seitsmetunnist mängu meie juurde;time
korraldusmeeskond;korraldusmeeskonnast;Tänavu on Rock korraldusmeeskonnast lahkunud mehed;loc_a
seenekasvatusprojekt;seenekasvatusprojektile;käisid majandusministri juures seenekasvatusprojektile palumas;owner
kips;kipsis;kellest 10 lahkusid kliinikumist kipsis jalaga;error
infosajand;infosajandisse;infosajandisse astuvat;time
hakatus;hakatusel;alatasa käime talle hakatusel meenutamas;manner
lasterong;lasterongis;juhataja istuvad lasterongis nimega;loc_c
pakkuja;pakkujast;kes on liikunud sammhaaval pakkujast;state
ettevalmistusraha;ettevalmistusrahast;jutt käib ettevalmistusrahast;other
tervisehäire;tervisehäirele;protsenti oli vaatamata tervisehäirele käinud tööl;other
Togo;Togost;president lahkus eile Togost;loc_c
varasügis;varasügisel;konkurent käis varasügisel välja Ristküsitluse;time
net;netis;netis tüübid käivadki;error
töörühm;töörühmas;esindajad istusid tõepoolest töörühmas;loc_a
politseikolledž;Politseikolledžisse;Politseikolledžisse astunud;loc_a
klubides-pubides-kontsert;klubides-pubides-kontsertidel;kes klubides-pubides-kontsertidel käivad;event
erarõivas;erarõivastes;Koalitsiooniväed liiguvad aladel tihti erarõivastes kasutades;state
pdagoogikaülikool;pdagoogikaülikoolis;Olen käinud pdagoogikaülikoolis otsimas;error
projekteerimine;projekteerimisel;näiteks käivad tööd projekteerimisel;event
kaklus;kakluses;varem istus ta aastat kinni tapmise eest kakluses;event
silt;siltidele;keeleinspektorid käiksid linnaosas siltidele näitamas;error
rannahoone;rannahoones;lapsed käisid juba neljapäeval koos rannahoones peol;loc_c
Floro;Floros;Tiia jooksis Norramaal Floros tõkkeid rekordiga;loc_c
majaosa;majaosas;majaosas käib ehitus;loc_c
lina;linal;kes astub korda üles linal;error
lapsepõlvemaailm;lapsepõlvemaailmas;Priit käis ekskursioonil lapsepõlvemaailmas;loc_a
kaitsekonfiguratsioon;kaitsekonfiguratsioonist;armee käiks pingutuseta üle kaitsekonfiguratsioonist;loc_a
lauatoake;lauatoakeses;lauatoakeses istume;loc_c
üksikrajatis;üksikrajatistest;toetuste puhul ei käi jutt üksikrajatistest;other
Bain;Baini;praegugi käib USA-s Baini rajaja vahel vaidlus;error
VIP-sektor;VIP-sektoris;Kõndisin staadonil ringi VIP-sektoris;loc_c
põhikoosseis;põhikoosseisust;KuPS-ist lahkus pool põhikoosseisust;other
IT-äri;IT-ärisse;aastat tagasi astus Siff jõuliselt IT-ärisse;loc_a
printsess;Printsessi;Printsessi käib Tallinnas leinamas kooliõpilasi;error
kroonimispidustus;kroonimispidustustel;Venelased käisid seal kroonimispidustustel;event
kanep;Kanepile;Vähem istub Kanepile võrdlemine ameeriklanna;owner
pst;pst-l;Istume Pirital pst-l džiipi;loc_c
medalivõit;medalivõidust;jutt käib suusakuninganna medalivõidust;other
veehaare;veehaardesse;mis aga liigub veehaardesse;state
pallimäng;pallimängudelt;Küll jooksevad staadioni äärde pallimängudelt tantsu-tüdrukud;event
tähetorn;tähetornist;astume tähetornist välja;loc_c
eesosa;eesosas;eesosas liigub pea;loc_c
esine;esiselt;Kobaras koos tõttasid nad esiselt Kakumäe poole;loc_a
labidas;labidale;Istusin otse labidale;loc_c
diagnostikakeskus;diagnostikakeskuses;pärast seda käis ta uuringutel diagnostikakeskuses;loc_c
toomine;toomisel;rollis astus Kalkun aastatel üles toomisel;error
Avinurme;Avinurmest;vaenlane Avinurmest edasi ei liiguks;loc_c
läänetiib;läänetiivas;boss istus läänetiivas toas;loc_c
Veiko;Veikole;Karin istub Veikole lähemal;owner
saksa-turnee;Saksa-turneel;Kursman käib ära Saksa-turneel;event
talihooaeg;Talihooajal;Talihooajal jooksis teravamalt Igor suvel;time
lahendamine;lahendamisel;Lebedi vahel käib lahendamisel võistlus;dependent
malm;malmist;sõnul käib nädalal ikka pakkujat lootusrikkalt malmist luukidega kohal;state
rattatool;rattatoolides;põnni istuvad rattatoolides üks;loc_c
suusatreening;suusatreeningutel;Nooruspõlves käis suusatreeningutel abikaasa;event
Yle1;Yle1-st;sarjadest jookseb argihommikuti Yle1-st;loc_a
teraapiatuba;Teraapiatoas;Teraapiatoas istuvad inimesed vaguralt maalide ees;loc_c
tuledesära;tuledesäras;teine liigub tuledesäras;state
liitmine;liitmisele;astusid otsustavalt liitmisele;other
kahepaat;kahepaati;Jaanson istuvad regatiks kahepaati;loc_c
läänekülg;lääneküljest;praegu liigub praam lääneküljest mööda ringiga juhuks;loc_c
Šanghai;Šanghais;Šanghais käis nimelt visiidil ametnik;loc_c
klaveriklass;Klaveriklassis;Klaveriklassis käib töö programmi järgi;loc_c
reservõppekogunemine;reservõp-pekogunemistel;mullu käis reservõp-pekogunemistel kaitseliitlasi;event
perelehekülg;Pereleheküljel;Pereleheküljel käime külas kodudes;loc_a
