sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_abstract,is_alive,is_time,is_event
7148887,11498995,9,jääma,,abl,hoiak,hoiakult,"Ruth vangutas vaid tummalt pead , aga jäi hoiakult endiseks .",,,,no,"The phrase 'hoiakult' is not an adverbial of place because it refers to 'in terms of attitude', which describes a manner or quality rather than a physical location.",no,no,no,no
1975641,3150491,7,kasvama,,ad,eestvedamine,eestvedamisel,"Hüppeliselt kasvasid kaitsekulutused peaminister Tiit Vähi eestvedamisel 1997. aasta eelarves , kuid pidurdusid 1,2 protsendi tasemel sisemajanduse koguproduktist tänavu .",,,,no,"The phrase 'eestvedamisel' is not an adverbial of place because it refers to 'under the leadership', which indicates guidance or influence, not a physical location.",no,no,no,no
5523489,8855905,11,kasvama,,ad,külaskäik,külaskäikudel,"Väike Haapsalu linnake armastas omakorda tsaare , sest tänu nende külaskäikudel kasvas kuurordi populaarsus kogu Peterburi aadelkonna seas .",,event,,no,The phrase 'külaskäikudel' was classified as 'no' because it refers to an event or occurrence and not to a specific location.,no,no,no,yes
9788208,15704947,10,haarama,,el,probleem,probleemidest,"Arenenud maade koolipsühholoogid kinnitavad , et ligi poole käsitletavatest probleemidest haaravad enda alla emotsionaalsed ja käitumisprobleemid .",,,,no,"The phrase 'probleemidest' refers to the problems being discussed, which indicates a topic or subject rather than a location, so it is not adverbial of place.",no,no,no,no
8709108,13972974,12,juhatama,,el,lastmi,lastmist,"Hommikul läks Mastfeld sadamasse , kus õiendas kaptenitega , juhatas kaupade lastmist ja võttis raha vastu .",,,,no,"The word 'lastmist' refers to loading cargo and does not indicate a location, so it is not an adverbial of place.",no,no,no,yes
6627585,10664802,10,takistama,,ad,avaldamine,avaldamisel,""" Viimase ajani ei takistanud mind keegi oma seisukohtade avaldamisel .",,,,no,"'Avaldamisel' refers to expressing opinions rather than a location, so it is not an adverbial of place.",no,no,no,yes
370881,574900,10,viima,välja,el,savijalgsus,savijalgsusest,"Martta rollitõlgendus olevat otsene farss , mis “ ideelisest savijalgsusest viib juba välja eetilise maalibisemiseni ” .",,,,no,"'Savijalgsusest' refers to an abstract concept rather than a physical location, so it is not an adverbial of place.",no,no,no,no
15375421,24015365,22,vastama,,abl,välimus,välimuselt,"Juba seitse aastat show-tantsuga tegelenud Kati peab ennast tüüpiliseks Lõvi tähtkuju esindajaks ning tollele päikesemärgile omastele iseloomujoontele lisaks vastab Kati ka välimuselt Linda Goodmani "" Päikesemärkides "" ära toodud Lõvi-inimese kirjeldusele .",,,,no,"The phrase 'välimuselt' (in appearance) describes a characteristic rather than location, so it is not classified as an adverbial of place.",no,no,no,no
3220721,5173589,6,nägema,,all,kodanikuõigus,kodanikuõigustele,Islamistid nägid Euroopas tagatist oma kodanikuõigustele .,,,,no,"The phrase 'kodanikuõigustele' (to civil rights) refers to a concept and not a physical place, so it is not classified as an adverbial of place.",no,no,no,no
12208614,19546362,14,paigaldama,,el,puit,puidust,"Orlovi andmetel paigaldasid kaks meest koos töödejuhatajaga hoone vahelae tellingute ehitusel ettevalmistatud talastikule puidust kattekihti , kuid Oleg astus teadmata põhjusel veel kinnitamata katteplaadile ning kukkus hoone siseõueks olevale neljanda korruse betoonvahelaele .",,,,no,"The phrase 'puidust' refers to the material of the cover and not a location, so it is not an adverbial of place.",no,no,no,no
6883019,11064461,12,kajastuma,,in,ilmumine,ilmumises,619 Eestis kajastus see näiteks ka oluliselt vähenenud saksa päritolu misjoniperioodika ilmumises I maailmasõja eel .,,event,,no,"The phrase 'ilmumises' indicates the act of publication, not a location, so it is not an adverbial of place.",no,no,no,yes
14091164,22436884,11,leiduma,,el,kakao,kakaost,"Täpsemalt sihukesed paraja suurusega trühvelšokolaadid , mida leidub maitsetega puhtast kakaost ja harjunud pähklist kuni chilli-täidiseni välja .",,,,no,"The phrase 'kakaost' describes the material the chocolates are made of, not a location, so it is not an adverbial of place.",no,no,no,no
9774674,15683958,21,võtma,ette,el,deklaratsioon,deklaratsioonidest,"Liberaalse kallakuga Res Publica ebamääraselt sõidusoodustusi tõrjuv hoiak on maailmavaatelistel põhjustel mõistetav , sotsiaalset õiglust taotlevad noorsotsid ei võtnud aga deklaratsioonidest hoolimata midagi mõjuvat ette .",,,,no,"The phrase 'deklaratsioonidest' indicates the source or origin of an action, not a location, so it is not adverbial of place.",no,no,no,no
5310127,8518798,22,langema,,all,50,50le,Ka EUREXi ja Rootsi OMX indeksifutuuride vahendustasud vähenevad oluliselt - näiteks OMX futuuri puhul langeb ühe lepingu tasu seniselt 100 SEKilt 50le ja miinimumtasu 500lt 200le .,,,,no,"The phrase '50le' indicates a numerical value or endpoint rather than a location, so it is not adverbial of place.",no,no,no,no
10615489,17014496,8,pälvima,,el,peapreemia,peapreemiatest,"Viimasel Sorose keskuse aastanäitusel pälvis ta ühe peapreemiatest , hiljutine isiknäitus Kunstihoone Galeriis suples soosivas kriitikas .",,,,no,"It was not classified as an adverbial of place because 'peapreemiatest' refers to awards or recognition, not a place or location.",no,no,no,yes
7034577,11300435,5,laskma,,all,kvaliteet,kvaliteedile,"Kvantiteedile rõhumine ei lase kvaliteedile piisavalt tähelepanu pöörata , kuid kasvatab enesekindlust .",,,,no,"It was not classified as an adverbial of place because 'kvaliteedile' refers to a focus on quality, which is not a location-related expression.",no,no,no,no
16571628,25550684,13,muutuma,,adit,alapunkt,alapunkti,ii ) kõnealuse punkti 1 alapunkti b alapunkt ii muutub punkti 1 alapunkti b alapunktiks iii ;,,,,no,"It was not classified as an adverbial of place because 'alapunkti' refers to a subsection in a document, which doesn't describe a physical location.",no,no,no,no
13230025,21166877,9,kalduma,,all,kumbki,kummalegi,Esimene poolaeg oli närviline – vaekauss ei kaldunud kummalegi poole .,,,,no,"It was not classified as an adverbial of place because 'kummalegi' expresses an abstract direction or inclination, not a concrete place.",no,no,no,no
1429670,2274554,11,kogunema,,el,see,sellest,"Kokku on ETA-l Luusi sõnul maksuvõlgu 4,28 miljonit krooni , sellest on jooksvatest maksudest kogunenud 780.000 krooni .",,,,no,"It was not classified as an adverbial of place because 'sellest' indicates a reference point or portion, not a location.",no,no,no,no
14194070,22565548,8,nägema,välja,in,käit,käitudes,"Kõige tähtsam on , kuidas nad vabalt käitudes välja näevad .",,,,no,"The phrase 'käitudes' (behaving) refers to a manner or way of acting, so it is not about a specific location and is therefore not adverbial of place.",no,no,no,no
6798894,10938485,7,langema,,all,erastamine,erastamisele,Keskturg langes kurjategijate kätte tänu selle erastamisele Keskerakonna poolt .,,,,no,"The phrase 'erastamisele' (privatization) refers to an abstract concept or action, not a physical location, so it is not adverbial of place.",no,no,no,yes
5856486,9398300,14,tunnistama,,in,kolmas,kolmandas,""" Olen kohutav kahtleja , näiliselt enesekindlast fassaadist hoolimata , "" tunnistab ta kolmandas .",,,,no,"The phrase 'kolmandas' (third) refers to an ordinal position and does not specify a particular location, so it is not adverbial of place.",no,no,no,no
6061851,9730711,1,loobuma,,in,raam,raames,"raames on esimese kahe nädalaga oma romuautodest loobunud 197 inimest , neist 127 on auto ära andnud tasuta .",,,,no,"The phrase 'raames' refers to the context or framework of an action, not a specific location, so it is not adverbial of place.",no,no,no,no
202836,331016,10,unistama,,el,asendamine,asendamisest,"Sajandi algul unistas inglise režissöör G. Craig koguni elavate näitlejate asendamisest sümbolina mõjuvate ülimarionettidega , mida lavastaja saab vabalt manipuleerida .",,,,no,"The phrase 'asendamisest' refers to the act of substitution or replacement, not a location, so it is not adverbial of place.",no,no,no,no
9378890,15061227,11,koondama,,all,väide,väidetele,"Reno juhitav juurdlus koondab põhitähelepanu endise FBI agendi Donald Wilsoni väidetele , mille järgi viis ta Ray autost ära vandenõu tõestavad paberid .",,,,no,The phrase 'väidetele' was not classified as an adverbial of place because it refers to claims and not a location.,no,no,no,no
836636,1332913,14,kaebama,,in,õnnetus,õnnetuses,"Air France kaebab Continental Airlinesi kohtusse viimase väidetava rolli pärast juulis Concorde'ga toimunud õnnetuses , mis surmas 113 inimest ja jättis ülehelikiirusega lennuki maa peale , teatas Prantsuse lennufirma pressiesindaja .",,event,,no,The phrase 'õnnetuses' was not classified as an adverbial of place because it refers to an event (the accident) rather than a specific location.,no,no,no,yes
2117424,3380035,7,vaatama,,el,etapp,etapist,Eelmisel hooajal vaatas Eestis vormelisöite söltuvalt etapist 150.000-200.000 inimest .,,,,no,The phrase 'etapist' was not classified as an adverbial of place because it refers to stages of an event rather than a specific place.,no,no,no,yes
6416224,10315136,3,kaduma,,all,ajavõtt,ajavõtule,Tänu elektroonilisele ajavõtule on paberil protokoll kadunud .,,,,no,"The phrase 'ajavõtule' refers to an abstract concept related to timing, not a specific location, so it is not classified as an adverbial of place.",no,no,no,yes
10426356,16725470,21,nähtuma,,ad,põhjus,põhjusel,"Rabas kõndides jäävad silma üksikud kuivanud puutüved , mis on nii auke täis , nagu oleks nende kallal mingil seletamatul põhjusel puuriga vaeva nähtud .",,,,no,"The phrase 'põhjusel' describes cause or reason, not location, so it is not adverbial of place.",no,no,no,no
1362920,2166599,11,kasvama,,all,käibekasv,käibekasvule,"Ettevõtte pressiesindaja Renata Mozuraite ütles , et kasumi kasv jäi käibekasvule alla kasvanud kulutuste tõttu .",,,,no,"The phrase 'käibekasvule' refers to a concept or comparison, not a location, so it is not adverbial of place.",no,no,no,no
2021175,3225407,4,asuma,,adit,rühm,rühma,19.52 kümme päästeameti rühma asuvad tööle,,,,no,"The phrase 'rühma' refers to a group and not a physical location, so it is not adverbial of place.",no,no,no,no
18475563,27983805,8,juhtuma,,el,faktor,faktorist,Sellises suures ja keerulises inventuuris juhtub inimlikust faktorist tulenevalt kindlasti vigu .,,,,no,"The phrase 'faktorist' is not classified as an adverbial of place because it refers to a cause or reason, not a location.",no,no,no,no
5776317,9267293,10,ununema,,in,mängupinge,mängupinges,"Rünnakut oleme lihvinud lühikest aega , mõni rõhuasetus ununes mängupinges . """,,,,no,"The phrase 'mängupinges' is not classified as an adverbial of place because it describes a state or condition, not a location.",no,no,no,no
1104039,1754433,10,ennustama,,in,voor,voorus,Opositsiooni presidendikandidaat Vojislav Kostunica ennustas oma võitu juba esimeses voorus .,,,,no,"The phrase 'voorus' is not classified as an adverbial of place because it refers to an event or stage, not a location.",no,no,no,yes
11472739,18380786,4,lootma,,in,päästmine,päästmises,Ühendriigid loodavad rahuprotsessi päästmises ka Egiptuse presidendi Hosni Mubaraki abile .,,,,no,"The phrase 'päästmises' refers to the act of saving, which does not specify a location, thus it is not an adverbial of place.",no,no,no,yes
1696498,2700366,8,ilmuma,,in,ametimunder,ametimundris,Ta ilmus tööle tsaariaegseid ohvitsere meenutavas pidulikus ametimundris - esimest ja viimast korda .,,,,no,"The phrase 'ametimundris' describes a state of being dressed in formal uniform, not a location, so it is not an adverbial of place.",no,no,no,no
380873,591341,5,vastama,,abl,arenguloogika,arenguloogikalt,Eesti ei vasta oma arenguloogikalt praegu EL põhimõtetele : EL-s vastavad rahvusriigid riikidevahelise integratsiooni süvenemisele kasvava hoolitsusega enda tervikliku ja tasakaalustatud arengu eest .,,,,no,"The phrase 'arenguloogikalt' explains the logic of progression and does not indicate a location, so it was classified as 'no'.",no,no,no,no
7050124,11326129,4,lootma,,in,kimbatus,kimbatuses,"Übene lootis oma kimbatuses , et vend Ibune asub talle vaidluses Miragaeliga – nagu ta olukorda kujutles – appi .",,state,,no,"The word 'kimbatuses' describes a state of confusion or difficulty, not a location, so it was classified as 'no'.",no,no,no,no
9428347,15139148,2,pälvima,,el,kavatsus,kavatsustest,Headest kavatsustest hoolimata ei pälvi eelnõu naisõiguslastelt ühest heakskiitu .,,,,no,"The phrase 'kavatsustest' refers to intentions and does not express place, so it was classified as 'no'.",no,no,no,no
13982373,22258639,1,põlema,,ad,teenus,Teenusel,Teenusel piirhinda põle .,,,,no,"The phrase 'Teenusel' refers to being on a service rather than a physical place, so it was classified as 'no'.",no,no,no,no
10928534,17502728,7,valmima,,el,tipplugu,tipplugudest,"1938. aastal valmis esimene Fitzgeraldi paljudest tipplugudest , “ A Tisket A Tasket ” , mille edu jagas järgmisel aastal esitatud “ Undecided ” .",,,,no,"The phrase 'tipplugudest' refers to high points of achievement, not a location, so it was classified as 'no'.",no,no,no,no
345279,533428,8,hukkuma,,ad,katsetamine,katsetamisel,1967 hukkus uue kosmoselaeva “ Sojuz ” katsetamisel Vladimir Komarov ning ükski riigijuht ei soostunud positiivselt otsustama lendu ümber Kuu - startinud oleksid arvatavasti kosmonaudid Aleksei Leonov ja Oleg Makarov .,,,,no,"The phrase 'katsetamisel' refers to the act of testing, not a physical location, so it is not adverbial of place.",no,no,no,yes
13769694,21954276,6,käima,ringi,ad,kord,korral,Me käisime tehases ringi neljal korral neljal päeval ja keegi ei takistanud meid .,,,,no,"The phrase 'korral' denotes an instance or occasion rather than a location, so it is not adverbial of place.",no,no,no,no
17667286,27007572,12,haarama,,el,hilp,hilbust,siis ulatab tädi selle ukest välja ja iga tige tibi haarab hilbust .,,,,no,The phrase 'hilbust' is not an adverbial of place because it refers to an object being taken (a piece of clothing) rather than indicating a location.,no,no,no,no
15144175,23686215,5,jääma,,abl,ihu,ihult,Rüütli : « Jään ihult ja hingelt mulgiks . »,,,,no,The phrase 'ihult' is not an adverbial of place because it refers to a condition or state ('in body') rather than indicating a location.,no,no,no,no
17393344,26679482,26,jääma,,adit,ajajänn,ajajänni,"njaa ... nõme on see , et esimese osa teed 1/3 ettenähtud ajaga ja kui siis juhuslikult teises osas millegi otsa komistad ja ajajänni jääd ...",,,,no,The phrase 'ajajänni' was classified as 'no' because it does not indicate a specific place but rather the state of being short on time.,no,no,no,no
18733484,28314636,2,rääkima,,abl,tege,tegelt,"rääkigegi tegelt , siis teab , millest hoiduda .",,,,no,The phrase 'tegelt' was classified as 'no' because it does not describe a location or place but is an informal way of saying 'actually'.,no,no,no,no
4834166,7761739,5,tõusma,,all,11.75,11.75-le,Kanalisatsioonitasu tõuseb neil 9.25-lt 11.75-le.,,,,no,The phrase '11.75-le' was classified as 'no' because it indicates a numerical value rather than a location or place.,no,no,no,no
11387898,18247939,10,kohtama,,ad,pidurdamine,pidurdamisel,"Publiku südamed võitnud Leedu kohtas enim raskusi Andrew Gaze'i pidurdamisel , kes kogus 22 punkti .",,,,no,The phrase 'pidurdamisel' was classified as 'no' because it refers to the act of stopping someone and is not related to a place.,no,no,no,yes
16244404,25160267,6,kaebama,,in,laim,laimus,Tallinna linnavalitsus kaebab ajalehe Äripäev laimus süüdistatuna Avaliku Sõna Nõukogusse ; leht protsessi ei karda ja loodab selle võita .,,,,no,"The phrase 'laimus' specifies the type of accusation rather than a location, so it is not adverbial of place.",no,no,no,no
6354365,10210698,11,lükkama,,el,laenamine,laenamisest,; Seilenthal lükkab kiiresti umber igasuguse spekulatsiooni võimalikust alla omahinna laenamisest .,,,,no,"The phrase 'laenamisest' is related to the act of borrowing, not a location or spatial reference, hence not adverbial of place.",no,no,no,yes
165355,275551,9,langema,,abl,dollar,dollarilt,Tselluloositonni hind on välisturgudel langenud aasta alguse 1000 dollarilt 500-550 dollarile .,,,,no,"The phrase 'dollarilt' refers to a unit of measurement or value and not a location, so it is not classified as an adverbial of place.",no,no,no,no
9417225,15121269,1,sisaldama,,el,,Nullist,"Nullist kümne milligrammini sisaldasid nitriteid AS Nõo Lihatööstuse rulaad Mõnus ( 6,5 mg/kg ) , sama firma rulaad Nõo ( 6,4 mg/kg ) , Valga liha- ja konservitööstuse vürtsisealiha ( 5,9 mg/kg ) , Lihameistri Ranniku sink ( alla 5 mg/kg ) , Talleggi salaami Ranna ( 8 mg/kg ) , AS Adavere Lihatööstuse Kuningavorst ( 6,4 mg/kg ) ning Tarva LT keeduvorst shampinjonidega ( 5,6 mg/kg ) .",,,,no,"The phrase 'Nullist' refers to an origin or starting point but not a specific location, so it is not classified as an adverbial of place.",no,no,no,no
1349371,2145554,9,lõpetama,,all,optimism,optimismile,Tallina börs lõpetas kauplemispäeva vaatamata lähemaid välisturge haaranud optimismile ilma suurema tõusuta .,,,,no,'optimismile' is classified as 'no' because it indicates an abstract concept rather than a specific physical location or place.,no,no,no,no
5205603,8350909,6,käima,üle,el,uljus,uljusest,"Kehra kogemused käisid Oskari nooruslikust uljusest üle , täiesti must päev oli Oskari viskemehel Roman Glinkinil , kes tabas vaid kahel korral .",,,,no,"'uljusest' is classified as 'no' because it refers to a quality or characteristic, not a location or place.",no,no,no,no
63126,108447,3,jääma,,all,80%,80%-le,Seega jääb 80%-le klientidest vaid viiendik .,,,,no,The phrase '80%-le' was classified as 'no' because it indicates a percentage allocation rather than a location or place.,no,no,no,no
14043048,22358266,3,päästma,,in,vorm,vormis,""" Kehvas vormis "" Ballack ja Ševtšenko päästsid Chelsea",,,,no,"The phrase 'vormis' was classified as 'no' because it describes a condition or state, not a location.",no,no,no,no
1486576,2366491,2,hävitama,,ad,põhjus,põhjustel,Mis põhjustel hävitasid palestiinlased Joosepi isa haua - ideoloogilistel või religioossetel ?,,,,no,The phrase 'põhjustel' was classified as 'no' because it refers to reasons and not to a spatial place.,no,no,no,no
16983282,26107971,3,kehtima,,ad,külmutamine,külmutamisel,"Liikuva objekti külmutamisel kehtib lihtne reegel – mida lühem säriaeg , seda parem .",,,,no,"The phrase 'külmutamisel' is not specifying a location but refers to the act of freezing, hence it is not adverbial of place.",no,no,no,no
10901284,17458872,16,möllama,,ad,kord,korral,1957. aastal Tallinna äärelinna Rocca al Mare paekaldale rajatud vabaõhumuuseumis on suur tuli möllanud 12 korral .,,,,no,"The phrase 'korral' does not indicate a location but refers to an occurrence or instance, so it is not adverbial of place.",no,no,no,no
18349129,27812686,35,alanema,,in,liikumiskiir,liikumiskiirus,"Saksa kerged tankitõrjerelvad ( ma ei mõtle siin käsigranaate ) , muutsid kogu taktikalist olukorda - tanke ei saanud enam kasutada kiirete manöövrite teostajana , neid tuli hakata pidevalt saatma jalaväega , tulemusena tankide liikumiskiirus alanes .",,,,no,"The phrase 'liikumiskiirus' refers to the rate of movement and does not denote a location, so it is not an adverbial of place.",no,no,no,no
13307433,21289266,5,sattuma,,all,heroiinikogus,heroiinikogusele,"Kinnitamata andmeil sattus politsei heroiinikogusele pooljuhuslikult , kahtlustades Sepot hoopis teist laadi kuriteos .",,,,no,"The word 'heroiinikogusele' refers to the quantity of heroin found and not to a location, so it is not an adverbial of place.",no,no,no,no
1220254,1940401,14,minema,tagasi,in,lootus,lootuses,""" Kui olime õnnelikult välja pääsenud , läksin kiiresti tagasi lennuki juurde , lootuses abistada piloote David Saundersit ja Dan Worleyd , kuid kahjuks ei olnud enam midagi võimalik teha .",,,,no,"It is classified as 'no' because 'lootuses' refers to a state or condition, not a place.",no,no,no,no
14582959,23033058,13,alistuma,,in,lootus,lootuses,"Eesti rahva esindajana kunagine Eesti President Päts alistus ühele naaberriigi terrorile - lootuses , et ei tule sõda - eestlaste inimelud saavad säilitatud .",,,,no,"The phrase 'lootuses' indicates a manner or state of hope, not a physical place, so it is not classified as an adverbial of place.",no,no,no,no
12063898,19310867,7,treenima,,ad,koormus,koormusel,"Treeni 2–3 kuud kergemal koormusel – käi ujumas , jõusaalis , sõida veloergomeetril .",,,,no,"The phrase 'koormusel' refers to a condition or state of burden, not a location, so it is not classified as an adverbial of place.",no,no,no,no
6920719,11124154,8,määrama,,in,senine,senises,"Valga linnale eraldatud 2,4 miljoni krooni eest senises määras toetusi maksta pole võimalik .",,,,no,"The phrase 'senises' describes a condition or manner (previous state), not a physical place, so it is not classified as an adverbial of place.",no,no,no,no
3577177,5760317,21,paistma,,el,filmiroll,filmirollidest,"Kui valge mees on tavaliselt mustast nutikam , kuid füüsiliselt nõrgem , siis "" Die Hard 3 : Kättemaksu "" filmirollidest paistab vastupidi .",,,,no,"The phrase 'filmirollidest' is not classified as an adverbial of place because it describes the source of observation or implication, not a location.",no,no,no,no
7438883,11943879,1,otsustama,,in,kirehoog,Kirehoos,Kirehoos otsustavad nad oma uued abikaasad maha jätta ja Pariisis elu nautida .,,state,,no,The phrase 'Kirehoos' is not classified as an adverbial of place because it indicates a state or condition and not a physical place.,no,no,no,no
13452450,21515755,4,laienema,,all,haridus,haridusele,"Sama laieneb ka haridusele , kultuurile , sotsiaalküsimustele .",,,,no,"The phrase 'haridusele' is not classified as an adverbial of place because it refers to a subject or focus area, not a physical place.",no,no,no,no
9185891,14764183,22,tõmbama,,all,kvaliteet,kvaliteedile,"“ Usun , et direktorid ja õppealajuhatajad on õpetajate suhtes objektiivsed , sest riigieksamid ja koolide pingeridade koostamine tõmbab tähelepanu õppetöö kvaliteedile , ” ütleb Vääri .",,,,no,The phrase 'kvaliteedile' is not classified as an adverbial of place because it refers to a concept (quality) rather than a location.,no,no,no,no
1541615,2453575,3,ehitama,,ad,luga,loal,Koloonia ülema loal ehitas ta koos saatusekaaslastega õuele võrkpalliväljaku ning pidas maha matši EKE Projekti meeskonnaga .,,,,no,"The phrase 'loal' indicates permission or consent and not a location, so it is classified as 'no' for adverbial of place.",no,no,no,no
8974817,14429377,8,ilmuma,,all,kirjutis,kirjutisele,"Ja lõpetuseks kõrvalmärkusena viimastel päevadel ilmunud mõnele kirjutisele : Eestis ei eksisteeri enam kaheksa aastat ühtki asutust , kes nuhiks oma kodanike järgi või soosiks koputamist .",,,,no,"The phrase 'kirjutisele' refers to a written piece or article, not a location, so it is not an adverbial of place.",no,no,no,no
1719801,2737790,10,murdma,,in,abielu,abielus,"Nad lubavad tõestada , et Smith murdis oma mehele abielus olles truudust , ning on kutsunud Powledge'i tunnistajaks .",,state,,no,"The phrase 'abielus' refers to a state or condition (being married) rather than a physical location or spatial context, so it is not adverbial of place.",no,no,no,no
4261498,6856786,14,maksma,,abl,maht,mahult,"Lisaks sellele loodab reisifirma teenida veel vahendustasudelt , mida reisiettevõtted maksavad müüdud teenuste mahult .",,,,no,"The phrase 'mahult' pertains to volume or quantity and does not indicate a specific physical location, so it is not adverbial of place.",no,no,no,no
13346674,21351750,16,ületama,,in,hoovõtukiird,hoovõtukiirus,"Kui kolmele parimale treeningu- ja kahele võistlushüppele lisada tõsiasi , et kummalgi korral ületas Ahoneni hoovõtukiirus konkurentide näite , võib teda Kivinäo vaieldamatult nimetada Villachi Valitsejaks .",,,,no,"The phrase 'hoovõtukiirus' references a measure or property, not a location, so it is not an adverbial of place.",no,no,no,no
8885891,14278514,23,tantsima,,in,klubiriie,klubiriietes,"Kolmandas tükis leidsin üles ka selle vahepeal ununenud , umbes viieteistkümneminutilise seose klubikultuuriga , kui Z-generatsiooni tüdrukud tantsisid X-generatsiooni moetudengite õmmeldud “ klubiriietes ” Y-generatsiooni muusika ( d & b ) saatel nüüdispolkat ehk kaasaegset tantsu .",,,,no,"The phrase 'klubiriietes' refers to being dressed in club outfits, not a place, so it is not an adverbial of place.",no,no,no,no
3868517,6230604,4,viskama,,in,meelehärm,meelehärmis,"Kas on autor meelehärmis pärast grandioosset debüteerimist oma hilisemad kirjatööd ahju visanud või pole enam üldse vaimu peale tulnud , selle täpseid tagamaid teab vaid tema ise .",,,,no,"The phrase 'meelehärmis' describes an emotional state rather than a location, so it is not adverbial of place.",no,no,no,no
