sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_abstract,is_event,is_time,is_org,is_alive
12689876,20302950,6,süttima,,ad,ennalõuna,ennalõunal,Harjumaal Kernu vallas süttis eile ennalõunal sel kuul juba teist korda ligi poolsada hektarit metsa .,,,,no,"The phrase 'ennalõunal' (mid-morning) indicates a time rather than a place, so it is not classified as an adverbial of place.",no,no,yes,no,no
1395538,2220127,1,kasvama,,ad,Inga,Ingal,Ingal kasvab prae- gu Mustamäe korteris kaks lumivalget puudlit .,,,,no,"The phrase 'Ingal' refers to a person rather than a location, so it is not classified as an adverbial of place.",no,no,no,no,yes
15375421,24015365,22,vastama,,abl,välimus,välimuselt,"Juba seitse aastat show-tantsuga tegelenud Kati peab ennast tüüpiliseks Lõvi tähtkuju esindajaks ning tollele päikesemärgile omastele iseloomujoontele lisaks vastab Kati ka välimuselt Linda Goodmani "" Päikesemärkides "" ära toodud Lõvi-inimese kirjeldusele .",,,,no,"The phrase 'välimuselt' (in appearance) describes a characteristic rather than location, so it is not classified as an adverbial of place.",no,no,no,no,no
3220721,5173589,6,nägema,,all,kodanikuõigus,kodanikuõigustele,Islamistid nägid Euroopas tagatist oma kodanikuõigustele .,,,,no,"The phrase 'kodanikuõigustele' (to civil rights) refers to a concept and not a physical place, so it is not classified as an adverbial of place.",no,no,no,no,no
12208614,19546362,14,paigaldama,,el,puit,puidust,"Orlovi andmetel paigaldasid kaks meest koos töödejuhatajaga hoone vahelae tellingute ehitusel ettevalmistatud talastikule puidust kattekihti , kuid Oleg astus teadmata põhjusel veel kinnitamata katteplaadile ning kukkus hoone siseõueks olevale neljanda korruse betoonvahelaele .",,,,no,"The phrase 'puidust' refers to the material of the cover and not a location, so it is not an adverbial of place.",no,no,no,no,no
6883019,11064461,12,kajastuma,,in,ilmumine,ilmumises,619 Eestis kajastus see näiteks ka oluliselt vähenenud saksa päritolu misjoniperioodika ilmumises I maailmasõja eel .,,event,,no,"The phrase 'ilmumises' indicates the act of publication, not a location, so it is not an adverbial of place.",no,yes,no,no,no
14091164,22436884,11,leiduma,,el,kakao,kakaost,"Täpsemalt sihukesed paraja suurusega trühvelšokolaadid , mida leidub maitsetega puhtast kakaost ja harjunud pähklist kuni chilli-täidiseni välja .",,,,no,"The phrase 'kakaost' describes the material the chocolates are made of, not a location, so it is not an adverbial of place.",no,no,no,no,no
5448702,8735443,2,tekitama,,ad,elanik,elanikel,"Venemaa elanikel tekitab lühend NATO eelkõige negatiivseid emotsioone , selgub üleeile avalikustatud küsitlustulemustest .",,alive,,no,"The phrase 'elanikel' refers to the people of Russia, not a location, so it is not an adverbial of place.",no,no,no,no,yes
14526389,22972714,9,tellima,,abl,lootus,Lootuselt,Haapsalu arhitekti Anu Joosti sõnul tellib linnavalitsus Kersti Lootuselt haljastusprojekti tervele Promenaadile .,,,,no,"The phrase 'Lootuselt' indicates the source or origin of the object (haljastusprojekt), not a location, so it is not adverbial of place.",no,no,no,no,yes
3708746,5972687,23,kujundama,,el,põlv,põlvest,"Kogu ilmumisaja jooksul on see ajakiri mõjutanud mingil hetkel iga eestlanna elu , sest on sisaldanud lugemisainet ning kujundanud kodu- ja stiilitunnet põlvest põlve .",,,,no,"The phrase 'põlvest' refers to time or generation, not a physical place, so it is not adverbial of place.",no,no,yes,no,no
9774674,15683958,21,võtma,ette,el,deklaratsioon,deklaratsioonidest,"Liberaalse kallakuga Res Publica ebamääraselt sõidusoodustusi tõrjuv hoiak on maailmavaatelistel põhjustel mõistetav , sotsiaalset õiglust taotlevad noorsotsid ei võtnud aga deklaratsioonidest hoolimata midagi mõjuvat ette .",,,,no,"The phrase 'deklaratsioonidest' indicates the source or origin of an action, not a location, so it is not adverbial of place.",no,no,no,no,no
5310127,8518798,22,langema,,all,50,50le,Ka EUREXi ja Rootsi OMX indeksifutuuride vahendustasud vähenevad oluliselt - näiteks OMX futuuri puhul langeb ühe lepingu tasu seniselt 100 SEKilt 50le ja miinimumtasu 500lt 200le .,,,,no,"The phrase '50le' indicates a numerical value or endpoint rather than a location, so it is not adverbial of place.",no,no,no,no,no
1491487,2374213,4,tellima,,abl,hindaja,hindajalt,"Tallinna Muinsuskaitseamet sõltumatult hindajalt arhitektuuriajaloolisi eritingimusi ei tellinud , vaid kinnitas Künnapu koostatud dokumendi .",,,,no,"It was not classified as an adverbial of place because 'hindajalt' indicates a source or origin, not a location.",no,no,no,no,yes
10615489,17014496,8,pälvima,,el,peapreemia,peapreemiatest,"Viimasel Sorose keskuse aastanäitusel pälvis ta ühe peapreemiatest , hiljutine isiknäitus Kunstihoone Galeriis suples soosivas kriitikas .",,,,no,"It was not classified as an adverbial of place because 'peapreemiatest' refers to awards or recognition, not a place or location.",no,yes,no,no,no
7034577,11300435,5,laskma,,all,kvaliteet,kvaliteedile,"Kvantiteedile rõhumine ei lase kvaliteedile piisavalt tähelepanu pöörata , kuid kasvatab enesekindlust .",,,,no,"It was not classified as an adverbial of place because 'kvaliteedile' refers to a focus on quality, which is not a location-related expression.",no,no,no,no,no
16571628,25550684,13,muutuma,,adit,alapunkt,alapunkti,ii ) kõnealuse punkti 1 alapunkti b alapunkt ii muutub punkti 1 alapunkti b alapunktiks iii ;,,,,no,"It was not classified as an adverbial of place because 'alapunkti' refers to a subsection in a document, which doesn't describe a physical location.",no,no,no,no,no
13230025,21166877,9,kalduma,,all,kumbki,kummalegi,Esimene poolaeg oli närviline – vaekauss ei kaldunud kummalegi poole .,,,,no,"It was not classified as an adverbial of place because 'kummalegi' expresses an abstract direction or inclination, not a concrete place.",no,no,no,no,no
1429670,2274554,11,kogunema,,el,see,sellest,"Kokku on ETA-l Luusi sõnul maksuvõlgu 4,28 miljonit krooni , sellest on jooksvatest maksudest kogunenud 780.000 krooni .",,,,no,"It was not classified as an adverbial of place because 'sellest' indicates a reference point or portion, not a location.",no,no,no,no,no
1126060,1790778,9,nägema,,all,ajakirjanik,ajakirjanikule,"Andsin aadressi , kust kasutajatunnuseid nägi , ETA ajakirjanikule ning arvasin , et sellega on lugu läbi .",,alive,,no,"It was not classified as an adverbial of place because 'ajakirjanikule' refers to the recipient of an action, not a physical location.",no,no,no,no,yes
14194070,22565548,8,nägema,välja,in,käit,käitudes,"Kõige tähtsam on , kuidas nad vabalt käitudes välja näevad .",,,,no,"The phrase 'käitudes' (behaving) refers to a manner or way of acting, so it is not about a specific location and is therefore not adverbial of place.",no,no,no,no,no
6798894,10938485,7,langema,,all,erastamine,erastamisele,Keskturg langes kurjategijate kätte tänu selle erastamisele Keskerakonna poolt .,,,,no,"The phrase 'erastamisele' (privatization) refers to an abstract concept or action, not a physical location, so it is not adverbial of place.",no,yes,no,no,no
5856486,9398300,14,tunnistama,,in,kolmas,kolmandas,""" Olen kohutav kahtleja , näiliselt enesekindlast fassaadist hoolimata , "" tunnistab ta kolmandas .",,,,no,"The phrase 'kolmandas' (third) refers to an ordinal position and does not specify a particular location, so it is not adverbial of place.",no,no,yes,no,no
6061851,9730711,1,loobuma,,in,raam,raames,"raames on esimese kahe nädalaga oma romuautodest loobunud 197 inimest , neist 127 on auto ära andnud tasuta .",,,,no,"The phrase 'raames' refers to the context or framework of an action, not a specific location, so it is not adverbial of place.",no,no,no,no,no
12489029,19990147,10,kihutama,,ad,volbriöö,volbriööl,""" Õhtulehe "" andmetel kihutas ilmselt joobes Armin Eestalu volbriööl sõiduautoga BMW mööda Pärnut ja käis oma abikaasat Marika Eestalut kiusamas .",,,,no,"The phrase 'volbriööl' refers to a specific time, not a location, so it is not adverbial of place.",no,no,yes,no,no
6413928,10311235,6,esinema,,el,aastakümme,aastakümnest,"Kontserdil esinevad Aniko ansamblipartnerid mitmest aastakümnest - Lembit Saarsalu , Tiit Paulus , Kate , Silvi Vrait , Toivo Unt , Aldo Meristo , Mart Soo , Taivo Sillar , Aivar Vassiljev , Leonora Palu , Kristi Keel , Loit Lepalaan , Raivo Tafenau , Petteri Hasa , Mihkel Mälgand , Jürmo Eespere , Ain Agan , Tõnu Naissoo jpt.",,time,,no,"The phrase 'aastakümnest' refers to a period of time, not a place, so it is not adverbial of place.",no,no,yes,no,no
202836,331016,10,unistama,,el,asendamine,asendamisest,"Sajandi algul unistas inglise režissöör G. Craig koguni elavate näitlejate asendamisest sümbolina mõjuvate ülimarionettidega , mida lavastaja saab vabalt manipuleerida .",,,,no,"The phrase 'asendamisest' refers to the act of substitution or replacement, not a location, so it is not adverbial of place.",no,no,no,no,no
9378890,15061227,11,koondama,,all,väide,väidetele,"Reno juhitav juurdlus koondab põhitähelepanu endise FBI agendi Donald Wilsoni väidetele , mille järgi viis ta Ray autost ära vandenõu tõestavad paberid .",,,,no,The phrase 'väidetele' was not classified as an adverbial of place because it refers to claims and not a location.,no,no,no,no,no
836636,1332913,14,kaebama,,in,õnnetus,õnnetuses,"Air France kaebab Continental Airlinesi kohtusse viimase väidetava rolli pärast juulis Concorde'ga toimunud õnnetuses , mis surmas 113 inimest ja jättis ülehelikiirusega lennuki maa peale , teatas Prantsuse lennufirma pressiesindaja .",,event,,no,The phrase 'õnnetuses' was not classified as an adverbial of place because it refers to an event (the accident) rather than a specific location.,no,yes,no,no,no
2117424,3380035,7,vaatama,,el,etapp,etapist,Eelmisel hooajal vaatas Eestis vormelisöite söltuvalt etapist 150.000-200.000 inimest .,,,,no,The phrase 'etapist' was not classified as an adverbial of place because it refers to stages of an event rather than a specific place.,no,yes,no,no,no
946403,1507160,6,teadma,,abl,kes,kellelt,""" Ma ei tea , kellelt .",,,,no,"The phrase 'kellelt' refers to a source or origin and does not specify a physical location, so it is not classified as an adverbial of place.",no,no,no,no,yes
6416224,10315136,3,kaduma,,all,ajavõtt,ajavõtule,Tänu elektroonilisele ajavõtule on paberil protokoll kadunud .,,,,no,"The phrase 'ajavõtule' refers to an abstract concept related to timing, not a specific location, so it is not classified as an adverbial of place.",no,yes,no,no,no
6783830,10913630,13,sõitma,,in,augustipimedus,augustipimeduses,"Olen selle kohaga nii kokku kasvanud , et kui ma näiteks siin augustipimeduses rattaga sõidan , tean kõiki teepealseid juurikaid peast .",,,,no,"The phrase 'augustipimeduses' refers to a time period rather than a location, so it is not an adverbial of place.",yes,no,yes,no,no
4526783,7276665,5,ristuma,,in,avavoor,avavoorus,"Dortmundi Borussia tee ristub avavoorus laupäeval võõral väljakul Leverkuseni Bayeriga , Müncheni Bayern kohtub reedel ühe autsaideri St.",,event,,no,"The phrase 'avavoorus' refers to an event or time frame, not to a location, hence it is not an adverbial of place.",yes,no,yes,no,no
16105875,25002385,11,vabastama,,in,voor,voorus,""" Ashkelon vabastas Babenko pärast tema viletsaid esitusi esimeses neljas voorus , kus ta viskas keskmiselt 3 punkti , "" teatas Iisraeli korvpallianalüütik Shlomi Peri Sõnumilehele .",,,,no,"The phrase 'voorus' references a specific event or stage in a context, not a physical location, so it is not an adverbial of place.",yes,no,yes,no,no
10063796,16142695,16,võtma,ette,in,jaanuar,jaanuaris,"Tshetsheenide palveränd sai suurema tähelepanu osaliseks tänu sellele , et teekonna Mekasse võttis ette ka jaanuaris vabariigi presidendiks valitud  Aslan Mashadov  .",,time,,no,"The phrase 'jaanuaris' indicates a time, not a location, so it is not classified as adverbial of place.",no,no,yes,no,no
10426356,16725470,21,nähtuma,,ad,põhjus,põhjusel,"Rabas kõndides jäävad silma üksikud kuivanud puutüved , mis on nii auke täis , nagu oleks nende kallal mingil seletamatul põhjusel puuriga vaeva nähtud .",,,,no,"The phrase 'põhjusel' describes cause or reason, not location, so it is not adverbial of place.",no,no,no,no,no
945580,1505858,9,alluma,,all,liider,liidrile,"Vene kindral avaldas veendumust , et Afganistani opositsiooni liidrile Ahmed Shah Masoodile alluvad jõud suudavad riigi kirdeosas asuva Taloqani enda käes hoida .",,alive,,no,"The phrase 'liidrile' indicates an indirect object (recipient), not a location, so it is not adverbial of place.",no,no,no,no,yes
11928,20481,3,heitma,ette,all,mina,mulle,"Keegi heitis mulle hiljem ette , et ta ei saanud terve hommikupooliku vetsu minna , sest äkki just sel hetkel tuleb keegi stuudiosse , istub tooli ja räägib - ja tal jääb see nägemata !",,,,no,"'mulle' was classified as 'no' because it refers to a recipient or indirect object (to me), not a location or place.",no,no,no,no,yes
1362920,2166599,11,kasvama,,all,käibekasv,käibekasvule,"Ettevõtte pressiesindaja Renata Mozuraite ütles , et kasumi kasv jäi käibekasvule alla kasvanud kulutuste tõttu .",,,,no,"The phrase 'käibekasvule' refers to a concept or comparison, not a location, so it is not adverbial of place.",no,no,no,no,no
33428,57365,5,teatama,,all,Diana,Dianale,"“ Kui seda uudist Dianale teatasime , vajus tal klapp lahti ! ” muigab papa Eri .",,alive,PER,no,"The phrase 'Dianale' indicates the recipient of an action rather than a location, so it is not adverbial of place.",no,no,no,no,yes
453904,710900,22,avanema,,all,investor,investoritele,"Tallinna börs loodab järgmisel aastal ühineda Skandinaavia börsisüsteemiga Norex , mille abil pääsevad välisinvestorid paremini Eesti ettevõtete aktsiaid ostma ja kohalikele investoritele avaneb senisest odavamalt Põhjamaade turg .",,alive,,no,"The phrase 'investoritele' refers to the beneficiaries of an action, not a location, so it is not adverbial of place.",no,no,no,no,yes
2021175,3225407,4,asuma,,adit,rühm,rühma,19.52 kümme päästeameti rühma asuvad tööle,,,,no,"The phrase 'rühma' refers to a group and not a physical location, so it is not adverbial of place.",no,no,no,no,no
