lemma,sentence_id,head_id,example_num,total_count,feats,case,number,proper,deprel,form,loc,loc_rel,parent_loc,pos,id_x,text
lastehommik,4325494,6958670,3,6,"all,com,sg",all,sg,0,obl,lastehommikule,26,3,,S,12989366,"TALLINN , 2. jaanuar ( EPLO ) - 7. jaanuaril ootavad Kadrioru kunstimuuseumi lossidaamid 5-11 aastaseid mängu- ja teadmishimulisi lapsi alanud aasta esimesele lastehommikule "" Nutikad nõud "" ."
lastehommik,6087980,9772442,4,6,"ad,com,sg",ad,sg,0,obl,lastehommikul,9,2,,S,18278662,Käisime lapsega ja koos tema mängukaaslasega Pelgulinna rahvamajas lastehommikul .
lastehommik,7171628,11536049,5,6,"ad,com,pl",ad,pl,0,obl,lastehommikutel,14,2,,S,21507614,"Ning Võrno asemel saab riigikogu liikmeks hoopis Aivo Kääpiö , kes jätkab ühtlasi lastehommikutel krokodilli mängimist ."
naftariik,15218788,23764514,1,6,"ad,com,sg",ad,sg,0,obl,naftariigil,3,-1,,S,43863254,Seevastu raha naftariigil jätkub .
naftariik,15320561,23922216,2,6,"com,in,sg",in,sg,0,obl,naftariigis,7,2,,S,44137526,Kõvakullajaht käib seal « vaeses » naftariigis .
naftariik,13021891,20834557,3,6,"com,ill,pl",ill,pl,0,obl,naftariikidesse,9,4,,S,38525822,Kindlasti hajub mingi osa Iraagist emigreerujaid teistessegi ümberkaudsetesse naftariikidesse .
naftariik,1479355,2354422,4,6,"com,in,sg",in,sg,0,obl,naftariigis,10,4,,S,4379239,Nafta hinnatõus jätkus ka kolmapäeval seoses probleemidega kahes olulisest naftariigis - Nigeerias ja Iraagis .
naftariik,5202905,8346580,5,6,"com,in,sg",in,sg,0,obl,naftariigis,15,6,,S,15599096,Mõned analüütikud seletasid dollari tõusu jeeni suhtes naftahinna tõusuga maailmaturul pärast võimuvahetust maailma suurimas naftariigis Saudi Araabias .
põhivorm,5696441,9136196,1,7,"all,com,sg",all,sg,0,obl,põhivormile,13,2,,S,17091919,"Tuludeklaratsiooni peavad igal juhul esitama füüsilisest isikust ettevõtjad , kes esitavad deklaratsiooni põhivormile A lisaks ka ettevõtlustulu vormi E."
põhivorm,8804399,14133261,2,7,"com,el,sg",el,sg,0,obl,põhivormist,11,3,,S,26166532,"Nagu naised enamasti , ei liikunud ka Mirjam kord saavutatud põhivormist kuigi kaugele ."
põhivorm,7293562,11715540,3,7,"com,el,sg",el,sg,0,obl,põhivormist,5,2,,S,21829594,"Iga tõlgendus koosneb sõna põhivormist , sõnavormi morfoloogilist infot näitavatest märgenditest ja mõningatel juhtudel ka süntaktilistest märgenditest ."
põhivorm,10872913,17414364,4,7,"com,in,sg",in,sg,0,obl,põhivormis,4,1,,S,32128414,Marutaud avaldub kahes põhivormis : agressiivse ja vaikse marutaudina .
põhivorm,5698863,9140273,5,7,"all,com,sg",all,sg,0,obl,põhivormile,13,2,,S,17099752,"Tuludeklaratsiooni peavad igal juhul esitama füüsilisest isikust ettevõtjad , kes esitavad deklaratsiooni põhivormile A lisaks ka ettevõtlustulu vormi E."
õhtune,17996436,27385003,1,7,"in,pos,sg",in,sg,0,obl,õhtuses,17,-4,,A,49933890,"Pangad pakuvad riigi tagatud õppelaenu täiskoormusega õppivatele üliõpilastele , õpilastele , magistrantidele ja doktorantidele , kuid õhtuses ja kaugõppes õppijad laenu ei saa ."
õhtune,6113946,9813096,2,7,"ad,pos,sg",ad,sg,0,obl,õhtusel,4,-1,,A,18354868,Ema ja sõpruskonna õhtusel käis Liisi esimest korda elus eelvalimistel valimas .
õhtune,10189816,16349805,3,7,"ad,pos,sg",ad,sg,0,obl,õhtusel,8,4,,A,30196210,Jooksutreeninguid alustas ta olümpiavõitjast sõbranna Valentina Jegorova õhtusel .
õhtune,11830544,18933812,4,7,"ad,pos,sg",ad,sg,0,obl,õhtusel,8,3,,A,34950550,"Sai edukalt läbi , küllap Roman Baskini õhtusel , kelle kursusekaaslaseks Järvet oleks saanud ."
õhtune,19213587,28972776,5,7,"ad,pl,pos",ad,pl,0,obl,õhtustel,43,-1,,A,52374830,"Paragrahvi 8 lõige 7 ning ettepanekud 7 ja 8 märgivad , et ega perearst tegelikult enam millegi poolest endisest jaoskonnaarstist ei erine , kuna tema kättesaadavus väljaspool tööaega on tegelikult väga väikene , ning võib-olla lähitulevikus on selgemaks saamas , et nendel õhtustel ja nädalalõpuaegadel hakkab abi andma ESS-i kätte minev kiirabi ."
alkoholiravi,10544935,16902969,1,8,"abl,com,sg",abl,sg,0,obl,alkoholiravilt,10,-1,,S,31206360,"Kõik väravad löödi teisel poolajal , kusjuures skoori avas alkoholiravilt naasnud Paul Gascoigne 47. minutil ."
alkoholiravi,15147021,23690401,2,8,"all,com,sg",all,sg,0,obl,alkoholiravile,27,4,,S,43736853,"Kutse kihluspittu said külalised päev enne tseremooniat , kuid Britney tõsisemast plaanist andis märku tõsiasi , et tema isa Jamie läks paar nädalat enne tähtsat sündmust alkoholiravile ."
alkoholiravi,6461827,10390482,3,8,"ad,com,sg",ad,sg,0,obl,alkoholiravil,2,-1,,S,19421176,Vahepeal alkoholiravil käinud ja seejärel oma joomisharjumusi avalikult kahetsenud Schyman jäeti aga parteijuhiks edasi ja partei oli tema juhtimisel pidevalt populaarne .
alkoholiravi,681354,1083485,4,8,"all,com,sg",all,sg,0,obl,alkoholiravile,20,3,,S,1954802,"Täpselt aasta hiljem ilmus ta jälle kinno purjus olekus ning Vasakpartei pidas kriisikoosoleku , Schyman läks aga neljaks nädalaks alkoholiravile ."
alkoholiravi,1212716,1928879,5,8,"ad,com,sg",ad,sg,0,obl,alkoholiravil,25,5,,S,3566778,"Inglise liiga kalleim jalgpallur , Manchester Unitedi kapten Roy Keane lükkab tagasi kõik tabloidlehtede süüdistused , nagu veetnuks ta hiljuti kolm päeva kodukandi kliinikus alkoholiravil ."
härrasrahvas,9125787,14671604,1,8,"com,in,sg",in,sg,0,obl,härrasrahvas,19,-2,,S,27170956,Probleemi olemasolu paljastas meie kõige salajasema hirmu ( mis oli ilmselt pärit aastasadu kestnud alandamisest ) : mida härrasrahvas minu tegevusest arvab ?
härrasrahvas,2286883,3661645,2,8,"com,in,sg",in,sg,0,obl,härrasrahvas,12,3,,S,6855391,""" Sageli käib õhtusel ajal väliterrassil istumas kontserdilt või teatrist tulnud härrasrahvas - smokingutes ja siidkleitides , "" kirjeldas Hakomaa õhtuseid kliente ."
härrasrahvas,762154,1214684,3,8,"all,com,sg",all,sg,0,obl,härrasrahvale,2,-1,,S,2206038,Võõrkeelsele härrasrahvale lisab sära Ameerika suursaadik Eestis emand Melissa Wells koos abikaasaga .
härrasrahvas,14320673,22734066,4,8,"com,in,sg",in,sg,0,obl,härrasrahvas,9,-1,,S,42055082,Mothander kirjeldab uhke mõisa omanike elu suvel - härrasrahvas käis ise peenraid rohimas ja aiasaadusi Tallinna turul müümas .
härrasrahvas,14478868,22897158,5,8,"ad,com,sg",ad,sg,0,obl,Härrasrahval,1,-2,,S,42348102,"Härrasrahval ei sobi alaväärsetega koos kulgeda , nii võiks kõlada tigedavõitu alltekst ."
linnamisjon,9379112,15061577,1,8,"com,in,sg",in,sg,0,obl,linnamisjonis,21,-2,,S,27874073,"Toitu viin ka kahele ratastoolis olevale inimesele ja ühele vanurile , kel kasvatada kaks lapselast , lisas ligi kolm aastat linnamisjonis sotsiaaltööd teinud Tammiste ."
linnamisjon,1238966,1969775,2,8,"com,ill,sg",ill,sg,0,obl,Linnamisjonisse,1,-1,,S,3646181,Linnamisjonisse toovad linlased ka riideabi .
linnamisjon,6321858,10157634,3,8,"com,in,sg",in,sg,0,obl,linnamisjonis,15,2,,S,18991234,"Ööl vastu pühapäeva elumaja plahvatuses koduta jäänud 18 naist ja last elavad praegu Tallinna linnamisjonis , 15 peavarjuta meest viidi Männiku kodutute varjupaika ."
linnamisjon,1172417,1863195,4,8,"com,in,sg",in,sg,0,obl,linnamisjonis,5,-1,,S,3442466,Lasteaia ruumes tegutsevas Tallinna linnamisjonis käisid pärast ühiselamus toime pandud plahvatust varjul üks mees ja kuus naist .
linnamisjon,1238962,1969768,5,8,"all,com,sg",all,sg,0,obl,linnamisjonile,3,1,,S,3646160,"Linlased annavad linnamisjonile ära kirjutuslaudu , voodeid , pliite , külmkappe ja isegi seinasektsioone ."
rahvuslikkus,12165191,19478843,1,8,"com,in,sg",in,sg,0,obl,rahvuslikkuses,10,1,,S,35973341,"Ei saa ka välistada , et Ansip on saanud rahvuslikkuses värsket inspiratsiooni või ka lausa juhtnööre Siim Kallaselt ."
rahvuslikkus,11139290,17843914,2,8,"all,com,sg",all,sg,0,obl,rahvuslikkusele,2,-1,,S,32908092,Eks rahvuslikkusele aitas kaasa ka päevasündmus ehk presidendivalimine .
rahvuslikkus,9112056,14650564,3,8,"com,el,sg",el,sg,0,obl,rahvuslikkusest,26,1,,S,27133000,"Ma ei ole küll laskunud Tulli Lummi huvitavale , kuid siiski eestipäraselt harilikule progefolkplaadile 10 punkti andmiseni , sest selle muusikazhanri tasuta kaasandena käivad jutud rahvuslikkusest , smugrist ja juurtest võivad vahel väga tüütud olla ."
rahvuslikkus,18570754,28105059,4,8,"com,el,sg",el,sg,0,obl,rahvuslikkusest,11,-4,,S,51047122,"Elu on läinud teistmoodi , elu läks nii , et rahvuslikkusest ja ka kodakondsusest lähtuval alusel erastamist ei toimunud ."
rahvuslikkus,3882796,6253517,5,8,"com,in,sg",in,sg,0,obl,rahvuslikkuses,24,-2,,S,11682489,"Nende ümber oleksid need praegused liidu liikmed , kes on piisavalt heaolulised , et mitte Brüsselist raha soovida , ja kes oma suures rahvuslikkuses ei taha veel rahaliiduga liituda ."
taktimõõt,8402219,13465783,1,8,"com,in,sg",in,sg,0,obl,taktimõõdus,22,3,,S,24969499,"Wiedemann väidab , et eestikeelne kõne kulgeb rõhulise ja rõhutu silbi vaheldumise tõttu trohheilise rütmiga kolmeosalises ( 3/8 ) taktimõõdus , tähistades esimest ja teist silpi vastavalt neljandiknoodi ja kaheksandiknoodiga ( ib : 131 ) ."
taktimõõt,11248377,18025687,2,8,"com,in,sg",in,sg,0,obl,taktimõõdus,5,2,,S,33240460,Osa tantsijaid tahab üks-kahendik taktimõõdus loo saatel vajalikust poole kiiremini liikuda ning sabasse tekivad augud .
taktimõõt,18788501,28382553,3,8,"com,in,sg",in,sg,0,obl,taktimõõdus,10,3,,S,51478407,11. november Toompea esitab linnavalitsusele noodi 3/4 taktimõõdus .
taktimõõt,7033484,11298466,4,8,"com,in,sg",in,sg,0,obl,taktimõõdus,13,2,,S,21069154,"Näiteks "" Tuulehobuse tseremoonia "" esitus toimus meie mõistes 11/8 taktimõõdus korduvate perioodide kaupa ."
taktimõõt,15131149,23664661,5,8,"com,el,sg",el,sg,0,obl,taktimõõdust,14,2,,S,43687739,"Lõpuks hakkas teda ennastki asi ära tüütama ning siis läksime 4/4 taktimõõdust x taktimõõdu peale , tuli kombineerida ja improviseerida . »"
Macau,11396342,18262605,1,9,"in,prop,sg",in,sg,1,obl,Macaus,3,-1,,S,33681752,"Juba mullu Macaus toimunud mitteametlik MM andis pildi , mida HiTechi auto endast kujutab ."
Macau,12249050,19609503,2,9,"in,prop,sg",in,sg,1,obl,Macaus,12,-1,,S,36217660,"Igal sõidul vajad sa head seadistust ja head tunned , kuid Macaus on lisaks tarvis topeltkoguses õnne , eriti kvalifikatsioonis , kus on liiklust palju ."
Macau,9049095,14550011,3,9,"in,prop,sg",in,sg,1,obl,Macaus,5,1,,S,26947470,"Ehkki kuritegelikud jõugud võimutsesid Macaus aastakümneid , aktiviseerus nende tegevus just pärast Macau ülemineku teatavakssaamist ."
Macau,13274831,21238194,4,9,"ill,prop,sg",ill,sg,1,obl,Macausse,23,4,,S,39285686,"Bändi lauljatar Estin ehk Esta Simakova , kelle abielulahutussaaga meedias mõni aasta tagasi õige karme tuure võttis , kolis vahepeal Hongkongi lähedale Macausse , et elu üle järele mõelda ja lastele kooliraha koguda ."
Macau,13274839,21238207,5,9,"el,prop,sg",el,sg,1,obl,Macaust,6,2,,S,39285721,Poolteist aastat tagasi sai ta Macaust väga hea tööpakkumise kasiinos ja muusika- ning reklaamvideotes esinemiseks .
luurekeskus,101324,171324,1,9,"all,com,sg",all,sg,0,obl,luurekeskusele,22,2,,S,310688,"Tänavu 26. märtsil kinnitas üks endine lääne luuraja ajalehes “ Guardian ” : “ Kui teatasid millestki Müncheni lähedal olevale Saksa luurekeskusele , oleksid nagu otse Ida-Berliini läinud ja öelnud seda Wolfile isiklikult . ”"
luurekeskus,12142087,19441197,2,9,"com,in,sg",in,sg,0,obl,luurekeskuses,5,3,,S,35902660,Ta töötas Londoni lähistel luurekeskuses ( GCHQ valitsuskommunikatsiooni peakorter ) hiina keele tõlgina .
luurekeskus,1629526,2594119,3,9,"com,in,sg",in,sg,0,obl,luurekeskuses,12,1,,S,4834003,"Leitnanti kadumine tekitas paanikat eelkõige seetõttu , et Mattys töötas armeereservi luurekeskuses ning tal oli olnud juurdepääs kõigile salajastele materjalidele ."
luurekeskus,1506491,2397665,4,9,"com,in,sg",in,sg,0,obl,luurekeskuses,4,2,,S,4460755,Mattyse teenis armeereservi luurekeskuses ja tal oli juurdepääs kõigile salajastele materjalidele .
luurekeskus,5082895,8158278,5,9,"com,in,sg",in,sg,0,obl,luurekeskuses,8,2,,S,15243537,"Kaheksakümnendatel aastatel dešifreeris Viktor Makarov tollase N. Liidu luurekeskuses nii salajasi teateid , et neist ei räägitud isegi kompartei poliitbüroo liikmetele ."
töökäsi,6462478,10391598,1,9,"com,el,pl",el,pl,0,obl,töökätest,5,1,,S,19423327,Ja ikka on ettevõtja töökätest ilma .
töökäsi,3609539,5812532,2,9,"com,el,pl",el,pl,0,obl,Töökätest,1,-4,,S,10866640,Töökätest iseenesest puudust ei tule .
töökäsi,4582735,7365858,3,9,"all,com,pl",all,pl,0,obl,töökätele,4,2,,S,13742981,Migrandid toovad lisaks töökätele kaasa uusi ideid .
töökäsi,10282846,16502962,4,9,"com,el,pl",el,pl,0,obl,töökätest,6,1,,S,30478885,Muul ajal piisab oma pere töökätest .
töökäsi,14315120,22724942,5,9,"com,el,pl",el,pl,0,obl,töökätest,7,1,,S,42038297,Eestis on aga puudus ka headest töökätest .
kahin,8001363,12833180,1,10,"com,in,sg",in,sg,0,obl,kahinas,11,1,,S,23832967,"See on terve pikk aastaaeg , mis möödub nende melanhoolses kahinas ja lõhnas ."
kahin,2346222,3758797,2,10,"com,in,sg",in,sg,0,obl,kahinas,10,2,,S,7037611,Vaevaliselt sõnu välja ütlev Peeter Tooming jääb kohati kaameramikrofoni kahinas isegi arusaamatuks .
kahin,7050288,11326513,3,10,"ad,com,sg",ad,sg,0,obl,kahinal,22,4,,S,21118864,"Linnapea võttis vastu välismaa saadikuid , kes olid ninajuureni mässitud karakulli ja nahkadesse , kes liikusid lossi ees tänaval siidist sallide kahinal ja sõrmuste , prosside , kaelakeede kuld ning rubiinid kilisemas iga sammu juures , kuid järsku lendas talle autodafee küljest tala vastu pead ja pärast seda ei olnud ta enam suuteline täitma meeri kohuseid ."
kahin,203893,332694,4,10,"com,el,sg",el,sg,0,obl,kahinast,8,2,,S,592505,"Klusiili eksplosioon ei eristunud tihti järgnevast frikatiivi kahinast , mistõttu on see mõõdetud ainult nendel juhtudel , kui see oli selgelt eristatav ja on alati arvatud ka klusiili kestuse hulka ( vt tabel 1 ) ."
kahin,7050372,11326698,5,10,"ad,com,sg",ad,sg,0,obl,kahinal,2,-1,,S,21119239,Ristide kahinal pudenesid vaimud laiali .
presidendiaeg,11448561,18342504,1,10,"com,el,sg",el,sg,0,obl,presidendiajast,8,-1,,S,33832664,69aastane Jeltsin on suure osa oma teisest presidendiajast olnud haige ja riigi tegelikust juhtimisest sageli kõrval .
presidendiaeg,10997648,17614365,2,10,"ad,com,sg",ad,sg,0,obl,presidendiajal,21,-7,,S,32487133,"Putini abikaasa Ludmilla ja tütred Katja ning Maša saavad presidenti õnnitleda telefoni teel , märgib Vene ajakirjandus osutades , et presidendiajal on Putin vaid üks kord sünnipäeva perekonna keskel pidanud ."
presidendiaeg,5718037,9171802,3,10,"ad,com,sg",ad,sg,0,obl,presidendiajal,2,-1,,S,17158865,Oma presidendiajal käis Nixon kahel sotsialismimaal - NLidus ja Hiinas .
presidendiaeg,17228942,26451764,4,10,"ad,com,sg",ad,sg,0,obl,presidendiajal,11,1,,S,48426985,"Pole enam pidevat pinget ja stressi , mis mind vaevas presidendiajal , rääkis Jeltsin telejaama RTR reporterile ."
presidendiaeg,6506716,10465559,5,10,"ad,com,sg",ad,sg,0,obl,presidendiajal,12,1,,S,19559390,"Berezovski on üks Venemaa niinimetatud oligarhidest , kes suutis Boris Jeltsini presidendiajal kokku ajada suure varanduse ."
imavere,21330298,30032188,1,11,"com,in,sg",in,sg,0,obl,imaveres,7,1,,S,53978903,kuum115: kas sa katu elad imaveres ?
imavere,20750158,29750939,2,11,"com,in,sg",in,sg,0,obl,imaveres,7,-2,,S,53552328,tydruk: tauri ega sa juhuslikult imaveres ei ela
imavere,21241744,29990978,3,11,"com,in,sg",in,sg,0,obl,imaveres,5,1,,S,53917735,tauri: ma elan imaveres aga mis siis ....
imavere,20517240,29634993,4,11,"com,in,sg",in,sg,0,obl,imaveres,8,1,,S,53380136,kriss: ma tean kas sa elad imaveres we
imavere,19272421,29040991,5,11,"com,in,sg",in,sg,0,obl,imaveres,4,1,,S,52476536,vasp_88_p2kapikk_ja_kraam: jõime imaveres 1 tüübi pool just
löss,15573278,24315472,1,11,"com,in,sg",in,sg,0,obl,lössis,8,2,,S,44825132,"Mul äi-ämm elavad seal ja nägid seda lössis autot ja ilmselt automees tegi kõvemat häält , sest ka nemad teadsid rääkida , et tsikkel keeras ette ..."
löss,12215637,19556439,2,11,"com,in,sg",in,sg,0,obl,lössis,14,2,,S,36118166,"« Pikad salguta-mata juuksed veavad näojooni allapoole , nii et nägu näeb välja lössis ."
löss,6722254,10814664,3,11,"com,in,sg",in,sg,0,obl,lössis,19,3,,S,20198961,"TALLINN , 2. mai ( EPLO ) - Laupäeva varahommikul leidis mööduja Tartumaal Kambja lähedalt üle katuse käinud lössis Audi , mille kõrval lebasid üliraskelt viga saanud 16aastased lapsed , kirjutab SL Õhtuleht ."
löss,8617134,13821623,4,11,"com,in,sg",in,sg,0,obl,lössis,22,1,,S,25598072,"Enne ärkamist mõtlesin , et õuel hajali seisvate inimeste seas oli ka üks mu onudest , kes iial ei istunud kuskil lössis või lösakil asendis , vaid ikka sirge selja ning laheda näoga , valmis igale pöördumisele vastama , ja kõik seal õues oli nagu enne , kui välja arvata tohutu segadus aias ."
löss,6039446,9692913,5,11,"com,in,sg",in,sg,0,obl,lössis,4,1,,S,18131206,Järgmisel varahommikul kihutame lössis taksoga Pihkvast jälle Petserisse .
win,16302139,25243738,1,11,"com,in,sg",in,sg,0,obl,win-s,15,2,,S,46374943,"Kui vahest hiirega probleemid on või kui mingis situatsioonis hiir puudub ja on vaja win-s ringi rallata , siis on neist klahvidest kasu küll ( hiirega probleem - safe modis jne .. )"
win,17189987,26392347,2,11,"all,com,sg",all,sg,0,obl,winile,15,2,,S,48315555,"sry , ega k6ik ka pingviinid pole , oletan , et kysija soovis asja winile . ."
win,16022813,24910019,3,11,"all,com,pl",all,pl,0,obl,winidele,13,2,,S,45831095,Asi täielik utoopia ... masinal vist mingine needus  pane üks kõik teistele winidele sama kabla järgi ja töötab .
win,15881651,24712294,4,11,"all,com,sg",all,sg,0,obl,winile,7,-2,,S,45484050,"Seda taastada saab , ilma et winile reinstalli teeks ?"
win,15905547,24744185,5,11,"all,com,sg",all,sg,0,obl,win'le,10,3,,S,45539762,see ronis hämmastava kiirusega siise mu värskelt installitud updatemata win'le kunagi:|
Kozlov,12431484,19904345,1,12,"ad,prop,sg",ad,sg,1,obl,Kozlovil,7,-1,,S,36767314,""" Kuura usub , et kui Kozlovil läinuks kõik normaalselt , pääsenuks ta arvatavasti ka olümpiale ."
Kozlov,11005513,17626882,2,12,"all,prop,sg",all,sg,1,obl,Kozlovile,6,-1,,S,32510701,"Mari kõrgeima rahvuskogu esimeheks valitud Kozlovile tungisid kurjategijad kallale 4. veebruari hommikul Joškar-Ola ajakirjandusmaja lähistel , kui ta oli teel tööle ."
Kozlov,1792132,2852881,3,12,"ad,prop,sg",ad,sg,1,obl,Kozlovil,10,2,,S,5328905,"Sonn rääkis Eesti Päevalehele , kuidas ta käis Pihkvas Kozlovil kui vanal tuttaval külas ning andis Reichardtile tema koduse aadressi , telefoninumbri ja andmeid pereliikmete kohta ."
Kozlov,100438,169668,4,12,"ad,prop,sg",ad,sg,1,obl,Kozlovil,16,-1,,S,307517,"Kujutava Kunsti Muuseumi kuraatori Kozlovi andmetel toimus viimane “ paberipuhastus ” 1987. aastal , kuid Kozlovil õnnestus mitmed paberid n.-ö. vasakule panna ; ka dokument , mis tõestas Trooja aarde peitmist Nõukogude Liitu ."
Kozlov,6185931,9932629,5,12,"el,prop,sg",el,sg,1,obl,Kozlovist,5,-1,,S,18577348,"Portaal kirjutas , et Kozlovist sai kahtlusalune , kuna ta ei täitnud kohtu korraldust , s.t. ei vabastanud ruume , milles säilitatakse arhiivdokumente ja muuseumieksponaate ."
keemialabor,4946479,7941747,1,12,"com,in,sg",in,sg,0,obl,keemialaboris,8,3,,S,14828856,Just tänu tuttavale töötas ta ühel suvel keemialaboris .
keemialabor,14804786,23286119,2,12,"com,in,sg",in,sg,0,obl,keemialaboris,2,1,,S,43027429,Otsib keemialaboris raskmetalle
keemialabor,600867,952605,3,12,"com,in,pl",in,pl,0,obl,keemialaboreis,5,2,,S,1703506,Ohutuse tagamiseks korraldab TTÜ keemialaboreis lauskontrolli
keemialabor,7837929,12559802,4,12,"com,el,sg",el,sg,0,obl,keemialaborist,5,-1,,S,23331826,"Kalle Ilmoja Tartu Tervisekaitsekeskuse keemialaborist ütles , et seda ainet ei maksa karta , see on kõige tavalisem söögisooda ."
keemialabor,8777426,14087438,5,12,"com,ill,sg",ill,sg,0,obl,keemialaborisse,12,-1,,S,26079013,"Väävelhappega oli koos veel neli kokapudelit , mille tervisekaitsjad samast kauplusest keemialaborisse viisid ."
metsasügavus,10919809,17487623,1,12,"com,el,pl",el,pl,0,obl,metsasügavustest,9,-1,,S,32257516,"Esialgu on katuseni üksjagu rabelemist , aga mõte metsasügavustest väsinud palkmaju otsida ning need siis üles ehitada on aasta jagu vana ."
