lemma|sentence_id|head_id|example_num|total_count|feats|case|number|proper|deprel|form|loc|loc_rel|parent_loc|pos|id_x|text|gpt_annotation
Svalbard|8039120|12901618|1|1|abl,prop,sg|abl|sg|1|obl|Svalbardilt|3|1||S|23956968|Elu lahkub Svalbardilt — Külmalt rannikult .|LOC
Walther|2456750|3939000|1|1|el,prop,sg|el|sg|1|obl|Waltherist|21|3||S|7373499|Juhuslikust lasust hoolimata ei hakanud Torger püstoli töötamise põhimõtteid siiski täpsemalt selgeks tegema ning järgmisel päeval käis ta ühes metsatalus Waltherist märki laskmas .|NONE
Wyonk|17076381|26247146|1|1|in,prop,sg|in|sg|1|obl|Wyongis|7|3||S|48069532|1994  jooksis hurt  Star Title Austraalias Wyongis 400 jardi ( 366 m ) ajaga 19,57 , seega keskmise  kiirusega 67,32 km/h  .|LOC
Zavodi|7641935|12256846|1|1|in,prop,sg|in|sg|1|obl|Zavodis|5|1||S|22791579|Käin Illusioonis või istume Zavodis või üldse kuskil oma pleisi peal .|LOC
aolinn|11952463|19127569|1|1|com,in,sg|in|sg|0|obl|aolinnas|7|1||S|35315104|araabia rändur , kes käis Hedeby aolinnas praeguse Schleswigi lähedal 950. aastal , kirjutas , et sealsed naised toonisid silmanurki musta värviga .|LOC
arhitektuuriinstituut|4227871|6804144|1|1|com,in,sg|in|sg|0|obl|arhitektuuriinstituudis|17|1||S|12702960|Seepärast pelgab ta , et see töö pole tema jaoks , ehkki ta on õppinud Moskva arhitektuuriinstituudis .|LOC
blizzconi|15208979|23748319|1|1|ad,com,pl|ad|pl|0|obl|blizzconidel|6|-1||S|43835417|need inimesed , kes on blizzconidel käinud jne on kah saanud ...|NONE
ciel|21304670|30020282|1|1|all,com,sg|all|sg|0|obl|cielile|3|-1||S|53960608|rapdog: cielile meeldivad loomad eriti koer nagu mulle|NONE
dennis|16842567|25918281|1|1|com,in,sg|in|sg|0|obl|dennises|3|1||S|47520462|ma käin dennises 6-ndat aastat|LOC
dollari-korrespondentkonto|11035138|17674201|1|1|abl,com,sg|abl|sg|0|obl|dollari-korrespondentkontolt|8|3||S|32594596|Teisel korral liikusid 10 000 000 USA dollarit PEPi dollari-korrespondentkontolt Bankers Trust Cos minema 30. novembril 1993.|NONE
eriõppus|14327262|22745327|1|1|ad,com,sg|ad|sg|0|obl|eriõppusel|19|4||S|42076205|“ Millenniumi mõõtu hiigellaevu ei sildu Tallinna sadamates just iga päev ja seepärast käisid lootsid kevadel Kopenhaageni mereinstituudis eriõppusel , kus mängisid kruiisilaeva saabumise arvutitel läbi , ” selgitas ASi Tallinna Sadamas turundusjuht Erik Sakkov .|NONE
escape|20725185|29739518|1|1|com,in,sg|in|sg|0|obl|escape's|6|1||S|53536006|"Liisz|unemaailm: käisid escape's ?"|LOC
formeeritav|9562903|15350072|1|1|ill,pos,sg|ill|sg|0|obl|formeeritavasse|4|2||A|28386003|Detsembris astus ta formeeritavasse 2.|NONE
hingevahe|17973600|27349472|1|1|com,in,sg|in|sg|0|obl|hingevahes|7|3||S|49872223|Aga mõte jooksis neil küll samas hingevahes kui igas lauses armastust ja mittearmastust , tõde ja vale kaalunud kirjanikul endal .|NONE
inlite|19298327|29053431|1|1|ad,com,sg|ad|sg|0|obl|inlitel|8|1||S|52495613|plix15: jeesus kristus poti pjal istus inlitel pyxe mah akiskus et suhu hakata andma|NONE
ispelli-sõnastik|18463743|27968689|1|1|com,el,sg|el|sg|0|obl|ispelli-sõnastikust|6|2||S|50828902|TÕenäoliselt käib jutt Pearu Petersoni ispelli-sõnastikust .|NONE
jkodu|8697735|13952195|1|1|com,in,sg|in|sg|0|obl|jkodus|2|1||S|25827963|Istud jkodus ja vahid telekat .|NONE
jopestiil|6855355|11028383|1|1|all,com,sg|all|sg|0|obl|jopestiilile|6|-1||S|20587746|Iseasi , kuidas soonik konkreetsele jopestiilile istub .|NONE
kaVenemaa|1735234|2762261|1|1|all,prop,sg|all|sg|1|obl|kaVenemaale|3|1||S|5155264|Nafta liigub kaVenemaale|LOC
kehava|21000206|29865054|1|1|ad,com,sg|ad|sg|0|obl|kehaval|11|2||S|53719878|paps: sitad pildid mul seal rates ga käib küll kehaval ajal|NONE
kilja|7977759|12794969|1|1|com,in,pl|in|pl|0|obl|kiljates|11|3||S|23761170|” Kui ema hommikul töölt saabub , jooksevad lapsed talle kiljates ja sädistades vastu : “ Emme !|NONE
kinnisvaraotsing|11395185|18260466|1|1|ad,com,pl|ad|pl|0|obl|kinnisvaraotsinguil|16|-1||S|33677823|33aastane Victoria on alates jaanuarist , kui selgus Beckhami üleminek L.A. Galaxysse , mitu korda Californias kinnisvaraotsinguil käinud .|NONE
komsomoli-koosolek|14185443|22550676|1|1|ad,com,sg|ad|sg|0|obl|Komsomoli-koosolekul|1|-3||S|41717865|Komsomoli-koosolekul olen elus käinud vaid ühe korra , mõtlesin , et issand jumal , elame kahekümnendal sajandil ja tegeleme selliste lollustega !|NONE
kriisitendents|8411730|13480008|1|1|com,el,sg|el|sg|0|obl|kriisitendentsist|15|1||S|24991502|113 Järgnev väärib käesoleva analüüsi huvides tsiteerimist ( jutt käib Kaarle Tuori esitatud kolmest kriisitendentsist õiguses - õiguse sisemise ratsionaalsuse , õiguse objekti ja legitiimsuse kriisist ; tsitaat osutab niisiis probleemile õiguse objektist ) :|NONE
kruupink|8829766|14181397|1|1|ad,com,sg|ad|sg|0|obl|Kruupingil|1|-1||S|26256500|Kruupingil istus minu nukk Mann , keda ma õhtuti kartsin .|LOC
kullo|16899863|25989767|1|1|com,in,sg|in|sg|0|obl|kullos|4|1||S|47632047|peale selle käin kullos neljandat aastat ' joonistamine/maalimine ' kunstiringis ja olen ka 4 suve ühe kuntsnikku käe all õppinud .|LOC
lastemängu-jaam|12003309|19211181|1|1|com,in,sg|in|sg|0|obl|Lastemängu-jaamas|1|-1||S|35472171|Lastemängu-jaamas käib linnaosavalitsuse andmeil kuus korda nädalas iga päev paarkümmend last , et seal koos eakaaslastega mängida asjadega , mida kodus pole .|LOC
luukontroll|593473|940795|1|1|com,in,sg|in|sg|0|obl|luukontrollis|9|-1||S|1680882|Keskhaigla densitomeetriakabineti operaator Sigrid Veske ütles , et luukontrollis käib päeva jooksul paar tosinat inimest ning umbes pooltel leitakse luude hõrenemise tundemärke .|NONE
läbirääkimi|3572059|5751970|1|1|com,in,sg|in|sg|0|obl|läbirääkimis|8|1||S|10755277|Paide Piima ostumüügijuhi Linnart Laimetsa sõnul käivad läbirääkimis= ed Venemaa esindajatega , kellest uue liini avamisel olid kohal Peterburi suuremad hulgifirmad Artis , Slobodka-Matissa ja Buteron .|NONE
masšuud|20582693|29667734|1|1|ad,com,sg|ad|sg|0|obl|masšuudil|8|-2||S|53428727|+merilin: ega sa tartu tln masšuudil ei liigu ?|NONE
megailu|19807557|29293005|1|1|com,in,sg|in|sg|0|obl|megailus|10|4||S|52850089|Knight17_AFK: viimati käisin talvel seal siis oli ikka megailus rsk :P|NONE
metallilagu|4258310|6851687|1|1|com,in,sg|in|sg|0|obl|metallilaos|23|1||S|12790298|Transpordiameti üks põhjendus piirangu sisseseadmiseks oli Draamateatri , Estonia teatri ja Reaalkooli juhtide taotlus , milles väideti , et taksojuhid käivad Estonia metallilaos urineerimas .|LOC
millea|20903352|29818971|1|1|com,el,sg|el|sg|0|obl|milleast|3|-2||S|53650303|kena_plix: milleast jutt käib|NONE
mujalt-Eesti|1478541|2353046|1|1|el,prop,sg|el|sg|1|obl|mujalt-Eestist|25|-3||S|4376684|Presidendiks sobib pigem see , kes on suutnud endale kodu rajada ning riigikogu liige peaks oma korteri eest ise maksma nagu seda teevad kõik mujalt-Eestist Tallinnasse tööle käivad inimesed .|LOC
märgmõõtur|10382437|16657260|1|1|com,in,sg|in|sg|0|obl|märgmõõturis|10|-1||S|30760680|Kuivmõõturi all on tiivik ja skaala pole vees , märgmõõturis käib aga vesi läbi mõõturi .|NONE
nelipühikirik|6114786|9814365|1|1|com,in,sg|in|sg|0|obl|nelipühikirikus|4|1||S|18357190|""" Algul käisime nelipühikirikus , soos sai mormoonide juures käidud , aga nüüd oleme vennastekoguduse Peeteli kirikus , "" loetleb Pille ."|LOC
noorsoolikas|18623127|28173834|1|1|ad,com,sg|ad|sg|0|obl|Noorsoolikal|3|1||S|51149805|Kes käis Noorsoolikal(2006) siis nägi .|NONE
nägemiskontroll|14435321|22864881|1|1|com,in,sg|in|sg|0|obl|nägemiskontrollis|15|6||S|42294374|Mõlema kodu lapsed käisid paari – kolme kaupa Norman Optika optometristi Katrin Aneti juures nägemiskontrollis .|NONE
omavoliline|6854791|11027571|1|1|abl,pl,pos|abl|pl|0|obl|omavolilistelt|17|-1||A|20586222|TALLINN , 15. juuni ( EPLO ) - Pühapäeval tabasid politseinikud teisipäeval vanglatööstuse välistööde brigaadist Laitsest omavolilistelt lahkunud kinnipeetava Vladimir Ivanovi .|NONE
padaja|7541798|12110534|1|1|all,com,sg|all|sg|0|obl|padajale|9|2||S|22534877|Suu oli tal paokil ja ila jooksis suunurgast padajale .|NONE
papademo|2339174|3746583|1|1|com,in,sg|in|sg|0|obl|Papademos|1|-1||S|7015043|Papademos , kelle nimetamine kiidetakse ilmselt heaks täna EL-i välisministrite kohtumisel Luxembourgis , astub sel kuul ametist lahkuva prantslase Christian Noyeri asemele .|NONE
pasteerim|3586288|5774810|1|1|in,sg,super|in|sg|0|obl|pasteerimas|11|-2||A|10796946|Poisid tunnistavad , et rangete karistuste kartusest nad öösiti tüdrukuid pasteerimas ega kiusamas pole käinud .|NONE
politseiparkla|16081830|24962817|1|1|com,in,sg|in|sg|0|obl|politseiparklas|8|-1||S|45915789|Hamiltoni auto konfiskeeriti kohe pärast rikkumist ja politseiparklas käis sellel järel vormeliässa sõber .|LOC
priisaun|5640760|9046169|1|1|com,in,sg|in|sg|0|obl|priisaunas|11|-1||S|16921930|Vähemalt nii kirjeldasid eile oma praegust kodu kaks Raua tänaval priisaunas käinud kodutut .|LOC
päävitam|20104417|29445089|1|1|comp,in,sg|in|sg|0|obl|päävitamas|11|3||A|53096152|tirtsuu: a vaat teisipääval ... siis käisime küll sõbrantsidega päävitamas|NONE
põliskoht|8814770|14156170|1|1|ad,com,sg|ad|sg|0|obl|põliskohal|6|3||S|26208980|Ta istus jälle Werneris oma põliskohal , vagunsaali eelviimases latris , näoga ukse poole .|LOC
püssirohu-tünn|5932759|9523966|1|1|ad,com,sg|ad|sg|0|obl|püssirohu-tünnil|12|3||S|17815451|Kui kasutada kulunud klišeed , siis istub rahvusvaheline üldsus Kosovos Balkani püssirohu-tünnil .|NONE
raudteejama|12585202|20140053|1|1|com,in,sg|in|sg|0|obl|raudteejamas|6|1||S|37213544|Kell 12 . 07 istusid Kiviõli raudteejamas rööbastel kaks purjus meest , kes ei märganud lähenevat kaubarongi , ütles päästeameti korrapidaja .|LOC
ravivõimlem|15483446|24179872|1|1|comp,in,sg|in|sg|0|obl|ravivõimlemas|7|2||A|44586019|Et tervist hoida , käib Vaike ravivõimlemas ja sööb rohkem piimatoite .|NONE
rkkk|20712848|29733301|1|1|in,nominal,sg|in|sg|0|obl|rkkk-s|4|1||Y|53527280|trasc: käisid rkkk-s|NONE
shamaanipaar|9176818|14750405|1|1|ad,com,sg|ad|sg|0|obl|shamaanipaaril|12|4||S|27312650|Aastatel 1992-97 käis rezhissöör Mark Soosaar üheksal korral külas shamaanipaaril Soshol ja Tohel , kes elavad Surgutist umbes 250 km põhja pool .|NONE
slaidiprojektor|8886950|14280365|1|1|com,el,sg|el|sg|0|obl|Slaidiprojektorist|1|-1||S|26445627|Slaidiprojektorist jookseb lavatagusele meri lindudega , aidates verbaalset reaalsust konkretiseerida .|NONE
solidool|8803552|14131554|1|1|com,el,sg|el|sg|0|obl|solidoolist|15|2||S|26163102|Riiv käis raskelt , aga mitte roostest vaid tardunud , õhukeseks ja sitkeks paakunud solidoolist .|NONE
sulatali|7946150|12732541|1|1|ad,com,sg|ad|sg|0|obl|sulatalvel|4|1||S|23644463|Ta kass käis sulatalvel prügikastides söömas ja sai omale mingi haiguse , mis ei lasknud ta organismil toitu kinni pidada .|NONE
suraka|16009964|24891931|1|1|com,in,sg|in|sg|0|obl|surakas|7|2||S|45799735|Kui pistiku pessa panin käis seal surakas .|NONE
surnuaiavõte|13838071|22064599|1|1|ad,com,pl|ad|pl|0|obl|surnuaiavõtetel|5|2||S|40824231|“ Öösel käisime ka surnuaiavõtetel . ”|NONE
taasühinemiskõnelus|1136723|1806867|1|1|abl,com,pl|abl|pl|0|obl|taasühinemiskõnelustelt|16|2||S|3336075|Varem on Peking ähvardanud saart rünnata , kui too kuulutab välja iseseisvuse või lahkub lõplikult taasühinemiskõnelustelt .|NONE
talasso|14529030|22977186|1|1|com,in,sg|in|sg|0|obl|talassos|3|-1||S|42492175|Fra Mare talassos käivad eestlased vanuses 20 – 45 aastat .|LOC
teatrikirjatsura|2396232|3840541|1|1|com,el,pl|el|pl|0|obl|teatrikirjatsuradest|3|1||S|7189990|Teatritegijad käivad teatrikirjatsuradest ikka sammuke või kaks eespool .|NONE
teevabrik|16969254|26083780|1|1|com,in,sg|in|sg|0|obl|teevabrikus|4|2||S|47788580|Nii käisime meiegi teevabrikus teed vaatamas ja rüüpamas , kuid meeldejäävaimaks mälestuseks mägedest ja ka Sri Lankast jäi kolme tunni pikkune rongisõit .|LOC
teoloogiaseminar|2876283|4612118|1|1|abl,com,sg|abl|sg|0|obl|Teoloogiaseminarilt|19|3||S|8652024|Väidetavalt on Changi CV-s kirjas , et ta lõpetas Princetoni Ülikooli doktorantuuri , tegelikult sai ta kraadi Princetoni Teoloogiaseminarilt .|LOC
trahvioht|6787376|10919257|1|1|com,el,sg|el|sg|0|obl|Trahviohust|1|-2||S|20390440|"Trahviohust hoolimata liiguvad praegugi paljud Suurbritannia autod kasutatud taimeõliga , millesse on lisatud paar tilka orgaanilist lahustit "" white spirit "" ."|NONE
tsiviilvorm|9578430|15373969|1|1|com,in,sg|in|sg|0|obl|tsiviilvormis|4|1||S|28429204|Kalevi pingil istuvad tsiviilvormis Randar Luts ja Andre Pärn .|NONE
turvaraja|13542817|21658682|1|1|ad,com,sg|ad|sg|0|obl|Turvarajal|1|-1||S|40075231|Turvarajal käivad juhitunnistuse taotlejad , aga ka täiendusõppusel osalejad ja tavasõitjad , kes tahavad tunnetada jäätee ohtlikkust .|LOC
tõusuund|5290199|8486625|1|1|ad,com,sg|ad|sg|0|obl|tõusuunal|9|3||S|15863747|Wall Street liikus esmaspäeval kooskõlas muu maailma börsidega tõusuunal , välja arvatud tehnoloogiasektor , mis oli miinuses .|NONE
tööriistatera|18541735|28070447|1|1|com,in,sg|in|sg|0|obl|tööriistateras|8|-1||S|50989070|Selleks pole miskit titaani vaja , tavaline tööriistateras käib küll .|NONE
uhu|21071607|29905737|1|1|ad,com,sg|ad|sg|0|obl|uhul|9|-4||S|53788143|+sexy_girl: ega need asjad vähemalt minu uhul ka nii ei käi|NONE
vaegarenguala|18935350|28589545|1|1|abl,com,pl|abl|pl|0|obl|vaegarengualadelt|11|-1||S|51804241|Täiendavad probleemid ( nt tööpuudus ) tekivad linnades , kuhu vaegarengualadelt lahkuvad inimesed siirduvad .|LOC
valitsemiskuu|9628501|15450994|1|1|ad,com,pl|ad|pl|0|obl|valitsemiskuudel|7|2||S|28566647|Isamaa valitsus astus juba oma esimestel valitsemiskuudel otsustavaid samme Eesti kaitsevõime tõstmiseks , ostes jalaväepataljonidele Iisraelist Lääne standarditele vastava relvastuse .|NONE
vangistusülem|2017095|3218637|1|1|ad,com,sg|ad|sg|0|obl|vangistusülemal|9|1||S|6025772|Leidub ka vastupidiseid näiteid - vabanev mees käis vangistusülemal kaks nädalat järel palvega ta edasi vanglasse jätta .|NONE
vannitoauks|12157052|19465400|1|1|all,com,sg|all|sg|0|obl|vannitoauksele|3|2||S|35947946|Käisin korduvalt vannitoauksele koputamas .|LOC
villipubi|21088532|29916084|1|1|com,in,sg|in|sg|0|obl|villipubis|4|-2||S|53805306|luxi: raven villipubis ka käisid|LOC
xxx|21062673|29899548|1|1|el,nominal,sg|el|sg|0|obl|xxx-ist|7|2||Y|53777771|@ossignasju: mine vahi oma xxx-ist porri|NONE
zoloogia|19388916|29095828|1|1|com,in,sg|in|sg|0|obl|zoloogias|5|-1||S|52558110|dj_crule: Blade_77 sa zoloogias käisid ??|NONE
õppekülastus|6676300|10741834|1|1|ad,com,sg|ad|sg|0|obl|õppekülastusel|13|4||S|20067800|Nagu selgitas projekti juht Rein Org , käisid spetsialistid siinviibimise ajal ka õppekülastusel Valga veepuhastites .|NONE
õppelaenupirukas|7606781|12205029|1|1|com,el,sg|el|sg|0|obl|õppelaenupirukast|5|1||S|22698526|Sel sügisel tõttasid tudengite õppelaenupirukast suurt tükki hammustama ka kõik kolm mobiiltelefonioperaatorit .|NONE
õppepolk|2181773|3486494|1|1|com,el,sg|el|sg|0|obl|õppepolgust|4|-1||S|6526604|Leedus Ruklas asuvast õppepolgust lahkus laupäeva õhtul 21 sõdurit omavoliliselt väeosast .|LOC
Bråtveiti|770445|1228556|1|2|el,prop,sg|el|sg|1|obl|Bråtveitist|4|1||S|2232748|Kas jutt käib Bråtveitist , ei soostunud ta eile täpsustama .|NONE
Bråtveiti|12618979|20192893|2|2|el,prop,sg|el|sg|1|obl|Bråtveitist|4|1||S|37313609|Kas jutt käib Bråtveitist , ei soostunud ta eile täpsustama .|NONE
EADS|5641884|9048166|1|2|in,nominal,sg|in|sg|0|obl|EADSis|1|-1||Y|16925662|EADSis ehk European Aeronautic Defence and Space Companys töötab 116000 inimest ja selle käive oli eelmisel aastal 372 miljardit krooni .|NONE
EADS|5095544|8178350|2|2|all,nominal,sg|all|sg|0|obl|EADSile|1|-1||Y|15281144|EADSile kuulub uues kompaniis 37,5% aktsiatest , BAe'le 37,5% ja Finmeccanicale 25% .|NONE
Haider|1463461|2328933|1|2|ad,prop,sg|ad|sg|1|obl|Haideril|3|1||S|4330554|Tegelikult käivad Haideril nii kõvad neelud keskvõimu järele , et teda Kärntenis peaaegu ei nähtagi , leiavad kritiseerijad .|NONE
Haider|1234293|1962309|2|2|ad,prop,sg|ad|sg|1|obl|Haideril|3|-1||S|3631963|Ainult et Haideril puuduvad löökrühmlased SA , SS-i või Stahlhelm ide näol , kelle abil opositsioon likvideerida ja riigis ainuvõim enda kätte haarata .|NONE
Herakleitos|2945638|4723156|1|2|el,prop,sg|el|sg|1|obl|Herakleitosest|28|3||S|8860961|"Autorid paistavad võtvat tõsiselt Whiteheadi teesi "" Kogu läänemaine filosoofia on üksnes ääremärkused Platoni filosoofiale "" ( lk 165 ) - Platoniga astub dialoogi terve plejaad mõtlejaid Herakleitosest Derridani ."|NONE
Herakleitos|8299486|13304544|2|2|el,prop,sg|el|sg|1|obl|Herakleitosest|5|-3||S|24682390|EUROAMEERIKALIKUS mõtteviisis , kus Herakleitosest alates “ kõik voolab ” ja samasse jõkke kahte korda ei astuta , on aja kulg lineaarne ning kõigel vähemasti algus ( Loomine , Suur Pauk , jms ) .|NONE
ID|14857132|23355099|1|2|el,nominal,sg|el|sg|0|obl|ID-st|22|3||Y|43149438|2sekundilisi lisapause ei tehta , s . t . sujuvad üleminekud on sujuvad üleminekud ja DiskID klapib ( eeldusel et sa räägid sellest CDDB ID-st ) .|NONE
ID|18561958|28093832|2|2|all,com,sg|all|sg|0|obl|ID'le|4|2||S|51029381|topicID viitab forumi ID'le .|NONE
Jäääära|3930129|6329443|1|2|in,prop,sg|in|sg|1|obl|Jääääras|6|-1||S|11821870|Need ballaadid , mida nad Jääääras kirjutavad ja esitavad , on väga sügava sisuga ja see sõnum läheb kuulajatele korda .|NONE
Jäääära|3930078|6329342|2|2|ad,prop,sg|ad|sg|1|obl|Jääääral|4|1||S|11821674|Esinemised käivad nii Jääääral kui ka Jaan Söödi teisel bändil , Lindpriidel rohkem tuurikaupa .|NONE
KHK|15095810|23619201|1|2|in,nominal,sg|in|sg|0|obl|KHKs|6|1||Y|43608428|Salvestus sellest , kuidas möödub KHKs riistvara tund !|LOC
KHK|15095822|23619216|2|2|com,in,sg|in|sg|0|obl|KHK's|9|1||S|43608461|Muig äkki teeme teema « Kes käib Tartu KHK's » ....|LOC
Lublino|12443781|19922541|1|2|in,prop,sg|in|sg|1|obl|Lublinos|10|5||S|36801483|Saksamaa president Roman Herzog mälestas eile hommikul Moskva lähistel Lublinos Saksa sõjaväe kalmistul Teises maailmasõjas langenud Saksa sõdureid .|LOC
Lublino|12443771|19922522|2|2|in,prop,sg|in|sg|1|obl|Lublinos|7|2||S|36801435|Eile käis Saksamaa president Moskva lähistel Lublinos Saksa sõjaväe kalmistul ja kohtus Venemaal elava 800 000 sakslase esindajatega .|LOC
aastapäevanäitus|17196996|26400920|1|2|ad,com,pl|ad|pl|0|obl|aastapäevanäitustel|3|-1||S|48330599|Aga vabariigi aastapäevanäitustel käis palju rohkem rahvast kui tavaliselt , ja ka arusaamisega ei tekkinud raskusi : kõik oli nö . sini-must-valgel kirjas .|NONE
aastapäevanäitus|9595533|15400542|2|2|all,com,sg|all|sg|0|obl|aastapäevanäitusele|4|1||S|28477156|Näituse avamine toimus aastapäevanäitusele omase pidulikkusega , kultuuriminister Jaak Allik tänas kunstirahvast , et nad on üle elanud “ nii poliitilise kui hilisemad majandusliku surutise aastad ” ja kestma jäänud .|NONE
em|16646319|25622175|1|2|com,el,sg|el|sg|0|obl|em'st|4|2||S|47016822|jutt käib kossu em'st|NONE
em|16641696|25617142|2|2|all,com,sg|all|sg|0|obl|em'ile|3|1||S|47008582|üllatused lisavad em'ile vürtsi nagu see kommentaator ütles .|NONE
heliagedus|14891440|23402737|1|2|com,el,pl|el|pl|0|obl|heliagedustest|7|1||S|43229452|Tähenärijatele veel täpsustuseks et jutt käib heliagedustest ehk siis inimese kuulde piirkonnast 20Hz - 20 ( 16 ) kHz .|NONE
heliagedus|14891143|23402303|2|2|com,el,pl|el|pl|0|obl|heliagedustest|7|1||S|43228756|Tähenärijatele veel täpsustuseks et jutt käib heliagedustest ehk siis inimese kuulde piirkonnast 20Hz - 20 ( 16 ) kHz .|NONE
jalakäijasild|8363814|13403109|1|2|all,com,sg|all|sg|0|obl|jalakäijasillale|8|1||S|24856588|Eskiisprojekt on juba valminud Turu tänava piirkonna jalakäijasillale .|LOC
jalakäijasild|13521900|21626777|2|2|ad,com,sg|ad|sg|0|obl|jalakäijasillal|6|-1||S|40014523|Paari tunni pärast märkas Särevere jalakäijasillal kõndinud inimene all vees lapse surnukeha .|LOC
jooksutund|7069467|11361881|1|2|com,in,sg|in|sg|0|obl|jooksutunnis|9|1||S|21184247|Tee nüüd mõned ringid ; nagu hobune teeb jooksutunnis ringe , kuni muutub higiseks !|NONE
jooksutund|11180027|17908942|2|2|com,in,sg|in|sg|0|obl|jooksutunnis|12|3||S|33023186|Nii harjutaski Greene ülikooli jalgpalluritega , Hobsoni juures käis aga kohusetruult jooksutunnis .|NONE
järvesuu|8795091|14116578|1|2|ad,com,sg|ad|sg|0|obl|Järvesuul|11|2||S|26134249|Elektrijaama ehitust juhtinud toonane Võrumaa komsomoliinstruktor Andres Ojasoo käis ise Järvesuul poisse värbamas .|LOC
järvesuu|5829506|9354543|2|2|abl,com,sg|abl|sg|0|obl|järvesuult|16|-1||S|17498687|Sünnipäevaline ise oli Podmotsa küla - selline tore ja lihtne küla Eesti kaguservas , mille järvesuult avaneb vaade Venemaale - Kulje külale .|LOC
kohtla-järv|20351200|29558982|1|2|ad,com,sg|ad|sg|0|obl|kohtla-järvel|6|1||S|53266420|enivei: mul sõber käis kohtla-järvel|LOC
kohtla-järv|20363677|29564424|2|2|ad,com,sg|ad|sg|0|obl|kohtla-järvel|5|1||S|53274316|walking_cat: ma elan kohtla-järvel|LOC
kurus|9962453|15979763|1|2|ad,com,sg|ad|sg|0|obl|kurusel|9|-2||S|29512804|Miss Tartu '97 on Tartu Ülikoolis neljandal kurusel inglise filoloogiat õppiv 22-aastane Kai-Riin Bachmann , selgus eile öösel ööklubis Atlantis zhürii otsus .|NONE
kurus|4145460|6672731|2|2|ad,com,pl|ad|pl|0|obl|kurustel|6|-1||S|12460863|Kümne aasta jooksul on kaugkoolituse kurustel käinud 7000 inimest .|NONE
