form|lause|classification
priisaunas|Vähemalt nii kirjeldasid eile oma praegust kodu kaks Raua tänaval priisaunas käinud kodutut .|LOC
päävitamas|tirtsuu: a vaat teisipääval ... siis käisime küll sõbrantsidega päävitamas|NONE
põliskohal|Ta istus jälle Werneris oma põliskohal , vagunsaali eelviimases latris , näoga ukse poole .|LOC
püssirohu-tünnil|Kui kasutada kulunud klišeed , siis istub rahvusvaheline üldsus Kosovos Balkani püssirohu-tünnil .|NONE
raudteejamas|Kell 12 . 07 istusid Kiviõli raudteejamas rööbastel kaks purjus meest , kes ei märganud lähenevat kaubarongi , ütles päästeameti korrapidaja .|LOC
ravivõimlemas|Et tervist hoida , käib Vaike ravivõimlemas ja sööb rohkem piimatoite .|NONE
rkkk-s|trasc: käisid rkkk-s|NONE
shamaanipaaril|Aastatel 1992-97 käis rezhissöör Mark Soosaar üheksal korral külas shamaanipaaril Soshol ja Tohel , kes elavad Surgutist umbes 250 km põhja pool .|NONE
Slaidiprojektorist|Slaidiprojektorist jookseb lavatagusele meri lindudega , aidates verbaalset reaalsust konkretiseerida .|NONE
solidoolist|Riiv käis raskelt , aga mitte roostest vaid tardunud , õhukeseks ja sitkeks paakunud solidoolist .|NONE
sulatalvel|Ta kass käis sulatalvel prügikastides söömas ja sai omale mingi haiguse , mis ei lasknud ta organismil toitu kinni pidada .|NONE
surakas|Kui pistiku pessa panin käis seal surakas .|NONE
surnuaiavõtetel|“ Öösel käisime ka surnuaiavõtetel . ”|NONE
taasühinemiskõnelustelt|Varem on Peking ähvardanud saart rünnata , kui too kuulutab välja iseseisvuse või lahkub lõplikult taasühinemiskõnelustelt .|NONE
talassos|Fra Mare talassos käivad eestlased vanuses 20 – 45 aastat .|LOC
teatrikirjatsuradest|Teatritegijad käivad teatrikirjatsuradest ikka sammuke või kaks eespool .|NONE
teevabrikus|Nii käisime meiegi teevabrikus teed vaatamas ja rüüpamas , kuid meeldejäävaimaks mälestuseks mägedest ja ka Sri Lankast jäi kolme tunni pikkune rongisõit .|LOC
Teoloogiaseminarilt|Väidetavalt on Changi CV-s kirjas , et ta lõpetas Princetoni Ülikooli doktorantuuri , tegelikult sai ta kraadi Princetoni Teoloogiaseminarilt .|LOC
Trahviohust|"Trahviohust hoolimata liiguvad praegugi paljud Suurbritannia autod kasutatud taimeõliga , millesse on lisatud paar tilka orgaanilist lahustit "" white spirit "" ."|NONE
tsiviilvormis|Kalevi pingil istuvad tsiviilvormis Randar Luts ja Andre Pärn .|NONE
Turvarajal|Turvarajal käivad juhitunnistuse taotlejad , aga ka täiendusõppusel osalejad ja tavasõitjad , kes tahavad tunnetada jäätee ohtlikkust .|LOC
tõusuunal|Wall Street liikus esmaspäeval kooskõlas muu maailma börsidega tõusuunal , välja arvatud tehnoloogiasektor , mis oli miinuses .|NONE
tööriistateras|Selleks pole miskit titaani vaja , tavaline tööriistateras käib küll .|NONE
uhul|+sexy_girl: ega need asjad vähemalt minu uhul ka nii ei käi|NONE
vaegarengualadelt|Täiendavad probleemid ( nt tööpuudus ) tekivad linnades , kuhu vaegarengualadelt lahkuvad inimesed siirduvad .|LOC
valitsemiskuudel|Isamaa valitsus astus juba oma esimestel valitsemiskuudel otsustavaid samme Eesti kaitsevõime tõstmiseks , ostes jalaväepataljonidele Iisraelist Lääne standarditele vastava relvastuse .|NONE
vangistusülemal|Leidub ka vastupidiseid näiteid - vabanev mees käis vangistusülemal kaks nädalat järel palvega ta edasi vanglasse jätta .|NONE
vannitoauksele|Käisin korduvalt vannitoauksele koputamas .|LOC
villipubis|luxi: raven villipubis ka käisid|LOC
xxx-ist|@ossignasju: mine vahi oma xxx-ist porri|NONE
zoloogias|dj_crule: Blade_77 sa zoloogias käisid ??|NONE
"""õppekülastusel"|Nagu selgitas projekti juht Rein Org , käisid spetsialistid siinviibimise ajal ka õppekülastusel Valga veepuhastites .|"NONE"""
õppelaenupirukast|Sel sügisel tõttasid tudengite õppelaenupirukast suurt tükki hammustama ka kõik kolm mobiiltelefonioperaatorit .|NONE
õppepolgust|Leedus Ruklas asuvast õppepolgust lahkus laupäeva õhtul 21 sõdurit omavoliliselt väeosast .|LOC
Bråtveitist|Kas jutt käib Bråtveitist , ei soostunud ta eile täpsustama .|NONE
Bråtveitist|Kas jutt käib Bråtveitist , ei soostunud ta eile täpsustama .|NONE
EADSis|EADSis ehk European Aeronautic Defence and Space Companys töötab 116000 inimest ja selle käive oli eelmisel aastal 372 miljardit krooni .|NONE
EADSile|EADSile kuulub uues kompaniis 37,5% aktsiatest , BAe'le 37,5% ja Finmeccanicale 25% .|NONE
Haideril|Tegelikult käivad Haideril nii kõvad neelud keskvõimu järele , et teda Kärntenis peaaegu ei nähtagi , leiavad kritiseerijad .|NONE
Haideril|Ainult et Haideril puuduvad löökrühmlased SA , SS-i või Stahlhelm ide näol , kelle abil opositsioon likvideerida ja riigis ainuvõim enda kätte haarata .|NONE
Herakleitosest|"Autorid paistavad võtvat tõsiselt Whiteheadi teesi "" Kogu läänemaine filosoofia on üksnes ääremärkused Platoni filosoofiale "" ( lk 165 ) - Platoniga astub dialoogi terve plejaad mõtlejaid Herakleitosest Derridani ."|NONE
Herakleitosest|EUROAMEERIKALIKUS mõtteviisis , kus Herakleitosest alates “ kõik voolab ” ja samasse jõkke kahte korda ei astuta , on aja kulg lineaarne ning kõigel vähemasti algus ( Loomine , Suur Pauk , jms ) .|NONE
NONE
ID'le|topicID viitab forumi ID'le .|NONE
Jääääras|Need ballaadid , mida nad Jääääras kirjutavad ja esitavad , on väga sügava sisuga ja see sõnum läheb kuulajatele korda .|NONE
Jääääral|Esinemised käivad nii Jääääral kui ka Jaan Söödi teisel bändil , Lindpriidel rohkem tuurikaupa .|NONE
KHKs|Salvestus sellest , kuidas möödub KHKs riistvara tund !|LOC
KHK's|Muig äkki teeme teema « Kes käib Tartu KHK's » ....|LOC
Lublinos|Saksamaa president Roman Herzog mälestas eile hommikul Moskva lähistel Lublinos Saksa sõjaväe kalmistul Teises maailmasõjas langenud Saksa sõdureid .|LOC
Lublinos|Eile käis Saksamaa president Moskva lähistel Lublinos Saksa sõjaväe kalmistul ja kohtus Venemaal elava 800 000 sakslase esindajatega .|LOC
aastapäevanäitustel|Aga vabariigi aastapäevanäitustel käis palju rohkem rahvast kui tavaliselt , ja ka arusaamisega ei tekkinud raskusi : kõik oli nö . sini-must-valgel kirjas .|NONE
aastapäevanäitusele|Näituse avamine toimus aastapäevanäitusele omase pidulikkusega , kultuuriminister Jaak Allik tänas kunstirahvast , et nad on üle elanud “ nii poliitilise kui hilisemad majandusliku surutise aastad ” ja kestma jäänud .|NONE
em'st|jutt käib kossu em'st|NONE
NONE
heliagedustest|Tähenärijatele veel täpsustuseks et jutt käib heliagedustest ehk siis inimese kuulde piirkonnast 20Hz - 20 ( 16 ) kHz .|NONE
heliagedustest|Tähenärijatele veel täpsustuseks et jutt käib heliagedustest ehk siis inimese kuulde piirkonnast 20Hz - 20 ( 16 ) kHz .|NONE
jalakäijasillale|Eskiisprojekt on juba valminud Turu tänava piirkonna jalakäijasillale .|LOC
jalakäijasillal|Paari tunni pärast märkas Särevere jalakäijasillal kõndinud inimene all vees lapse surnukeha .|LOC
jooksutunnis|Tee nüüd mõned ringid ; nagu hobune teeb jooksutunnis ringe , kuni muutub higiseks !|NONE
jooksutunnis|Nii harjutaski Greene ülikooli jalgpalluritega , Hobsoni juures käis aga kohusetruult jooksutunnis .|NONE
Järvesuul|Elektrijaama ehitust juhtinud toonane Võrumaa komsomoliinstruktor Andres Ojasoo käis ise Järvesuul poisse värbamas .|LOC
järvesuult|Sünnipäevaline ise oli Podmotsa küla - selline tore ja lihtne küla Eesti kaguservas , mille järvesuult avaneb vaade Venemaale - Kulje külale .|LOC
kohtla-järvel|enivei: mul sõber käis kohtla-järvel|LOC
kohtla-järvel|walking_cat: ma elan kohtla-järvel|LOC
kurusel|Miss Tartu '97 on Tartu Ülikoolis neljandal kurusel inglise filoloogiat õppiv 22-aastane Kai-Riin Bachmann , selgus eile öösel ööklubis Atlantis zhürii otsus .|NONE
kurustel|Kümne aasta jooksul on kaugkoolituse kurustel käinud 7000 inimest .|NONE
kõrgushüppepaigalt|Juubeldades kõrgushüppepaigalt lahkunud Shebrle sattus vastamisi Eesti antidopingu- komitee juhi Mihkel Mardnaga , kes teatas kohustusest saabuda dopingukontrolli .|LOC
kõrgushüppepaigale|Pahapill oli esimene kümnevõistleja , kes veel tibutava vihma saatel kõrgushüppepaigale naasis ja märja rajaga tutvus .|LOC
laskmistrennis|Mina käisin teismelisena alguses veel laskmistrennis ka , seega lasta ma oskan .|LOC
laskmistrennis|Kunagi laskmistrennis käinud Jarno on kõmmutanud jahil käies nii kitsi , põtru kui ka sigu , ja seda kõike vasaku käega .|NONE
libedarajal|See käib rate.ee libedarajal Tallinna lähedal Männikul .|LOC
libedarajal|"Valga maakonnast käis eelmisel aastal Tartu libedarajal koolitust saamas kümmekond juhti , "" ütles Indrek Madar ."|LOC
lossikirikus|Täna keskpäeval algab Stockholmi lossikirikus prints Bertili matusetseremoonia .|LOC
lossikirikus|Käisin kunagi 90-ndatel Haapsalu lossikirikus kontserdil , koorijuht ( naisterahvas ) oskas sõrmeliigutustega koori nii välja häälestada , et õhk kirikus hakkas vappuma .|LOC
mihklikuus|Aasta eest käis mihklikuus äge debatt kaitsekulutuste üle , kui seni vaesed relvajõud end inetu pardipoja seisusest välja murdsid .|NONE
mihklikuust|Rapla alevikus asub mihklikuust saadik ka loomaarst , kellelt loomade pidajad häda korral alati lahket abi ja juhatust võivad leida .|NONE
Motodoktorisse|Läksin Motodoktorisse .|LOC
motodoktoris|Käisin motodoktoris .|LOC
motoüritusele|20. oktoobril toimuvale motoüritusele ootavad korraldajad ligi 225 võistlejat Eestist , Lätist , Leedust , Venemaalt , Soomest ja Rootsist .|NONE
motoüritustel|Equ , viimasel ajal aktiivselt motoüritustel käinud -- 1984 Honda MBX125 F 1983 Honda CM400T|NONE
Mustmäel|hommikul lahkusin mittetahtlikult Mustmäel garaažist ema autoga . . . . .|LOC
Mustmäele|Ka pittu õnnitlusi maitsma ei jäänud võitja kauaks , vaid sõitis Mustmäele bändi bassimehe juurde end välja magama .|LOC
näevidele|Minule isiklikult Soolo näevidele ei käi .|NONE
näevidele|hedgehog: ära loe kui näevidele käib ...|NONE
olümpiapoodiumile|Niisiis , mitte ainult atleedid , vaid ka riigid ja rahvad astuvad olümpiapoodiumile .|NONE
olümpiapoodiumil|Kogu tänase päeva võõrustab kuulsaid külalisi Jüri Tamm , kes on kahel korral Sedõhhi seltsis olümpiapoodiumil seisnud .|LOC
ootepinkidel|Pimedas öises lennujaamas proovisin ootepinkidel koos kümnete teiste hommikust lendu ootavate inimestega suikuda .|LOC
ootepingile|See on võrdlemisi lõtv võrdlus , pealegi tuhandeid kordi ning nüansirikkamalt ( nüansid - nägemise närvid ! ) kasutatud , kuid peab tunnistama , et selle tagajärjel midagi juba tekkis , teie tundeimpulsist tabatud nägemisnärv saatis silma võrkkestale kujutise , mida juba järgmisel hetkel võiksite täpsustada , kui istuksite bussijaama ootepingile päikese eest varju pugenud mehe kõrvale ning küsiksite tema käest seda , mida küsivad kõik , kes arvavad , et kunst on üksinduse ülistus - aega , kella !|LOC
parteistaapidesse|Kaovad ära parteistaapidesse toodavad sularahakotid ja kummalised annetused riiulifirmade kaudu .|LOC
parteistaabis|Osa satub reamehena rindele tule alla , kolonelid istuvad parteistaabis ja liigutavad lahingukaardil nuppe .|NONE
pensioniskeemidele|3 ) õigusaktid , mis nõukogu on ühenduse piires liikuvate töötajate ja nende pereliikmete sotsiaalkindlustusõiguste kaitseks juba vastu võtnud , nimelt nõukogu 14. juuni 1971. aasta määrus ( EMÜ ) nr 1408/71 ( sotsiaalkindlustusskeemide kohaldamise kohta ühenduse piires liikuvate töötajate , füüsilisest isikust ettevõtjate ja nende pereliikmete suhtes )  4  ja nõukogu 21. märtsi 1972. aasta määrus ( EMÜ ) nr 574/72 , millega nähakse ette määruse ( EMÜ ) nr 1408/71 ( sotsiaalkindlustusskeemide kohaldamise kohta ühenduse piires liikuvate töötajate , füüsilisest isikust ettevõtjate ja nende pereliikmete suhtes ) rakendamise kord ,  5  käsitlevad ainult riiklikke pensioniskeeme ; nende määrustega ettenähtud kooskõlastussüsteem ei laiene täiendavatele pensioniskeemidele , välja arvatud skeemid , mida hõlmab määruse ( EMÜ ) nr 1408/71 artikli 1 punkti j esimeses lõigus määratletud mõiste “ õigusaktid ” või mille suhtes liikmesriik teeb kõnealuse artikli alusel avalduse ;|NONE
pensioniskeemist|Tähendab , laekumise puhul on tähtis , kui palju laekub sotsiaalmaksu , mitte kui palju inimesi lahkub 4% ulatuses riiklikust pensioniskeemist ja liitub kogumispensioniga .|NONE
Politseiaias|Ehkki teadaolevalt pole hotelli-kasiino külastajate või töötajatega Politseiaias ühtegi õnnetust juhtunud , seatakse pargi hotellipoolsesse ossa valvekaamera .|LOC
Politseiaias|""" Juuni esimesel nädalal valmib peenar Politseiaias ning vanalinna riputatakse 200 lilleamplit , "" ütles Sõtnik ."|LOC
primary's|Kolm pisemat Suitsude pere last , Moonika , Maarja ja Heino , käivad Hulli Stepney primary's ehk algkoolis , mis on nende jaoks üldse elu esimene kool .|LOC
NONE
softivahetuses|Mul sama jama , käis softivahetuses , aga abi ei saanud :|NONE
softivahetusest|Või piisab äkki softivahetusest ?|NONE
spagaadis|kõik trance alaliigid , trumm ja bass , kõige rohkem meeldivad armin van buuren ja ferry corsten , kui vahel arvuti üle viskab , siis harjutan teises toas capoeirat , so võitluskunst , mida eddie gordo tekken3-s teeb , momendil harjutan käte peal keerutamist jalad spagaadis ( ma paindun väga hästi )|NONE
spagaadist|67 . minutil lõi Teet Allas spagaadist viigivärava .|NONE
"""superseksikale"|""" Beverly Hillsi võmmi "" täht kinkis superseksikale Tracey Edmondsile hiiglasliku kollase briljandiga Cartier'sõrmuse ja palus teda endale naiseks , vahendab The Sun Ameerika ajakirjandust ."|"NONE"""
superseksikatest|"Musta värvi superseksikatest "" astuge mu teelt eest "" saabastest kuni leebete , beežide-pruunide madala kontsaga seemisnahksete jalavarjudeni ."|LOC
tagasistumisest|Ühtlasi teatas ta tagasistumisest kõigist senistest ametitest .|NONE
tagasistumisel|Linnapea tagasistumisel lahkub ka linnavalitsus .|NONE
tagavedrudest|Mul muide on ka üks madaldussari üle , mis koosneb uutest tagavedrudest ja kasutatud esivedrudest .|LOC
tagavedrudest|Sorry , täiendus : jutt käib siin ja edaspidi vaid tagavedrudest .|LOC
tekstiiliettevõttes|Seoses uute investeeringutega suureneb EBRD osalus Utenos Trikotazases 15 , Trinyciai tekstiiliettevõttes aga 37 , 6 .|NONE
tekstiiliettevõttesse|Samas on kerkiva tekstiilihiiglase taga Poleschuki kinnitusel Venemaa puuvillaga kaubitseja Tecko huvid , kellele kuuluvad enamusaktsiad ning kust liiguvad tekstiiliettevõttesse ka rahavood investeeringuteks .|LOC
territoorumil|Pealkirjastades oma “ teesid ” küsimusega “ Kas ( Nõukogude ) Liit sünnib taas 2005. aastaks ? ” , võtavad autorid vaatluse alla võimaliku liitumisprotsessi endise N. Liidu jurisdiktsiooni all olnud territoorumil .|LOC
territoorumil|Kõige enam käisid nad Tallinnast väljas töölähetustel Lääne prefektuuri territoorumil , kus patrullisid 28 protsenti ajast .|LOC
transpordikomisjonile|Komisjonidele alluvad ametid valdkonniti , näiteks transpordikomisjonile allub transpordiamet .|NONE
transpordikomisjonis|Hamburgis Euroopa Liidu transpordikomisjonis käivad ettevalmistused uue liikluseeskirja ettevalmistamiseks .|NONE
turbaaukudest|Uulitsatpidi tulevad vatijopedes töötud mehed , jääpuurid peos - turbaaukudest näkkab talvel mõni kala .|LOC
turbaaukudes|Nõos elades käisin tihti turbaaukudes , kust võtsin purki konnakulleseid ja väikseid kalu ning jälgisin neid .|LOC
Vokaalstuudios|Vokaalstuudios käivad enamasti koorilauljad hääletreeningut tegemas .|LOC
vokaalstuudios|Viktoria Seimar 21aastane Viktoria Seimar on hevibändi Inferno laulja ning töötab Tallinnas vokaalstuudios Diapasoon laulu- ja vokaaltehnika õpetajana .|LOC
äratõukepakule|Kaseorg jooksis kolmandal katsel äratõukepakule kaheksa meetri mehe ilmega , kuid plastiliinist kontrollriba all varitses oma tundi õel deemon .|LOC
äratõukepakule|Võõrtreenerile meenus , missuguse kiirusega Nool Talence'is 7.93 kaugust hüpates äratõukepakule jooksis .|LOC
FS-il|Ma ei leia oma FS-il tagaistmete mootori kaitsmeid Istmed lakkasid töötamast koos niiet mõlemad mootorid läbi olla ei tohiks .|LOC
FS-l|Avastasin oma FS-l uue pahaloomulise haiguse .|NONE
FS-l|Avastasin oma FS-l uue pahaloomulise haiguse .|NONE
Firenightil|Festivali korraldaja Lauri Laubre sõnul esineb tänavusel Firenightil kuus välismaist artisti , kelle nimed avaldavad korraldajad lähipäevil .|NONE
Firenightil|Käisin Firenightil ilutulestikku vaatamas , Elton Johni kontserdil ja Rootsis U2 kontserdil .|NONE
Firenightil|Firenightil astub üles üle 20 esineja , sealhulgas mitmed maailmakuulsad välisesinejad .|NONE
Guildfordis|Guildfordis tekkis füüsikute ja teoloogide lähenemine .|LOC
Guildfordis|Guildfordis voolab inimmass , sh pool vagunitäit õlleseid Bohemian Rhapsodyt jörisevaid noori , perroonile , jättes meid omapäi vagunisse .|LOC
Guildfordis|Praegu käib ta veel tööl kümmekonna kilomeetri kaugusel Guildfordis , kus ministeeriumi hoonete ühes tiivas asub ka lastesõim .|LOC
Kivilinnas|Laupäeva öösel lõhuti Kivilinnas Anne tänavas seisnud Nissan Sunny aken , kuid seest midagi ei võetud .|LOC
Kivilinnas|Reede hommikul kell 5.30 jooksis Kivilinnas Jaama tänava maja trepikotta ähmis ja poriste rõivastega 18-aastane neiu ning helistas esimese ettejuhtunud korteri uksekella .|LOC
Kivilinnas|Eile varahommikul kell 6.30 märkas Kivilinnas tööle sõita kavatsenud mees , et tema Mazdasse on sisse murtud .|LOC
Kristinist|Kas sa tahad , et Kristinist ja kõigist järgmistest lastest saaks sportlased ?|NONE
Kristinil|Tajusin selle tähendust , kui käisin hiljuti Kristinil külas ja nägin teda pere keskel .|NONE
Kristinil|Ja Kristinil on tulemas luulekogu .|NONE
Peterhofis|Peterhofis käib mingi kamm , nagu noored ütlevad .|LOC
Peterhofis|üllatus ootas ees Peterhofis .|LOC
Peterhofis|Meile geograafiliselt lähimad sama esinduslikud näited asuvad Peterhofis , Rundales Kuramaal ja Drottningholmis Stockholmi külje all , olemuslikult lähedasemaid on Kadriorule aga Het Loo Hollandis .|LOC
aksel|korp15: kuule aksel ole kus|NONE
aksel|Tropp: ei tea aksel|NONE
NONE
baariretkedel|Aga mulle , nagu öeldud , need ei sobinud ja ma panin need silma vaid oma baariretkedel .|NONE
baariretkelt|Matti , kes on õigusorganitega varemgi tegemist teinud , saabunud kolmapäeval baariretkelt nõudmisega , et naine talle auto ostaks .|NONE
baariretkedele|Nii mõneltki sugukondlikult istumiselt liikus onu hiljem omapäi mingitele baariretkedele .|NONE
NONE
Dopinguäris|Dopinguäris liiguvad miljonid .|NONE
dopinguärile|Politsei leidis minu märkmete vahelt kviitungid , mis viitavat dopinguärile .|NONE
elementaarkoolis|Judge , kes jätkab shõule sketshide joonistamist , tunnistab , et see shõu pole mõeldud igaühele , näiteks väikestele lastele ja isegi tema enda emale , endisele ülikooli õppejõule , kes nüüd töötab elementaarkoolis bibliograafina .|LOC
elementaarkoolis|Elisabeth käis aruannete kohaselt 1850. aastast madam Wittenbergi erakoolis , 1854. aastast aga linna tütarlaste elementaarkoolis .|LOC
elementaarkoolis|1871. – 1882 . aastani töötas Lihula elementaarkoolis kirjanik Jakob Pärn .|LOC
iluvigadest|Eestlased aga said koduseinte ja publiku toel ( eriti käib see Luzgini mängu kohta ) oma iluvigadest jagu ning keerasid mõlemad kohtumised selgelt enda kasuks .|NONE
iluvigadele|Kõigile iluvigadele vaatamata : enam-vähem sellist Eesti riiki me ju tahtsime .|NONE
iluvigadest|Väikestest iluvigadest hoolimata on aga eksootilise välimuse ja sügavpruunide silmadega Cruzist saanud Euroopa filmi ja naiselikkuse sümbol , nagu seda oma hiilgeaegadel oli Sophia Loren .|NONE
kiiljahile|Vaimukosutuseks ja enesearendamiseks istuvad Tõnisted suvel ka neljamehe kiiljahile Melges 24 ja osalevad mõnel Põhjamaa regatil .|LOC
kiiljahil|Vendade ettevalmistuskavva kuulub ka purjetamine kiirel Melges-24 tüüpi kiiljahil , mille vennad Haavelid endale hiljuti muretsesid .|LOC
kiiljahil|Kõige hiljem jäävad eemale kiiljahil , Staril ja Solingul seilajad .|NONE
