COLLECTION	SPANSTART	TYPE	TEXT
369326	624	S	Teatamistähtaeg on lühem kaupade puhul , mille vedu kestab .
			
343996	1490	O	Möödunud aasta keskmise dollari kursi suhtes tähendab see juba rohkem kui 13% nõrgenemist .
343996	1490	S	Möödunud aasta keskmise dollari kursi suhtes tähendab see .
			
654005	1321	O	74 kaugusele , lüües John Godinat ( 20 . 46 ) rohkem kui meetriga .
654005	1321	S	74 kaugusele , lüües John Godinat ( 20 . 46 ) .
			
10576	1407	O	Valentino haigus ja surm paelub ameeriklasi rohkem kui mingi muu sündmus .
10576	1407	S	Valentino haigus ja surm paelub ameeriklasi .
			
428844	669	O	“ Käige rohkem jalgsi - mitte vähem kui viis kilomeetrit päevas .
428844	669	S	“ Käige .
			
405715	2795	O	Saanud peaministriks , keelustas ta näiteks 1923. aastal nõukogudemeelse Soome Töölispartei ja pani rohkem kui 200 vasakäärmuslast vangi !
405715	2795	S	Saanud peaministriks , keelustas ta 1923. aastal nõukogudemeelse Soome Töölispartei ja pani 200 vasakäärmuslast vangi !
			
197358	778	O	Nii veetigi sel ajal Eestisse 91 658 tonni suhkrut rohkem kui eelnenud aastatel samal perioodil .
197358	778	S	Veetigi sel ajal Eestisse 91 658 tonni suhkrut .
			
461105	1546	O	Hansapank teenis tänavu kuue kuuga konsolideerimata andmeil 171 miljonit krooni puhaskasumit , mis on 16,4 miljoni krooni võrra vähem kui möödunud aasta samal perioodil .
461105	1546	S	Hansapank teenis kuue kuuga konsolideerimata andmeil 171 miljonit krooni puhaskasumit , mis on 16,4 miljoni krooni võrra vähem kui möödunud aasta samal perioodil .
			
452737	4410	O	Ühel pool on õiglane viha kuritegevuse laia leviku ja süütute ohvrite pärast , teisel pool Euroopa Liidu põhimõttelised hoiakud ja paratamatus , et Eesti vajab ELi rohkem kui nemad meid .
452737	4410	S	Ühel pool on õiglane viha kuritegevuse laia leviku ja süütute ohvrite pärast , teisel pool Euroopa Liidu põhimõttelised hoiakud ja paratamatus , et Eesti vajab kui nemad meid .
			
435761	283	O	Sõjaline diktatuur , rohkem kui 500 karistust kandvat dissidenti , pidev väljaränne , tsensuur ning sõnavabaduse piiramine on teinud Kuubast riigi , mida iseloomustab nii poliitiline kui moraalne allakäik .
435761	283	S	Sõjaline diktatuur , 500 karistust kandvat dissidenti , pidev väljaränne , tsensuur ning sõnavabaduse piiramine on teinud Kuubast riigi , mida iseloomustab nii poliitiline kui moraalne allakäik .
			
130326	381	O	Lindude gripist ohustatud piirkonnaks loetakse riik , kus viimase haiguspuhangu ohustatud- ja järelevalvetsooni likvideerimisest on möödunud vähem kui 30 päeva .
130326	381	S	Lindude gripist ohustatud piirkonnaks loetakse riik , kus viimase haiguspuhangu ohustatud- ja järelevalvetsooni likvideerimisest on möödunud .
			
46630	0	O	Eesti elukindlustusseltsid kogusid esimeses kvartalis preemiaid 51,9 miljonit krooni , mis on 5,7 protsenti rohkem kui mullu samal perioodil
46630	0	S	Eesti elukindlustusseltsid kogusid esimeses kvartalis preemiaid 51,9 miljonit krooni , mis on 5,7 protsenti rohkem kui samal perioodil
			
462800	1124	O	Igaüks kannab oma risti , ei ole meile kanda antud rohkem kui suudame .
462800	1124	S	Igaüks kannab oma risti , ei ole meile kanda antud kui suudame .
			
237876	628	O	""" Tallinna esindusfestivalid Pöff ja Jazzkaar käivad kodututena mööda linna ringi , kinopilet maksab pea kaks korda rohkem kui Leedus . """
237876	628	S	""" Tallinna esindusfestivalid Pöff ja Jazzkaar käivad kodututena mööda linna ringi , kinopilet maksab . """
			
210705	1245	O	Eestil on nüüd 7 punkti ehk poole võrra vähem kui malekuulsal Venemaal .
210705	1245	S	Eestil on 7 punkti ehk poole võrra vähem kui malekuulsal Venemaal .
			
363735	124998	O	Kuid viimase kümne aasta jooksul on neid sinna jõudnud rohkem kui ühel käel sõrmi .
363735	124998	S	Kuid viimase kümne aasta jooksul on neid jõudnud sõrmi .
			
9045	2349	O	Väiksem eelarve tähendab , et kodanikele lähevad riigi teenused 2000. aastal maksma veidi vähem kui tänavu .
9045	2349	S	Väiksem eelarve tähendab , et kodanikele lähevad riigi teenused 2000. aastal maksma .
			
81222	494	O	""" Keskmine temperatuur Eestis on aastaks 2035 tõusnud veidi rohkem kui"
81222	494	S	""" Keskmine temperatuur Eestis on aastaks 2035 tõusnud"
			
497606	648	O	Rohkem kui sajal inimesel lõigati kõri läbi .
497606	648	S	Sajal inimesel lõigati kõri läbi .
			
633030	5769	O	Kummidest eritub ju tolmu rohkem kui aeglasema kiirusega sõitmisel .
633030	5769	S	Kummidest eritub tolmu .
			
15059	856	O	Juba praegu on mobiiltelefone rohkem kui personaalarvuteid .
15059	856	S	On mobiiltelefone rohkem kui personaalarvuteid .
			
55182	0	O	Ärinaine Terje Aru lasi oma abikaasa Lembitu tagaotsitavaks kuulutada , sest nägi meest viimati rohkem kui nädal aega tagasi .
55182	0	S	Ärinaine Terje Aru lasi oma abikaasa Lembitu tagaotsitavaks kuulutada , sest nägi meest .
			
422243	183	O	Juba sel aastal astus esimesse klassi ligi tuhat last vähem kui mullu .
422243	183	S	Sel aastal astus esimesse klassi tuhat last .
			
1498	1190	O	Eesti ühiskonda mõjutavaid isikuid on tunduvalt rohkem kui neid , kelle sõna maksab .
1498	1190	S	Eesti ühiskonda mõjutavaid isikuid on rohkem kui neid , kelle sõna maksab .
			
691458	2753	O	Pokumajad avatakse vähem kui aasta pärast
691458	2753	S	Pokumajad avatakse
			
17158	801	O	Mitte-eestlaste integratsiooni sihtasutuse keelelaagrite koordinaatori Eda Seelmanni sõnul on muulaste huvi suvise keeleõppe vastu aastatega tohutu suureks läinud , tahtjaid on mitu korda rohkem kui vabu kohti .
17158	801	S	Mitte-eestlaste integratsiooni sihtasutuse keelelaagrite koordinaatori Eda Seelmanni sõnul on muulaste huvi suvise keeleõppe vastu aastatega suureks läinud , tahtjaid on mitu korda rohkem kui vabu kohti .
			
705050	253636	O	Ma ei kujuta hästi ette , tööseadusandlus ju reguleerib seda , võivad olla kohakaaslased , põhitööandja loal võib inimene töötada minu teada Eesti Vabariigis ka rohkem kui ühel kohal .
705050	253636	S	Ma ei kujuta ette , tööseadusandlus reguleerib seda , võivad olla kohakaaslased , põhitööandja loal võib inimene töötada minu teada Eesti Vabariigis .
			
362821	2764	O	Rohkem kui 30 meetrit pika laeva omanikud tasusid 1500 krooni ja iga inimene pidi maale astumise eest maksma 100 krooni .
362821	2764	S	30 meetrit pika laeva omanikud tasusid 1500 krooni ja iga inimene pidi maale astumise eest maksma 100 krooni .
			
330852	185	O	Liberaaldemokraatliku partei ( LDPR ) esitatud eelnõu kohaselt ei oleks tohtinud raadio- või telesaates või ajalehes olla halbu uudiseid rohkem kui 10 protsenti uudiste kogumahust , piirata sooviti kuritegusid , õnnetusi ja sõda käsitlevaid uudiseid .
330852	185	S	Liberaaldemokraatliku partei ( LDPR ) esitatud eelnõu kohaselt ei oleks tohtinud raadio- või telesaates või ajalehes olla halbu uudiseid , piirata sooviti kuritegusid , õnnetusi ja sõda käsitlevaid uudiseid .
			
623997	3429	O	Ilutulestik , mis mägedes õhku lastakse , on küll elamus omaette mõni 3000 elanikuga mägiküla kulutab ilutulestikurakettidele rohkem kui terve Tallinna linn , » naerab Tuul .
623997	3429	S	Ilutulestik , mis mägedes õhku lastakse , on elamus mõni 3000 elanikuga mägiküla kulutab ilutulestikurakettidele , » naerab Tuul .
			
9038	704	O	"Noolel pole midagi selle vastu , et dopingust rääkida , aga ta sõnab tõsiselt : "" Iga süüdistaja peab arvestama , et minu au maksab rohkem kui kaks jäätist ! """
9038	704	S	"Noolel pole midagi selle vastu , et dopingust rääkida , aga ta sõnab : "" Iga süüdistaja peab arvestama , et minu au maksab ! """
			
4867	21	O	Kolme aasta jooksul on Tiigrihüppe programmi elluviimise käigus kõik Tallinna koolid saanud arvutiklassi , kuid suurtes Tallinna koolides on seni arvuteid õpilaste arvuga võrreldes suhteliselt vähem kui maakoolides .
4867	21	S	Kolme aasta jooksul on Tiigrihüppe programmi elluviimise käigus kõik Tallinna koolid saanud arvutiklassi , kuid suurtes Tallinna koolides on arvuteid õpilaste arvuga võrreldes vähem kui maakoolides .
			
292215	2051	O	""" Inimesi on kindlasti vähem kui MM-etapil , ent inimeste arv on ikkagi päris suur ."
292215	2051	S	""" Inimesi on vähem kui MM-etapil , ent inimeste arv on suur ."
			
584620	4941	O	Mina võtan salatiks alati mõned rohelised paprikad neil on maitset rohkem kui punastes ja kollastes ning karbi kirsstomateid .
584620	4941	S	Mina võtan salatiks mõned rohelised paprikad neil .
			
577077	4821	O	Koondises on HC Kehra mängijaid rohkem kui Bramanise klubi Chocolate Boys omasid , kuid seda ei taha Bramanis erapooletuse argumendina ette tuua : « Kindlasti ei kutsu ma mängijaid koondisse klubikuuluvuse põhjal . »
577077	4821	S	Koondises on HC Kehra mängijaid rohkem kui Bramanise klubi Chocolate Boys omasid , kuid seda ei taha Bramanis erapooletuse argumendina ette tuua : « ei kutsu ma mängijaid koondisse klubikuuluvuse põhjal . »
			
573958	805	O	Kas Monaco meeldib sulle rohkem kui Eesti , või on see lihtsalt formaalne elukoht ?
573958	805	S	Monaco meeldib sulle , või on see formaalne elukoht ?
			
515494	425	O	Firma juhi arvates remonditi sammast viimati rohkem kui kümme aastat tagasi .
515494	425	S	Firma juhi arvates remonditi sammast .
			
264830	0	O	Moskvas röövisid tundmatud kurjategijad täna inkassaatoritelt rohkem kui kuus miljonit rubla .
264830	0	S	Moskvas röövisid tundmatud kurjategijad inkassaatoritelt .
			
15490	2033	O	""" Unistasin sellest reisist rohkem kui aasta , "" ütles Peter Clifford , kes ostis endale ja naisele lennukipiletid 53. pulma-aastapäeva puhul ."
15490	2033	S	""" Unistasin sellest reisist , "" ütles Peter Clifford , kes ostis endale ja naisele lennukipiletid 53. pulma-aastapäeva puhul ."
			
636609	142314	O	Rootslased , erinevalt soomlastest , ei ole meie sugulased aga eriti rohkem kui venelased .
636609	142314	S	Rootslased , ei ole meie sugulased rohkem kui venelased .
			
1134	4339	O	Sõja ajal põletasid serblased rohkem kui kaks miljonit raamatut ja ajalooürikut , et moslemid ei suudaks tõestada oma ajaloolist osa selles linnas .
1134	4339	S	Sõja ajal põletasid serblased .
			
338226	175	O	Mustjala mehed arvavad koguni , et nende vallas on metssigu rohkem kui vallas elanikke , kuid päris nii see siiski pole , sest sigu loendati Mustjala vallas saja ringis .
338226	175	S	Mustjala mehed arvavad , et nende vallas on metssigu rohkem kui vallas elanikke , kuid nii see pole , sest sigu loendati Mustjala vallas saja ringis .
			
458567	2670	O	C240 tahab paigalt liikudes gaasi rohkem kui harjunud , seetõttu kipub ta algul välja surema .
458567	2670	S	C240 tahab liikudes gaasi kui harjunud , kipub ta algul välja surema .
			
153079	148	O	Vastavalt statistikaameti täna ilmunud aastaraamatule sündis 2006. aastal 14 877 last ehk 527 rohkem kui aasta varem .
153079	148	S	Vastavalt statistikaameti ilmunud aastaraamatule sündis 2006. aastal 14 877 last ehk 527 rohkem kui aasta varem .
			
1324	4354	O	“ Rahailma praegune seis ei võimalda neil välja pigistada raha rohkem kui viie protsendi katteks , ” arvab  Hardo Pajula  .
1324	4354	S	“ Rahailma praegune seis ei võimalda neil välja pigistada raha viie protsendi katteks , ” arvab Hardo Pajula .
			
686611	966	O	Toimetuleku-uuringu järgi on Eestis depressioonis pensionäre suhteliselt kolm korda rohkem kui arenenud riikides .
686611	966	S	Toimetuleku-uuringu järgi on Eestis depressioonis pensionäre kolm korda rohkem kui arenenud riikides .
			
648154	34738	O	Me vallutame tagasi terve Romelia vähem kui nädala jooksul , sõda Arieri ja Tolereni vahel on alanud ja me ei tohi lasta neil ka liiga palju üksteist matterdada sest muidu pole meil pärast millegi üle valitseda .
648154	34738	S	Me vallutame tagasi terve Romelia , sõda Arieri ja Tolereni vahel on alanud ja me ei tohi lasta neil üksteist matterdada sest pole meil pärast millegi üle valitseda .
			
489160	2722	O	Meeste 200 m rinnuliujumises jäi Aleksandr Baldin poolfinaalist viie sajandiksekundi ja olümpianormist vähem kui sekundi kaugusele .
489160	2722	S	Meeste 200 m rinnuliujumises jäi Aleksandr Baldin poolfinaalist viie sajandiksekundi ja olümpianormist .
			
495607	1131	O	Näiteks Jaapani peaminister Shinzo Abe jääb talle alla rohkem kui 30 000 krooniga .
495607	1131	S	Näiteks Jaapani peaminister Shinzo Abe jääb talle alla .
			
632469	225	O	Teatavasti on Eestis rohkem kui 120 000 suure naaberriigi kodanikku .
632469	225	S	On Eestis 120 000 suure naaberriigi kodanikku .
			
21778	171	O	Tänavune Suure Vankri auhindade jagamisel oli raha igal sammul tuntavalt vähem kui kahel eelmisel korral , õnneks võis täheldada meie kultuuritegelaste näitlejameisterlikkuse edenemist preemiate üleandmise vaatemängus .
21778	171	S	Tänavune Suure Vankri auhindade jagamisel oli raha igal sammul vähem kui kahel eelmisel korral , õnneks võis täheldada meie kultuuritegelaste näitlejameisterlikkuse edenemist preemiate üleandmise vaatemängus .
			
369384	2790	O	Aasta algusest on klaase lõhutud 18 bussil rohkem kui 200 000 krooni eest .
369384	2790	S	Aasta algusest on klaase lõhutud 18 bussil .
			
66552	308	O	Ainult Ukrainasse , Leetu ja Soome sõidavad venemaalased rohkem kui Eestisse , ütles Moskva Eesti saatkonna II sekretär Rein Tammsaar viidates ametlikule statistikale .
66552	308	S	Ukrainasse , Leetu ja Soome sõidavad venemaalased , ütles Moskva Eesti saatkonna II sekretär Rein Tammsaar viidates ametlikule statistikale .
			
684272	422	O	Taastuvtoormest ( Rootsis müüdav E85 segatakse Brasiiliast imporditud suhkruroopiiritusest ) kütus võimaldab tõsta mootori surveastet ja koos sellega ka võimsust , kuid teisalt kulub väiksema kütteväärtusega piiritusbensiini tublisti rohkem kui tavalist .
684272	422	S	Taastuvtoormest ( Rootsis müüdav E85 segatakse Brasiiliast imporditud suhkruroopiiritusest ) kütus võimaldab tõsta mootori surveastet ja koos sellega võimsust , kuid kulub väiksema kütteväärtusega piiritusbensiini .
			
671985	1237	O	” Eliase lohe ” koondabki Kalli eri ajakirjandusväljaannetes rohkem kui kahe aastakümne vältel ilmunud satiirilisi ja kriitilisi tekste .
671985	1237	S	” Eliase lohe ” koondabki Kalli eri ajakirjandusväljaannetes kahe aastakümne vältel ilmunud satiirilisi ja kriitilisi tekste .
			
620644	1736	O	Siin on meil rohkem kui 75 minutit muusikat ( ja boonusena DVD ) , kuid ei ühtegi raadiosõbralikku nelja-minuti-lugu .
620644	1736	S	On meil muusikat ( ja boonusena DVD ) , kuid ei ühtegi raadiosõbralikku nelja-minuti-lugu .
			
176605	2132	O	Meie põhjanaabritel kestavad kursused küll nädala asemel rohkem kui kuu ning iga endast lugupidav kõrgel ametikohal või haljal ärioksal olev soomlane proovib kas või väevõimuga end kursuste kuulajaks sokutada .
176605	2132	S	Meie põhjanaabritel kestavad kursused nädala asemel ning iga endast lugupidav kõrgel ametikohal või haljal ärioksal olev soomlane proovib end kursuste kuulajaks sokutada .
			
332954	3670	O	Raamatu lõpetab teadus-bürokraatia eest hoiatav Ph . D. Hüdra , mis tundub - rohkem kui miski muu - olevat kirjutatud siin ja praegu .
332954	3670	S	Raamatu lõpetab teadus-bürokraatia eest hoiatav Ph . D. Hüdra , mis tundub - olevat kirjutatud .
			
156490	2071	O	Kuid ma räägin rohkem kui näitus ise .
156490	2071	S	Kuid ma räägin kui näitus ise .
			
699409	2225	O	Noormeeste kinnitusel meeldis neile täiskasvanutega teatrit teha hoopis rohkem kui eakaaslastega , sest keegi ei kuluta niisama lollitamiseks aega .
699409	2225	S	Noormeeste kinnitusel meeldis neile täiskasvanutega teatrit teha , sest keegi ei kuluta lollitamiseks aega .
			
438861	4457	O	Üle paarikümne tuhande elanikuga Viljandis on raamatukogul rohkem kui 8000 lugejat .
438861	4457	S	Üle paarikümne tuhande elanikuga Viljandis on raamatukogul .
			
36322	965	O	Tegelikult kulutab parvlaev edasi-tagasisõiduks sellest kogusest vähem kui kümnendiku .
36322	965	S	Kulutab parvlaev edasi-tagasisõiduks sellest kogusest .
			
161974	92	O	Suusatamise MK Otepää etapi avamiseni jäi aega rohkem kui ööpäev .
161974	92	S	Suusatamise MK Otepää etapi avamiseni jäi aega .
			
477231	1465	O	Talle mõjub palju rohkem kui inimene ise , see ruum , kus inimene on .
477231	1465	S	Talle mõjub .
			
517439	1505	O	20 miljonit on rohkem kui Eesti klubide praegustes rahakottides kokku leidub .
517439	1505	S	20 miljonit on Eesti klubide praegustes rahakottides kokku leidub .
			
3953	51469	O	Vastuvõetava informatsiooni töötlemine on häiritud , inimesel on üha suuremaid raskusi pöörata samaaegselt tähelepanu rohkem kui ühele objektile ( nt. võtta osa vestlusest mitme isikuga korraga ) , raskusi on ka tähelepanu ümberlülitamisega ühelt objektilt teisele .
3953	51469	S	Vastuvõetava informatsiooni töötlemine on häiritud , inimesel on suuremaid raskusi pöörata tähelepanu , raskusi on tähelepanu ümberlülitamisega ühelt objektilt teisele .
			
640995	939	O	“ Jäime puhkama , iga mees mõtles , et pingutab natuke vähem kui esimeses geimis , ” rääkis Toode .
640995	939	S	“ Jäime puhkama , iga mees mõtles , et pingutab , ” rääkis Toode .
			
202673	6397	O	Ja tuletagem veelkord meelde , et Põhjamaades on naiste jalgpall ülipopulaarne - Rootsis on naisjalgpallureid tunduvalt rohkem kui meeshokimängijaid !
202673	6397	S	Ja tuletagem meelde , et Põhjamaades on naiste jalgpall ülipopulaarne - Rootsis on naisjalgpallureid rohkem kui meeshokimängijaid !
			
241255	3841	O	Kuna valitsuse võlakirjade tulusus on langenud rohkem kui 30 protsendilt 10-15 protsendini , siis võib oodata , et osa investoreid suunab oma raha võlakirjaturult aktsiaturule .
241255	3841	S	Kuna valitsuse võlakirjade tulusus on langenud 10 - 15 protsendini , võib oodata , et osa investoreid suunab oma raha võlakirjaturult aktsiaturule .
			
179439	148	O	Hukkunuid oli kolme võrra rohkem kui möödunud aastal , kuid siiski jääb arv viimase 15 aasta väiksemate näitajate hulka .
179439	148	S	Hukkunuid oli kolme võrra rohkem kui möödunud aastal , kuid jääb arv viimase 15 aasta väiksemate näitajate hulka .
			
396011	3658	O	Loogi sõnutsi võib rasedaid ja sünnitajaid olla nende haiglas natuke rohkem kui paar-kolm aastat tagasi , kuid mingit massilist sündivuse tõusu pole .
396011	3658	S	Võib rasedaid ja sünnitajaid olla nende haiglas rohkem kui paar-kolm aastat tagasi , kuid mingit massilist sündivuse tõusu pole .
			
381408	3323	O	See paistab välja juulis Eesti Ekspressile saadetud kirjast : “ Saabusin hiljuti ringreisilt viide Euroopa linna , kus tutvustasin oma plaani rohkem kui kolmekümnes saatkonnas , pangas , ajalehetoimetuses ja pressiagentuuris .
381408	3323	S	See paistab välja juulis Eesti Ekspressile saadetud kirjast : “ Saabusin ringreisilt viide Euroopa linna , kus tutvustasin oma plaani kolmekümnes saatkonnas , pangas , ajalehetoimetuses ja pressiagentuuris .
			
496108	1600	O	Et tööde kogumaksumus on rohkem kui 50 miljonit USA dollarit , osaleb rahastamisel mitu panka .
496108	1600	S	Et tööde kogumaksumus on 50 miljonit USA dollarit , osaleb rahastamisel mitu panka .
			
146129	25	O	Sel sügisel peaks Kuressaares lasteaeda minema 70 last rohkem kui eelmisel aastal , kuid linnaeelarves ei ole sellega seonduvaid kulutusi arevstatud .
146129	25	S	Sel sügisel peaks Kuressaares lasteaeda minema 70 last , kuid linnaeelarves ei ole sellega seonduvaid kulutusi arevstatud .
			
453919	2908	O	Arvestades , et 1997. aasta puhaskasum oli 15,8 miljonit krooni , on tõus rohkem kui tagasihoidlik .
453919	2908	S	Arvestades , et 1997. aasta puhaskasum oli 15,8 miljonit krooni , on tõus tagasihoidlik .
			
102383	361	O	100 km tunnikiiruse saavutamiseks kulus Eggeril vähem kui kaks sekundit , teatas Sportnet .
102383	361	S	100 km tunnikiiruse saavutamiseks kulus Eggeril , teatas Sportnet .
			
672892	3684	O	Ma võin kergelt leida neiu keda armastada ja kes mind armastab , aga ma olen kaotanud usu , et keegi võib mind rohkem kui mõned aastad välja kannatada .
672892	3684	S	Ma võin leida neiu keda armastada ja kes mind armastab , aga ma olen kaotanud usu , et keegi võib mind mõned aastad välja kannatada .
			
379173	137	O	Eestis on 1,4 miljonit elanikku , kellest rohkem kui 4800 istub parajasti trellide taga .
379173	137	S	Eestis on 1,4 miljonit elanikku , kellest istub trellide taga .
			
149655	209	O	Harju politsei koordineerimisosakonna politseijuhtivinspektor Riho Tänaku sõnul karistati eelmise kahe kuu jooksul kõige rohkem sõidukijuhte , kes ületasid lubatud sõidukiirust rohkem kui 20 km/h , kuid vähem kui 40 km/h .
149655	209	S	Harju politsei koordineerimisosakonna politseijuhtivinspektor Riho Tänaku sõnul karistati eelmise kahe kuu jooksul sõidukijuhte , kes ületasid lubatud sõidukiirust , kuid vähem kui 40 km/h .
			
170958	1779	O	Püüd sõnastust viimase hetkeni häälekalt paremaks kruttida läks maksma rohkem kui asi väärt .
170958	1779	S	Püüd sõnastust viimase hetkeni paremaks kruttida läks maksma .
			
466420	16	O	Politseiameti korraldatud koolilaste joonistuste ja kirjandite konkursil , millega tähistatakse Eesti politsei 80. aastapäeva , osales rohkem kui 350 Tartu õpilast .
466420	16	S	Politseiameti korraldatud koolilaste joonistuste ja kirjandite konkursil , millega tähistatakse Eesti politsei 80. aastapäeva , osales 350 Tartu õpilast .
			
71089	2582	O	Seda pole kerge teha , sest Eesti piimatootja saab piimamüügist ligi kaks korda madalamat hinda kui USA farmer ja üle kahe korra vähem kui Euroopa farmer .
71089	2582	S	Seda pole kerge teha , sest Eesti piimatootja saab piimamüügist kaks korda madalamat hinda kui USA farmer ja üle kahe korra vähem kui Euroopa farmer .
			
8879	572	O	""" Eestis makstakse meremeestele rohkem kui Lätis ning Eestiga seob kinnivõetud meremeest ilmselt vaid see , et tal on Eesti elamis- ja tööluba . """
8879	572	S	""" Eestis makstakse meremeestele ning Eestiga seob kinnivõetud meremeest see , et tal on Eesti elamis- ja tööluba . """
			
640548	1060338	O	paar aastat tagasi 10k maksnud arvuti ei maksa tänasel päeval ka rohkem kui paar tonni .
640548	1060338	S	Paar aastat tagasi 10k maksnud arvuti ei maksa tänasel päeval .
			
283168	2763	O	Kui sel aastal laekub taotlusi vähem kui olemasolev summa võimaldaks , kantakse raha ülejääk järgmisesse aastasse .
283168	2763	S	Kui sel aastal laekub taotlusi kui olemasolev summa võimaldaks , kantakse raha ülejääk järgmisesse aastasse .
			
704834	357	O	Diplomi kursuste eduka lõpetamise kohta sai rohkem kui 400 inimest , huvi kursuste toimumise kohta on jätkuv .
704834	357	S	Diplomi kursuste eduka lõpetamise kohta sai , huvi kursuste toimumise kohta on jätkuv .
			
677236	975	O	Olgu lisatud , et nii BLU-82 kui sellest märgatavalt võimsam MOAB plahvatavad veidi enne maapinnale jõudmist ja tapavad kõik elava rohkem kui poole kilomeetri raadiuses .
677236	975	S	Olgu lisatud , et nii BLU-82 kui sellest võimsam MOAB plahvatavad enne maapinnale jõudmist ja tapavad kõik elava poole kilomeetri raadiuses .
			
543802	551	O	Poliitikud häbenevad iga võimuloleku aastat tunduvalt rohkem kui naisterahvad aastakümmet .
543802	551	S	Poliitikud häbenevad iga võimuloleku aastat aastakümmet .
			
476583	1080	O	Tänavu saavad Tallinna raviasutused haigekassalt 22 miljonit krooni vähem kui mullu .
476583	1080	S	Saavad Tallinna raviasutused haigekassalt 22 miljonit krooni .
			
402964	1181	O	Näiteks Roheliste toetajatest valiks Rohelisi vähem kui iga kümnes .
402964	1181	S	Näiteks Roheliste toetajatest valiks Rohelisi .
			
774	470	O	Rohkem kui pool Stephanie elust on möödunud õudsetes mälestustes .
774	470	S	On möödunud õudsetes mälestustes .
			
96055	6778	O	""" Anu otsustas Sipsiku viia hoopis basseini ujuma , sest : "" Ujumine on kasulik sport ja karastab rohkem kui mõni jalgpall !"
96055	6778	S	""" Anu otsustas Sipsiku viia basseini ujuma , sest : "" Ujumine on kasulik sport ja karastab !"
			
450844	1694	O	Migreen vaevab enamasti naisi , koguni kolm korda rohkem kui mehi .
450844	1694	S	Migreen vaevab naisi , kolm korda rohkem kui mehi .
			
411090	353	O	Ta jätab mulje jõulisest ja mustvalgest mõtlemisstiilist ja kohati on see rohkem kui lihtsalt mulje .
411090	353	S	Ta jätab mulje jõulisest ja mustvalgest mõtlemisstiilist ja on see rohkem kui mulje .
			
450949	2945	O	Venemaal maksavad need asjad kõik paar korda vähem kui Eestis .
450949	2945	S	Venemaal maksavad need asjad .
			
