collectionID	sentenceStart	changed	changes	original	short
352540	560	1	"{""nsubj_nsubj:cop"": 1, ""aux_cop"": 1}"	Koore on riisunud sakslased , eestlased ei ole Ninjade pealt oluliselt teeninud , ent näevad perspektiivi seda teha .	Koore on riisunud sakslased , eestlased ei ole Ninjade pealt teeninud , ent näevad perspektiivi seda teha .
312718	2737	0	{}	Samast kauplusest võis osta ka krokodillinahast käekoti hinnaga 27 000 naela ( 705 000 krooni ) , mida kaunistavad kuld ja kalliskivid .	Samast kauplusest võis osta krokodillinahast käekoti hinnaga 27 000 naela ( 705 000 krooni ) , mida kaunistavad kuld ja kalliskivid .
672034	826	0	{}	"18tollistel rehvidel veerev auto oli tuulise ilma kiuste isegi tippkiirusel äärmiselt stabiilne ning pakkus sõiduelamust "" kogu raha eest "" ."	"18tollistel rehvidel veerev auto oli tuulise ilma kiuste tippkiirusel stabiilne ning pakkus sõiduelamust "" kogu raha eest "" ."
382784	5141	0	{}	“ Positiivse lisaefekti esinemine üksikisiku juures on võimalik , kuid mitte kindel , ” kinnitab Saksa piimauuringute keskus .	“ Positiivse lisaefekti esinemine üksikisiku juures on võimalik , kuid kindel , ” kinnitab Saksa piimauuringute keskus .
537488	898	0	{}	Tupitsa süüdistuses on raiskamisena sees neli seadusevastaselt erastatud korterit , mille hind oli 785 212 krooni , rääkis Jundas .	Tupitsa süüdistuses on raiskamisena neli erastatud korterit , mille hind oli 785 212 krooni , rääkis Jundas .
705197	20574	1	"{""parataxis_root"": 1, ""vocative_appos"": 1, ""root_parataxis"": 1}"	mrt: sboard_girl .. ma vaatan , et sa ikka jagad asja :)	Mrt : sboard_girl .. ma vaatan , et sa jagad asja :)
11471	1118	1	"{""cop_aux"": 1, ""csubj:cop_ccomp"": 1}"	Ei ole veel otsustatud , kas müüa osalus Pohjolas ära või üritada seda suurendada , rääkis Laido .	Ei ole otsustatud , kas müüa osalus Pohjolas ära või üritada seda suurendada , rääkis Laido .
496574	360	0	{}	Politsei pressiesindaja rõhutab veel kord , et rõivistusse jäetav rahakott , telefon ja võtmed võivad osutuda kurikaelale kergeks saagiks .	Politsei pressiesindaja rõhutab , et rõivistusse jäetav rahakott , telefon ja võtmed võivad osutuda kurikaelale kergeks saagiks .
705037	496586	0	{}	Dioksiinid , mis tekivad intensiivse tööstusega piirkondades ja samuti ka prügi põletamise tehastes , on üsna ulatusliku toimega .	Dioksiinid , mis tekivad intensiivse tööstusega piirkondades ja prügi põletamise tehastes , on ulatusliku toimega .
705177	153907	1	"{""parataxis_obl"": 1, ""cop_parataxis"": 1}"	kadi: mul oleks ka	Kadi : mul oleks
705185	133342	1	"{""nsubj_obj"": 1}"	plikxs-kaugel: chokzkazz ämn .. mai tea :PP	: .. mai tea :PP
405641	4190	0	{}	Nüüd küsitakse vahel , et milleks veel neid laulupidusid ja koore vaja on ?	Küsitakse , et milleks neid laulupidusid ja koore on ?
333707	1735	0	{}	Praegu hoiavad alal silma peal skautpataljoni spetsialistid .	Hoiavad alal silma peal skautpataljoni spetsialistid .
380821	7940	0	{}	Hea seegi , et Oscaritemäng toob kasvõi mõne nendest kultuuriavalikkuse teadvusesse .	Hea seegi , et Oscaritemäng toob mõne nendest kultuuriavalikkuse teadvusesse .
13205	2519	0	{}	Tänavune õnnetus sai aga ringradade valitsejale saatuslikuks , enam tagasivaatamist pole ...	Tänavune õnnetus sai ringradade valitsejale saatuslikuks , tagasivaatamist pole ...
30234	4180	0	{}	Nii ma siis jooksengi : lisakilode , stressi , pingete ja paha tuju eest .	Ma jooksengi : lisakilode , stressi , pingete ja paha tuju eest .
685873	1388	0	{}	1999 . a . summadest selles otsuses enam juttu ei olnud .	1999 . a . summadest selles otsuses juttu ei olnud .
700946	1190852	1	"{""advcl_xcomp"": 1}"	Tundusid päris mõistlikud sellid olevat , kui mujalt midagi paremat loota pole eks siis läheb sõit sinna	Tundusid mõistlikud sellid olevat , kui midagi paremat loota pole läheb sõit
432996	6717	0	{}	Homoseksuaalsust tunnustatakse Jumala annina nagu heteroseksuaalsustki ja inimese seksuaalset orientatsiooni sellisena , nagu see talle antud on .	Homoseksuaalsust tunnustatakse Jumala annina heteroseksuaalsustki ja inimese seksuaalset orientatsiooni sellisena , nagu see talle antud on .
648765	8178	0	{}	See võib sulle muidugi tulla šokina ..	See võib sulle tulla šokina ..
129473	456	0	{}	Seevastu õhtul trenni või Tabasalu poole koju-külla sõites tuleb varuda aega .	Õhtul trenni või Tabasalu poole koju-külla sõites tuleb varuda aega .
422346	70	0	{}	Mitu korda ütleb ta seal , et “ armsalt naiselik ” ja “ naiselikult tugev ” , aga mulle tuli sellest tunne , et ta tahaks tegelikult öelda hoopis , et “ loll ” .	Mitu korda ütleb ta , et “ naiselik ” ja “ naiselikult tugev ” , aga mulle tuli sellest tunne , et ta tahaks öelda , et “ loll ” .
305919	2675	0	{}	Torustike soojusisoleerimise pealt kokku hoida on viga nagu ka puitakende asendamine plastakendega ja metallvälisuste paigaldamine - ustel peaks olema vähemalt välispidine puidukate .	Torustike soojusisoleerimise pealt kokku hoida on viga nagu puitakende asendamine plastakendega ja metallvälisuste paigaldamine - ustel peaks olema välispidine puidukate .
498727	2180	0	{}	Vene piirivalvurid , kes kaldal kalamehi kontrollisid , viisid mehe esmalt Samolva kordonisse ja sealt edasi Oudovasse , kus tal lasti pärast arstlikku kontrolli seletuskiri kirjutada .	Vene piirivalvurid , kes kaldal kalamehi kontrollisid , viisid mehe Samolva kordonisse ja Oudovasse , kus tal lasti pärast arstlikku kontrolli seletuskiri kirjutada .
394082	1393	1	"{""cc_advmod"": 1}"	Klient on aga juba õppinud arvestama , kuipalju millekski mõistlik kulutada on .	Klient on aga õppinud arvestama , millekski mõistlik kulutada on .
294502	409	1	"{""case_advcl"": 1}"	Ametlikult läheb euro käibele 31. detsembri südaööl - näiteks peaksid kõik pangaautomaadid neis 12 riigis sellest hetkest alates väljastama ainult eurosid ja kauplused - kuigi seniseid rahvusvaluutasid võetakse vabalt vastu veel vähemalt kaks kuud - ei tohi tagasi anda ei deutschmarke ega franke .	Läheb euro käibele 31. detsembri südaööl - peaksid kõik pangaautomaadid neis 12 riigis sellest hetkest alates väljastama eurosid ja kauplused - seniseid rahvusvaluutasid võetakse vastu kaks kuud - ei tohi tagasi anda ei deutschmarke ega franke .
167464	1142	0	{}	Raamatuid hinnanud žürii esimees Viive Noor räägib , et raamatute hulk , mis konkursile saadetakse , on aasta-aastalt vähenenud .	Raamatuid hinnanud žürii esimees Viive Noor räägib , et raamatute hulk , mis konkursile saadetakse , on vähenenud .
632900	7952	0	{}	Kui osta edasi-tagasi lennukipilet Torontosse ja osta sealt väga hea pill , oled ikkagi hinnas poole võitnud .	Kui osta lennukipilet Torontosse ja osta hea pill , oled hinnas poole võitnud .
154938	236	0	{}	"Pärast vastuvõetud "" lahjat "" ülejääki kavandavat riigi eelarvestrateegiat ei peeta eelnevaid lubadusi enam millekski ."	"Pärast vastuvõetud "" lahjat "" ülejääki kavandavat riigi eelarvestrateegiat ei peeta eelnevaid lubadusi millekski ."
481968	13	0	{}	Nüüd on ka minu kannatus katkenud .	On minu kannatus katkenud .
636637	18984	0	{}	Kas keegi tänavu viljuvat kreeka pähklipuud Eestis teab ?	Keegi viljuvat kreeka pähklipuud Eestis teab ?
705249	188195	1	"{""amod_nmod"": 1}"	sipsu: lahe systeem siin jutukas ikka	Sipsu : lahe systeem jutukas
427744	1043	0	{}	Kolm geimi järjest , kuni lõpuni .	Kolm geimi , kuni lõpuni .
55140	2053	1	"{""root_xcomp"": 1, ""csubj:cop_root"": 1}"	Teisalt pole siis enam mureks doonoritelt saadud organite sobivus , sest patsiendi tüvirakkudest kasvatatud koed tunneb organism ära ja võtab omaks .	Pole mureks doonoritelt saadud organite sobivus , sest patsiendi tüvirakkudest kasvatatud koed tunneb organism ära ja võtab omaks .
676107	4030	1	"{""root_nsubj"": 1, ""xcomp_root"": 1}"	alati pakkub õpilastele hammustada kriiti või kastab üle lilleveega .	Pakkub õpilastele hammustada kriiti või kastab üle lilleveega .
705277	57038	1	"{""nmod_appos"": 1}"	pets_19: see on jah sinu link BB aga minul on teine link	Pets_19 : see on sinu link BB aga minul on teine link
276342	721	1	"{""nmod_obl"": 1}"	Arsenali prantslasest poolkaitsja Patrick Vieira arvas , et Meistrite Liiga võitmiseks vajab meeskond veel rohkem välismaalastest tähti .	Arsenali prantslasest poolkaitsja Patrick Vieira arvas , et Meistrite Liiga võitmiseks vajab meeskond välismaalastest tähti .
603163	679934	0	{}	Kõnealuse kauba kohta deklaratsiooni esitamist või mis tahes muud toimingut , millel on samasugune õiguslik mõju , ja dokumendi esitamist pädevatelt asutustelt kinnitusmärke saamiseks käsitletakse seadustiku artikli 203 lõikes 1 määratletud tähenduses kauba tollijärelevalve alt välja viimisena , kui kaup saab nende toimingute tulemusel alusetult ühenduse kauba tollistaatuse .	Kõnealuse kauba kohta deklaratsiooni esitamist või mis muud toimingut , millel on samasugune õiguslik mõju , ja dokumendi esitamist pädevatelt asutustelt kinnitusmärke saamiseks käsitletakse seadustiku artikli 203 lõikes 1 määratletud tähenduses kauba tollijärelevalve alt välja viimisena , kui kaup saab nende toimingute tulemusel ühenduse kauba tollistaatuse .
351562	671	0	{}	Hoone tuleb maksimaalselt kõrge , kuna Pärnu pinnas nõuab , et hoonealused vaiad ulatuksid paekihini , ja seega on tegemist kuluka tööga , rääkis Lepp .	Hoone tuleb kõrge , kuna Pärnu pinnas nõuab , et hoonealused vaiad ulatuksid paekihini , ja on tegemist kuluka tööga , rääkis Lepp .
691738	1459	0	{}	Väravavaht Ricardo arvates seisab Portugali edu taga hoopis treener .	Väravavaht Ricardo arvates seisab Portugali edu taga treener .
461105	2525	0	{}	Eesti Näitused teenis mullu puhaskasumit 13,24 miljonit krooni ning ettevõtte käive oli 46,4 miljonit krooni .	Eesti Näitused teenis puhaskasumit 13,24 miljonit krooni ning ettevõtte käive oli 46,4 miljonit krooni .
700816	1021410	1	"{""obl_conj"": 1}"	Selle ettepaneku poolt on 30 Riigikogu liiget , vastu 38 , erapooletuid 2.	Selle ettepaneku poolt on 30 Riigikogu liiget , 38 , erapooletuid 2.
587347	1625	1	"{""nmod_obj"": 1}"	Kuigi Diana väidab , et etenduse eelne elevus ei lase tal öösiti sõba silmale , pole see tal esimene kord Piafi laule laulda .	Kuigi Diana väidab , et etenduse eelne elevus ei lase tal sõba silmale , pole see tal esimene kord Piafi laule laulda .
700949	530962	0	{}	Kas algatajal on soovi arvamust avaldada ?	Algatajal on soovi arvamust avaldada ?
222408	9369	0	{}	Lisaks peame saavutama selle , et peale narkootikumide eksporditaks ka muid kaubaartikleid ning et selleks oleks piisav hulk teid .	Lisaks peame saavutama selle , et peale narkootikumide eksporditaks muid kaubaartikleid ning et selleks oleks piisav hulk teid .
700538	71129	0	{}	Nii et praegu on see üsna lai teema .	On see lai teema .
557587	622	0	{}	Woods viigistas mänguseisu alles eelviimasel rajal ning pigistas võidu välja play-offis .	Woods viigistas mänguseisu eelviimasel rajal ning pigistas võidu välja play-offis .
695368	712	0	{}	Mais aga enam kaubavedu Taali sõnul ette nähtud ei ole .	Mais aga kaubavedu Taali sõnul ette nähtud ei ole .
435616	15	0	{}	Valeteated ohtlikest asteroididest tekitavad pahatihti paanikat .	Valeteated ohtlikest asteroididest tekitavad paanikat .
652378	776489	0	{}	Kogu selle pika arutluse peale panen ma enda kaardi üldse kinni ja kolin Samposse üle .	Kogu selle pika arutluse peale panen ma enda kaardi kinni ja kolin Samposse .
372639	2603	0	{}	Päris ühesugune ei ole see kunagi , teraviljatoode vahetub igas kastis , samuti maitseaine või teesegu ning ka juurviljavalik pole alati sama .	Ühesugune ei ole see , teraviljatoode vahetub igas kastis , maitseaine või teesegu ning juurviljavalik pole sama .
628025	1563	0	{}	Sellele võimalusele on BNS andmeil vihjanud ka Riigikogu esimees Toomas Savi .	Sellele võimalusele on BNS andmeil vihjanud Riigikogu esimees Toomas Savi .
154128	1121	1	"{""ccomp_conj"": 1, ""xcomp_conj"": 1, ""obl_nmod"": 1}"	Ta ei täpsustanud , kas inspektsioon antud asjaga tegeleb , kuna inspektsioon ei väljasta infot uurimistegevuse kohta .	Ta ei täpsustanud , inspektsioon antud asjaga tegeleb , kuna inspektsioon ei väljasta infot uurimistegevuse kohta .
296213	790	0	{}	"See on võimalik juba lähiajal , kuid kuju püstitamiseni ei jõuta sel ega järgmisel aastal , "" ütles Ratas ."	"See on võimalik lähiajal , kuid kuju püstitamiseni ei jõuta sel ega järgmisel aastal , "" ütles Ratas ."
488672	1198	1	"{""cop_aux"": 1, ""nsubj:cop_nsubj"": 1}"	Tõenäoliselt oleks ta saanud ja saaks paremini hakkama kui Margus Hanson või mõni tulevane minister .	Oleks ta saanud ja saaks hakkama kui Margus Hanson või mõni tulevane minister .
407156	2704	1	"{""nmod_nsubj"": 1}"	See , et muidu laulmisega mittetegelevate inimeste muusika kuulajale peale läheb , näitab minu meelest ainult seda , et kuulaja ei vajagi eriti professionaalset muusikat .	See , et laulmisega mittetegelevate inimeste muusika kuulajale peale läheb , näitab minu meelest seda , et kuulaja ei vajagi professionaalset muusikat .
571620	2875	0	{}	Lõpetanud 14aastaselt põhikooli , läks Oksana edasi õppima miilitsakooli , kust asus esimesena kooli ajaloos ümber Peterburi miilitsaakadeemiasse .	Lõpetanud põhikooli , läks Oksana edasi õppima miilitsakooli , kust asus esimesena kooli ajaloos ümber Peterburi miilitsaakadeemiasse .
437957	1064	1	"{""acl_conj"": 1}"	See on veel küsimus , kas seda peab volikogus arutama .	See on küsimus , seda peab volikogus arutama .
420617	1992	1	"{""obl_xcomp"": 1}"	Tänavu võiks Tartu kandis suve alguseks justkui pidada 26. aprilli : sellest alates oli esimene tingimus täidetud .	Võiks Tartu kandis suve alguseks justkui pidada 26. aprilli : sellest alates oli esimene tingimus täidetud .
262904	844	1	"{""obj_nsubj:cop"": 1, ""aux_cop"": 1}"	Siiski märkis Kiho , et presidendi ja Elton Johni kohtumine pole välistatud .	Märkis Kiho , et presidendi ja Elton Johni kohtumine pole välistatud .
668687	1025936	1	"{""obj_nsubj:cop"": 1, ""aux_cop"": 1, ""obj_root"": 1, ""obj_nmod"": 1, ""root_acl"": 1}"	Nii lepingu sisu kui vorm on analoogsed Eesti seni sõlmitud vabakaubanduslepingute omaga .	Nii lepingu sisu kui vorm on analoogsed Eesti sõlmitud vabakaubanduslepingute omaga .
